seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,250.754527,0.656977,10.314675,44.941350,278.164527,38.682522,2.226085,3.000000,-93.177107,5.161236,2025-03-13T21:08:10.999-05:00,-0.199321,-0.986557,-0.172448,2025-03-13T21:08:10.179-05:00,0.469510,-0.174069,-1.507568,2025-03-13T21:08:10.185-05:00
1.000000,250.838478,0.679658,10.744960,44.941365,278.248478,62.078145,2.368829,3.000000,-93.177041,5.128387,2025-03-13T21:08:11.999-05:00,-0.119141,-1.002100,-0.083060,2025-03-13T21:08:11.164-05:00,1.106210,-0.284863,-0.614624,2025-03-13T21:08:11.170-05:00
2.000000,251.025318,0.675235,9.533303,44.941371,278.435318,77.956123,2.316139,3.000000,-93.176964,5.736588,2025-03-13T21:08:12.999-05:00,-0.114094,-0.993094,-0.098035,2025-03-13T21:08:12.169-05:00,1.035202,-0.194817,-0.383002,2025-03-13T21:08:12.165-05:00
3.000000,250.968100,0.665724,7.589068,44.941373,278.378099,87.028933,2.267177,3.000000,-93.176862,7.107597,2025-03-13T21:08:13.999-05:00,-0.128481,-0.998601,-0.046911,2025-03-13T21:08:13.173-05:00,0.735370,-0.218464,0.215103,2025-03-13T21:08:13.169-05:00
4.000000,250.670448,0.698275,7.258734,44.941388,278.080448,84.558888,2.203728,3.000000,-93.176745,8.548116,2025-03-13T21:08:14.999-05:00,-0.139919,-0.992963,-0.019791,2025-03-13T21:08:14.168-05:00,0.525316,-0.139573,0.554798,2025-03-13T21:08:14.164-05:00
5.000000,250.508118,0.680841,7.258007,44.941382,277.918118,88.657603,2.296129,3.000000,-93.176630,9.066493,2025-03-13T21:08:15.999-05:00,-0.153072,-1.000126,-0.014252,2025-03-13T21:08:15.173-05:00,0.377385,-0.206722,0.536534,2025-03-13T21:08:15.169-05:00
6.000000,250.849268,0.665167,7.257605,44.941384,278.259268,88.909883,2.182363,3.000000,-93.176491,10.244902,2025-03-13T21:08:16.999-05:00,-0.168519,-0.982537,-0.010338,2025-03-13T21:08:16.167-05:00,0.181135,-0.026631,0.453209,2025-03-13T21:08:16.173-05:00
7.000000,250.979753,0.658546,7.257839,44.941382,278.389753,90.167843,2.108526,3.000000,-93.176357,10.481109,2025-03-13T21:08:17.999-05:00,-0.194407,-0.980288,-0.017246,2025-03-13T21:08:17.172-05:00,-0.076240,0.018037,0.339270,2025-03-13T21:08:17.168-05:00
8.000000,251.011876,0.662510,7.258495,44.941381,278.421875,90.571807,2.059928,3.000000,-93.176215,10.866155,2025-03-13T21:08:18.999-05:00,-0.195777,-0.976164,0.002350,2025-03-13T21:08:18.167-05:00,-0.088950,0.049535,0.439939,2025-03-13T21:08:18.173-05:00
9.000000,250.929159,0.664620,7.258972,44.941379,278.339159,90.856269,2.032539,3.000000,-93.176066,11.414542,2025-03-13T21:08:19.999-05:00,-0.199893,-0.981804,0.007089,2025-03-13T21:08:19.171-05:00,-0.159318,0.008088,0.423660,2025-03-13T21:08:19.167-05:00
