seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,250.812324,0.687897,10.740212,44.941579,278.222324,237.037096,2.784564,3.000000,-93.177258,5.189617,2025-03-20T19:05:40.060-05:00,-0.336386,-0.947632,0.056643,2025-03-20T19:05:40.051-05:00,-0.560787,0.114685,-0.030195,2025-03-20T19:05:40.056-05:00
1.000000,249.375305,1.960000,37.926941,44.941485,276.785305,201.796875,3.535534,3.000000,-93.177275,3.080000,2025-03-20T19:05:42.000-05:00,-0.361395,-0.936267,0.032298,2025-03-20T19:05:41.035-05:00,-0.881466,0.236904,-0.296203,2025-03-20T19:05:41.040-05:00
2.000000,249.643982,0.690000,9.853635,44.941476,277.053982,177.539062,3.535534,3.000000,-93.177262,3.080000,2025-03-20T19:05:43.000-05:00,-0.337157,-0.943191,-0.000431,2025-03-20T19:05:42.040-05:00,-0.699082,0.185434,-0.630199,2025-03-20T19:05:42.035-05:00
3.000000,249.998901,0.060000,7.123227,44.941467,277.408901,185.976562,3.535534,3.000000,-93.177262,1.410000,2025-03-20T19:05:44.000-05:00,-0.346161,-0.940982,-0.002333,2025-03-20T19:05:43.035-05:00,-0.796065,0.205498,-0.653678,2025-03-20T19:05:43.040-05:00
4.000000,250.135498,0.990000,12.711864,44.941462,277.545498,177.890625,3.535534,3.000000,-93.177262,0.220000,2025-03-20T19:05:45.000-05:00,-0.318345,-0.948634,0.008790,2025-03-20T19:05:44.040-05:00,-0.487486,0.121844,-0.554597,2025-03-20T19:05:44.035-05:00
5.000000,250.320618,0.990000,12.731913,44.941465,277.730618,177.890625,3.535534,3.000000,-93.177264,0.000000,2025-03-20T19:05:46.000-05:00,-0.265417,-0.962971,0.024187,2025-03-20T19:05:45.044-05:00,0.042219,-0.019605,-0.390782,2025-03-20T19:05:45.039-05:00
6.000000,250.599121,0.990000,12.769035,44.941464,278.009121,177.539062,3.535534,3.000000,-93.177259,0.000000,2025-03-20T19:05:47.000-05:00,-0.265361,-0.963118,0.023607,2025-03-20T19:05:46.039-05:00,0.041458,-0.021160,-0.373245,2025-03-20T19:05:46.044-05:00
7.000000,251.021057,0.990000,12.787255,44.941463,278.431057,177.539062,3.535534,3.000000,-93.177258,0.000000,2025-03-20T19:05:48.000-05:00,-0.265173,-0.962673,0.023600,2025-03-20T19:05:47.044-05:00,0.039723,-0.014515,-0.345446,2025-03-20T19:05:47.039-05:00
8.000000,251.522461,0.990000,12.802283,44.941462,278.932461,177.539062,3.535534,3.000000,-93.177259,0.000000,2025-03-20T19:05:49.000-05:00,-0.265876,-0.962919,0.023757,2025-03-20T19:05:48.039-05:00,0.027363,-0.012998,-0.315534,2025-03-20T19:05:48.044-05:00
9.000000,251.746887,0.990000,12.824023,44.941462,279.156887,177.539062,3.535534,3.000000,-93.177258,0.000000,2025-03-20T19:05:50.000-05:00,-0.265279,-0.962719,0.023517,2025-03-20T19:05:49.043-05:00,0.029815,-0.009689,-0.289402,2025-03-20T19:05:49.038-05:00
