seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,251.441620,0.442794,18.952747,44.940093,278.851620,149.599789,2.746658,3.000000,-93.176931,4.158546,2025-03-27T22:02:49.999-05:00,-0.223848,-0.958549,0.203813,2025-03-27T22:02:49.863-05:00,-0.115032,0.176121,1.514401,2025-03-27T22:02:49.870-05:00
1.000000,251.610953,0.405385,17.977908,44.940071,279.020953,123.396255,2.714607,3.000000,-93.176887,4.885195,2025-03-27T22:02:50.999-05:00,-0.177545,-0.991667,0.173933,2025-03-27T22:02:50.847-05:00,0.177530,-0.113117,1.157328,2025-03-27T22:02:50.845-05:00
2.000000,251.827459,0.375245,9.980555,44.940063,279.237459,102.596094,2.728864,3.000000,-93.176829,5.237971,2025-03-27T22:02:51.999-05:00,-0.130645,-0.994257,0.082638,2025-03-27T22:02:51.852-05:00,0.467416,-0.125782,0.385998,2025-03-27T22:02:51.850-05:00
3.000000,251.804304,0.342381,7.431335,44.940060,279.214303,93.511632,2.692421,3.000000,-93.176753,6.060218,2025-03-27T22:02:53.000-05:00,-0.110583,-0.993014,0.047365,2025-03-27T22:02:52.847-05:00,0.680367,-0.083054,0.149811,2025-03-27T22:02:52.845-05:00
4.000000,251.934944,0.348525,7.257160,44.940061,279.344944,90.657959,2.657800,3.000000,-93.176665,6.957033,2025-03-27T22:02:54.000-05:00,-0.134379,-1.002304,0.045714,2025-03-27T22:02:53.852-05:00,0.325381,-0.172301,0.134570,2025-03-27T22:02:53.850-05:00
5.000000,252.138666,0.346250,7.256956,44.940060,279.548666,90.000000,2.606203,3.000000,-93.176564,7.806225,2025-03-27T22:02:55.000-05:00,-0.141417,-0.988697,0.025330,2025-03-27T22:02:54.847-05:00,0.234391,-0.033464,-0.024158,2025-03-27T22:02:54.845-05:00
6.000000,252.291965,0.337443,7.257686,44.940063,279.701965,90.000000,2.478147,3.000000,-93.176456,8.497707,2025-03-27T22:02:56.000-05:00,-0.147906,-0.987926,0.012965,2025-03-27T22:02:55.852-05:00,0.181350,-0.028813,-0.139025,2025-03-27T22:02:55.849-05:00
7.000000,252.432081,0.334078,7.258000,44.940068,279.842081,90.000000,2.413895,3.000000,-93.176342,9.058355,2025-03-27T22:02:57.000-05:00,-0.164785,-0.986331,0.000355,2025-03-27T22:02:56.847-05:00,-0.012014,0.004702,-0.254096,2025-03-27T22:02:56.854-05:00
8.000000,252.672975,0.322155,7.258647,44.940071,280.082974,90.000000,2.547316,3.000000,-93.176219,9.576253,2025-03-27T22:02:58.000-05:00,-0.156464,-0.990000,0.003880,2025-03-27T22:02:57.852-05:00,0.065499,-0.038994,-0.219493,2025-03-27T22:02:57.849-05:00
9.000000,253.089841,0.329853,7.258218,44.940071,280.499840,90.211678,2.423826,3.000000,-93.176092,10.100383,2025-03-27T22:02:59.000-05:00,-0.169061,-0.988211,0.007098,2025-03-27T22:02:58.847-05:00,-0.096141,-0.000593,-0.213366,2025-03-27T22:02:58.854-05:00
