seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,250.775576,0.550000,9.226845,44.939021,278.185575,119.882850,4.748652,4.029364,-93.177088,4.830000,2025-03-27T21:56:24.000-05:00,-0.248922,-0.993753,0.071377,2025-03-27T21:56:23.499-05:00,-0.245766,-0.200735,0.215367,2025-03-27T21:56:23.511-05:00
1.000000,251.934511,1.670000,31.764679,44.939004,279.344511,112.500035,4.748652,4.029364,-93.177036,4.260000,2025-03-27T21:56:25.000-05:00,-0.159735,-0.971851,0.043285,2025-03-27T21:56:24.484-05:00,0.410563,0.058234,-0.139310,2025-03-27T21:56:24.486-05:00
2.000000,251.753847,0.910000,15.789273,44.939006,279.163847,90.161171,4.748652,4.029364,-93.176978,4.670000,2025-03-27T21:56:26.000-05:00,-0.111265,-1.001977,0.021365,2025-03-27T21:56:25.488-05:00,0.858499,-0.235043,-0.383959,2025-03-27T21:56:25.491-05:00
3.000000,251.587587,0.360000,7.258975,44.939006,278.997587,90.161171,4.748652,4.029364,-93.176919,4.670000,2025-03-27T21:56:27.000-05:00,-0.121235,-0.997531,0.014911,2025-03-27T21:56:26.483-05:00,0.743675,-0.181522,-0.415114,2025-03-27T21:56:26.486-05:00
4.000000,251.468447,0.410000,7.258975,44.939006,278.878447,90.161171,4.748652,4.029364,-93.176832,5.180000,2025-03-27T21:56:28.000-05:00,-0.126574,-0.995352,-0.000777,2025-03-27T21:56:27.488-05:00,0.661516,-0.155789,-0.542091,2025-03-27T21:56:27.491-05:00
5.000000,251.872868,0.560000,7.258975,44.939005,279.282868,90.161171,4.748652,4.029364,-93.176713,7.490000,2025-03-27T21:56:29.000-05:00,-0.128288,-0.993748,0.006053,2025-03-27T21:56:28.483-05:00,0.599471,-0.131900,-0.475962,2025-03-27T21:56:28.486-05:00
6.000000,251.869146,0.400000,7.258975,44.939005,279.279146,90.161171,4.748652,4.029364,-93.176609,8.110000,2025-03-27T21:56:30.000-05:00,-0.148818,-0.990711,0.021416,2025-03-27T21:56:29.488-05:00,0.366369,-0.101054,-0.385633,2025-03-27T21:56:29.490-05:00
7.000000,252.073308,0.420000,7.258975,44.939005,279.483308,90.161171,4.748652,4.029364,-93.176503,8.110000,2025-03-27T21:56:31.000-05:00,-0.176066,-0.989569,0.017280,2025-03-27T21:56:30.483-05:00,0.082110,-0.084496,-0.438719,2025-03-27T21:56:30.485-05:00
8.000000,251.926520,0.308016,7.258975,44.939005,279.336520,90.161171,4.748652,4.029364,-93.176376,8.840000,2025-03-27T21:56:32.000-05:00,-0.191403,-0.978905,0.011938,2025-03-27T21:56:31.488-05:00,-0.092385,0.027003,-0.461683,2025-03-27T21:56:31.490-05:00
9.000000,253.287706,1.270173,10.820573,44.939013,280.697706,90.161171,2.000000,3.000000,-93.176250,9.509595,2025-03-27T21:56:33.000-05:00,-0.220112,-0.962599,0.000712,2025-03-27T21:56:32.483-05:00,-0.375226,0.188764,-0.500169,2025-03-27T21:56:32.485-05:00
