seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,265.344739,2.259958,39.400426,44.934328,292.754739,311.878563,3.301704,3.000000,-93.166983,4.621264,2025-03-27T21:50:53.000-05:00,-0.166477,-0.999119,-0.097099,2025-03-27T21:50:52.989-05:00,0.469549,-0.224188,-0.922156,2025-03-27T21:50:52.992-05:00
1.000000,264.932963,2.238671,37.039140,44.934379,292.342963,340.527503,3.236619,3.000000,-93.166990,4.897339,2025-03-27T21:50:54.000-05:00,-0.120254,-0.994840,-0.005776,2025-03-27T21:50:53.974-05:00,0.668766,-0.114764,-0.222641,2025-03-27T21:50:53.977-05:00
2.000000,265.117276,2.134932,28.915775,44.934440,292.527276,354.665534,3.216104,3.000000,-93.166988,5.950220,2025-03-27T21:50:55.000-05:00,-0.136735,-0.990226,0.031179,2025-03-27T21:50:54.979-05:00,0.522308,-0.088338,0.221690,2025-03-27T21:50:54.972-05:00
3.000000,264.890365,2.054513,24.056223,44.934507,292.300365,357.085752,3.117462,3.000000,-93.166990,6.906997,2025-03-27T21:50:56.000-05:00,-0.118860,-1.002203,0.034608,2025-03-27T21:50:55.974-05:00,0.645256,-0.200990,0.310064,2025-03-27T21:50:55.977-05:00
4.000000,264.823930,1.984261,20.387739,44.934580,292.233930,358.647164,3.084973,3.000000,-93.166988,7.876053,2025-03-27T21:50:57.000-05:00,-0.119248,-0.998806,0.033677,2025-03-27T21:50:56.979-05:00,0.532183,-0.129940,0.366009,2025-03-27T21:50:56.972-05:00
5.000000,264.833800,1.895555,17.102014,44.934663,292.243800,359.947033,2.828167,3.000000,-93.166983,8.960404,2025-03-27T21:50:58.000-05:00,-0.140239,-0.994462,0.013446,2025-03-27T21:50:57.974-05:00,0.288284,-0.096745,0.304908,2025-03-27T21:50:57.976-05:00
6.000000,264.812778,1.848257,14.919677,44.934758,292.222778,0.210497,2.592129,3.000000,-93.166981,10.008824,2025-03-27T21:50:59.000-05:00,-0.164102,-0.986722,0.002303,2025-03-27T21:50:58.979-05:00,0.009884,0.002149,0.227676,2025-03-27T21:50:58.971-05:00
7.000000,264.754697,1.827915,13.818378,44.934858,292.164697,0.046587,2.350954,3.000000,-93.166980,10.693691,2025-03-27T21:51:00.000-05:00,-0.159498,-0.984073,-0.005287,2025-03-27T21:50:59.974-05:00,0.028565,0.024323,0.146653,2025-03-27T21:50:59.976-05:00
8.000000,264.699060,1.813559,13.072237,44.934959,292.109060,359.525460,2.275039,3.000000,-93.166983,11.241082,2025-03-27T21:51:01.000-05:00,-0.186192,-0.990632,0.001308,2025-03-27T21:51:00.979-05:00,-0.260071,-0.034193,0.186626,2025-03-27T21:51:00.971-05:00
9.000000,264.717645,1.777471,12.243473,44.935065,292.127645,359.964602,2.169515,3.000000,-93.166983,11.762746,2025-03-27T21:51:02.000-05:00,-0.195800,-0.967333,-0.014378,2025-03-27T21:51:01.973-05:00,-0.366460,0.191482,0.085701,2025-03-27T21:51:01.976-05:00
