seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,262.660640,2.366399,50.446671,44.941246,290.070640,119.111315,3.001953,3.000000,-93.167090,3.767554,2025-03-27T21:46:17.999-05:00,-0.164715,-0.993418,-0.175039,2025-03-27T21:46:17.296-05:00,0.363486,-0.128442,-1.577200,2025-03-27T21:46:17.304-05:00
1.000000,262.686915,2.291168,41.705351,44.941199,290.096915,145.682074,2.943015,3.000000,-93.167066,4.418445,2025-03-27T21:46:18.999-05:00,-0.131736,-0.987802,-0.129425,2025-03-27T21:46:18.291-05:00,0.437563,-0.055221,-1.211106,2025-03-27T21:46:18.289-05:00
2.000000,262.944978,2.214903,34.566433,44.941147,290.354978,168.995263,2.895283,3.000000,-93.167065,5.175571,2025-03-27T21:46:19.999-05:00,-0.108954,-1.002875,-0.008826,2025-03-27T21:46:19.286-05:00,0.643283,-0.157826,-0.136988,2025-03-27T21:46:19.284-05:00
3.000000,263.256516,2.119442,27.235631,44.941089,290.666515,181.253586,2.890057,3.000000,-93.167065,6.250211,2025-03-27T21:46:20.999-05:00,-0.120557,-0.997186,0.012010,2025-03-27T21:46:20.291-05:00,0.525234,-0.127632,0.152082,2025-03-27T21:46:20.289-05:00
4.000000,263.267597,2.058608,22.911904,44.941023,290.677597,181.253586,2.821747,3.000000,-93.167064,7.170666,2025-03-27T21:46:22.000-05:00,-0.129152,-0.994419,0.028468,2025-03-27T21:46:21.286-05:00,0.402016,-0.089516,0.356505,2025-03-27T21:46:21.284-05:00
5.000000,263.189690,1.993913,19.877714,44.940951,290.599690,180.861191,2.710525,3.000000,-93.167067,8.010678,2025-03-27T21:46:23.000-05:00,-0.155669,-0.992084,0.013477,2025-03-27T21:46:22.291-05:00,0.106790,-0.062731,0.225620,2025-03-27T21:46:22.288-05:00
6.000000,263.353804,1.995937,17.984786,44.940874,290.763804,180.861191,2.545576,3.000000,-93.167067,8.578544,2025-03-27T21:46:24.000-05:00,-0.195480,-0.978815,0.022392,2025-03-27T21:46:23.286-05:00,-0.268068,0.075675,0.214197,2025-03-27T21:46:23.283-05:00
7.000000,263.366867,1.975054,17.167345,44.940793,290.776867,180.112579,2.374711,3.000000,-93.167067,8.810851,2025-03-27T21:46:25.000-05:00,-0.198677,-0.978053,0.013049,2025-03-27T21:46:24.291-05:00,-0.338956,0.075632,0.154824,2025-03-27T21:46:24.288-05:00
8.000000,263.606273,2.025922,16.654392,44.940713,291.016273,180.112579,2.244187,3.000000,-93.167065,8.897316,2025-03-27T21:46:26.000-05:00,-0.246280,-0.969680,0.007792,2025-03-27T21:46:25.286-05:00,-0.753278,0.145996,0.088314,2025-03-27T21:46:25.283-05:00
9.000000,263.784765,1.988986,17.808082,44.940637,291.194765,180.112579,2.328548,3.000000,-93.167066,8.621192,2025-03-27T21:46:27.000-05:00,-0.253259,-0.967428,0.012695,2025-03-27T21:46:26.290-05:00,-0.837542,0.190946,0.066636,2025-03-27T21:46:26.288-05:00
10.000000,263.785763,2.013115,18.916213,44.940564,291.195763,180.112579,2.221641,3.000000,-93.167066,8.219687,2025-03-27T21:46:28.000-05:00,-0.256371,-0.965549,0.000546,2025-03-27T21:46:27.285-05:00,-0.743780,0.179753,0.024877,2025-03-27T21:46:27.283-05:00
11.000000,263.909832,2.045971,19.772784,44.940492,291.319832,180.112579,2.263988,3.000000,-93.167067,7.940323,2025-03-27T21:46:29.000-05:00,-0.262193,-0.966516,0.005305,2025-03-27T21:46:28.290-05:00,-0.802444,0.165213,0.074924,2025-03-27T21:46:28.288-05:00
12.000000,264.036297,2.036793,20.962784,44.940423,291.446296,180.112579,2.383377,3.000000,-93.167061,7.592706,2025-03-27T21:46:30.000-05:00,-0.308056,-0.955472,-0.017424,2025-03-27T21:46:29.285-05:00,-1.151370,0.259819,-0.115457,2025-03-27T21:46:29.283-05:00
13.000000,264.287038,2.232890,24.335598,44.940368,291.697038,180.112579,2.271280,3.000000,-93.167065,6.575366,2025-03-27T21:46:31.000-05:00,-0.328850,-0.950007,-0.018982,2025-03-27T21:46:30.290-05:00,-1.310924,0.302209,-0.127746,2025-03-27T21:46:30.288-05:00
14.000000,264.269319,2.428889,29.237361,44.940319,291.679319,179.591095,2.198140,3.000000,-93.167066,5.499790,2025-03-27T21:46:32.000-05:00,-0.350234,-0.942499,-0.021435,2025-03-27T21:46:31.285-05:00,-1.457330,0.356493,-0.137412,2025-03-27T21:46:31.283-05:00
15.000000,264.193683,2.836047,37.223375,44.940283,291.603683,179.591095,2.158512,3.000000,-93.167068,4.230581,2025-03-27T21:46:33.000-05:00,-0.364313,-0.942969,-0.026416,2025-03-27T21:46:32.290-05:00,-1.486207,0.334043,-0.161888,2025-03-27T21:46:32.287-05:00
16.000000,264.398050,3.527318,46.278002,44.940259,291.808050,179.591095,2.132093,3.000000,-93.167072,2.877307,2025-03-27T21:46:34.000-05:00,-0.350817,-0.944996,-0.028445,2025-03-27T21:46:33.285-05:00,-1.224641,0.286490,-0.141739,2025-03-27T21:46:33.292-05:00
17.000000,264.464291,4.084558,56.766559,44.940246,291.874290,179.591095,2.113223,3.000000,-93.167072,1.613937,2025-03-27T21:46:35.000-05:00,-0.313771,-0.953531,-0.018636,2025-03-27T21:46:34.290-05:00,-0.744753,0.171944,-0.031911,2025-03-27T21:46:34.287-05:00
18.000000,264.507167,3.778208,180.000000,44.940244,291.917167,179.591095,2.099070,3.000000,-93.167075,0.556035,2025-03-27T21:46:36.000-05:00,-0.253098,-0.967590,-0.009707,2025-03-27T21:46:35.285-05:00,-0.126826,0.028921,0.068028,2025-03-27T21:46:35.292-05:00
