seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,260.953563,0.342710,10.245242,44.941708,288.363562,216.474326,2.730656,3.000000,-93.167139,3.820835,2025-03-27T21:53:41.000-05:00,-0.221687,-0.955789,-0.196821,2025-03-27T21:53:40.950-05:00,0.106485,0.140984,-1.253682,2025-03-27T21:53:40.953-05:00
1.000000,260.920103,0.292867,9.897556,44.941696,288.330103,251.760547,2.849619,3.000000,-93.167191,3.880281,2025-03-27T21:53:42.000-05:00,-0.141850,-0.998327,0.012642,2025-03-27T21:53:41.935-05:00,0.776724,-0.253004,0.843682,2025-03-27T21:53:41.937-05:00
2.000000,260.509959,0.296929,7.257545,44.941710,287.919959,274.696409,2.744933,3.000000,-93.167245,4.799961,2025-03-27T21:53:43.000-05:00,-0.200546,-0.969450,0.045589,2025-03-27T21:53:42.930-05:00,0.237936,0.027726,1.094257,2025-03-27T21:53:42.932-05:00
3.000000,260.168856,0.265069,7.255309,44.941704,287.578856,272.369442,2.662162,3.000000,-93.167334,6.022734,2025-03-27T21:53:44.000-05:00,-0.208382,-0.985337,-0.027877,2025-03-27T21:53:43.935-05:00,0.149212,-0.143168,0.541618,2025-03-27T21:53:43.937-05:00
4.000000,259.843603,0.257003,7.252287,44.941702,287.253603,270.492411,2.589468,3.000000,-93.167423,6.736986,2025-03-27T21:53:45.000-05:00,-0.203654,-0.985903,-0.027619,2025-03-27T21:53:44.930-05:00,0.031139,-0.103399,0.490965,2025-03-27T21:53:44.932-05:00
5.000000,259.892193,0.268161,7.255601,44.941695,287.302193,270.470338,2.521452,3.000000,-93.167524,7.460811,2025-03-27T21:53:46.000-05:00,-0.188686,-0.976958,-0.019760,2025-03-27T21:53:45.934-05:00,0.070531,0.018779,0.388504,2025-03-27T21:53:45.937-05:00
6.000000,259.882751,0.259994,7.256431,44.941694,287.292751,271.353531,2.397214,3.000000,-93.167633,8.173879,2025-03-27T21:53:47.000-05:00,-0.204866,-0.977274,-0.013948,2025-03-27T21:53:46.939-05:00,-0.043655,0.005069,0.414484,2025-03-27T21:53:46.932-05:00
7.000000,259.584906,0.256342,7.255508,44.941693,286.994905,270.292633,2.280171,3.000000,-93.167744,8.636173,2025-03-27T21:53:48.000-05:00,-0.211258,-0.976100,0.004259,2025-03-27T21:53:47.934-05:00,-0.060144,0.014235,0.541029,2025-03-27T21:53:47.937-05:00
8.000000,259.272325,0.217258,7.253646,44.941692,286.682325,270.292633,2.182168,3.000000,-93.167863,9.264119,2025-03-27T21:53:49.000-05:00,-0.242594,-0.967423,-0.022147,2025-03-27T21:53:48.939-05:00,-0.498833,0.121005,0.287530,2025-03-27T21:53:48.932-05:00
9.000000,259.086279,0.262387,7.255450,44.941691,286.496279,270.292633,2.358731,3.000000,-93.167987,9.495372,2025-03-27T21:53:50.000-05:00,-0.258580,-0.976621,-0.037647,2025-03-27T21:53:49.934-05:00,-0.517709,0.007917,0.195310,2025-03-27T21:53:49.936-05:00
