seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,256.352875,0.257618,7.257667,44.941406,283.762875,202.259527,2.421443,3.000000,-93.169607,5.039560,2025-03-27T21:33:22.999-05:00,-0.280836,-0.966720,0.100941,2025-03-27T21:33:22.355-05:00,-0.621434,0.090010,1.137145,2025-03-27T21:33:22.358-05:00
1.000000,256.375150,0.301286,7.258907,44.941354,283.785150,186.788077,2.368762,3.000000,-93.169613,5.274587,2025-03-27T21:33:23.999-05:00,-0.245177,-0.985647,0.023010,2025-03-27T21:33:23.340-05:00,-0.398932,-0.057811,0.376772,2025-03-27T21:33:23.343-05:00
2.000000,256.498909,0.303405,7.258582,44.941305,283.908909,182.630753,2.327789,3.000000,-93.169612,5.237396,2025-03-27T21:33:24.999-05:00,-0.195701,-0.958350,-0.023334,2025-03-27T21:33:24.345-05:00,-0.043011,0.202166,0.077536,2025-03-27T21:33:24.338-05:00
3.000000,256.575876,0.280314,7.254143,44.941253,283.985876,182.630753,2.295010,3.000000,-93.169610,5.720243,2025-03-27T21:33:25.999-05:00,-0.159432,-1.001758,-0.017882,2025-03-27T21:33:25.340-05:00,0.470629,-0.233479,-0.019883,2025-03-27T21:33:25.343-05:00
4.000000,256.436433,0.289405,7.258498,44.941194,283.846432,182.630753,2.268191,3.000000,-93.169608,6.591061,2025-03-27T21:33:26.999-05:00,-0.159229,-0.993419,0.011445,2025-03-27T21:33:26.345-05:00,0.309850,-0.111400,0.004365,2025-03-27T21:33:26.337-05:00
5.000000,256.646496,0.301577,7.258887,44.941130,284.056496,179.642807,2.237005,3.000000,-93.169606,7.111020,2025-03-27T21:33:27.999-05:00,-0.205993,-0.975960,-0.001919,2025-03-27T21:33:27.340-05:00,-0.131288,0.061949,-0.151557,2025-03-27T21:33:27.342-05:00
6.000000,256.753454,0.310060,7.258941,44.941065,284.163454,179.642807,2.199530,3.000000,-93.169604,7.267311,2025-03-27T21:33:28.999-05:00,-0.194584,-0.977378,-0.007373,2025-03-27T21:33:28.345-05:00,-0.026553,0.026119,-0.225605,2025-03-27T21:33:28.337-05:00
7.000000,256.936225,0.308685,7.258971,44.940997,284.346225,179.642807,2.165164,3.000000,-93.169601,7.543645,2025-03-27T21:33:29.999-05:00,-0.187492,-0.985204,-0.009860,2025-03-27T21:33:29.339-05:00,-0.016546,-0.021862,-0.274080,2025-03-27T21:33:29.342-05:00
8.000000,256.977183,0.308925,7.258971,44.940926,284.387183,179.642807,2.125521,3.000000,-93.169601,7.833995,2025-03-27T21:33:30.999-05:00,-0.207517,-0.972255,-0.021174,2025-03-27T21:33:30.344-05:00,-0.114541,0.075025,-0.372520,2025-03-27T21:33:30.337-05:00
9.000000,256.982353,0.304493,7.258888,44.940856,284.392352,179.642807,2.091373,3.000000,-93.169603,7.902645,2025-03-27T21:33:31.999-05:00,-0.211173,-0.968548,-0.012527,2025-03-27T21:33:31.339-05:00,-0.159945,0.106162,-0.281083,2025-03-27T21:33:31.342-05:00
10.000000,257.033764,0.299785,7.258363,44.940783,284.443763,180.187592,2.065121,3.000000,-93.169599,8.045092,2025-03-27T21:33:32.999-05:00,-0.230031,-0.980770,-0.009196,2025-03-27T21:33:32.344-05:00,-0.385281,0.020028,-0.262309,2025-03-27T21:33:32.336-05:00
11.000000,256.972111,0.305750,7.258934,44.940708,284.382111,180.187592,2.043710,3.000000,-93.169604,8.101432,2025-03-27T21:33:33.999-05:00,-0.241710,-0.968559,-0.004391,2025-03-27T21:33:33.339-05:00,-0.480418,0.126464,-0.250892,2025-03-27T21:33:33.341-05:00
12.000000,256.944597,0.302902,7.258735,44.940636,284.354597,180.187592,2.029409,3.000000,-93.169601,7.936555,2025-03-27T21:33:34.999-05:00,-0.257166,-0.960658,-0.019981,2025-03-27T21:33:34.344-05:00,-0.530519,0.173669,-0.343963,2025-03-27T21:33:34.336-05:00
13.000000,257.137995,0.298657,7.258246,44.940566,284.547995,180.187592,2.221912,3.000000,-93.169601,7.591846,2025-03-27T21:33:35.999-05:00,-0.268623,-0.965363,-0.016555,2025-03-27T21:33:35.338-05:00,-0.670045,0.139357,-0.316940,2025-03-27T21:33:35.341-05:00
14.000000,257.259527,0.302923,7.258871,44.940500,284.669527,180.187592,2.463982,3.000000,-93.169600,7.239590,2025-03-27T21:33:36.999-05:00,-0.266265,-0.965998,-0.025590,2025-03-27T21:33:36.343-05:00,-0.618295,0.130641,-0.371075,2025-03-27T21:33:36.336-05:00
15.000000,257.173708,0.305495,7.258953,44.940438,284.583708,180.485291,2.562416,3.000000,-93.169600,6.834399,2025-03-27T21:33:37.999-05:00,-0.264870,-0.960026,-0.025589,2025-03-27T21:33:37.338-05:00,-0.527457,0.163466,-0.310177,2025-03-27T21:33:37.341-05:00
16.000000,257.333325,0.306381,7.258968,44.940381,284.743325,180.485291,2.405024,3.000000,-93.169600,6.348619,2025-03-27T21:33:38.999-05:00,-0.313152,-0.950773,-0.046989,2025-03-27T21:33:38.343-05:00,-0.990205,0.266261,-0.446716,2025-03-27T21:33:38.336-05:00
17.000000,257.479978,0.314165,7.258920,44.940333,284.889978,180.485291,2.318737,3.000000,-93.169602,5.406900,2025-03-27T21:33:39.999-05:00,-0.296967,-0.949034,-0.088596,2025-03-27T21:33:39.338-05:00,-0.718745,0.252179,-0.886721,2025-03-27T21:33:39.340-05:00
18.000000,257.375835,0.302144,7.258765,44.940293,284.785835,180.485291,2.265614,3.000000,-93.169610,4.650744,2025-03-27T21:33:40.999-05:00,-0.354580,-0.941200,-0.004589,2025-03-27T21:33:40.343-05:00,-1.170819,0.299884,-0.129702,2025-03-27T21:33:40.345-05:00
19.000000,257.452507,0.307449,8.284324,44.940263,284.862507,180.485291,2.376301,3.000000,-93.169615,3.388558,2025-03-27T21:33:41.999-05:00,-0.379067,-0.940107,-0.026831,2025-03-27T21:33:41.338-05:00,-1.360659,0.300084,-0.289363,2025-03-27T21:33:41.340-05:00
20.000000,257.649776,0.314395,12.678943,44.940245,285.059776,180.485291,2.374353,3.000000,-93.169614,1.968351,2025-03-27T21:33:43.000-05:00,-0.332705,-0.945052,-0.027013,2025-03-27T21:33:42.342-05:00,-0.899715,0.250442,-0.295770,2025-03-27T21:33:42.345-05:00
21.000000,257.688252,0.310883,26.777911,44.940236,285.098252,180.485291,2.336978,3.000000,-93.169614,0.931844,2025-03-27T21:33:44.000-05:00,-0.244161,-0.970718,-0.006607,2025-03-27T21:33:43.337-05:00,0.004739,-0.011929,-0.057098,2025-03-27T21:33:43.340-05:00
22.000000,257.531130,0.310113,29.792314,44.940229,284.941129,180.485291,2.309095,3.000000,-93.169615,0.837465,2025-03-27T21:33:45.000-05:00,-0.140521,-0.991803,0.001848,2025-03-27T21:33:44.342-05:00,0.989924,-0.210512,0.122123,2025-03-27T21:33:44.345-05:00
23.000000,257.619308,0.319944,15.105995,44.940216,285.029308,180.485291,2.280995,3.000000,-93.169615,1.651264,2025-03-27T21:33:46.000-05:00,-0.054328,-1.004894,0.012382,2025-03-27T21:33:45.337-05:00,1.744837,-0.316573,0.263650,2025-03-27T21:33:45.339-05:00
24.000000,257.760401,0.322441,7.937160,44.940185,285.170401,180.485291,2.257579,3.000000,-93.169616,3.143446,2025-03-27T21:33:47.000-05:00,-0.105535,-1.028363,0.017532,2025-03-27T21:33:46.342-05:00,1.152553,-0.527483,0.301931,2025-03-27T21:33:46.344-05:00
25.000000,258.000931,0.337566,7.256417,44.940148,285.410931,180.485291,2.237765,3.000000,-93.169617,4.127036,2025-03-27T21:33:48.000-05:00,-0.119950,-0.967756,-0.011455,2025-03-27T21:33:47.337-05:00,0.939815,0.081564,0.138480,2025-03-27T21:33:47.339-05:00
26.000000,258.147948,0.314710,7.258876,44.940102,285.557948,180.485291,2.220782,3.000000,-93.169616,4.914005,2025-03-27T21:33:49.000-05:00,-0.152535,-0.985659,-0.022417,2025-03-27T21:33:48.341-05:00,0.836350,-0.144670,0.137414,2025-03-27T21:33:48.344-05:00
27.000000,258.107898,0.291224,7.258563,44.940050,285.517897,180.742203,2.206063,3.000000,-93.169613,5.749561,2025-03-27T21:33:50.000-05:00,-0.157533,-0.984865,-0.017743,2025-03-27T21:33:49.336-05:00,0.925808,-0.178524,0.199953,2025-03-27T21:33:49.339-05:00
28.000000,257.927748,0.265450,7.257020,44.939990,285.337748,180.742203,2.207208,3.000000,-93.169610,6.562623,2025-03-27T21:33:51.000-05:00,-0.183731,-1.009843,-0.032438,2025-03-27T21:33:50.341-05:00,0.498338,-0.374404,0.004516,2025-03-27T21:33:50.344-05:00
29.000000,258.106625,0.332474,7.257965,44.939925,285.516625,180.742203,2.201642,3.000000,-93.169605,7.205710,2025-03-27T21:33:52.000-05:00,-0.136492,-0.988732,-0.024277,2025-03-27T21:33:51.336-05:00,0.712361,-0.110740,0.018033,2025-03-27T21:33:51.338-05:00
30.000000,258.403034,0.301966,7.258939,44.939856,285.813033,180.000000,2.171796,3.000000,-93.169603,7.753126,2025-03-27T21:33:53.000-05:00,-0.157348,-0.983562,-0.040415,2025-03-27T21:33:52.341-05:00,0.462991,-0.049771,-0.106054,2025-03-27T21:33:52.343-05:00
31.000000,258.329760,0.295740,7.258848,44.939778,285.739760,180.000000,2.132850,3.000000,-93.169606,8.491517,2025-03-27T21:33:54.000-05:00,-0.168735,-0.987448,-0.034298,2025-03-27T21:33:53.336-05:00,0.290839,-0.082196,-0.007655,2025-03-27T21:33:53.338-05:00
32.000000,258.459805,0.286448,7.258598,44.939699,285.869805,180.000000,2.105834,3.000000,-93.169604,8.866394,2025-03-27T21:33:55.000-05:00,-0.203408,-0.972665,-0.044573,2025-03-27T21:33:54.340-05:00,-0.082743,0.082028,-0.088019,2025-03-27T21:33:54.343-05:00
33.000000,258.560252,0.285263,7.258156,44.939617,285.970252,180.000000,2.068463,3.000000,-93.169603,8.999281,2025-03-27T21:33:56.000-05:00,-0.213344,-0.979001,-0.045940,2025-03-27T21:33:55.345-05:00,-0.182158,0.009410,-0.094181,2025-03-27T21:33:55.338-05:00
34.000000,258.661524,0.292001,7.258235,44.939536,286.071524,180.000000,2.044169,3.000000,-93.169605,9.029349,2025-03-27T21:33:57.000-05:00,-0.216716,-0.970901,-0.050887,2025-03-27T21:33:56.340-05:00,-0.217484,0.071073,-0.099659,2025-03-27T21:33:56.343-05:00
35.000000,258.808418,0.293468,7.258199,44.939454,286.218418,179.512604,2.028354,3.000000,-93.169609,9.146911,2025-03-27T21:33:58.000-05:00,-0.221766,-0.987539,-0.055241,2025-03-27T21:33:57.345-05:00,-0.311397,-0.051355,-0.087372,2025-03-27T21:33:57.337-05:00
