ID,seconds_elapsed,location_latitude,location_longitude,location_local_time,accelerometer_z,street_name,accelerometer_y_new,accelerometer_x_new,geometry,L2_norm
1,1,44.940091,-93.1671,2025-02-19T21:33:03Z,0.25798,Grand Avenue West,0.050051,-1.690021,"c(NA, NA)",1.7103303082860926
2,2,44.940114,-93.167157,2025-02-19T21:33:04Z,0.321861,Grand Avenue West,-0.074909,-1.802677,"c(NA, NA)",1.832716625103565
3,3,44.940127,-93.167234,2025-02-19T21:33:05Z,-0.121513,Grand Avenue West,0.128686,-0.847041,"c(NA, NA)",0.8653345893040449
4,4,44.940135,-93.167324,2025-02-19T21:33:06Z,-0.64533,Grand Avenue West,-0.047063,-0.109319,"c(NA, NA)",0.6562136684266794
5,5,44.940134,-93.16741,2025-02-19T21:33:07Z,-0.757085,Grand Avenue West,0.020143,0.160492,"c(NA, NA)",0.774171247036468
6,6,44.940134,-93.167493,2025-02-19T21:33:08Z,-0.571702,Grand Avenue West,-0.08139,0.179243,"c(NA, NA)",0.6046449883634197
7,7,44.940133,-93.167573,2025-02-19T21:33:09Z,-0.932806,Grand Avenue West,0.011444,0.28163,"c(NA, NA)",0.9744605972906243
8,8,44.940131,-93.167642,2025-02-19T21:33:10Z,-1.977091,Grand Avenue West,-0.034424,0.652549,"c(NA, NA)",2.08228096842333
9,9,44.940128,-93.167685,2025-02-19T21:33:11Z,-1.770751,Grand Avenue West,-0.03948,0.633441,"c(NA, NA)",1.881054298759608
10,10,44.940125,-93.167709,2025-02-19T21:33:12Z,-0.974116,Grand Avenue West,-0.009999,0.386586,"c(NA, NA)",1.0480699866196912
11,11,44.940123,-93.167728,2025-02-19T21:33:13Z,0.235099,Grand Avenue West,-0.033335,0.061538,"c(NA, NA)",0.24529510282514816
12,12,44.940121,-93.167752,2025-02-19T21:33:14Z,0.790504,Grand Avenue West,-0.013344,-0.103392,"c(NA, NA)",0.7973484445435383
13,13,44.94012,-93.16779,2025-02-19T21:33:15Z,1.545087,Grand Avenue West,-0.060506,-0.343786,"c(NA, NA)",1.5840276599229575
14,14,44.94012,-93.167851,2025-02-19T21:33:16Z,1.227208,Grand Avenue West,-0.030514,-0.221533,"c(NA, NA)",1.247416309637244
15,15,44.94012,-93.167928,2025-02-19T21:33:17Z,1.005808,Grand Avenue West,-0.044321,-0.209272,"c(NA, NA)",1.0283038723495113
16,16,44.940119,-93.168018,2025-02-19T21:33:18Z,0.630649,Grand Avenue West,-0.016583,-0.090307,"c(NA, NA)",0.6372978199703808
17,17,44.940118,-93.168119,2025-02-19T21:33:19Z,0.304329,Grand Avenue West,0.018055,0.002818,"c(NA, NA)",0.30487712998845945
18,18,44.940117,-93.168226,2025-02-19T21:33:20Z,0.402422,Grand Avenue West,-0.088446,0.021082,"c(NA, NA)",0.41256588773673475
19,19,44.940117,-93.168338,2025-02-19T21:33:21Z,0.294392,Grand Avenue West,-0.028905,-0.014969,"c(NA, NA)",0.2961861233245069
20,20,44.940116,-93.16846,2025-02-19T21:33:22Z,-0.015474,Grand Avenue West,-0.056858,0.09813,"c(NA, NA)",0.11446297977949027
21,21,44.940116,-93.168584,2025-02-19T21:33:23Z,-0.284306,Grand Avenue West,-0.03993,0.218606,"c(NA, NA)",0.3608502317749013
22,22,44.940117,-93.168705,2025-02-19T21:33:24Z,-0.708145,Grand Avenue West,-0.002541,0.281739,"c(NA, NA)",0.762136904910791
23,23,44.940118,-93.168816,2025-02-19T21:33:25Z,-1.368084,Grand Avenue West,0.001546,0.449767,"c(NA, NA)",1.4401203336738913
24,24,44.940116,-93.168917,2025-02-19T21:33:27Z,-1.354896,Grand Avenue West,-0.029669,0.379146,"c(NA, NA)",1.4072580110601611
25,25,44.940117,-93.169008,2025-02-19T21:33:28Z,-1.322453,Grand Avenue West,0.039317,0.385595,"c(NA, NA)",1.3780824604220896
26,26,44.940117,-93.169082,2025-02-19T21:33:29Z,-1.110357,Grand Avenue West,-0.07793,0.349063,"c(NA, NA)",1.1665379249377195
27,27,44.940116,-93.169144,2025-02-19T21:33:30Z,-1.000844,Grand Avenue West,0.016687,0.315239,"c(NA, NA)",1.0494488055288833
28,28,44.940117,-93.169193,2025-02-19T21:33:31Z,-0.924335,Grand Avenue West,-0.036589000000000003,0.290107,"c(NA, NA)",0.9694823456850569
29,29,44.940116,-93.169232,2025-02-19T21:33:32Z,-0.754142,Grand Avenue West,0.00898,0.249926,"c(NA, NA)",0.7945274079854011
30,30,44.940115,-93.169256,2025-02-19T21:33:33Z,-0.436024,Grand Avenue West,0.01589,0.133545,"c(NA, NA)",0.4562934228114624
31,31,44.940116,-93.169272,2025-02-19T21:33:34Z,0.146752,Grand Avenue West,-0.014875,-0.018586,"c(NA, NA)",0.1486702879697218
32,32,44.940116,-93.169288,2025-02-19T21:33:35Z,0.307965,Grand Avenue West,-5e-6,-0.071269,"c(NA, NA)",0.3161039569682733
33,33,44.940116,-93.169305,2025-02-19T21:33:36Z,0.312876,Grand Avenue West,-0.00758,-0.070063,"c(NA, NA)",0.3207143148426649
34,34,44.940115,-93.169322,2025-02-19T21:33:37Z,0.210922,Grand Avenue West,-0.008091,-0.04312,"c(NA, NA)",0.21543650750279073
35,35,44.940114,-93.169337,2025-02-19T21:33:38Z,0.762618,Grand Avenue West,-0.016971,-0.195105,"c(NA, NA)",0.7873628069638545
36,36,44.940114,-93.169363,2025-02-19T21:33:39Z,0.844528,Grand Avenue West,0.001747,-0.219965,"c(NA, NA)",0.872705675481717
37,37,44.940113,-93.169394,2025-02-19T21:33:40Z,1.658862,Grand Avenue West,-0.026115,-0.493427,"c(NA, NA)",1.7308885962412486
38,38,44.940112,-93.169446,2025-02-19T21:33:41Z,1.658464,Grand Avenue West,0.029519,-0.465693,"c(NA, NA)",1.7228593038626223
39,39,44.940111,-93.169517,2025-02-19T21:33:42Z,1.341893,Grand Avenue West,-0.144261,-0.318821,"c(NA, NA)",1.3867713905366668
40,40,44.940111,-93.169606,2025-02-19T21:33:43Z,1.131383,Grand Avenue West,-0.039069,-0.256146,"c(NA, NA)",1.1606742233572693
41,41,44.94011,-93.169707,2025-02-19T21:33:44Z,0.74613,Grand Avenue West,-0.031354,-0.099797,"c(NA, NA)",0.7534271639813631
42,42,44.940109,-93.169821,2025-02-19T21:33:45Z,0.328108,Grand Avenue West,0.070843,-0.164658,"c(NA, NA)",0.373879455542826
43,43,44.940109,-93.169945,2025-02-19T21:33:46Z,0.406567,Grand Avenue West,-0.069895,-0.051136,"c(NA, NA)",0.4156884975675897
44,44,44.940109,-93.170074,2025-02-19T21:33:47Z,0.29007,Grand Avenue West,-0.0512,-0.08631,"c(NA, NA)",0.3069388554745065
45,45,44.940109,-93.170212,2025-02-19T21:33:48Z,-0.074779,Grand Avenue West,0.051151,0.152613,"c(NA, NA)",0.177479721126105
46,46,44.94011,-93.170355,2025-02-19T21:33:49Z,-0.47258,Grand Avenue West,-0.064298,0.118787,"c(NA, NA)",0.49150426302627326
47,47,44.94011,-93.170495,2025-02-19T21:33:50Z,-0.375503,Grand Avenue West,-0.021747,0.179245,"c(NA, NA)",0.4166583793025168
48,48,44.94011,-93.170635,2025-02-19T21:33:51Z,-0.282956,Grand Avenue West,0.0039,0.28674,"c(NA, NA)",0.40286366867217005
49,49,44.940113,-93.170776,2025-02-19T21:33:52Z,-0.403965,Grand Avenue West,-0.015519,-0.047803,"c(NA, NA)",0.4070794607874488
50,50,44.940112,-93.170917,2025-02-19T21:33:53Z,-0.353071,Grand Avenue West,0.020266,-0.071645,"c(NA, NA)",0.360836317215992
51,51,44.940112,-93.171056,2025-02-19T21:33:54Z,-0.319918,Grand Avenue West,-0.006392,0.011902,"c(NA, NA)",0.3202031261433904
52,52,44.940113,-93.171199,2025-02-19T21:33:55Z,-0.026282,Grand Avenue West,0.010376,-0.001215,"c(NA, NA)",0.028282169736425812
53,53,44.940111,-93.171345,2025-02-19T21:33:56Z,0.13264,Grand Avenue West,-0.135294,0.030951,"c(NA, NA)",0.19197864578384755
54,54,44.940112,-93.1715,2025-02-19T21:33:57Z,0.139998,Grand Avenue West,0.049275,-0.070113,"c(NA, NA)",0.1641441390912268
55,55,44.940111,-93.171659,2025-02-19T21:33:58Z,-0.008963,Grand Avenue West,0.090869,0.048393,"c(NA, NA)",0.10334114852758315
56,56,44.940112,-93.171824,2025-02-19T21:33:59Z,-0.184955,Grand Avenue West,-0.038125,0.131185,"c(NA, NA)",0.22993775652336873
57,57,44.940111,-93.17199,2025-02-19T21:34:00Z,-0.269784,Grand Avenue West,-0.031863,0.013197,"c(NA, NA)",0.2719794445063818
58,58,44.940109,-93.172155,2025-02-19T21:34:01Z,-0.245638,Grand Avenue West,0.009513,0.100152,"c(NA, NA)",0.26544104301520516
59,59,44.940108,-93.172321,2025-02-19T21:34:02Z,-0.331957,Grand Avenue West,-0.047642,0.077118,"c(NA, NA)",0.34411102269035204
60,60,44.940107,-93.172486,2025-02-19T21:34:03Z,-0.389261,Grand Avenue West,0.077916,0.203555,"c(NA, NA)",0.44612741139947903
61,61,44.940106,-93.172647,2025-02-19T21:34:04Z,-0.38324,Grand Avenue West,-0.139565,0.200304,"c(NA, NA)",0.45439297886411056
62,62,44.940105,-93.172804,2025-02-19T21:34:05Z,-0.259771,Grand Avenue West,-0.019345,0.043419,"c(NA, NA)",0.26408409839859726
63,63,44.940103,-93.172962,2025-02-19T21:34:06Z,-0.101496,Grand Avenue West,0.030341,0.010886,"c(NA, NA)",0.10649187430503795
64,64,44.940102,-93.173123,2025-02-19T21:34:07Z,-0.115278,Grand Avenue West,0.028157,-0.01092,"c(NA, NA)",0.11916828576848792
65,65,44.940105,-93.173287,2025-02-19T21:34:08Z,-0.098161,Grand Avenue West,-0.046916,0.076735,"c(NA, NA)",0.13313509380324934
66,66,44.940106,-93.17345,2025-02-19T21:34:09Z,-0.243659,Grand Avenue West,-0.165232,-0.041157,"c(NA, NA)",0.2972628815610856
67,67,44.940105,-93.173612,2025-02-19T21:34:10Z,-0.316,Grand Avenue West,0.037052,0.098775,"c(NA, NA)",0.3331446402525486
68,68,44.940105,-93.173771,2025-02-19T21:34:11Z,-0.340621,Grand Avenue West,0.04834,0.282858,"c(NA, NA)",0.4453853044331391
69,69,44.940106,-93.173928,2025-02-19T21:34:12Z,-0.24627,Grand Avenue West,-0.031429,0.066373,"c(NA, NA)",0.2569865172922502
70,70,44.940108,-93.174082,2025-02-19T21:34:13Z,-0.103105,Grand Avenue West,-0.128129,-0.022648,"c(NA, NA)",0.16601389571358174
71,71,44.940109,-93.174236,2025-02-19T21:34:14Z,0.053988,Grand Avenue West,-0.103658,-0.08982,"c(NA, NA)",0.14740189112762428
72,72,44.940115,-93.174393,2025-02-19T21:34:15Z,0.110498,Grand Avenue West,-0.038463,-0.072199,"c(NA, NA)",0.13748420263433905
73,73,44.940111,-93.174553,2025-02-19T21:34:16Z,0.230947,Grand Avenue West,-0.125624,-0.056781,"c(NA, NA)",0.2689646596599635
74,74,44.940109,-93.174718,2025-02-19T21:34:17Z,0.047456,Grand Avenue West,0.029035,0.021232,"c(NA, NA)",0.059547468334094605
75,75,44.940109,-93.174884,2025-02-19T21:34:18Z,-0.063981,Grand Avenue West,-0.109531,0.096549,"c(NA, NA)",0.1594124139551246
76,76,44.94011,-93.175049,2025-02-19T21:34:19Z,-0.089385,Grand Avenue West,0.098431,0.055025,"c(NA, NA)",0.1438961104790536
77,77,44.940112,-93.175215,2025-02-19T21:34:20Z,0.005842,Grand Avenue West,-0.088899,-0.136428,"c(NA, NA)",0.1629409719775846
78,78,44.940111,-93.175381,2025-02-19T21:34:21Z,-0.096715,Grand Avenue West,-0.004076,0.050159,"c(NA, NA)",0.1090244480930768
79,79,44.940111,-93.175548,2025-02-19T21:34:22Z,-0.088867,Grand Avenue West,-0.075585,0.081053,"c(NA, NA)",0.14205641387491097
80,80,44.940112,-93.175714,2025-02-19T21:34:23Z,-0.128731,Grand Avenue West,-0.056628,0.052125,"c(NA, NA)",0.14998472045511838
81,81,44.940112,-93.175881,2025-02-19T21:34:24Z,-0.104366,Grand Avenue West,-0.047254,0.121039,"c(NA, NA)",0.16666025918916602
82,82,44.940112,-93.176048,2025-02-19T21:34:25Z,-0.335396,Grand Avenue West,0.064397,0.156904,"c(NA, NA)",0.3758408115692068
83,83,44.940113,-93.176211,2025-02-19T21:34:26Z,-1.076192,Grand Avenue West,-0.030261,0.272047,"c(NA, NA)",1.1104568965943704
84,84,44.940115,-93.176356,2025-02-19T21:34:27Z,-0.557952,Grand Avenue West,-0.044176,0.208441,"c(NA, NA)",0.59725170888077
85,85,44.940116,-93.176495,2025-02-19T21:34:28Z,-0.514767,Grand Avenue West,-4.9e-5,0.17643,"c(NA, NA)",0.5441623026175186
86,86,44.940118,-93.176628,2025-02-19T21:34:29Z,-0.959588,Grand Avenue West,-0.070903,0.200688,"c(NA, NA)",0.982909984941144
87,87,44.94012,-93.176745,2025-02-19T21:34:30Z,-1.646244,Grand Avenue West,0.089055,0.475025,"c(NA, NA)",1.7157210878187632
88,88,44.940121,-93.176838,2025-02-19T21:34:31Z,-1.411725,Grand Avenue West,-0.088017,0.756493,"c(NA, NA)",1.6040561483199396
89,89,44.940122,-93.176902,2025-02-19T21:34:32Z,-0.740324,Grand Avenue West,-0.303353,1.702603,"c(NA, NA)",1.8812122802049747
90,90,44.940159,-93.177,2025-02-19T21:34:33Z,0.154425,Grand Avenue West,-0.154479,1.453421,"c(NA, NA)",1.4697426459441805
91,91,44.94018,-93.176995,2025-02-19T21:34:34Z,-0.048273,Grand Avenue West,-0.169223,1.678327,"c(NA, NA)",1.6875272516872133
92,92,44.940213,-93.177002,2025-02-19T21:34:35Z,-0.38262,Grand Avenue West,-0.142535,0.1572,"c(NA, NA)",0.43752272012433824
93,93,44.940246,-93.176992,2025-02-19T21:34:36Z,-0.411829,Grand Avenue West,0.080567,-0.32154,"c(NA, NA)",0.5286607024642553
