seconds_elapsed,location_latitude,location_longitude,location_local_time,accelerometer_z,accelerometer_y_new,accelerometer_x_new,L2_norm
1,44.940042,-93.167343,2025-02-28T01:23:32Z,0.124689,0.014961,0.490415,0.5062391238011934
2,44.940103,-93.167372,2025-02-28T01:23:33Z,-2.14e-4,-0.045221,-0.26442,0.2682590558340948
3,44.940111,-93.167432,2025-02-28T01:23:34Z,-0.061987,0.011048,-0.135401,0.14932473764919194
4,44.940119,-93.167489,2025-02-28T01:23:35Z,-0.329081,-0.180021,-0.206872,0.4283665362583777
5,44.940129,-93.167543,2025-02-28T01:23:36Z,-0.080372,-0.047751,-0.261354,0.27757112548137997
6,44.940115,-93.16761,2025-02-28T01:23:37Z,0.315958,0.056683,-0.521254,0.6121667687558677
7,44.940129,-93.167691,2025-02-28T01:23:38Z,0.398393,0.065534,-0.507513,0.6485222685259158
8,44.940115,-93.167783,2025-02-28T01:23:39Z,0.363487,0.093484,-0.454937,0.5897709143336928
9,44.940115,-93.167882,2025-02-28T01:23:40Z,0.333484,0.087584,-0.405102,0.5319681999104834
10,44.940115,-93.167993,2025-02-28T01:23:41Z,0.192182,-0.01142,-0.336783,0.3879267026295045
11,44.940115,-93.168111,2025-02-28T01:23:42Z,0.138701,0.073555,-0.39351,0.4236725451643049
12,44.940115,-93.168232,2025-02-28T01:23:43Z,-0.303731,-0.202061,-0.096612,0.3773791814952171
13,44.940116,-93.168358,2025-02-28T01:23:44Z,-0.41882,-0.17606,-0.144546,0.47676080178219354
14,44.940116,-93.168485,2025-02-28T01:23:45Z,-0.186613,-0.044183,-0.193975,0.27276885797869227
15,44.940116,-93.168611,2025-02-28T01:23:46Z,-0.166148,-0.045584,-0.159687,0.23491061476442482
16,44.940116,-93.168745,2025-02-28T01:23:47Z,-0.438574,-0.198188,-0.096464,0.4908471657410278
17,44.940117,-93.16889,2025-02-28T01:23:48Z,-0.443253,-0.135226,-0.07194,0.4689719146015036
18,44.940117,-93.169031,2025-02-28T01:23:49Z,-0.443751,-0.18474,-0.104426,0.49188271679029344
19,44.940118,-93.169163,2025-02-28T01:23:50Z,-2.506324,-0.775003,0.713083,2.7185983535406626
20,44.940119,-93.169297,2025-02-28T01:23:51Z,-0.928411,-0.256831,0.272186,1.0009966863471627
21,44.940119,-93.169358,2025-02-28T01:23:52Z,0.050762,-0.006005,-0.060596,0.07927619999091783
22,44.94012,-93.169454,2025-02-28T01:23:53Z,0.32404,-0.01567,-0.301397,0.44281782045102924
23,44.94012,-93.169558,2025-02-28T01:23:54Z,0.569804,0.358257,-0.295726,0.7351724583667427
24,44.94012,-93.169672,2025-02-28T01:23:55Z,0.593271,0.003793,-0.16056,0.6146253980189885
25,44.94012,-93.169806,2025-02-28T01:23:56Z,0.524355,0.190327,-0.158118,0.5798049972861565
26,44.94012,-93.169939,2025-02-28T01:23:57Z,0.252315,-0.011616,-0.178092,0.3090542851102376
27,44.94015,-93.170074,2025-02-28T01:23:58Z,0.294635,0.122179,-0.10578,0.33604597849996654
28,44.94015,-93.170222,2025-02-28T01:23:59Z,0.146125,0.013493,-0.119322,0.18913570883891812
29,44.940146,-93.170376,2025-02-28T01:24:00Z,0.118851,-0.008608,-0.063388,0.134972946952343
30,44.940147,-93.170527,2025-02-28T01:24:01Z,-0.221695,-0.106881,0.078582,0.25835508880221425
31,44.940123,-93.170679,2025-02-28T01:24:02Z,-0.274159,-0.029997,0.028617,0.27727587341671106
32,44.940123,-93.170833,2025-02-28T01:24:03Z,-0.038033,-0.159357,-0.037814,0.16814000456167472
33,44.940138,-93.170985,2025-02-28T01:24:04Z,0.023287,0.012707,-0.103891,0.10722449393212355
34,44.940136,-93.171137,2025-02-28T01:24:05Z,0.183658,0.009836,-0.129942,0.22519309763844894
35,44.940137,-93.171293,2025-02-28T01:24:06Z,0.151373,-0.053485,-0.075464,0.17739573176939744
36,44.940137,-93.171459,2025-02-28T01:24:07Z,0.113731,0.088273,-0.004943,0.14405310180277273
37,44.940135,-93.17163,2025-02-28T01:24:08Z,-0.133877,0.064324,-0.054111,0.15807791884384106
38,44.940133,-93.171802,2025-02-28T01:24:09Z,0.025659,-0.084668,0.146419,0.17107185059500582
39,44.940133,-93.17197,2025-02-28T01:24:10Z,-0.109109,-0.139672,0.03416,0.1804991608429247
