ID,seconds_elapsed,location_latitude,location_longitude,location_local_time,accelerometer_z,street_name,accelerometer_y_new,accelerometer_x_new,L2_norm,base_street,line_count,color
1,1,44.940123,-93.167091,2025-03-07T01:00:36Z,-0.40926,Grand Avenue West,-0.21794,0.128063,0.4810319357059363,Grand Avenue,2,#990000
2,2,44.940123,-93.167271,2025-03-07T01:00:37Z,-0.597016,Grand Avenue West,-0.175899,0.091862,0.6291320922516987,Grand Avenue,2,#990000
3,3,44.940125,-93.167384,2025-03-07T01:00:38Z,-0.841842,Grand Avenue West,-0.234667,0.259031,0.9115172037948598,Grand Avenue,2,#990000
4,4,44.940126,-93.167479,2025-03-07T01:00:39Z,-0.328811,Grand Avenue West,-0.186975,0.062288,0.3833485610902955,Grand Avenue,2,#990000
5,5,44.940126,-93.167587,2025-03-07T01:00:40Z,-0.282477,Grand Avenue West,-0.051993,0.122002,0.3120593142048479,Grand Avenue,2,#990000
6,6,44.940122,-93.167689,2025-03-07T01:00:42Z,-0.175484,Grand Avenue West,-0.158626,0.094251,0.2546371794004167,Grand Avenue,2,#990000
7,7,44.940125,-93.167789,2025-03-07T01:00:43Z,-0.118729,Grand Avenue West,-0.019327,0.085849,0.14778416414149387,Grand Avenue,2,#990000
8,8,44.940129,-93.167888,2025-03-07T01:00:44Z,-0.13975,Grand Avenue West,-0.011146,-0.009247,0.14049840862088084,Grand Avenue,2,#990000
9,9,44.940126,-93.167991,2025-03-07T01:00:45Z,-0.131607,Grand Avenue West,-0.049564,0.037833,0.1456307949370599,Grand Avenue,2,#990000
10,10,44.940129,-93.168094,2025-03-07T01:00:46Z,-0.065338,Grand Avenue West,-0.108202,0.055433,0.13802008744019836,Grand Avenue,2,#990000
11,11,44.940128,-93.168198,2025-03-07T01:00:47Z,-0.121171,Grand Avenue West,-0.047671,-0.039696,0.13612754276045683,Grand Avenue,2,#990000
12,12,44.940127,-93.168301,2025-03-07T01:00:48Z,-0.111953,Grand Avenue West,-0.087537,0.105627,0.17706852827930772,Grand Avenue,2,#990000
13,13,44.940124,-93.168405,2025-03-07T01:00:49Z,-0.142535,Grand Avenue West,-0.064498,0.041206,0.16178427817621835,Grand Avenue,2,#990000
14,14,44.940126,-93.168507,2025-03-07T01:00:50Z,-0.216361,Grand Avenue West,-0.075192,0.055419,0.23566328680131746,Grand Avenue,2,#990000
15,15,44.94013,-93.168611,2025-03-07T01:00:51Z,-0.054062,Grand Avenue West,-0.061786,0.080873,0.11524171019643886,Grand Avenue,2,#990000
16,16,44.940129,-93.16871,2025-03-07T01:00:52Z,-0.077755,Grand Avenue West,0.032392,-0.014782,0.08551952533193809,Grand Avenue,2,#990000
17,17,44.940129,-93.168804,2025-03-07T01:00:53Z,-0.136509,Grand Avenue West,-0.105695,0.023443,0.1742289136595875,Grand Avenue,2,#990000
18,18,44.940117,-93.168902,2025-03-07T01:00:54Z,-0.270346,Grand Avenue West,-0.08704,0.086822,0.29698649969316787,Grand Avenue,2,#990000
19,19,44.940133,-93.169009,2025-03-07T01:00:55Z,-0.48505,Grand Avenue West,-0.132895,0.164514,0.5291497327987609,Grand Avenue,2,#990000
20,20,44.940131,-93.169103,2025-03-07T01:00:56Z,-0.195692,Grand Avenue West,-0.071103,0.072916,0.22060765745775918,Grand Avenue,2,#990000
21,21,44.940134,-93.169185,2025-03-07T01:00:57Z,-0.125823,Grand Avenue West,-0.041836,-0.104958,0.16910901805935719,Grand Avenue,2,#990000
22,22,44.940129,-93.169267,2025-03-07T01:00:58Z,0.024216,Grand Avenue West,-0.007637,0.103254,0.10633027292826817,Grand Avenue,2,#990000
23,23,44.940124,-93.169357,2025-03-07T01:00:59Z,-0.466792,Grand Avenue West,-0.156639,0.161743,0.5182579913845998,Grand Avenue,2,#990000
24,24,44.940125,-93.169455,2025-03-07T01:01:00Z,-1.83158,Grand Avenue West,-0.421296,0.413382,1.9243337272780936,Grand Avenue,2,#990000
25,25,44.940126,-93.169533,2025-03-07T01:01:01Z,-0.677391,Grand Avenue West,-0.150355,0.131856,0.706293988111183,Grand Avenue,2,#990000
26,26,44.940118,-93.169549,2025-03-07T01:01:01Z,0.55550600000000006,Grand Avenue West,0.102025,-0.081964,0.5707136882509478,Grand Avenue,2,#990000
27,27,44.940118,-93.169576,2025-03-07T01:01:02Z,0.462761,Grand Avenue West,0.074036,-0.109577,0.4812859766770688,Grand Avenue,2,#990000
28,28,44.940113,-93.169627,2025-03-07T01:01:03Z,0.26753,Grand Avenue West,0.12819,-0.001863,0.29666217785386795,Grand Avenue,2,#990000
29,29,44.940105,-93.169701,2025-03-07T01:01:04Z,1.498923,Grand Avenue West,0.127408,-0.295313,1.5330403537943806,Grand Avenue,2,#990000
30,30,44.94011,-93.169762,2025-03-07T01:01:05Z,1.173001,Grand Avenue West,0.312397,-0.125758,1.220384491123187,Grand Avenue,2,#990000
31,31,44.94011,-93.169833,2025-03-07T01:01:06Z,0.85475,Grand Avenue West,0.201963,-0.095998,0.8835169675071328,Grand Avenue,2,#990000
32,32,44.940108,-93.16994,2025-03-07T01:01:07Z,0.606828,Grand Avenue West,0.160904,-0.075969,0.6323777413548014,Grand Avenue,2,#990000
33,33,44.940107,-93.17004,2025-03-07T01:01:08Z,-0.015226,Grand Avenue West,-0.048755,0.017119,0.05386966922118606,Grand Avenue,2,#990000
34,34,44.940107,-93.17014,2025-03-07T01:01:09Z,0.207344,Grand Avenue West,0.056831,-0.043202,0.21928910073462385,Grand Avenue,2,#990000
35,35,44.940094,-93.170229,2025-03-07T01:01:10Z,0.182241,Grand Avenue West,0.021014,-0.028022,0.1855764068005413,Grand Avenue,2,#990000
36,36,44.940109,-93.17035,2025-03-07T01:01:11Z,0.09995,Grand Avenue West,-0.009844,-0.008772,0.10081594526660949,Grand Avenue,2,#990000
37,37,44.940108,-93.170458,2025-03-07T01:01:12Z,-0.001423,Grand Avenue West,-0.01805,0.064677,0.0671635448587997,Grand Avenue,2,#990000
38,38,44.940107,-93.170566,2025-03-07T01:01:13Z,-0.238301,Grand Avenue West,-0.136264,0.093828,0.2901015992389563,Grand Avenue,2,#990000
39,39,44.940108,-93.170673,2025-03-07T01:01:14Z,0.00149,Grand Avenue West,0.024389,-0.046484,0.05251481388141826,Grand Avenue,2,#990000
40,40,44.940107,-93.170784,2025-03-07T01:01:15Z,0.233845,Grand Avenue West,-0.022847,0.03472,0.2375098899709231,Grand Avenue,2,#990000
41,41,44.940108,-93.170899,2025-03-07T01:01:16Z,0.072705,Grand Avenue West,0.014219,-0.115162,0.13693240387139927,Grand Avenue,2,#990000
42,42,44.940107,-93.171017,2025-03-07T01:01:17Z,0.37375,Grand Avenue West,0.147151,-0.004791,0.4017031652626103,Grand Avenue,2,#990000
43,43,44.940108,-93.171142,2025-03-07T01:01:18Z,0.472257,Grand Avenue West,-0.013508,-0.009286,0.4725413949158317,Grand Avenue,2,#990000
44,44,44.940106,-93.171278,2025-03-07T01:01:19Z,0.14116,Grand Avenue West,0.038429,-0.087385,0.17040854399354513,Grand Avenue,2,#990000
45,45,44.940107,-93.171413,2025-03-07T01:01:20Z,-0.062561,Grand Avenue West,-0.114065,0.118223,0.17578788546142765,Grand Avenue,2,#990000
46,46,44.940108,-93.171551,2025-03-07T01:01:21Z,-0.197222,Grand Avenue West,0.003004,0.017009,0.19797688597662103,Grand Avenue,2,#990000
47,47,44.940108,-93.17169,2025-03-07T01:01:22Z,-0.389345,Grand Avenue West,-0.099159,0.14469,0.42703305774377703,Grand Avenue,2,#990000
48,48,44.940107,-93.171822,2025-03-07T01:01:23Z,-0.432901,Grand Avenue West,-0.062551,0.055149,0.4408597459544248,Grand Avenue,2,#990000
49,49,44.940107,-93.171954,2025-03-07T01:01:24Z,-0.323542,Grand Avenue West,-0.175823,0.070694,0.374954390198328,Grand Avenue,2,#990000
50,50,44.940105,-93.17208,2025-03-07T01:01:25Z,-0.407899,Grand Avenue West,-0.108323,0.142924,0.4455813464520255,Grand Avenue,2,#990000
51,51,44.940107,-93.172208,2025-03-07T01:01:26Z,-0.271431,Grand Avenue West,-0.066467,0.16926,0.3267133260979723,Grand Avenue,2,#990000
52,52,44.940107,-93.17233,2025-03-07T01:01:27Z,-0.375731,Grand Avenue West,-0.113977,0.068702,0.398603193281238,Grand Avenue,2,#990000
53,53,44.940105,-93.17245,2025-03-07T01:01:28Z,-0.165232,Grand Avenue West,-0.007948,0.029183,0.16797747473098884,Grand Avenue,2,#990000
54,54,44.940107,-93.172571,2025-03-07T01:01:29Z,0.103996,Grand Avenue West,-0.112039,-0.04767,0.16012599550666343,Grand Avenue,2,#990000
55,55,44.940107,-93.172687,2025-03-07T01:01:30Z,0.128898,Grand Avenue West,0.010917,0.032333,0.13333903472726957,Grand Avenue,2,#990000
56,56,44.940108,-93.172818,2025-03-07T01:01:31Z,0.036411,Grand Avenue West,0.031612,0.060745,0.07755665342186961,Grand Avenue,2,#990000
57,57,44.940109,-93.172939,2025-03-07T01:01:32Z,0.174791,Grand Avenue West,-0.016569,0.018402,0.17653628252005307,Grand Avenue,2,#990000
58,58,44.940111,-93.17307,2025-03-07T01:01:33Z,0.050573,Grand Avenue West,-0.013878,-0.030412,0.06062274290231349,Grand Avenue,2,#990000
59,59,44.94011,-93.173198,2025-03-07T01:01:34Z,0.011525,Grand Avenue West,-0.005434,0.015001,0.019682072604276207,Grand Avenue,2,#990000
60,60,44.940112,-93.173329,2025-03-07T01:01:35Z,-0.008248,Grand Avenue West,-0.090997,0.075367,0.11844267897172876,Grand Avenue,2,#990000
61,61,44.940112,-93.173459,2025-03-07T01:01:36Z,-0.207373,Grand Avenue West,0.015179,0.041234,0.2119768995103004,Grand Avenue,2,#990000
62,62,44.940114,-93.173586,2025-03-07T01:01:37Z,-1.861612,Grand Avenue West,-0.564375,0.45105,1.9968887003709046,Grand Avenue,2,#990000
63,63,44.940115,-93.173678,2025-03-07T01:01:38Z,-2.589613,Grand Avenue West,-0.62366,0.59454,2.729198618087185,Grand Avenue,2,#990000
64,64,44.94012,-93.173732,2025-03-07T01:01:39Z,-1.981477,Grand Avenue West,-0.550604,0.450778,2.10537803532501,Grand Avenue,2,#990000
65,65,44.94012,-93.173758,2025-03-07T01:01:40Z,-1.284949,Grand Avenue West,-0.310125,0.257087,1.3466124809294615,Grand Avenue,2,#990000
66,66,44.940119,-93.173767,2025-03-07T01:01:41Z,-0.371025,Grand Avenue West,-0.095274,0.101239,0.3962146145992093,Grand Avenue,2,#990000
67,67,44.940119,-93.173768,2025-03-07T01:01:42Z,0.222534,Grand Avenue West,0.056251,-0.027242,0.23114428982996746,Grand Avenue,2,#990000
