ID,seconds_elapsed,location_local_time,accelerometer_z,accelerometer_y_new,accelerometer_x_new,time_period,geometry
1,0,2025-02-19T21:33:02Z,0.4335,0.044268,-1.477102,1,"c(-93.167066, 44.94006)"
2,1,2025-02-19T21:33:03Z,0.25798,0.050051,-1.690021,1,"c(-93.1671, 44.940091)"
3,2,2025-02-19T21:33:04Z,0.321861,-0.074909,-1.802677,1,"c(-93.167157, 44.940114)"
4,3,2025-02-19T21:33:05Z,-0.121513,0.128686,-0.847041,1,"c(-93.167234, 44.940127)"
5,4,2025-02-19T21:33:06Z,-0.64533,-0.047063,-0.109319,1,"c(-93.167324, 44.940135)"
6,5,2025-02-19T21:33:07Z,-0.757085,0.020143,0.160492,1,"c(-93.16741, 44.940134)"
7,6,2025-02-19T21:33:08Z,-0.571702,-0.08139,0.179243,1,"c(-93.167493, 44.940134)"
8,7,2025-02-19T21:33:09Z,-0.932806,0.011444,0.28163,1,"c(-93.167573, 44.940133)"
9,8,2025-02-19T21:33:10Z,-1.977091,-0.034424,0.652549,1,"c(-93.167642, 44.940131)"
10,9,2025-02-19T21:33:11Z,-1.770751,-0.03948,0.633441,1,"c(-93.167685, 44.940128)"
11,10,2025-02-19T21:33:12Z,-0.974116,-0.009999,0.386586,1,"c(-93.167709, 44.940125)"
12,11,2025-02-19T21:33:13Z,0.235099,-0.033335,0.061538,1,"c(-93.167728, 44.940123)"
13,12,2025-02-19T21:33:14Z,0.790504,-0.013344,-0.103392,1,"c(-93.167752, 44.940121)"
14,13,2025-02-19T21:33:15Z,1.545087,-0.060506,-0.343786,1,"c(-93.16779, 44.94012)"
15,14,2025-02-19T21:33:16Z,1.227208,-0.030514,-0.221533,1,"c(-93.167851, 44.94012)"
16,15,2025-02-19T21:33:17Z,1.005808,-0.044321,-0.209272,1,"c(-93.167928, 44.94012)"
17,16,2025-02-19T21:33:18Z,0.630649,-0.016583,-0.090307,1,"c(-93.168018, 44.940119)"
18,17,2025-02-19T21:33:19Z,0.304329,0.018055,0.002818,1,"c(-93.168119, 44.940118)"
19,18,2025-02-19T21:33:20Z,0.402422,-0.088446,0.021082,1,"c(-93.168226, 44.940117)"
20,19,2025-02-19T21:33:21Z,0.294392,-0.028905,-0.014969,1,"c(-93.168338, 44.940117)"
21,20,2025-02-19T21:33:22Z,-0.015474,-0.056858,0.09813,1,"c(-93.16846, 44.940116)"
22,21,2025-02-19T21:33:23Z,-0.284306,-0.03993,0.218606,1,"c(-93.168584, 44.940116)"
