seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,255.436627,0.328987,9.672463,44.934394,282.846627,327.718346,2.255533,3,-93.177206,3.698254,2025-04-04T03:28:27Z,-0.191796,-0.982342,1.8e-5,2025-04-04T03:28:26Z,0.513905,-0.131527,0.060956,2025-04-04T03:28:26Z
1,255.374178,0.324134,8.474458,44.934432,282.784178,350.983215,2.254461,3,-93.177208,4.159477,2025-04-04T03:28:28Z,-0.176612,-0.98628,0.031055,2025-04-04T03:28:27Z,0.554808,-0.136433,0.378233,2025-04-04T03:28:27Z
2,255.302706,0.341147,8.655854,44.934483,282.712705,359.073503,2.244709,3,-93.177209,5.254274,2025-04-04T03:28:29Z,-0.173825,-0.986451,0.036478,2025-04-04T03:28:28Z,0.507399,-0.122966,0.512239,2025-04-04T03:28:28Z
3,255.248839,0.33948,7.9532,44.934538,282.658839,1.212806,2.265383,3,-93.177206,6.217158,2025-04-04T03:28:30Z,-0.182096,-0.990773,0.034588,2025-04-04T03:28:29Z,0.357463,-0.147223,0.492615,2025-04-04T03:28:29Z
4,255.184843,0.349179,7.544213,44.9346,282.59484200000003,1.594299,2.30508,3,-93.177206,7.016499,2025-04-04T03:28:31Z,-0.183191,-0.979189,0.040303,2025-04-04T03:28:30Z,0.330876,-0.028855,0.461269,2025-04-04T03:28:30Z
5,255.131916,0.334769,7.258421,44.934672,282.541915,2.116801,2.267257,3,-93.177202,7.843053,2025-04-04T03:28:32Z,-0.195969,-0.984378,0.037364,2025-04-04T03:28:31Z,0.184034,-0.076332,0.38459,2025-04-04T03:28:31Z
6,255.133489,0.340062,7.258437,44.934749,282.543489,2.206812,2.212251,3,-93.177199,8.612538,2025-04-04T03:28:33Z,-0.21235,-0.972796,0.035892,2025-04-04T03:28:32Z,0.012765,0.041014,0.321935,2025-04-04T03:28:32Z
7,255.01885,0.316852,7.258929,44.934834,282.42885,0.247816,2.148912,3,-93.177199,9.296646,2025-04-04T03:28:34Z,-0.217525,-0.980653,0.033011,2025-04-04T03:28:33Z,-0.059129,-0.01206,0.245143,2025-04-04T03:28:33Z
8,254.855182,0.317309,7.258922,44.934923,282.265181,0.247816,2.100724,3,-93.177195,9.762988,2025-04-04T03:28:35Z,-0.245677,-0.963168,0.030764,2025-04-04T03:28:34Z,-0.289026,0.105737,0.198656,2025-04-04T03:28:34Z
9,254.7476,0.31169,7.258963,44.935015,282.1576,0.247816,2.06148,3,-93.177196,10.070613,2025-04-04T03:28:36Z,-0.249141,-0.972039,0.036924,2025-04-04T03:28:35Z,-0.348307,0.048522,0.146772,2025-04-04T03:28:35Z
