seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,252.151386,0.329604,10.31796,44.939004,279.561386,104.642911,2.474814,3,-93.177069,4.298423,2025-04-04T03:41:29Z,-0.278742,-0.958974,0.112104,2025-04-04T03:41:28Z,-0.463466,0.081738,0.021629,2025-04-04T03:41:28Z
1,252.539755,0.274436,11.985665,44.939001,279.949755,94.900452,2.422057,3,-93.177012,4.07534,2025-04-04T03:41:30Z,-0.249238,-0.969214,0.075141,2025-04-04T03:41:29Z,-0.258624,-0.021782,-0.408299,2025-04-04T03:41:29Z
2,252.556051,0.27425,9.258777,44.939003,279.966051,90.161171,2.379851,3,-93.176948,4.377655,2025-04-04T03:41:31Z,-0.205609,-0.968375,0.076929,2025-04-04T03:41:30Z,0.094943,0.003942,-0.414942,2025-04-04T03:41:30Z
3,252.580043,0.294093,7.249278,44.939005,279.990043,90.161171,2.345319,3,-93.176884,4.898015,2025-04-04T03:41:32Z,-0.155057,-0.985938,0.073692,2025-04-04T03:41:31Z,0.56375,-0.151706,-0.442151,2025-04-04T03:41:31Z
4,252.634765,0.184094,8.79304,44.939006,280.044765,90.161171,2.316543,3,-93.17681,5.726793,2025-04-04T03:41:33Z,-0.16121,-0.987662,0.070071,2025-04-04T03:41:32Z,0.497044,-0.172515,-0.414497,2025-04-04T03:41:32Z
5,252.710649,0.410907,9.481402,44.939005,280.120648,90.161171,2.292193,3,-93.176729,6.382923,2025-04-04T03:41:34Z,-0.176832,-0.986521,0.057015,2025-04-04T03:41:33Z,0.307303,-0.131953,-0.472612,2025-04-04T03:41:33Z
6,252.813372,0.356175,7.249091,44.939005,280.223372,90.161171,2.264045,3,-93.17664,6.937735,2025-04-04T03:41:35Z,-0.178897,-0.98067,0.063573,2025-04-04T03:41:34Z,0.257309,-0.07045,-0.368246,2025-04-04T03:41:34Z
7,252.948759,0.354539,7.254579,44.939006,280.358759,90.161171,2.223417,3,-93.176543,7.505432,2025-04-04T03:41:36Z,-0.186549,-0.982,0.058707,2025-04-04T03:41:35Z,0.170156,-0.079454,-0.41251,2025-04-04T03:41:35Z
8,252.965517,0.353333,7.255512,44.939006,280.375517,90.161171,2.174719,3,-93.176442,7.918069,2025-04-04T03:41:37Z,-0.218088,-0.975183,0.053466,2025-04-04T03:41:36Z,-0.148801,-0.011255,-0.446815,2025-04-04T03:41:36Z
9,252.939073,0.339342,7.256295,44.939008,280.349073,90.161171,2.130087,3,-93.17634,8.090751,2025-04-04T03:41:38Z,-0.222445,-0.968763,0.046411,2025-04-04T03:41:37Z,-0.1746,0.057893,-0.441864,2025-04-04T03:41:37Z
10,253.056658,0.328931,7.257004,44.939009,280.466658,90.161171,2.333507,3,-93.176236,8.174519,2025-04-04T03:41:39Z,-0.215282,-0.971999,0.040419,2025-04-04T03:41:38Z,-0.110009,0.037435,-0.358862,2025-04-04T03:41:38Z
11,253.048633,0.320485,7.258218,44.939007,280.458633,90.075394,2.394122,3,-93.176132,8.320986,2025-04-04T03:41:40Z,-0.212958,-0.975568,0.031151,2025-04-04T03:41:39Z,-0.068445,-0.003236,-0.35167,2025-04-04T03:41:39Z
12,252.975148,0.329232,7.256906,44.939007,280.385148,90.075394,2.270592,3,-93.176035,8.206852,2025-04-04T03:41:41Z,-0.206453,-0.980039,0.034132,2025-04-04T03:41:40Z,-0.022662,-0.016656,-0.29989,2025-04-04T03:41:40Z
13,253.156173,0.326911,7.25758,44.939008,280.566173,90.075394,2.323125,3,-93.175926,8.457653,2025-04-04T03:41:42Z,-0.195391,-0.974576,0.012104,2025-04-04T03:41:41Z,0.108286,0.023145,-0.453252,2025-04-04T03:41:41Z
14,253.390874,0.327713,7.258041,44.939005,280.800874,90.075394,2.214241,3,-93.175816,8.698008,2025-04-04T03:41:43Z,-0.205961,-0.981242,0.029052,2025-04-04T03:41:42Z,0.038123,-0.057417,-0.299844,2025-04-04T03:41:42Z
15,253.413188,0.324156,7.258743,44.939008,280.823188,90.075394,2.13446,3,-93.17569,9.24987,2025-04-04T03:41:44Z,-0.205047,-0.962215,0.03142,2025-04-04T03:41:43Z,0.02758,0.115293,-0.298071,2025-04-04T03:41:43Z
16,253.595974,0.322411,7.258811,44.939007,281.005974,90.075394,2.085143,3,-93.175569,9.522899,2025-04-04T03:41:45Z,-0.224091,-0.988285,0.028253,2025-04-04T03:41:44Z,-0.114305,-0.105752,-0.304233,2025-04-04T03:41:44Z
17,253.598383,0.315961,7.258887,44.939007,281.008382,90.075394,2.053447,3,-93.175449,9.470453,2025-04-04T03:41:46Z,-0.265029,-0.959374,0.02678,2025-04-04T03:41:45Z,-0.497509,0.16868,-0.311238,2025-04-04T03:41:45Z
18,253.662501,0.322901,7.258364,44.939004,281.072501,90.075394,2.033491,3,-93.175334,9.137142,2025-04-04T03:41:47Z,-0.27655,-0.967129,0.03643,2025-04-04T03:41:46Z,-0.626638,0.071838,-0.18487,2025-04-04T03:41:46Z
19,253.911483,0.334015,7.256863,44.939004,281.321483,90.075394,2.021465,3,-93.175223,8.811629,2025-04-04T03:41:48Z,-0.22277,-0.959384,0.036027000000000003,2025-04-04T03:41:47Z,-0.091479,0.160611,-0.158901,2025-04-04T03:41:47Z
20,253.880844,0.315304,7.25881,44.939005,281.290844,90,2.01385,3,-93.17511,8.870181,2025-04-04T03:41:49Z,-0.228358,-0.969719,0.041593,2025-04-04T03:41:48Z,-0.028123,0.017959,-0.210763,2025-04-04T03:41:48Z
21,254.039223,0.32078,7.258468,44.939006,281.449223,90,2.008975,3,-93.174997,8.916275,2025-04-04T03:41:50Z,-0.260515,-0.972896,0.035388,2025-04-04T03:41:49Z,-0.358789,-0.006171,-0.19041,2025-04-04T03:41:49Z
22,254.12028,0.31881,7.258602,44.939005,281.53028,90,2.005792,3,-93.174887,8.648257,2025-04-04T03:41:51Z,-0.264953,-0.954692,0.028068,2025-04-04T03:41:50Z,-0.400851,0.185938,-0.29027,2025-04-04T03:41:50Z
23,254.452385,0.3035,7.254399,44.939009,281.862385,90,2.003847,3,-93.174788,8.019313,2025-04-04T03:41:52Z,-0.284838,-0.951553,0.022246,2025-04-04T03:41:51Z,-0.546105,0.214722,-0.303143,2025-04-04T03:41:51Z
24,254.460981,0.31676,7.258523,44.939009,281.870981,90,2.083986,3,-93.174694,7.316091,2025-04-04T03:41:53Z,-0.344955,-0.950107,0.011563,2025-04-04T03:41:52Z,-1.038114,0.176155,-0.392744,2025-04-04T03:41:52Z
25,254.417621,0.414026,9.887686,44.939007,281.827621,90,2.05869,3,-93.174615,6.210846,2025-04-04T03:41:54Z,-0.343358,-0.942926,0.017242,2025-04-04T03:41:53Z,-0.995516,0.24652,-0.361646,2025-04-04T03:41:53Z
26,254.453053,0.458211,12.198729,44.939006,281.863052,90,2.200475,3,-93.174551,5.075869,2025-04-04T03:41:55Z,-0.36102,-0.938064,0.011404,2025-04-04T03:41:54Z,-1.099863,0.293898,-0.386309,2025-04-04T03:41:54Z
27,254.662486,0.457737,13.202988,44.939006,282.072486,90,2.16038,3,-93.174493,4.026164,2025-04-04T03:41:56Z,-0.375566,-0.934435,0.010027,2025-04-04T03:41:55Z,-1.188113,0.307548,-0.393491,2025-04-04T03:41:55Z
28,254.754886,0.406554,14.663341,44.939006,282.164886,90,2.13365,3,-93.174462,2.53479,2025-04-04T03:41:57Z,-0.370054,-0.935945,0.008997,2025-04-04T03:41:56Z,-1.020716,0.264165,-0.359359,2025-04-04T03:41:56Z
