seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,257.456818,-0.615,0.413153,44.941436,284.866818,42.228516,168.625779,5.25,-93.169073,0.915,2025-04-04T03:16:47Z,-0.308761,-0.95194,0.110994,2025-04-04T03:16:47Z,-0.502503,0.112198,0.528059,2025-04-04T03:16:47Z
1,256.34906,1.15,11.219918,44.94133,283.75906,171.914062,14,4,-93.169676,6.66,2025-04-04T03:16:48Z,-0.271514,-0.973214,0.045978,2025-04-04T03:16:48Z,-0.389884,-0.007393,-0.034668,2025-04-04T03:16:48Z
2,255.4823,1.01,14.353596,44.941336,282.8923,176.835938,3.823758,4,-93.169617,6.64,2025-04-04T03:16:49Z,-0.209989,-0.952961,-0.015656,2025-04-04T03:16:49Z,0.044418,0.220911,-0.436142,2025-04-04T03:16:49Z
3,254.54895,0.63,8.995915,44.941296,281.95895,177.1875,3.535534,3,-93.169613,4.57,2025-04-04T03:16:50Z,-0.23745,-0.981497,0.004176,2025-04-04T03:16:50Z,0.010656,-0.100204,-0.324375,2025-04-04T03:16:50Z
4,252.7724,0.62,7.794031,44.941249,280.1824,180.705307,3.535534,3,-93.169608,4.57,2025-04-04T03:16:51Z,-0.231905,-0.990735,0.013425,2025-04-04T03:16:51Z,-0.040881,-0.186062,-0.448413,2025-04-04T03:16:51Z
5,252.748596,0.75,9.051666,44.941204,280.158596,182.630737,3.535534,3,-93.169606,5.37,2025-04-04T03:16:52Z,-0.230631,-0.957009,0.022469,2025-04-04T03:16:52Z,-0.120498,0.161258,-0.449587,2025-04-04T03:16:52Z
6,252.608765,0.27,3.125172,44.941153,280.018764,182.630737,3.535534,3,-93.169605,5.62,2025-04-04T03:16:53Z,-0.194753,-0.975813,0.031864,2025-04-04T03:16:53Z,0.27849,-0.064255,-0.31037,2025-04-04T03:16:53Z
7,252.558838,0.2,2.223512,44.9411,279.968838,179.642822,3.535534,3,-93.169599,5.62,2025-04-04T03:16:54Z,-0.193604,-0.985148,0.028902,2025-04-04T03:16:54Z,0.243072,-0.081357,-0.382478,2025-04-04T03:16:54Z
8,252.459778,1.27,13.492662,44.941046,279.869778,179.642822,3.535534,3,-93.169599,6.01,2025-04-04T03:16:55Z,-0.207225,-0.979944,0.024802,2025-04-04T03:16:55Z,0.103478,-0.040218,-0.389828,2025-04-04T03:16:55Z
9,252.604126,0.47,4.417158,44.940983,280.014126,179.642822,3.535534,3,-93.169596,6.99,2025-04-04T03:16:56Z,-0.21705,-0.96831,0.032448,2025-04-04T03:16:56Z,0.049841,0.032168,-0.284194,2025-04-04T03:16:56Z
10,252.638855,0.04,0.430784,44.940921,280.048855,179.642822,3.535534,3,-93.169592,7.23,2025-04-04T03:16:57Z,-0.215218,-0.975575,0.02128,2025-04-04T03:16:57Z,0.090986,-0.043226,-0.302621,2025-04-04T03:16:57Z
11,252.688293,0.33,2.861635,44.940858,280.098293,179.642822,3.535534,3,-93.169592,7.23,2025-04-04T03:16:58Z,-0.22124,-0.988076,0.010607,2025-04-04T03:16:58Z,-0.041431,-0.113959,-0.351954,2025-04-04T03:16:58Z
12,252.645752,0.29,2.447897,44.940791,280.055752,180.187592,3.535534,3,-93.169591,7.46,2025-04-04T03:16:59Z,-0.259864,-0.943302,0.01078,2025-04-04T03:16:59Z,-0.444454,0.313158,-0.382601,2025-04-04T03:16:59Z
