seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,261.874427,0.307472,18.980553,44.941276,289.284427,173.45854,3.696808,3,-93.167067,6.78163,2025-04-04T03:31:44Z,-0.174675,-0.984276,-0.021591,2025-04-04T03:31:44Z,0.285145,-0.051504,-0.301393,2025-04-04T03:31:44Z
1,261.805748,0.411728,8.612374,44.941211,289.215748,177.72028,3.548006,3,-93.16707,7.213238,2025-04-04T03:31:45Z,-0.190767,-0.983627,0.023567,2025-04-04T03:31:45Z,0.102568,-0.033599,0.036956,2025-04-04T03:31:45Z
2,261.766633,0.353249,7.247471,44.94114,289.176633,181.253586,3.303527,3,-93.167076,7.761576,2025-04-04T03:31:46Z,-0.19552,-0.982669,0.042452,2025-04-04T03:31:46Z,0.029078,-0.037118,0.167782,2025-04-04T03:31:46Z
3,261.74609,0.357053,7.251955,44.941065,289.15609,181.253586,2.998209,3,-93.167081,8.272044,2025-04-04T03:31:47Z,-0.213464,-0.976967,0.034302,2025-04-04T03:31:47Z,-0.190258,0.037808,0.16686,2025-04-04T03:31:47Z
4,261.820627,0.335551,7.254175,44.940986,289.230627,180.861176,2.694853,3,-93.167084,8.554752,2025-04-04T03:31:48Z,-0.239511,-0.968903,0.017121,2025-04-04T03:31:48Z,-0.423026,0.112067,0.045344,2025-04-04T03:31:48Z
5,261.845017,0.327795,7.255588,44.940908,289.255017,180.861176,2.454549,3,-93.167088,8.471024,2025-04-04T03:31:49Z,-0.277664,-0.958945,0.015783,2025-04-04T03:31:49Z,-0.754574,0.201672,-0.041878,2025-04-04T03:31:49Z
6,261.942391,0.329758,7.255664,44.940834,289.352391,180.861176,2.298061,3,-93.16709,8.122512,2025-04-04T03:31:50Z,-0.282655,-0.961049,0.026665,2025-04-04T03:31:50Z,-0.748977,0.166463,0.008245,2025-04-04T03:31:50Z
7,262.117783,0.344464,7.256779,44.940762,289.527783,180.112579,2.198701,3,-93.167091,7.780475,2025-04-04T03:31:51Z,-0.283272,-0.952259,0.013872,2025-04-04T03:31:51Z,-0.729947,0.250859,-0.058846999999999997,2025-04-04T03:31:51Z
8,262.082677,0.282954,7.253264,44.940695,289.492677,180.112579,2.135752,3,-93.167094,7.38573,2025-04-04T03:31:52Z,-0.309798,-0.954441,0.017516,2025-04-04T03:31:52Z,-0.903191,0.19905,-0.06698,2025-04-04T03:31:52Z
9,262.080397,0.288723,7.680211,44.940636,289.490397,180.112579,2.095426,3,-93.167094,6.671232,2025-04-04T03:31:53Z,-0.316412,-0.948091,0.016451,2025-04-04T03:31:53Z,-0.954245,0.276227,-0.100277,2025-04-04T03:31:53Z
10,262.111411,0.340476,9.275879,44.940582,289.521411,180.112579,2.069108,3,-93.167093,6.004571,2025-04-04T03:31:54Z,-0.320292,-0.943752,0.00704,2025-04-04T03:31:54Z,-0.892607,0.285358,-0.091834,2025-04-04T03:31:54Z
