seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,262.199976,0.562777,24.913666,44.941205,289.609976,159.853672,2.282226,3,-93.16713,4.377074,2025-04-04T03:25:58Z,-0.226308,-0.965995,-0.013586,2025-04-04T03:25:58Z,0.023693,0.053463,-0.199716,2025-04-04T03:25:58Z
1,262.183415,0.367943,10.001922,44.941174,289.593415,177.42916,2.268114,3,-93.167134,3.970862,2025-04-04T03:25:59Z,-0.237446,-0.968582,0.038202,2025-04-04T03:25:59Z,-0.137218,0.05831,0.240799,2025-04-04T03:25:59Z
2,262.159493,0.325589,7.323256,44.941137,289.569493,181.253571,2.254709,3,-93.167131,4.134828,2025-04-04T03:26:00Z,-0.133181,-0.998749,0.053405,2025-04-04T03:26:00Z,0.848455,-0.22556,0.49313,2025-04-04T03:26:00Z
3,262.136914,0.372305,8.805982,44.94109,289.546913,181.253571,2.241973,3,-93.167133,5.300439,2025-04-04T03:26:01Z,-0.146639,-0.991812,0.046571,2025-04-04T03:26:01Z,0.634289,-0.140174,0.404837,2025-04-04T03:26:01Z
4,262.28323,0.361664,7.677541,44.941031,289.69323,181.253571,2.229874,3,-93.167121,6.319979,2025-04-04T03:26:02Z,-0.145397,-0.993663,0.043721,2025-04-04T03:26:02Z,0.616494,-0.155275,0.39446,2025-04-04T03:26:02Z
5,262.377933,0.378949,7.404708,44.940965,289.787933,180.861176,2.211426,3,-93.167123,7.423659,2025-04-04T03:26:03Z,-0.134019,-0.992286,0.04798,2025-04-04T03:26:03Z,0.631559,-0.116246,0.387492,2025-04-04T03:26:03Z
6,262.301598,0.35637,7.258162,44.940888,289.711598,180.861176,2.177848,3,-93.167126,8.532303,2025-04-04T03:26:04Z,-0.144041,-0.996998,0.049439,2025-04-04T03:26:04Z,0.40435,-0.143565,0.353822,2025-04-04T03:26:04Z
7,262.529203,0.375187,7.257654,44.940802,289.939203,180.112579,2.129709,3,-93.167127,9.44591,2025-04-04T03:26:05Z,-0.16087,-0.985767,0.039956,2025-04-04T03:26:05Z,0.393124,-0.05983,0.343126,2025-04-04T03:26:05Z
8,262.664699,0.347195,7.258598,44.940706,290.074699,180.112579,2.084034,3,-93.16713,10.498227,2025-04-04T03:26:06Z,-0.195393,-0.990549,0.036501,2025-04-04T03:26:06Z,-0.006796,-0.13473,0.33536,2025-04-04T03:26:06Z
9,262.740946,0.348432,7.258718,44.940604,290.150945,180.112579,2.196643,3,-93.167132,11.39831,2025-04-04T03:26:07Z,-0.20169,-0.95787,0.017307,2025-04-04T03:26:07Z,-0.166371,0.27923,0.111104,2025-04-04T03:26:07Z
10,262.821228,0.30698,7.258974,44.940502,290.231228,180.112579,2.107112,3,-93.167134,11.427148,2025-04-04T03:26:08Z,-0.225928,-0.98915,0.023814,2025-04-04T03:26:08Z,-0.341713,-0.109302,0.087454,2025-04-04T03:26:08Z
11,262.91751,0.33138,7.258712,44.940397,290.32751,180.112579,2.057359,3,-93.167134,11.509782,2025-04-04T03:26:09Z,-0.251374,-0.962538,0.026612,2025-04-04T03:26:09Z,-0.598954,0.218978,0.109746,2025-04-04T03:26:09Z
12,262.994353,0.316269,7.25891,44.94029,290.404353,179.59111,2.03042,3,-93.167134,11.746553,2025-04-04T03:26:10Z,-0.251952,-0.971118,0.001349,2025-04-04T03:26:10Z,-0.584963,0.08265,-0.064107,2025-04-04T03:26:10Z
13,263.057966,0.328361,7.258483,44.940186,290.467965,179.59111,2.016181,3,-93.167134,11.653126,2025-04-04T03:26:11Z,-0.243467,-0.960053,1.3e-5,2025-04-04T03:26:11Z,-0.562405,0.237253,-0.011422,2025-04-04T03:26:11Z
14,263.052901,0.311809,7.258939,44.94008,290.462901,179.59111,2.008576,3,-93.167135,11.621183,2025-04-04T03:26:12Z,-0.241895,-0.94568700000000006,-0.007586,2025-04-04T03:26:12Z,-0.349232,0.33955,-0.011101,2025-04-04T03:26:12Z
15,262.842019,0.295873,7.258537,44.939976,290.252019,180.917877,2.004589,3,-93.167138,11.576905,2025-04-04T03:26:13Z,-0.261494,-0.970392,0.010876,2025-04-04T03:26:13Z,-0.502405,0.054469,0.058126,2025-04-04T03:26:13Z
16,262.73149,0.304509,7.258943,44.939871,290.14149,180.917877,2.008185,3,-93.16714,11.782287,2025-04-04T03:26:14Z,-0.250062,-0.98248,0.022406,2025-04-04T03:26:14Z,-0.436437,-0.038687,-0.003564,2025-04-04T03:26:14Z
17,262.909488,0.322655,7.258434,44.93977,290.319488,180.917877,2.004411,3,-93.16714,11.533877,2025-04-04T03:26:15Z,-0.243374,-0.971395,0.0135,2025-04-04T03:26:15Z,-0.319263,0.055243,0.017012,2025-04-04T03:26:15Z
18,262.947574,0.318119,7.258713,44.939663,290.357574,180.917877,2.002339,3,-93.16714,11.76536,2025-04-04T03:26:16Z,-0.232209,-0.966754,0.001876,2025-04-04T03:26:16Z,-0.291454,0.099233,-0.002642,2025-04-04T03:26:16Z
19,263.197251,0.319984,7.2586,44.939559,290.607251,181.348042,2.001242,3,-93.16714,11.602896,2025-04-04T03:26:17Z,-0.232805,-0.977017,-0.015748,2025-04-04T03:26:17Z,-0.198111,0.022842,4.54e-4,2025-04-04T03:26:17Z
20,263.386596,0.319035,7.258668,44.939452,290.796596,181.405935,2.070092,3,-93.16714,11.772287,2025-04-04T03:26:18Z,-0.231663,-0.966304,-0.014418,2025-04-04T03:26:18Z,-0.196297,0.106959,-0.012888,2025-04-04T03:26:18Z
21,263.553747,0.317355,7.258763,44.939345,290.963747,181.434346,2.037055,3,-93.16714,11.866547,2025-04-04T03:26:19Z,-0.226992,-0.978444,-0.002601,2025-04-04T03:26:19Z,-0.154289,-0.010985,0.071342,2025-04-04T03:26:19Z
22,263.750874,0.317804,7.258763,44.939237,291.160874,181.088208,2.019497,3,-93.167139,11.892893,2025-04-04T03:26:20Z,-0.229366,-0.966818,-0.005849,2025-04-04T03:26:20Z,-0.121426,0.091547,0.044782,2025-04-04T03:26:20Z
23,263.941397,0.317426,7.258807,44.939127,291.351397,181.018738,2.010183,3,-93.167137,12.049846,2025-04-04T03:26:21Z,-0.220321,-0.969459,-0.020433,2025-04-04T03:26:21Z,-0.021579,0.062429,-0.062462,2025-04-04T03:26:21Z
24,264.108711,0.313142,7.258939,44.939016,291.51871,181.365059,2.005298,3,-93.167137,12.171359,2025-04-04T03:26:22Z,-0.226716,-0.969504,-0.016149,2025-04-04T03:26:22Z,-0.057862,0.055535,-0.040445,2025-04-04T03:26:22Z
25,264.141182,0.309925,7.258972,44.938904,291.551182,180.472351,2.002742,3,-93.167138,12.429693,2025-04-04T03:26:23Z,-0.228364,-0.96981,-0.012241,2025-04-04T03:26:23Z,-0.032739,0.017239,-0.009355,2025-04-04T03:26:23Z
26,264.304245,0.317277,7.258912,44.938791,291.714245,180.472351,2.001405,3,-93.16714,12.53143,2025-04-04T03:26:24Z,-0.228085,-0.979003,-0.010526,2025-04-04T03:26:24Z,-0.089717,-0.005984,0.035141,2025-04-04T03:26:24Z
27,264.347807,0.3119,7.258965,44.938676,291.757806,180.21904,2.000719,3,-93.167141,12.678797,2025-04-04T03:26:25Z,-0.2304,-0.971826,-0.005158,2025-04-04T03:26:25Z,-0.075004,0.028473,0.115115,2025-04-04T03:26:25Z
28,264.519742,0.312603,7.258962,44.93856,291.929742,180.21904,2.000363,3,-93.167142,12.822237,2025-04-04T03:26:26Z,-0.226371,-0.970234,-0.016976,2025-04-04T03:26:26Z,-0.031027,0.043055,0.011926,2025-04-04T03:26:26Z
29,264.658976,0.310924,7.25897,44.938443,292.068976,180.21904,2.000183,3,-93.167141,12.964289,2025-04-04T03:26:27Z,-0.227942,-0.970871,-0.017654,2025-04-04T03:26:27Z,-0.033908,0.041564,-0.002804,2025-04-04T03:26:27Z
30,264.762389,0.308012,7.258975,44.938325,292.172388,179.689194,2.000092,3,-93.167142,13.106758,2025-04-04T03:26:28Z,-0.224492,-0.975269,-0.016752,2025-04-04T03:26:28Z,0.012573,-0.019513,-0.028184,2025-04-04T03:26:28Z
31,264.977166,0.306457,7.258974,44.938205,292.387165,180,2.000045,3,-93.167142,13.253307,2025-04-04T03:26:29Z,-0.233422,-0.971944,-0.014157,2025-04-04T03:26:29Z,-0.051703,0.004396,-0.03959,2025-04-04T03:26:29Z
32,265.158647,0.307351,7.258974,44.938084,292.568647,180.672791,2.000022,3,-93.167143,13.428632,2025-04-04T03:26:30Z,-0.240517,-0.963483,-0.001709,2025-04-04T03:26:30Z,-0.107959,0.107729,0.058596,2025-04-04T03:26:30Z
