seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,260.790416,-0.6325,0.143768,44.934153,288.200416,2.501953,141.874661,4.25,-93.166975,0.855,2025-04-04T03:15:05Z,-0.208528,-0.976189,0.060989,2025-04-04T03:15:05Z,0.171521,-0.023201,0.392796,2025-04-04T03:15:05Z
1,262.365479,1.13,11.456677000000001,44.934498,289.775478,14.765625,5.018246,4,-93.167018,6.42,2025-04-04T03:15:06Z,-0.171823,-0.987964,0.021966,2025-04-04T03:15:06Z,0.458947,-0.124302,0.041755,2025-04-04T03:15:06Z
2,261.986511,0.37,3.071562,44.934558,289.396511,0.150172,3.803991,4,-93.167022,6.42,2025-04-04T03:15:07Z,-0.170248,-0.992379,0.028201,2025-04-04T03:15:07Z,0.370789,-0.135983,0.058217,2025-04-04T03:15:07Z
3,261.712158,0.06,0.492645,44.934614,289.122158,359.502319,3.535534,3,-93.16701,7.97,2025-04-04T03:15:08Z,-0.172398,-0.987853,0.021953,2025-04-04T03:15:08Z,0.30055,-0.082927,-0.061748,2025-04-04T03:15:08Z
4,260.787354,0.19,1.355483,44.934702,288.197353,359.502319,3.535534,3,-93.16702,8.7,2025-04-04T03:15:09Z,-0.199034,-0.97741,0.01913,2025-04-04T03:15:09Z,0.069589,-0.0024,-0.136626,2025-04-04T03:15:09Z
5,261.250732,0.27,1.768409,44.934794,288.660732,0,3.535534,3,-93.167018,9.87,2025-04-04T03:15:10Z,-0.189869,-0.983896,0.026628,2025-04-04T03:15:10Z,0.107595,-0.042635,-0.129479,2025-04-04T03:15:10Z
6,261.738464,0.47,3.006444,44.934889,289.148464,0,3.535534,3,-93.167011,10.28,2025-04-04T03:15:11Z,-0.192714,-0.983132,0.029841,2025-04-04T03:15:11Z,0.093544,-0.05342,-0.112182,2025-04-04T03:15:11Z
7,261.957031,0.94,5.441115,44.934984,289.367031,0,3.535534,3,-93.167009,10.28,2025-04-04T03:15:12Z,-0.201634,-0.978322,0.027483,2025-04-04T03:15:12Z,0.009892,-0.006249,-0.126931,2025-04-04T03:15:12Z
8,262.506104,0.32,1.825266,44.935084,289.916103,0,3.535534,3,-93.167003,10.8,2025-04-04T03:15:13Z,-0.200615,-0.979761,0.023718,2025-04-04T03:15:13Z,-0.031807,0.004819,-0.134361,2025-04-04T03:15:13Z
9,262.281616,0.15,0.814581,44.935191,289.691616,0,3.535534,3,-93.167005,11.86,2025-04-04T03:15:14Z,-0.200237,-0.97855,0.019629,2025-04-04T03:15:14Z,-0.007666,-3.81e-4,-0.123162,2025-04-04T03:15:14Z
10,262.474976,1.38,5.683698,44.935303,289.884975,0,3.535534,3,-93.167007,12.23,2025-04-04T03:15:15Z,-0.213732,-0.98041,0.040676,2025-04-04T03:15:15Z,-0.107985,-0.012196,-0.048404,2025-04-04T03:15:15Z
11,262.133118,1.82,5.475766,44.935422,289.543118,0,3.535534,3,-93.167001,12.23,2025-04-04T03:15:16Z,-0.209992,-0.972186,0.029238,2025-04-04T03:15:16Z,-0.113885,0.071898,-0.136215,2025-04-04T03:15:16Z
12,261.974609,1.65,5.165952,44.935541,289.384609,0,3.535534,3,-93.166969,12.92,2025-04-04T03:15:17Z,-0.212779,-0.977449,0.023763,2025-04-04T03:15:17Z,-0.138492,0.0134,-0.149919,2025-04-04T03:15:17Z
13,261.974623,1.65,10.348063,44.935656,289.384622,0,4.748652,4.029364,-93.166947,12.92,2025-04-04T03:15:18Z,-0.223026,-0.97021,0.020471,2025-04-04T03:15:18Z,-0.231746,0.088938,-0.171005,2025-04-04T03:15:18Z
14,260.998183,1.77,10.759219,44.935789,288.408183,0.230502,4.748652,4.029364,-93.166961,13.33,2025-04-04T03:15:19Z,-0.234961,-0.972468,0.017223,2025-04-04T03:15:19Z,-0.308528,0.057952,-0.169188,2025-04-04T03:15:19Z
15,260.716079,1.77,10.568931,44.935915,288.126079,0.230502,4.748652,4.029364,-93.166985,13.57,2025-04-04T03:15:20Z,-0.232531,-0.966754,0.001817,2025-04-04T03:15:20Z,-0.301311,0.120628,-0.188415,2025-04-04T03:15:20Z
16,260.782973,1.56,9.31499,44.936041,288.192973,0.230502,4.748652,4.029364,-93.167022,13.57,2025-04-04T03:15:21Z,-0.233976,-0.972013,0.007543,2025-04-04T03:15:21Z,-0.308902,0.067515,-0.098654,2025-04-04T03:15:21Z
17,260.943496,2.33,13.912773,44.936161,288.353496,0.230502,4.748652,4.029364,-93.167017,13.57,2025-04-04T03:15:22Z,-0.232259,-0.970048,-0.011088,2025-04-04T03:15:22Z,-0.271507,0.089694,-0.186953,2025-04-04T03:15:22Z
18,261.233903,1.07,7.258975,44.936301,288.643903,359.878601,4.748652,4.029364,-93.167004,14.3,2025-04-04T03:15:23Z,-0.247413,-0.969328,-0.004059,2025-04-04T03:15:23Z,-0.398578,0.088951,-0.186301,2025-04-04T03:15:23Z
19,261.773926,0.3,1.386399,44.936422,289.183926,359.878601,3.535534,3,-93.167004,14.13,2025-04-04T03:15:24Z,-0.246207,-0.965101,-0.001586,2025-04-04T03:15:24Z,-0.349832,0.11769,-0.198752,2025-04-04T03:15:24Z
20,261.773942,0.308016,7.258975,44.936549,289.183941,359.878601,4.748652,4.029364,-93.167004,14.13,2025-04-04T03:15:25Z,-0.244451,-0.969846,0.002525,2025-04-04T03:15:25Z,-0.29914,0.065729,-0.17498,2025-04-04T03:15:25Z
21,261.720108,0.308016,7.258975,44.936674,289.130108,0.133633,4.748652,4.029364,-93.167001,14.03,2025-04-04T03:15:26Z,-0.239584,-0.968768,0.014839,2025-04-04T03:15:26Z,-0.23756,0.075032,-0.1274,2025-04-04T03:15:26Z
22,262.096878,0.308017,7.258975,44.9368,289.506878,0.133633,4.748652,4.029364,-93.167,14.07,2025-04-04T03:15:27Z,-0.236042,-0.97325,0.009575,2025-04-04T03:15:27Z,-0.199721,0.031631,-0.11107,2025-04-04T03:15:27Z
23,262.454117,1.3,7.486639,44.936926,289.864117,0.133633,4.748652,4.029364,-93.166999,14.07,2025-04-04T03:15:28Z,-0.242919,-0.966322,-0.002161,2025-04-04T03:15:28Z,-0.277593,0.096152,-0.124422,2025-04-04T03:15:28Z
24,262.560196,0.51,7.258975,44.937055,289.970196,0.679115,4.748652,4.029364,-93.167002,14.07,2025-04-04T03:15:29Z,-0.231893,-0.971407,-0.003671,2025-04-04T03:15:29Z,-0.18335,0.078801,-0.138089,2025-04-04T03:15:29Z
25,262.779801,0.308016,7.258975,44.937185,290.189801,359.884857,4.748652,4.029364,-93.167002,14.27,2025-04-04T03:15:30Z,-0.242838,-0.967364,0.023669,2025-04-04T03:15:30Z,-0.13167,0.028244,-0.056439,2025-04-04T03:15:30Z
26,262.952286,0.308016,7.258975,44.937313,290.362286,359.884857,4.748652,4.029364,-93.166996,14.23,2025-04-04T03:15:31Z,-0.241063,-0.972557,0.025485,2025-04-04T03:15:31Z,-0.190537,0.033749,-0.057075,2025-04-04T03:15:31Z
27,263.244645,0.56,7.258975,44.937444,290.654645,359.884857,4.748652,4.029364,-93.166994,14.4,2025-04-04T03:15:32Z,-0.246671,-0.964878,0.027433,2025-04-04T03:15:32Z,-0.177377,0.068211,-0.017706,2025-04-04T03:15:32Z
28,263.239884,0.308016,7.258975,44.937573,290.649884,359.884857,4.748652,4.029364,-93.166994,14.4,2025-04-04T03:15:33Z,-0.242896,-0.969936,0.016752,2025-04-04T03:15:33Z,-0.17276,0.046505,-0.100423,2025-04-04T03:15:33Z
