seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,262.184243,0.678967,12.46653,44.934361,289.594243,329.092943,2.396561,3,-93.166975,4.412529,2025-04-04T03:36:40Z,-0.218087,-0.97845,-0.0863,2025-04-04T03:36:39Z,0.245283,-0.084741,-0.984683,2025-04-04T03:36:39Z
1,262.11215,0.670917,11.529963,44.93441,289.52215,351.608015,2.412602,3,-93.166974,4.713614,2025-04-04T03:36:41Z,-0.210328,-0.979068,0.043972,2025-04-04T03:36:40Z,0.08054,-0.043494,0.053425,2025-04-04T03:36:40Z
2,261.979242,0.660086,10.657566,44.934459,289.389241,0.150174,2.367792,3,-93.166972,5.013702,2025-04-04T03:36:42Z,-0.133391,-0.99672,0.083379,2025-04-04T03:36:41Z,0.788493,-0.199603,0.529436,2025-04-04T03:36:41Z
3,262.19899,0.693538,9.84044,44.934514,289.60899,0.150174,2.409162,3,-93.166971,5.70769,2025-04-04T03:36:43Z,-0.145688,-0.990847,0.077209,2025-04-04T03:36:42Z,0.613844,-0.128352,0.524036,2025-04-04T03:36:42Z
4,262.209608,0.654475,7.499136,44.934587,289.619607,0.150174,2.452617,3,-93.166966,7.071061,2025-04-04T03:36:44Z,-0.155485,-0.990907,0.079774,2025-04-04T03:36:43Z,0.424836,-0.108833,0.599091,2025-04-04T03:36:43Z
5,262.135539,0.656452,7.25894,44.934663,289.545538,359.502319,2.59186,3,-93.166963,7.947002,2025-04-04T03:36:45Z,-0.163004,-0.986558,0.063405,2025-04-04T03:36:44Z,0.298004,-0.055807,0.510189,2025-04-04T03:36:44Z
6,261.987713,0.657271,7.258247,44.934748,289.397713,359.502319,2.422557,3,-93.166963,8.865786,2025-04-04T03:36:46Z,-0.171425,-0.986797,0.058329,2025-04-04T03:36:45Z,0.145499,-0.041165,0.533544,2025-04-04T03:36:45Z
7,262.086532,0.661375,7.258954,44.93484,289.496532,0,2.444568,3,-93.166961,9.609884,2025-04-04T03:36:47Z,-0.178929,-0.982279,0.054997,2025-04-04T03:36:46Z,0.051336,0.00634,0.493537,2025-04-04T03:36:46Z
8,262.114386,0.654934,7.258795,44.934935,289.524386,0,2.470834,3,-93.166962,10.260159,2025-04-04T03:36:48Z,-0.176188,-0.983039,0.044495,2025-04-04T03:36:47Z,0.05322,0.002193,0.362083,2025-04-04T03:36:47Z
9,262.501382,0.663479,7.258768,44.935027,289.911381,0,2.82321,3,-93.166964,10.383937,2025-04-04T03:36:49Z,-0.183422,-0.985247,0.0521,2025-04-04T03:36:48Z,-0.051901,-0.0128,0.387289,2025-04-04T03:36:48Z
10,262.72985,0.653881,7.258152,44.935139,290.13985,0,2.889483,3,-93.166962,11.537068,2025-04-04T03:36:50Z,-0.190484,-0.967816,0.030562,2025-04-04T03:36:49Z,-0.116181,0.157098,0.220097,2025-04-04T03:36:49Z
11,262.562436,0.66013,7.258752,44.935246,289.972436,0,2.737609,3,-93.166962,11.841018,2025-04-04T03:36:51Z,-0.221708,-0.990319,0.049498,2025-04-04T03:36:50Z,-0.298209,-0.09139,0.183153,2025-04-04T03:36:50Z
12,262.762067,0.807366,7.258967,44.935351,290.172067,0,2.465419,3,-93.166963,11.804333,2025-04-04T03:36:52Z,-0.215682,-0.972018,0.048669,2025-04-04T03:36:51Z,-0.365616,0.111133,0.12765,2025-04-04T03:36:51Z
13,263.495304,0.760557,7.255506,44.935468,290.905304,0,2.458442,3,-93.16696,12.337148,2025-04-04T03:36:53Z,-0.213301,-0.975378,0.047231,2025-04-04T03:36:52Z,-0.320361,0.07498,0.169687,2025-04-04T03:36:52Z
14,263.080072,0.661059,7.258833,44.935586,290.490072,0,2.231446,3,-93.166961,12.695705,2025-04-04T03:36:54Z,-0.241003,-0.968978,0.03428,2025-04-04T03:36:53Z,-0.559303,0.133119,0.087123,2025-04-04T03:36:53Z
15,263.071122,0.663274,7.258824,44.935705,290.481122,0.230505,2.256012,3,-93.16696,12.874225,2025-04-04T03:36:55Z,-0.262871,-0.961695,0.030688,2025-04-04T03:36:54Z,-0.724685,0.195457,0.035057,2025-04-04T03:36:54Z
16,263.18234,0.656912,7.258779,44.93582,290.59234,0.230505,2.294109,3,-93.166962,12.706018,2025-04-04T03:36:56Z,-0.252044,-0.964991,0.025338,2025-04-04T03:36:55Z,-0.566849,0.152258,-0.063474,2025-04-04T03:36:55Z
17,263.270895,0.664079,7.258171,44.935931,290.680895,0.230505,2.303762,3,-93.166961,12.388426,2025-04-04T03:36:57Z,-0.247382,-0.965789,0.045629,2025-04-04T03:36:56Z,-0.415401,0.128347,0.035814,2025-04-04T03:36:56Z
18,263.249192,0.654666,7.258868,44.936044,290.659192,0.230505,2.53909,3,-93.166962,12.344212,2025-04-04T03:36:58Z,-0.225895,-0.973185,0.050377,2025-04-04T03:36:57Z,-0.191252,0.032054,0.093583,2025-04-04T03:36:57Z
19,262.930853,0.788707,7.258815,44.936165,290.340853,0.230505,2.478187,3,-93.166948,13.029554,2025-04-04T03:36:59Z,-0.217263,-0.957367,0.03395,2025-04-04T03:36:58Z,-0.059337,0.191685,-0.021062,2025-04-04T03:36:58Z
20,261.919272,0.90113,7.251261,44.936295,289.329272,359.878601,2.23358,3,-93.16696,13.920987,2025-04-04T03:37:00Z,-0.23241,-0.985831,0.048508,2025-04-04T03:36:59Z,-0.185522,-0.100465,0.065154,2025-04-04T03:36:59Z
21,262.714949,0.664845,7.258972,44.936387,290.124949,359.878601,2.252789,3,-93.166961,12.544114,2025-04-04T03:37:01Z,-0.22874,-0.974427,0.039183,2025-04-04T03:37:00Z,-0.167754,0.025793,0.029391,2025-04-04T03:37:00Z
22,262.857322,0.664176,7.258897,44.936504,290.267322,359.878601,2.197156,3,-93.166961,12.756494,2025-04-04T03:37:02Z,-0.244506,-0.960933,0.028633,2025-04-04T03:37:01Z,-0.276243,0.142442,-0.071525,2025-04-04T03:37:01Z
23,263.008416,0.660844,7.258859,44.936621,290.418415,0.133635,2.09908,3,-93.166958,12.815795,2025-04-04T03:37:03Z,-0.251843,-0.969515,0.027296,2025-04-04T03:37:02Z,-0.325012,0.055884,-0.073816,2025-04-04T03:37:02Z
24,263.334257,0.661021,7.258166,44.936735,290.744257,0.133635,2.161942,3,-93.166957,12.752793,2025-04-04T03:37:04Z,-0.238967,-0.972887,0.035892,2025-04-04T03:37:03Z,-0.2016,0.022508,-0.012813,2025-04-04T03:37:03Z
25,263.68184,0.672569,7.25808,44.936847,291.09184,0.133635,2.611977,3,-93.166955,12.58782,2025-04-04T03:37:05Z,-0.22592,-0.976393,0.041811,2025-04-04T03:37:04Z,-0.083551,-0.008995,0.053149,2025-04-04T03:37:04Z
26,263.735137,0.668968,7.258616,44.936962,291.145137,0.679126,2.310367,3,-93.166954,12.694246,2025-04-04T03:37:06Z,-0.224949,-0.970794,0.041965,2025-04-04T03:37:05Z,-0.027112,0.035992,0.042989,2025-04-04T03:37:05Z
27,263.641847,0.677841,7.258822,44.937081,291.051847,359.884857,2.991198,3,-93.166951,13.037093,2025-04-04T03:37:07Z,-0.220611,-0.963957,0.042312,2025-04-04T03:37:06Z,0.046694,0.094455,0.066722,2025-04-04T03:37:06Z
28,264.216111,0.779352,7.257928,44.937198,291.62611,359.884857,2.497472,3,-93.166958,13.106952,2025-04-04T03:37:08Z,-0.221864,-0.979953,0.033954,2025-04-04T03:37:07Z,-0.006305,-0.056465,0.013013,2025-04-04T03:37:07Z
29,265.144968,0.728776,7.253112,44.937314,292.554968,359.884857,2.841327,3,-93.166953,13.063664,2025-04-04T03:37:09Z,-0.219803,-0.971395,0.033102,2025-04-04T03:37:08Z,0.023148,0.028759,-0.002174,2025-04-04T03:37:08Z
30,264.776455,0.682296,7.258338,44.937433,292.186455,359.884857,2.419123,3,-93.166952,13.200783,2025-04-04T03:37:10Z,-0.229951,-0.978158,0.043596,2025-04-04T03:37:09Z,-0.077992,-0.03836,0.020303,2025-04-04T03:37:09Z
31,264.953509,0.711964,7.257931,44.937554,292.363509,0.56581,2.289621,3,-93.166956,13.327371,2025-04-04T03:37:11Z,-0.239453,-0.96679,0.044616,2025-04-04T03:37:10Z,-0.145564,0.064432,0.024815,2025-04-04T03:37:10Z
32,265.185927,0.678671,7.257935,44.937674,292.595927,0.56581,2.301183,3,-93.166951,13.256896,2025-04-04T03:37:12Z,-0.239765,-0.968079,0.050658,2025-04-04T03:37:11Z,-0.145032,0.051751,0.032378,2025-04-04T03:37:11Z
