seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,260.916267,2.266248,42.609407,44.941695,288.326267,230.154006,2.491015,3,-93.167197,4.306004,2025-04-04T03:38:54Z,-0.216211,-0.955528,-0.119077,2025-04-04T03:38:53Z,0.359105,0.112348,-1.22083,2025-04-04T03:38:53Z
1,260.774988,2.273901,37.983439,44.941696,288.184988,258.540166,2.471476,3,-93.167268000000007,4.776752,2025-04-04T03:38:55Z,-0.225275,-0.972423,0.049962,2025-04-04T03:38:54Z,0.401794,-0.081663,0.500095,2025-04-04T03:38:54Z
2,260.385738,2.280859,30.641665,44.941702,287.795738,267.546058,2.412542,3,-93.167344,5.55942,2025-04-04T03:38:56Z,-0.185535,-0.983175,0.034858,2025-04-04T03:38:55Z,0.738697,-0.17248,0.381824,2025-04-04T03:38:55Z
3,259.813459,2.24042,23.781599,44.941704,287.223459,268.899059,2.366704,3,-93.167436,6.719719,2025-04-04T03:38:57Z,-0.218677,-0.977898,0.018628,2025-04-04T03:38:56Z,0.343328,-0.105411,0.320076,2025-04-04T03:38:56Z
4,259.43213,2.125399,21.200607,44.941705,286.84213,269.777897,2.310853,3,-93.167533,7.43707,2025-04-04T03:38:58Z,-0.23771,-0.977849,0.041274,2025-04-04T03:38:57Z,-4.53e-4,-0.06526,0.4107,2025-04-04T03:38:57Z
5,259.164549,2.080894,19.545054,44.941703,286.574548,269.786708,2.333679,3,-93.167636,7.980389,2025-04-04T03:38:59Z,-0.233391,-0.966868,0.06888,2025-04-04T03:38:58Z,0.014188,0.047944,0.566958,2025-04-04T03:38:58Z
6,258.790846,2.036287,17.969199,44.941706,286.200846,270.283199,2.24443,3,-93.167746,8.508356,2025-04-04T03:39:00Z,-0.246187,-0.957738,0.06376,2025-04-04T03:38:59Z,-0.118357,0.141756,0.535442,2025-04-04T03:38:59Z
7,258.4166,1.983317,16.828483,44.941705,285.8266,269.76057,2.167787,3,-93.167862,8.990076,2025-04-04T03:39:01Z,-0.27088,-0.959255,0.030782,2025-04-04T03:39:00Z,-0.389174,0.130779,0.307031,2025-04-04T03:39:00Z
8,258.155719,1.964078,16.38208,44.941703,285.565719,268.694437,2.10701,3,-93.167981,9.185431,2025-04-04T03:39:02Z,-0.277835,-0.968037,0.008662,2025-04-04T03:39:01Z,-0.496091,0.056635,0.165439,2025-04-04T03:39:01Z
9,257.81953,1.954024,16.306172,44.941701,285.22953,268.604175,2.067981,3,-93.168097,9.167987,2025-04-04T03:39:03Z,-0.284212,-0.972428,-0.006702,2025-04-04T03:39:02Z,-0.551809,0.0139,0.098052,2025-04-04T03:39:02Z
