seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,253.428253,0.294967,7.258157,44.941321,280.838253,94.677946,2.769324,3,-93.174226,7.735137,2025-04-04T03:24:22Z,-0.267752,-0.961252,-0.040142,2025-04-04T03:24:22Z,-0.215386,0.088697,0.152138,2025-04-04T03:24:22Z
1,253.402705,0.368999,7.24523,44.94132,280.812704,92.194882,2.70622,3,-93.174127,7.485836,2025-04-04T03:24:23Z,-0.26551399999999997,-0.966264,-0.036196,2025-04-04T03:24:23Z,-0.260946,0.035846,0.131948,2025-04-04T03:24:23Z
2,253.473138,0.325467,7.257289,44.941297,280.883138,92.625008,2.493068,3,-93.174033,7.489281,2025-04-04T03:24:24Z,-0.238747,-0.966074,-0.084411,2025-04-04T03:24:24Z,-0.046879,0.034941,-0.122131,2025-04-04T03:24:24Z
3,253.564237,0.337697,7.254406,44.941296,280.974237,90,2.341831,3,-93.173938,7.320886,2025-04-04T03:24:25Z,-0.219526,-0.968826,-0.074123,2025-04-04T03:24:25Z,0.08823,0.01724,0.015661,2025-04-04T03:24:25Z
4,253.780689,0.299068,7.258558,44.941294,281.190689,90,2.242109,3,-93.173853,7.170421,2025-04-04T03:24:26Z,-0.19586,-0.973802,-0.08622,2025-04-04T03:24:26Z,0.337486,-0.040977,-0.027245,2025-04-04T03:24:26Z
5,253.879333,0.299649,7.258346,44.941292,281.289333,90,2.186855,3,-93.173756,7.35715,2025-04-04T03:24:27Z,-0.196564,-0.9746,-0.051455,2025-04-04T03:24:27Z,0.351502,-0.042837,0.171244,2025-04-04T03:24:27Z
6,254.036649,0.29828,7.255874,44.94129,281.446649,90,2.130605,3,-93.173658,7.674771,2025-04-04T03:24:28Z,-0.206498,-0.978929,-0.06422,2025-04-04T03:24:28Z,0.264817,-0.090094,0.043144,2025-04-04T03:24:28Z
7,254.167288,0.297173,7.251228,44.941289,281.577288,90.43531,2.207327,3,-93.173556,7.926793,2025-04-04T03:24:29Z,-0.192107,-0.974927,-0.051176,2025-04-04T03:24:29Z,0.439092,-0.047276,0.004574,2025-04-04T03:24:29Z
8,254.237309,0.29233,7.251479,44.94129,281.647309,90.43531,2.141792,3,-93.173454,8.117263,2025-04-04T03:24:30Z,-0.215512,-0.971179,-0.0354,2025-04-04T03:24:30Z,0.262171,-0.020188,0.090972,2025-04-04T03:24:30Z
9,254.521268,0.314669,7.254868,44.941287,281.931268,90.43531,2.09496,3,-93.173348,8.334527,2025-04-04T03:24:31Z,-0.200893,-0.982971,-0.041871,2025-04-04T03:24:31Z,0.375563,-0.12617,0.041962,2025-04-04T03:24:31Z
10,254.577379,0.327484,7.257568,44.941296,281.987379,90.43531,2.110785,3,-93.173242,8.57566,2025-04-04T03:24:32Z,-0.208969,-0.981049,-0.027196,2025-04-04T03:24:32Z,0.274061,-0.1023,0.071675,2025-04-04T03:24:32Z
11,254.696608,0.326441,7.257086,44.941292,282.106608,90.43531,2.072254,3,-93.173128,8.800114,2025-04-04T03:24:33Z,-0.22052,-0.970535,-0.047701,2025-04-04T03:24:33Z,0.183588,-0.020741,-0.109548,2025-04-04T03:24:33Z
12,254.495569,0.318457,7.258586,44.941292,281.905569,90.43531,2.046162,3,-93.173008,9.190387,2025-04-04T03:24:34Z,-0.229262,-0.962581,-0.033092,2025-04-04T03:24:34Z,0.066653,0.102538,-0.004556,2025-04-04T03:24:34Z
13,254.712305,0.311585,7.258905,44.94129,282.122305,90.222755,2.029061,3,-93.172888,9.130541,2025-04-04T03:24:35Z,-0.224229,-0.973852,-0.046075,2025-04-04T03:24:35Z,0.098558,-0.026036,-0.042707,2025-04-04T03:24:35Z
14,254.805814,0.315978,7.258678,44.941289,282.215813,90.222755,2.099823,3,-93.172768,9.27312,2025-04-04T03:24:36Z,-0.220415,-0.97063,-0.041026,2025-04-04T03:24:36Z,0.157769,0.002495,-0.010481,2025-04-04T03:24:36Z
15,255.022886,0.30666,7.258968,44.941289,282.432886,90.222755,2.062654,3,-93.172645,9.573404,2025-04-04T03:24:37Z,-0.239704,-0.970571,-0.040964,2025-04-04T03:24:37Z,0.023006,-0.006445,-0.12771,2025-04-04T03:24:37Z
16,254.95528,0.301688,7.25884,44.941288,282.36528,90.222755,2.039011,3,-93.172522,9.70103,2025-04-04T03:24:38Z,-0.244578,-0.963782,-0.039849,2025-04-04T03:24:38Z,-0.069386,0.067949,-0.103137,2025-04-04T03:24:38Z
17,255.126121,0.312939,7.258887,44.941287,282.536121,90.222755,2.024087,3,-93.1724,9.63489,2025-04-04T03:24:39Z,-0.249298,-0.968863,-0.040667,2025-04-04T03:24:39Z,-0.084422,0.017097,-0.096813,2025-04-04T03:24:39Z
18,255.30933,0.305964,7.258959,44.941288,282.71933,90.222755,2.014961,3,-93.172279,9.565314,2025-04-04T03:24:40Z,-0.232184,-0.958893,-0.029698,2025-04-04T03:24:40Z,0.075101,0.110152,0.015938,2025-04-04T03:24:40Z
