seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,259.406499,2.42347,61.130907,44.934344,286.816499,300.463347,2.44098,3,-93.171096,3.210222,2025-04-04T03:19:46Z,-0.147871,-0.985146,-0.10651,2025-04-04T03:19:46Z,0.629839,-0.085844,-0.78532,2025-04-04T03:19:46Z
1,259.304185,2.375274,51.479747,44.934387,286.714185,328.757903,2.464023,3,-93.171107,3.737014,2025-04-04T03:19:47Z,-0.136844,-0.995956,-0.021561,2025-04-04T03:19:47Z,0.529366,-0.146888,-0.072452,2025-04-04T03:19:47Z
2,259.057157,2.222542,35.202277,44.934445,286.467157,353.751065,2.440822,3,-93.171097,5.115684,2025-04-04T03:19:48Z,-0.160997,-0.990707,-0.005242,2025-04-04T03:19:48Z,0.401896,-0.11176,0.166023,2025-04-04T03:19:48Z
3,259.096211,2.150308,29.305473,44.934502,286.506211,359.91333,3.983942,3,-93.171044,5.906269,2025-04-04T03:19:49Z,-0.164125,-0.98385,-0.001458,2025-04-04T03:19:49Z,0.288462,-0.029103,0.238064,2025-04-04T03:19:49Z
4,259.207183,2.071861,24.826484,44.934566,286.617183,359.91333,4.034346,3,-93.171044,6.74913,2025-04-04T03:19:50Z,-0.18101,-0.98094,6.99e-4,2025-04-04T03:19:50Z,0.081073,0.00692,0.231579,2025-04-04T03:19:50Z
5,259.05501400000003,2.014118,21.970025,44.934635,286.465014,359.91333,3.897066,3,-93.171044,7.428244,2025-04-04T03:19:51Z,-0.219793,-0.970939,-0.003317,2025-04-04T03:19:51Z,-0.279064,0.10002,0.132004,2025-04-04T03:19:51Z
6,259.164638,1.989611,20.874938,44.934707,286.574638,359.91333,4.000863,3,-93.171044,7.717712,2025-04-04T03:19:52Z,-0.214204,-0.975124,-0.028054,2025-04-04T03:19:52Z,-0.252452,0.065232,-0.064634,2025-04-04T03:19:52Z
7,259.021322,1.975858,20.184225,44.93478,286.431322,359.91333,4.1641,3,-93.171044,7.924327,2025-04-04T03:19:53Z,-0.227734,-0.973575,-0.031875,2025-04-04T03:19:53Z,-0.46569,0.123254,-0.065244,2025-04-04T03:19:53Z
8,259.125172,1.955995,19.563276,44.934854,286.535171,359.91333,4.27141,3,-93.171044,8.101397,2025-04-04T03:19:54Z,-0.23139,-0.968672,-0.005639,2025-04-04T03:19:54Z,-0.409728,0.10027,0.049313,2025-04-04T03:19:54Z
9,259.285071,1.958865,19.402307,44.93493,286.69507,359.91333,4.143605,3,-93.171045,8.180585,2025-04-04T03:19:55Z,-0.215509,-0.977727,-0.006619,2025-04-04T03:19:55Z,-0.277333,0.010559,0.023271,2025-04-04T03:19:55Z
10,259.622341,1.951745,18.981766,44.935007,287.032341,359.91333,4.26129,3,-93.171045,8.30921,2025-04-04T03:19:56Z,-0.219765,-0.966237,-0.012134,2025-04-04T03:19:56Z,-0.255754,0.174814,-0.032958,2025-04-04T03:19:56Z
11,259.578788,1.959646,18.851171,44.935083,286.988788,359.91333,4.04433,3,-93.171045,8.420876,2025-04-04T03:19:57Z,-0.239923,-0.973379,-0.006707,2025-04-04T03:19:57Z,-0.37579,0.067792,0.052029,2025-04-04T03:19:57Z
12,259.611818,1.933397,18.171987,44.935162,287.021818,359.91333,3.732774,3,-93.171045,8.614133,2025-04-04T03:19:58Z,-0.249585,-0.958167,0.011498,2025-04-04T03:19:58Z,-0.413192,0.187264,0.185039,2025-04-04T03:19:58Z
13,259.635501,1.915449,18.006176,44.935239,287.045501,359.91333,3.699971,3,-93.171045,8.608661,2025-04-04T03:19:59Z,-0.2661,-0.954757,-0.004232,2025-04-04T03:19:59Z,-0.476705,0.1853,-0.023306,2025-04-04T03:19:59Z
14,259.1741,1.953318,18.437442,44.935316,286.5841,359.91333,2.538746,3,-93.171045,8.47015,2025-04-04T03:20:00Z,-0.275746,-0.959895,-0.017249,2025-04-04T03:20:00Z,-0.61848,0.191659,-0.093809,2025-04-04T03:20:00Z
15,258.748415,1.975632,19.239634,44.935389,286.158415,359.91333,3.189269,3,-93.171068,8.193698,2025-04-04T03:20:01Z,-0.27209,-0.964615,-0.018961,2025-04-04T03:20:01Z,-0.48201,0.100802,-0.057845,2025-04-04T03:20:01Z
16,258.69508,1.997235,19.798982,44.935462,286.10508,359.91333,2.792088,3,-93.171064,7.9885,2025-04-04T03:20:02Z,-0.253858,-0.961011,-0.042567,2025-04-04T03:20:02Z,-0.275127,0.121964,-0.151447,2025-04-04T03:20:02Z
17,258.767809,1.997457,20.230178,44.935532,286.177809,359.91333,2.693492,3,-93.171065,7.856537,2025-04-04T03:20:03Z,-0.259455,-0.964526,-0.017752,2025-04-04T03:20:03Z,-0.362758,0.08193,0.036455,2025-04-04T03:20:03Z
18,258.779321,2.004691,20.478438,44.935602,286.189321,0.248375,2.497329,3,-93.171062,7.794593,2025-04-04T03:20:04Z,-0.267511,-0.948879,-0.004478,2025-04-04T03:20:04Z,-0.425517,0.271028,0.0924,2025-04-04T03:20:04Z
19,258.818164,2.006529,21.166103,44.935671,286.228164,0.248375,2.392614,3,-93.171065,7.595777,2025-04-04T03:20:05Z,-0.27151,-0.966408,-0.047839,2025-04-04T03:20:05Z,-0.382746,0.05546,-0.215716,2025-04-04T03:20:05Z
20,258.777641,2.011382,21.778804,44.935737,286.187641,0.248375,2.638691,3,-93.171062,7.350307,2025-04-04T03:20:06Z,-0.264264,-0.954789,-0.031651,2025-04-04T03:20:06Z,-0.26984,0.16139,-0.03188,2025-04-04T03:20:06Z
21,258.724414,2.063228,22.333278,44.935805,286.134414,0.248375,2.620596,3,-93.171065,7.285923,2025-04-04T03:20:07Z,-0.270654,-0.965246,-0.050573,2025-04-04T03:20:07Z,-0.373528,0.064127,-0.147772,2025-04-04T03:20:07Z
22,258.508524,2.047171,23.12583,44.935869,285.918524,0.248375,2.852992,3,-93.171062,7.078225,2025-04-04T03:20:08Z,-0.258783,-0.957566,-0.030008,2025-04-04T03:20:08Z,-0.252552,0.133669,0.057776,2025-04-04T03:20:08Z
23,258.492702,2.060027,23.395977,44.935935,285.902702,0.248375,2.703946,3,-93.171063,7.013351,2025-04-04T03:20:09Z,-0.278826,-0.951989,-0.036252,2025-04-04T03:20:09Z,-0.372461,0.18374,-0.042472,2025-04-04T03:20:09Z
24,258.288892,2.0854,23.886267,44.935998,285.698892,359.387695,2.541397,3,-93.171057,6.910738,2025-04-04T03:20:10Z,-0.268691,-0.974183,-0.032344,2025-04-04T03:20:10Z,-0.173729,-0.064078,0.034608,2025-04-04T03:20:10Z
