seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,256.078854,0.669866,11.099706,44.9344,283.488854,322.27794,2.070407,3,-93.177218,4.882621,2025-02-19T21:44:21Z,-0.053275,-0.965474,-0.334753,2025-02-19T21:44:20Z,0.540902,0.171851,-1.822713,2025-02-19T21:44:20Z
1,255.208362,0.669172,11.099001,44.934449,282.618362,353.249269,2.060349,3,-93.17721,4.868772,2025-02-19T21:44:22Z,-0.025918,-0.997459,-0.064674,2025-02-19T21:44:21Z,0.634892,-0.043854,0.005417,2025-02-19T21:44:21Z
2,255.333337,0.690312,9.211837,44.934511,282.743337,358.337919,2.138118,3,-93.177209,6.069925,2025-02-19T21:44:23Z,-0.001909,-0.999432,0.016611,2025-02-19T21:44:22Z,0.744356,-0.037734,0.718534,2025-02-19T21:44:22Z
3,254.969788,0.694957,8.169952,44.934575,282.379787,359.153257,2.176562,3,-93.177209,6.840519,2025-02-19T21:44:24Z,-0.015595,-1.008757,0.015387,2025-02-19T21:44:23Z,0.509129,-0.128946,0.768994,2025-02-19T21:44:23Z
4,254.84649,0.694044,7.25255,44.934652,282.25649,359.888575,2.466679,3,-93.177207,7.919928,2025-02-19T21:44:25Z,-0.00858,-0.996981,0.020992,2025-02-19T21:44:24Z,0.519246,-3.61e-4,0.743372,2025-02-19T21:44:24Z
5,255.058638,0.681534,7.258798,44.934742,282.468637,0.736701,2.32928,3,-93.177204,9.132546,2025-02-19T21:44:26Z,-0.015251,-1.00621,0.023738,2025-02-19T21:44:25Z,0.400451,-0.086282,0.71902,2025-02-19T21:44:25Z
6,254.938273,0.687082,7.258328,44.934837,282.348273,0.379029,3.307841,3,-93.177204,10.11318,2025-02-19T21:44:27Z,-0.028482,-0.999973,0.017266,2025-02-19T21:44:26Z,0.231002,-0.025724,0.622295,2025-02-19T21:44:26Z
7,254.931563,0.682984,7.258944,44.934941,282.341563,0.308443,2.954156,3,-93.177204,10.941744,2025-02-19T21:44:28Z,-0.052767,-1.003672,0.024947,2025-02-19T21:44:27Z,-0.056779,-0.055182,0.635161,2025-02-19T21:44:27Z
8,255.260894,0.690556,7.258471,44.935051,282.670894,359.039734,2.512849,3,-93.177209,11.649106,2025-02-19T21:44:29Z,-0.053052,-0.988555,0.017078,2025-02-19T21:44:28Z,-0.055846,0.098492,0.457785,2025-02-19T21:44:28Z
9,254.94449,0.692708,7.258876,44.935163,282.354489,359.510531,2.452956,3,-93.177208,12.164794,2025-02-19T21:44:30Z,-0.092026,-1.021769,0.007767,2025-02-19T21:44:29Z,-0.489994,-0.224196,0.293742,2025-02-19T21:44:29Z
