seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,252.468542,3.736574,180,44.940203,279.878542,91.891664,3.658161,3,-93.176976,0,2025-02-19T21:40:03Z,-0.142318,-0.988484,-0.01189,2025-02-19T21:40:03Z,-0.008918,0.013392,-0.011555,2025-02-19T21:40:03Z
1,252.468542,3.753827,180,44.940203,279.878542,91.891664,3.631051,3,-93.176976,0,2025-02-19T21:40:04Z,-0.102929,-0.993287,0.009499,2025-02-19T21:40:04Z,0.347811,-0.029258,0.181486,2025-02-19T21:40:04Z
2,251.798546,3.773984,180,44.940207,279.208546,91.89166,3.701855,3,-93.176981,0.150282,2025-02-19T21:40:05Z,-0.057728,-0.996067,0.041398,2025-02-19T21:40:05Z,0.780006,-0.052937,0.47706,2025-02-19T21:40:05Z
3,251.810661,3.746289,180,44.9402,279.220661,91.891663,3.618253,3,-93.176977,0.564447,2025-02-19T21:40:06Z,-0.095098,-1.019161,0.055439,2025-02-19T21:40:06Z,0.520237,-0.300784,0.64153,2025-02-19T21:40:06Z
4,251.771563,3.730209,180,44.940185,279.181563,91.891668,3.53734,3,-93.176967,1.329755,2025-02-19T21:40:07Z,0.011562,-1.001062,0.146133,2025-02-19T21:40:07Z,0.706467,-0.031137,1.341813,2025-02-19T21:40:07Z
5,251.822179,3.249864,95.444085,44.940154,279.232179,134.421376,3.460473,3,-93.17695,2.544451,2025-02-19T21:40:08Z,-0.075177,-0.994139,0.131491,2025-02-19T21:40:08Z,-0.223223,0.038878,1.33309,2025-02-19T21:40:08Z
6,251.951295,2.343799,47.069079,44.940117,279.361294,141.799277,3.387449,3,-93.176916,3.988723,2025-02-19T21:40:09Z,-0.052082,-0.997615,0.111831,2025-02-19T21:40:09Z,0.00616,0.012307,1.20869,2025-02-19T21:40:09Z
7,252.138899,2.312052,42.226347,44.940099,279.548899,127.226658,3.332929,3,-93.176865,4.397466,2025-02-19T21:40:10Z,-0.057971,-0.989102,0.134222,2025-02-19T21:40:10Z,0.031824,0.084854,1.291555,2025-02-19T21:40:10Z
8,252.142399,2.187389,32.870437,44.940084,279.552399,110.873153,3.291195,3,-93.17679,5.383212,2025-02-19T21:40:11Z,-0.057638,-1.005267,0.106738,2025-02-19T21:40:11Z,-0.057801,-0.073614,1.1408,2025-02-19T21:40:11Z
9,252.003247,2.107722,27.65762,44.940082,279.413247,96.447614,3.226635,3,-93.176705,6.174643,2025-02-19T21:40:12Z,-0.044696,-1.004675,0.050817,2025-02-19T21:40:12Z,0.044136,-0.048619,0.559445,2025-02-19T21:40:12Z
10,252.150739,2.05199,24.021145,44.94008,279.560739,93.109181,3.122123,3,-93.176612,6.911756,2025-02-19T21:40:13Z,-0.021907,-0.992605,-0.00505,2025-02-19T21:40:13Z,0.162588,0.06433,0.077119,2025-02-19T21:40:13Z
11,252.24924,2.013125,21.864472,44.940081,279.65924,90.757797,2.957965,3,-93.176515,7.429442,2025-02-19T21:40:14Z,-0.024863,-0.999502,-0.034488,2025-02-19T21:40:14Z,0.09732,-0.008736,-0.094921,2025-02-19T21:40:14Z
12,252.456473,1.980862,19.830565,44.940084,279.866473,89.54829,2.947521,3,-93.17641,8.022743,2025-02-19T21:40:15Z,-0.070928,-0.993751,-0.041471,2025-02-19T21:40:15Z,-0.320281,0.057772,-0.214857,2025-02-19T21:40:15Z
13,252.706381,1.957519,18.808413,44.940086,280.11638,90,2.942509,3,-93.176302,8.326789,2025-02-19T21:40:16Z,-0.076573,-0.998845,-0.025685,2025-02-19T21:40:16Z,-0.366054,0.001133,-0.093689,2025-02-19T21:40:16Z
14,252.891306,1.953916,18.718569,44.940085,280.301306,90,2.937011,3,-93.176196,8.345707,2025-02-19T21:40:17Z,-0.036819,-0.998953,-0.01737,2025-02-19T21:40:17Z,0.038129,0.001952,-0.046068,2025-02-19T21:40:17Z
15,253.092385,1.942432,17.702306,44.940083,280.502385,90.211685,2.675906,3,-93.176083,8.801207,2025-02-19T21:40:18Z,-0.029585,-0.993499,-0.030353,2025-02-19T21:40:18Z,0.084384,0.053395,-0.07546,2025-02-19T21:40:18Z
16,253.3463,1.902517,16.398369,44.940084,280.7563,90.211685,2.954068,3,-93.175962,9.30973,2025-02-19T21:40:19Z,-0.063849,-1.00238,-0.017456,2025-02-19T21:40:19Z,-0.220291,-0.030153,-0.030905,2025-02-19T21:40:19Z
17,253.347643,1.879007,15.699833,44.940084,280.757643,90.211685,2.60121,3,-93.175838,9.651912,2025-02-19T21:40:20Z,-0.088885,-0.993536,-0.040206,2025-02-19T21:40:20Z,-0.398942,0.053291,-0.248912,2025-02-19T21:40:20Z
18,253.452381,1.873532,15.645386,44.940082,280.862381,90.211685,2.371186,3,-93.175715,9.684047,2025-02-19T21:40:21Z,-0.07982,-0.995698,-0.015104,2025-02-19T21:40:21Z,-0.320832,0.030323,-0.027847,2025-02-19T21:40:21Z
19,253.721253,1.893972,15.655221,44.940081,281.131252,90.211685,2.618252,3,-93.175589,9.768134,2025-02-19T21:40:22Z,-0.100463,-1.001836,-0.012765,2025-02-19T21:40:22Z,-0.392655,-0.043852,-0.055823,2025-02-19T21:40:22Z
20,253.921934,1.837706,14.901033,44.940082,281.331934,90.211685,3.288149,3,-93.175461,9.992669,2025-02-19T21:40:23Z,-0.066852,-0.98086,-0.042186,2025-02-19T21:40:23Z,-0.185319,0.177405,-0.338671,2025-02-19T21:40:23Z
21,254.455656,1.852092,14.970838,44.940083,281.865656,90.211685,2.785253,3,-93.175335,9.961159,2025-02-19T21:40:24Z,-0.084088,-0.990879,-0.033459,2025-02-19T21:40:24Z,-0.270765,0.073102,-0.233659,2025-02-19T21:40:24Z
22,254.704026,1.869434,15.051666,44.940083,282.114026,90.211685,2.564905,3,-93.175209,9.95891,2025-02-19T21:40:25Z,-0.070828,-0.995588,-0.017255,2025-02-19T21:40:25Z,-0.102314,0.023897,-0.098166,2025-02-19T21:40:25Z
23,254.932962,1.868039,14.828011,44.940081,282.342962,90.211685,2.681285,3,-93.175082,10.078582,2025-02-19T21:40:26Z,-0.075569,-0.997381,-0.015228,2025-02-19T21:40:26Z,-0.129309,0.006546,-0.094558,2025-02-19T21:40:26Z
24,255.145772,1.854474,14.550997,44.940078,282.555772,90.292648,2.41041,3,-93.174951,10.240648,2025-02-19T21:40:27Z,-0.071915,-0.992925,0.003996,2025-02-19T21:40:27Z,-0.097077,0.051812,0.039792,2025-02-19T21:40:27Z
25,255.379422,1.861528,14.175419,44.940077,282.789422,90.292648,2.625868,3,-93.174817,10.430473,2025-02-19T21:40:28Z,-0.099068,-0.997022,-0.014118,2025-02-19T21:40:28Z,-0.33055,0.00644,-0.07787,2025-02-19T21:40:28Z
26,255.553692,1.875381,14.120006,44.940076,282.963692,91.210822,2.70183,3,-93.174686,10.421779,2025-02-19T21:40:30Z,-0.073204,-0.98554,-0.017788000000000002,2025-02-19T21:40:29Z,-0.10346,0.125347,-0.053682,2025-02-19T21:40:29Z
27,255.837927,1.858738,14.123688,44.940077,283.247927,90.879399,2.425461,3,-93.174553,10.478768,2025-02-19T21:40:31Z,-0.068447,-0.996581,-0.009158,2025-02-19T21:40:30Z,0.012448,0.008168,-0.004393,2025-02-19T21:40:30Z
28,255.985206,1.850527,13.688391,44.940077,283.395206,90.542149,2.54385,3,-93.174415,10.733758,2025-02-19T21:40:32Z,-0.071005,-0.993641,-9.08e-4,2025-02-19T21:40:31Z,-0.017582,0.034296,0.056951,2025-02-19T21:40:31Z
29,256.280252,1.848835,13.266445,44.940077,283.690252,90.334165,2.396368,3,-93.174276,10.973051,2025-02-19T21:40:33Z,-0.108392,-0.990582,6.19e-4,2025-02-19T21:40:32Z,-0.237436,0.060968,0.103313,2025-02-19T21:40:32Z
