seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,261.924879,2.304995,43.831811,44.941179,289.334879,168.212458,2.764383,3,-93.167078,4.24049,2025-02-19T22:02:03Z,-0.16538,-0.977542,-0.059403,2025-02-19T22:02:02Z,-0.075207,0.072467,0.068224,2025-02-19T22:02:02Z
1,261.998443,2.294781,41.893034,44.941137,289.408443,179.767917,2.725183,3,-93.167087,4.414302,2025-02-19T22:02:04Z,-0.130267,-0.99251,-0.026508,2025-02-19T22:02:03Z,0.263843,-0.069604,0.383987,2025-02-19T22:02:03Z
2,262.068562,2.252183,35.904499,44.941092,289.478562,181.25354,2.694247,3,-93.167092,4.995307,2025-02-19T22:02:05Z,-0.138677,-0.99145,-0.014182,2025-02-19T22:02:04Z,0.183427,-0.054781,0.406463,2025-02-19T22:02:04Z
3,262.127212,2.220918,30.859353,44.941041,289.537212,181.25354,2.710893,3,-93.167095,5.598363,2025-02-19T22:02:06Z,-0.14178,-0.989914,-0.01778,2025-02-19T22:02:05Z,0.128016,-0.025619,0.348995,2025-02-19T22:02:05Z
4,262.279338,2.186956,27.336794,44.940984,289.689338,180.86116,2.675348,3,-93.167098,6.166206,2025-02-19T22:02:07Z,-0.150344,-0.985506,-0.013559,2025-02-19T22:02:06Z,0.038171,0.004184,0.358233,2025-02-19T22:02:06Z
5,262.358559,2.119802,24.560457,44.940923,289.768559,180.86116,2.628192,3,-93.167099,6.650981,2025-02-19T22:02:08Z,-0.156516,-0.990067,-0.021485,2025-02-19T22:02:07Z,-0.022424,-0.027556,0.299694,2025-02-19T22:02:07Z
6,262.548862,2.059602,22.8513,44.940858,289.958862,180.86116,2.613729,3,-93.167101,7.1368,2025-02-19T22:02:09Z,-0.178017,-0.9826,-0.030286,2025-02-19T22:02:08Z,-0.264683,0.043627,0.208088,2025-02-19T22:02:08Z
7,262.61751400000003,2.049996,21.962291,44.940791,290.027514,180.112579,2.510396,3,-93.167101,7.355643,2025-02-19T22:02:10Z,-0.191967,-0.980065,-0.031704,2025-02-19T22:02:09Z,-0.359616,0.065248,0.132313,2025-02-19T22:02:09Z
8,262.758322,2.03585,21.562644,44.940724,290.168322,180.112579,2.400547,3,-93.167104,7.413688,2025-02-19T22:02:11Z,-0.183307,-0.970913,-0.059172,2025-02-19T22:02:10Z,-0.25076,0.148316,-0.096365,2025-02-19T22:02:10Z
9,262.903548,2.002977,21.309464,44.940655,290.313547,180.112579,2.312735,3,-93.167108,7.547037,2025-02-19T22:02:12Z,-0.188633,-0.984356,-0.062705,2025-02-19T22:02:11Z,-0.317661,0.021911,-0.079765,2025-02-19T22:02:11Z
10,263.0948,2.001257,20.875237,44.940586,290.5048,180.112579,2.819269,3,-93.167117,7.634784,2025-02-19T22:02:13Z,-0.200655,-0.971081,-0.045169,2025-02-19T22:02:12Z,-0.372639,0.137574,0.099854,2025-02-19T22:02:12Z
11,263.029556,2.001831,21.102809,44.940518,290.439556,180.112579,2.641595,3,-93.167129,7.640799,2025-02-19T22:02:14Z,-0.230293,-0.974555,-0.037881,2025-02-19T22:02:13Z,-0.599918,0.105196,0.152204,2025-02-19T22:02:13Z
12,263.190058,2.015455,21.873866,44.940451,290.600058,180.112579,2.46804,3,-93.167131,7.422478,2025-02-19T22:02:15Z,-0.26941,-0.970568,-0.02086,2025-02-19T22:02:14Z,-0.949723,0.118341,0.134589,2025-02-19T22:02:14Z
13,263.359883,2.073741,24.195493,44.940392,290.769883,180.112579,2.534748,3,-93.167138,6.799051,2025-02-19T22:02:16Z,-0.282435,-0.96151,-0.02149,2025-02-19T22:02:15Z,-1.067948,0.22973,0.127484,2025-02-19T22:02:15Z
14,263.54022,2.153277,27.337225,44.940336,290.95022,179.59111,2.409822,3,-93.167135,6.156237,2025-02-19T22:02:17Z,-0.318248,-0.949502,-0.048544,2025-02-19T22:02:16Z,-1.37659,0.327044,-0.078894,2025-02-19T22:02:16Z
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.311888,-0.958299,-0.052253,2025-02-19T22:02:17Z,-1.275544,0.242716,-0.110713,2025-02-19T22:02:17Z
