seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,262.374265,2.733777,128.730732,44.934271,289.784265,88.368613,2.620588,3,-93.167223,1.528186,2025-02-19T21:31:46Z,0.093407,-0.997729,-0.028904,2025-02-19T21:31:46Z,0.456735,-0.002269,0.195503,2025-02-19T21:31:46Z
1,262.390021,2.559795,100.911143,44.934272,289.800021,88.343365,2.61305,3,-93.167194,2.020777,2025-02-19T21:31:47Z,0.089542,-0.996039,-0.015543,2025-02-19T21:31:47Z,0.396699,0.015273,0.28503,2025-02-19T21:31:47Z
2,262.469917,2.512229,77.347013,44.934272,289.879917,88.19164,2.582397,3,-93.167157,2.618855,2025-02-19T21:31:48Z,0.157499,-0.995949,0.085516,2025-02-19T21:31:48Z,1.024953,0.021034,1.225978,2025-02-19T21:31:48Z
3,262.547742,2.356144,48.929612,44.934278,289.957742,83.520168,2.57654,3,-93.167105,3.900587,2025-02-19T21:31:49Z,0.109919,-1.003598,0.098573,2025-02-19T21:31:49Z,0.571395,-0.059425,1.379965,2025-02-19T21:31:49Z
4,262.670521,2.182195,33.572707,44.934312,290.080521,60.797024,2.564989,3,-93.167044,5.260624,2025-02-19T21:31:50Z,0.017966,-0.996525,0.160265,2025-02-19T21:31:50Z,-0.40024,0.009956,1.961484,2025-02-19T21:31:50Z
5,262.654998,2.124984,30.119407,44.934359,290.064998,39.405377,2.536739,3,-93.167003,5.715886,2025-02-19T21:31:51Z,0.007011,-0.99903,0.154497,2025-02-19T21:31:51Z,-0.340017,-0.006555,1.893109,2025-02-19T21:31:51Z
6,262.688587,2.09988,26.939049,44.934417,290.098587,19.406035,2.51306,3,-93.166986,6.313967,2025-02-19T21:31:52Z,0.080403,-1.002755,0.132944,2025-02-19T21:31:52Z,0.311558,-0.040892,1.512888,2025-02-19T21:31:52Z
7,262.63903,2.004636,21.416845,44.934488,290.04903,6.923219,2.46751,3,-93.166981,7.580818,2025-02-19T21:31:53Z,0.110245,-1.003531,0.06335,2025-02-19T21:31:53Z,0.428579,-0.059291,0.824144,2025-02-19T21:31:53Z
8,262.739502,1.944473,18.133503,44.934568,290.149502,2.963687,2.383015,3,-93.166979,8.688188,2025-02-19T21:31:54Z,0.11769,-0.999844,-5.81e-4,2025-02-19T21:31:54Z,0.363327,-0.027992,0.15633,2025-02-19T21:31:54Z
9,262.777442,1.886443,15.790616,44.934657,290.187442,0.942615,2.273741,3,-93.166982,9.67925,2025-02-19T21:31:55Z,0.132315,-0.994106,-0.017071,2025-02-19T21:31:55Z,0.45006,0.017805,-0.065197,2025-02-19T21:31:55Z
10,262.885654,0.309416,7.257384,44.934755,290.295654,0.308159,2.17445,3,-93.166984,10.82858,2025-02-19T21:31:56Z,0.140701,-0.998159,-0.0163,2025-02-19T21:31:56Z,0.524306,-0.01862,-0.12942,2025-02-19T21:31:56Z
11,263.022538,0.31868,7.255657,44.934863,290.432538,0.530694,2.126026,3,-93.166984,11.856229,2025-02-19T21:31:57Z,0.099912,-0.997222,-0.017983,2025-02-19T21:31:57Z,0.119128,-0.011224,-0.187656,2025-02-19T21:31:57Z
12,263.104674,0.32048,7.257532,44.934974,290.514674,0.59077,2.164239,3,-93.166987,12.504942,2025-02-19T21:31:58Z,0.091673,-0.994151,-0.015657,2025-02-19T21:31:58Z,0.016396,0.017889,-0.194679,2025-02-19T21:31:58Z
13,263.175395,0.309924,7.258955,44.935092,290.585394,0.447054,2.084582,3,-93.166991,13.148854,2025-02-19T21:31:59Z,0.09105,-0.995945,-0.018426,2025-02-19T21:31:59Z,-0.028035,-0.009461,-0.182521,2025-02-19T21:31:59Z
14,263.295822,0.302874,7.258888,44.935215,290.705822,0.57385,2.494401,3,-93.166991,13.766748,2025-02-19T21:32:00Z,0.086846,-0.998441,-0.031919,2025-02-19T21:32:00Z,-0.06045,-0.027742,-0.273132,2025-02-19T21:32:00Z
15,263.350321,0.275523,7.256582,44.935343,290.760321,0.749249,2.911388,3,-93.166993,14.259969,2025-02-19T21:32:01Z,0.067628,-0.99869,-0.016242,2025-02-19T21:32:01Z,-0.23608,-0.029018,-0.225361,2025-02-19T21:32:01Z
16,263.480726,0.304026,7.258948,44.935475,290.890725,0.947058,3.202729,3,-93.166992,14.623601,2025-02-19T21:32:02Z,0.058623,-0.994389,-0.013589,2025-02-19T21:32:02Z,-0.341548,0.012835,-0.152119,2025-02-19T21:32:02Z
17,263.585993,0.282728,7.257953,44.93561,290.995993,0.552012,2.824508,3,-93.166992,14.964881,2025-02-19T21:32:03Z,0.03583,-1.004563,-0.027161,2025-02-19T21:32:03Z,-0.555884,-0.084199,-0.26588,2025-02-19T21:32:03Z
18,263.681119,0.323995,7.258557,44.935747,291.091118,0.259435,2.371559,3,-93.166993,15.115317,2025-02-19T21:32:04Z,0.037303,-0.994543,-0.032433,2025-02-19T21:32:04Z,-0.487692,0.009882,-0.289565,2025-02-19T21:32:04Z
19,263.773331,0.301537,7.258887,44.935885,291.18333,0.465062,2.166572,3,-93.166993,15.230668,2025-02-19T21:32:05Z,0.045481,-0.991483,-0.021612,2025-02-19T21:32:05Z,-0.418426,0.047249,-0.100487,2025-02-19T21:32:05Z
20,263.93433,0.290767,7.258165,44.936024,291.34433,0.221155,2.574252,3,-93.166995,15.331286,2025-02-19T21:32:06Z,0.048948,-0.997769,-0.049489,2025-02-19T21:32:06Z,-0.354718,-0.020965,-0.229206,2025-02-19T21:32:06Z
21,263.958884,0.307392,7.258974,44.936163,291.368884,0.018653,2.255107,3,-93.166997,15.501062,2025-02-19T21:32:07Z,0.054255,-0.98969,-0.056031,2025-02-19T21:32:07Z,-0.274315,0.061872,-0.235418,2025-02-19T21:32:07Z
22,263.968903,0.288135,7.257959,44.936304,291.378903,0.05133,2.55371,3,-93.166998,15.622382,2025-02-19T21:32:08Z,0.045622,-0.998896,-0.042254,2025-02-19T21:32:08Z,-0.343766,-0.023629,-0.135533,2025-02-19T21:32:08Z
23,263.948002,0.28792,7.258142,44.936448,291.358001,359.883286,2.310135,3,-93.166999,15.824832,2025-02-19T21:32:09Z,0.050286,-0.993746,-0.054195,2025-02-19T21:32:09Z,-0.268484,0.031959,-0.290153,2025-02-19T21:32:09Z
24,264.059267,0.307243,7.258973,44.93659,291.469267,0.474282,2.134869,3,-93.166997,15.945078,2025-02-19T21:32:10Z,0.051526,-0.999797,-0.049014,2025-02-19T21:32:10Z,-0.216918,-0.032554,-0.26292,2025-02-19T21:32:10Z
25,264.302054,0.305687,7.258965,44.936734,291.712053,0.585775,2.058438,3,-93.166997,16.050084,2025-02-19T21:32:11Z,0.040398,-0.992669,-0.027447,2025-02-19T21:32:11Z,-0.288853,0.050757,-0.080789,2025-02-19T21:32:11Z
26,264.512422,0.300773,7.258877,44.936878,291.922422,0.420082,2.025162,3,-93.166999,16.127084,2025-02-19T21:32:12Z,0.033432,-1.007943,-0.035866,2025-02-19T21:32:12Z,-0.386798,-0.108265,-0.079117,2025-02-19T21:32:12Z
27,264.71143,0.31029,7.258964,44.937023,292.121429,0.091057,2.07961,3,-93.167001,16.191866,2025-02-19T21:32:13Z,0.038136,-0.989703,-0.049189,2025-02-19T21:32:13Z,-0.327233,0.067987,-0.126351,2025-02-19T21:32:13Z
28,264.834266,0.31035,7.258962,44.937167,292.244266,359.843845,2.296936,3,-93.167004,16.147204,2025-02-19T21:32:14Z,0.035073,-0.998533,-0.047305,2025-02-19T21:32:14Z,-0.29304,-0.008686,-0.243625,2025-02-19T21:32:14Z
29,265.117284,0.318647,7.258711,44.937311,292.527284,359.959194,2.126809,3,-93.167004,16.16091,2025-02-19T21:32:15Z,0.009725,-0.993668,-0.036442,2025-02-19T21:32:15Z,-0.503299,0.044665,-0.202049,2025-02-19T21:32:15Z
30,265.178633,0.328232,7.25777,44.937457,292.588633,0.168465,2.239586,3,-93.167003,15.905281,2025-02-19T21:32:16Z,-0.032793,-1.000539,-0.045549,2025-02-19T21:32:16Z,-0.882787,-0.022855,-0.282076,2025-02-19T21:32:16Z
31,265.584891,0.342955,7.251626,44.937594,292.99489,0.045029,2.342931,3,-93.167006,15.274758,2025-02-19T21:32:17Z,-0.002461,-0.99628,-0.035896,2025-02-19T21:32:17Z,-0.568102,0.014422,-0.156313,2025-02-19T21:32:17Z
32,265.798615,0.325197,7.254941,44.93773,293.208615,359.706478,2.459089,3,-93.167007,15.024839,2025-02-19T21:32:18Z,0.00219,-1.001767,-0.042987,2025-02-19T21:32:18Z,-0.521773,-0.03385,-0.13765,2025-02-19T21:32:18Z
33,265.922155,0.320503,7.255481,44.937864,293.332155,359.57076,2.784961,3,-93.167008,14.848092,2025-02-19T21:32:19Z,0.015597,-0.986132,-0.047861,2025-02-19T21:32:19Z,-0.315763,0.12634600000000001,-0.146088,2025-02-19T21:32:19Z
34,266.016066,0.320497,7.25501,44.937996,293.426065,359.546555,2.359627,3,-93.167008,14.664817,2025-02-19T21:32:20Z,0.02896,-0.966736,-0.05694,2025-02-19T21:32:20Z,-0.113968,0.304616,-0.139154,2025-02-19T21:32:20Z
35,265.72279,0.306554,7.257013,44.938128,293.13279,359.797553,2.166289,3,-93.167007,14.768296,2025-02-19T21:32:21Z,0.028036,-0.991865,-0.036152,2025-02-19T21:32:21Z,0.034394,0.070496,0.014013,2025-02-19T21:32:21Z
36,265.273465,0.309045,7.25357,44.938264,292.683465,359.679461,2.222277,3,-93.167005,14.995643,2025-02-19T21:32:22Z,-0.010535,-0.999177,-0.039846,2025-02-19T21:32:22Z,-0.311324,1.94e-4,-0.045753,2025-02-19T21:32:22Z
37,265.084592,0.308357,7.254445,44.938394,292.494592,359.451406,2.52607,3,-93.167009,14.62311,2025-02-19T21:32:23Z,-0.030035,-0.99675,-0.060111,2025-02-19T21:32:23Z,-0.477555,0.021048999999999998,-0.271994,2025-02-19T21:32:23Z
38,264.946363,0.307322,7.254643,44.938523000000004,292.356363,359.66924,3.269318,3,-93.167008,14.303074,2025-02-19T21:32:24Z,-0.007254,-0.999233,-0.048611,2025-02-19T21:32:24Z,-0.24902,0.005095,-0.157307,2025-02-19T21:32:24Z
39,264.79126,0.305313,7.254633,44.938652,292.20126,359.773231,2.837634,3,-93.167009,14.236985,2025-02-19T21:32:25Z,-5.3e-4,-0.996098,-0.034257,2025-02-19T21:32:25Z,-0.149037,0.030233,-0.004684,2025-02-19T21:32:25Z
40,264.746641,0.304155,7.256934,44.93878,292.156641,359.618822,2.938032,3,-93.167009,14.165638,2025-02-19T21:32:26Z,-9.85e-4,-1.00307,-0.04679,2025-02-19T21:32:26Z,-0.160433,-0.038273,-0.121709,2025-02-19T21:32:26Z
41,264.691517,0.304328,7.257723,44.938908,292.101517,359.740968,2.730327,3,-93.167009,14.122979,2025-02-19T21:32:27Z,-0.010044,-0.999026,-0.042586,2025-02-19T21:32:27Z,-0.24593,0.004211,-0.051545,2025-02-19T21:32:27Z
42,264.487808,0.308178,7.258974,44.939033,291.897808,359.744588,2.890392,3,-93.167007,13.876933,2025-02-19T21:32:28Z,-0.004872,-0.985996,-0.071288,2025-02-19T21:32:28Z,-0.246633,0.116958,-0.128715,2025-02-19T21:32:28Z
43,264.291432,0.299908,7.255795,44.939157,291.701431,359.716331,2.806789,3,-93.167007,13.692208,2025-02-19T21:32:29Z,-0.01193,-0.992211,-0.06423,2025-02-19T21:32:29Z,-0.210687,0.058372,-0.125742,2025-02-19T21:32:29Z
44,263.882832,0.293306,7.249574,44.939276,291.292831,359.955027,2.569356,3,-93.167005,13.352382,2025-02-19T21:32:30Z,-0.082806,-1.001244,-0.069821,2025-02-19T21:32:30Z,-0.841285,-0.017694,-0.224144,2025-02-19T21:32:30Z
45,263.724467,0.29326,7.25765,44.939388,291.134467,359.859472,2.434786,3,-93.167004,12.359923,2025-02-19T21:32:31Z,-0.129512,-0.999559,-0.073653,2025-02-19T21:32:31Z,-1.280078,-0.008421,-0.266733,2025-02-19T21:32:31Z
46,263.523542,0.299754,7.258664,44.939489,290.933542,359.50531,2.222084,3,-93.167006,11.118927,2025-02-19T21:32:32Z,-0.135972,-0.998158,-0.069314,2025-02-19T21:32:32Z,-1.263665,0.009167,-0.207125,2025-02-19T21:32:32Z
47,263.338251,0.321738,7.257713,44.939575,290.748251,358.138894,2.223342,3,-93.16701,9.73597,2025-02-19T21:32:33Z,-0.127295,-0.99830700000000006,0.008309,2025-02-19T21:32:33Z,-1.114579,0.004274,0.499453,2025-02-19T21:32:33Z
48,263.430093,0.343268,7.246666,44.939652,290.840093,353.385153,2.142191,3,-93.167024,8.705905,2025-02-19T21:32:34Z,-0.070409,-1.009567,-0.063835,2025-02-19T21:32:34Z,-0.500882,-0.098984,-0.212417,2025-02-19T21:32:34Z
49,263.512779,0.360999,7.223746,44.939725,290.922778,353.10853,2.085183,3,-93.167035,8.009655,2025-02-19T21:32:35Z,-0.072041,-0.989494,-0.100246,2025-02-19T21:32:35Z,-0.385387,0.083307,-0.522127,2025-02-19T21:32:35Z
50,263.458592,0.356773,7.210791,44.939788,290.868592,355.353585,2.052743,3,-93.167041,7.145348,2025-02-19T21:32:36Z,-0.044401,-0.991701,-0.110192,2025-02-19T21:32:36Z,-0.089201,0.056843,-0.509137,2025-02-19T21:32:36Z
