seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,257.970093,0.86,9.642911,44.941737,285.380093,262.617188,3.535534,3,-93.167233,4.1,2025-02-19T21:56:44Z,-0.204106,-0.961466,-0.22541,2025-02-19T21:56:43Z,0.069299,0.107145,-1.235475,2025-02-19T21:56:43Z
1,258.154602,0.39,5.10396,44.941741,285.564602,282.304688,3.535534,3,-93.167282,5.05,2025-02-19T21:56:45Z,-0.120783,-0.980442,-0.073909,2025-02-19T21:56:44Z,0.996203,-0.098362,0.193463,2025-02-19T21:56:44Z
2,257.852295,0.34,3.674152,44.941701,285.262295,270.292664,3.535534,3,-93.167356,6.03,2025-02-19T21:56:46Z,-0.163022,-0.969356,-0.077407,2025-02-19T21:56:45Z,0.530557,0.013383,0.220299,2025-02-19T21:56:45Z
3,257.853149,0.17,1.612806,44.941701,285.263149,270.292664,3.535534,3,-93.167434,6.03,2025-02-19T21:56:47Z,-0.213266,-0.97829,-0.092458,2025-02-19T21:56:46Z,-0.027834,-0.058039,0.120146,2025-02-19T21:56:46Z
4,257.955078,0.32,3.007018,44.941702,285.365078,270.292664,3.535534,3,-93.167518,6.85,2025-02-19T21:56:48Z,-0.190672,-0.989149,-0.077463,2025-02-19T21:56:47Z,0.073167,-0.127396,0.214088,2025-02-19T21:56:47Z
5,258.473877,0.16,1.475524,44.941702,285.883877,270.292664,3.535534,3,-93.167606,6.98,2025-02-19T21:56:49Z,-0.193145,-0.973762,-0.068835,2025-02-19T21:56:48Z,-0.00356,0.014808,0.188465,2025-02-19T21:56:48Z
6,258.423706,0.67,5.616803,44.941702,285.833706,270.292664,3.535534,3,-93.167701,7.8,2025-02-19T21:56:50Z,-0.193517,-0.979921,-0.070962,2025-02-19T21:56:49Z,-0.025407,-0.020613,0.166702,2025-02-19T21:56:49Z
7,258.317627,0.12,1.000533,44.941703,285.727627,270.292664,3.535534,3,-93.167801,8.25,2025-02-19T21:56:51Z,-0.210079,-0.973243,-0.068458,2025-02-19T21:56:50Z,-0.200925,0.039473,0.23733,2025-02-19T21:56:50Z
8,258.271484,0.1,0.810777,44.941703,285.681484,270.292664,3.535534,3,-93.167907,8.25,2025-02-19T21:56:52Z,-0.220928,-0.968296,-0.085989,2025-02-19T21:56:51Z,-0.329632,0.103607,0.097662,2025-02-19T21:56:51Z
9,258.296631,0.09,0.70287,44.941716,285.706631,270.292664,3.535534,3,-93.168015,8.39,2025-02-19T21:56:53Z,-0.205146,-0.961218,-0.079042,2025-02-19T21:56:52Z,-0.172186,0.148028,0.177016,2025-02-19T21:56:52Z
10,258.296636,0.308016,7.258975,44.941716,285.706636,270.2341,4.748652,4.029364,-93.168121,8.39,2025-02-19T21:56:54Z,-0.213395,-0.976813,-0.073076,2025-02-19T21:56:53Z,-0.257445,0.013583,0.18852,2025-02-19T21:56:53Z
