seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,265.047262,-1,-1,44.940056,292.457262,-1,185.360996,4.520646,-93.166711,-1,2025-02-28T01:23:31Z,-0.268087,-0.964289,-0.170077,2025-02-28T01:23:31Z,-0.090281,0.022259,-1.651555,2025-02-28T01:23:31Z
1,263.973389,1.41,22.657787,44.940042,291.383389,219.726562,7.071514,4,-93.167343,5.17,2025-02-28T01:23:32Z,-0.247719,-0.966213,-0.062869,2025-02-28T01:23:32Z,0.124689,-0.014961,-0.490415,2025-02-28T01:23:32Z
2,263.77478,0.73,10.911944,44.940103,291.18478,267.890625,4.255728,4,-93.167372,4.36,2025-02-28T01:23:33Z,-0.26433,-0.959771,0.009806,2025-02-28T01:23:33Z,-2.14e-4,0.045221,0.26442,2025-02-28T01:23:33Z
3,263.74231,0.71,7.887298,44.940111,291.152309,269.613403,3.535534,4,-93.167432,4.36,2025-02-28T01:23:34Z,-0.264972,-0.96676,-0.010688,2025-02-28T01:23:34Z,-0.061987,-0.011048,0.135401,2025-02-28T01:23:34Z
4,262.958496,0.11,1.339423,44.940119,290.368496,269.802124,3.535534,3,-93.167489,5.31,2025-02-28T01:23:35Z,-0.294976,-0.947103,-0.008808,2025-02-28T01:23:35Z,-0.329081,0.180021,0.206872,2025-02-28T01:23:35Z
5,262.682129,0.09,1.232325,44.940129,290.092129,269.802124,3.535534,3,-93.167543,5.31,2025-02-28T01:23:36Z,-0.272854,-0.958402,-0.001178,2025-02-28T01:23:36Z,-0.080372,0.047751,0.261354,2025-02-28T01:23:36Z
6,262.697144,0.08,0.950065,44.940115,290.107143,269.802124,3.535534,3,-93.16761,5.31,2025-02-28T01:23:37Z,-0.232859,-0.969165,0.029116,2025-02-28T01:23:37Z,0.315958,-0.056683,0.521254,2025-02-28T01:23:37Z
7,262.450195,0.07,0.756694,44.940129,289.860195,269.802124,3.535534,3,-93.167691,5.64,2025-02-28T01:23:38Z,-0.227144,-0.969858,0.024805,2025-02-28T01:23:38Z,0.398393,-0.065534,0.507513,2025-02-28T01:23:38Z
8,262.288391,0.08,0.724214,44.940115,289.698391,269.802124,3.535534,3,-93.167783,7.52,2025-02-28T01:23:39Z,-0.230516,-0.974434,0.028823,2025-02-28T01:23:39Z,0.363487,-0.093484,0.454937,2025-02-28T01:23:39Z
9,261.887329,0.07,0.588495,44.940115,289.297329,269.802124,3.535534,3,-93.167882,8.46,2025-02-28T01:23:40Z,-0.235592,-0.969261,0.023703,2025-02-28T01:23:40Z,0.333484,-0.087584,0.405102,2025-02-28T01:23:40Z
