seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,252.967639,1.098744,53.08694,44.934357,280.377639,176.740731,8.221486,3,-93.177198,1.488945,2025-02-28T00:58:09Z,-0.274967,-0.961771,0.165968,2025-02-28T00:58:09Z,0.325081,-0.105153,1.446701,2025-02-28T00:58:09Z
1,251.791016,1.91,36.9835,44.93428,279.201015,158.203125,3.535534,3,-93.177144,3.1,2025-02-28T00:58:10Z,-0.232406,-0.969794,0.232112,2025-02-28T00:58:10Z,0.4201,-0.104031,1.670309,2025-02-28T00:58:10Z
2,253.106812,0.97,7.6477,44.934277,280.516811,90.275864,3.535534,3,-93.176979,3.1,2025-02-28T00:58:11Z,-0.157847,-0.992615,0.02279,2025-02-28T00:58:11Z,0.977403,-0.271028,-0.30913,2025-02-28T00:58:11Z
3,253.122986,0.97,6.666056,44.934277,280.532986,90.275864,3.535534,3,-93.17688,6.77,2025-02-28T00:58:12Z,-0.148241,-0.99764,0.038539,2025-02-28T00:58:12Z,0.923332,-0.285294,-0.144487,2025-02-28T00:58:12Z
4,253.250183,0.16,1.06907,44.934276,280.660183,90.358208,3.535534,3,-93.176765,9.62,2025-02-28T00:58:13Z,-0.20608,-0.981476,0.012195,2025-02-28T00:58:13Z,0.344499,-0.127333,-0.372744,2025-02-28T00:58:13Z
5,252.773804,0.14,0.951492,44.934276,280.183804,90.358208,3.535534,3,-93.17665,9.97,2025-02-28T00:58:14Z,-0.218117,-0.970453,0.005805,2025-02-28T00:58:14Z,0.19052,0.002707,-0.393755,2025-02-28T00:58:14Z
6,252.224548,1.61,8.420629,44.934275,279.634548,90.358208,3.535534,3,-93.176532,9.62,2025-02-28T00:58:15Z,-0.217813,-0.981213,-0.002663,2025-02-28T00:58:15Z,0.13307,-0.099775,-0.460696,2025-02-28T00:58:15Z
7,252.129944,0.61,3.559796,44.934275,279.539944,90.358208,3.535534,3,-93.176396,9.97,2025-02-28T00:58:16Z,-0.228518,-0.973773,-6.53e-4,2025-02-28T00:58:16Z,0.002157,-0.004619,-0.378229,2025-02-28T00:58:16Z
8,251.753479,0.05,0.32518,44.934274,279.163479,90.358208,3.535534,3,-93.176257,11.3,2025-02-28T00:58:17Z,-0.221041,-0.973499,-0.006546,2025-02-28T00:58:17Z,0.019522,0.009274,-0.412272,2025-02-28T00:58:17Z
9,252.069458,0.07,0.400833,44.934273,279.479458,90.358208,3.535534,3,-93.17611,11.72,2025-02-28T00:58:18Z,-0.224139,-0.968495,0.001098,2025-02-28T00:58:18Z,-0.016477,0.056,-0.324511,2025-02-28T00:58:18Z
10,252.724182,1.16,5.893633,44.934273,280.134182,90.199402,3.535534,3,-93.175965,11.54,2025-02-28T00:58:19Z,-0.256716,-0.968199,-0.007335,2025-02-28T00:58:19Z,-0.323676,0.058179,-0.296711,2025-02-28T00:58:19Z
11,252.832153,2.06,6.506508,44.934273,280.242153,90.199402,3.535534,3,-93.175824,11.54,2025-02-28T00:58:20Z,-0.266118,-0.962477,-0.014653,2025-02-28T00:58:20Z,-0.421852,0.119631,-0.311796,2025-02-28T00:58:20Z
12,252.478394,0.73,3.856093,44.934272,279.888393,90.199402,3.535534,3,-93.175665,12.36,2025-02-28T00:58:21Z,-0.259005,-0.963503,-0.028674,2025-02-28T00:58:21Z,-0.341565,0.107859,-0.416212,2025-02-28T00:58:21Z
13,252.478406,0.73,7.258975,44.934272,279.888405,90.199402,4.748652,4.029364,-93.175509,12.36,2025-02-28T00:58:22Z,-0.252302,-0.962632,-0.040406,2025-02-28T00:58:22Z,-0.240719,0.102326,-0.50262,2025-02-28T00:58:22Z
14,252.645886,0.308016,7.258975,44.934271,280.055886,90.199402,4.748652,4.029364,-93.175356,12.36,2025-02-28T00:58:23Z,-0.258811,-0.965582,-0.010027,2025-02-28T00:58:23Z,-0.27919,0.082124,-0.252307,2025-02-28T00:58:23Z
15,252.668041,0.308016,7.258975,44.934271,280.078041,90.199402,4.748652,4.029364,-93.175203,12.2,2025-02-28T00:58:24Z,-0.257143,-0.959304,-0.001874,2025-02-28T00:58:24Z,-0.229625,0.120648,-0.138236,2025-02-28T00:58:24Z
16,252.552075,0.308016,7.258975,44.934271,279.962075,90.408142,4.748652,4.029364,-93.175046,12.2,2025-02-28T00:58:25Z,-0.260068,-0.973259,-0.015695,2025-02-28T00:58:25Z,-0.277968,-0.008113,-0.203914,2025-02-28T00:58:25Z
17,252.575207,1.98,13.022433,44.93427,279.985207,90.408142,4.748652,4.029364,-93.174886,12.32,2025-02-28T00:58:26Z,-0.24246,-0.954983,-0.021422,2025-02-28T00:58:26Z,-0.086886,0.173988,-0.262598,2025-02-28T00:58:26Z
18,252.358655,0.95,7.258975,44.93427,279.768655,90.408142,4.748652,4.029364,-93.174713,12.81,2025-02-28T00:58:27Z,-0.258761,-0.956037,-0.032341,2025-02-28T00:58:27Z,-0.13438,0.124116,-0.335798,2025-02-28T00:58:27Z
19,252.504773,0.308016,7.258975,44.934269,279.914773,90.231773,4.748652,4.029364,-93.174552,12.73,2025-02-28T00:58:28Z,-0.262754,-0.975734,-0.008173,2025-02-28T00:58:28Z,-0.161889,-0.055474,-0.243137,2025-02-28T00:58:28Z
20,252.485242,0.308017,7.258975,44.934269,279.895242,90.231773,4.748652,4.029364,-93.174386,12.81,2025-02-28T00:58:29Z,-0.259195,-0.969147,-0.011464,2025-02-28T00:58:29Z,-0.154573,0.005559,-0.274412,2025-02-28T00:58:29Z
21,252.430189,0.55,7.258975,44.934268,279.840189,90.231773,4.748652,4.029364,-93.17422,12.93,2025-02-28T00:58:30Z,-0.265757,-0.960662,-0.005662,2025-02-28T00:58:30Z,-0.213762,0.087261,-0.174595,2025-02-28T00:58:30Z
22,252.237746,0.308016,7.258975,44.934268,279.647746,90.231773,4.748652,4.029364,-93.174048,13.22,2025-02-28T00:58:31Z,-0.280409,-0.961257,-0.015502,2025-02-28T00:58:31Z,-0.352154,0.086293,-0.194807,2025-02-28T00:58:31Z
23,252.838087,1.83,11.301989,44.934267,280.248087,90.231773,4.748652,4.029364,-93.173883,13.12,2025-02-28T00:58:32Z,-0.279245,-0.9541,-0.016932,2025-02-28T00:58:32Z,-0.350916,0.160348,-0.220246,2025-02-28T00:58:32Z
24,253.019911,2.66,16.303762,44.934278,280.429911,90.231773,4.748652,4.029364,-93.1737,13.22,2025-02-28T00:58:33Z,-0.286393,-0.966391,-0.015089,2025-02-28T00:58:33Z,-0.336016,0.003509,-0.215773,2025-02-28T00:58:33Z
25,253.093274,0.82,7.258975,44.934266,280.503273,90.231773,4.748652,4.029364,-93.173561,12.32,2025-02-28T00:58:34Z,-0.28142,-0.945451,-0.021665,2025-02-28T00:58:34Z,-0.289386,0.226579,-0.218565,2025-02-28T00:58:34Z
26,253.202344,0.65,7.258975,44.934266,280.612343,90.231773,4.748652,4.029364,-93.173399,12.39,2025-02-28T00:58:35Z,-0.27346,-0.936131,6.36e-4,2025-02-28T00:58:35Z,-0.16793,0.296168,-0.081739,2025-02-28T00:58:35Z
27,253.770337,0.59,7.258975,44.934279,281.180336,90.310265,4.748652,4.029364,-93.173246,12.32,2025-02-28T00:58:36Z,-0.289648,-0.981244,0.001169,2025-02-28T00:58:36Z,-0.293278,-0.162418,0.015517,2025-02-28T00:58:36Z
28,253.535534,0.308016,7.258975,44.934265,280.945534,90.310265,4.748652,4.029364,-93.173091,12.35,2025-02-28T00:58:37Z,-0.263109,-0.966338,-0.015884,2025-02-28T00:58:37Z,-0.09329,0.015749,-0.129031,2025-02-28T00:58:37Z
29,253.961377,0.308016,7.258975,44.934264,281.371377,90.310265,4.748652,4.029364,-93.172933,12.35,2025-02-28T00:58:38Z,-0.266755,-0.965265,-0.019659,2025-02-28T00:58:38Z,-0.115039,0.020818,-0.207078,2025-02-28T00:58:38Z
30,253.449596,1.82,12.382185,44.934263,280.859596,90.310265,4.748652,4.029364,-93.172789,11.91,2025-02-28T00:58:39Z,-0.264098,-0.955802,-0.010538,2025-02-28T00:58:39Z,-0.047501,0.098418,-0.167456,2025-02-28T00:58:39Z
31,253.786084,0.7,7.258975,44.934263,281.196083,90.310265,4.748652,4.029364,-93.17263,12.24,2025-02-28T00:58:40Z,-0.27018,-0.966446,-0.005002,2025-02-28T00:58:40Z,-0.092045,-0.015956,-0.084497,2025-02-28T00:58:40Z
32,254.051647,0.308017,7.258975,44.934262,281.461647,90.310265,4.748652,4.029364,-93.172477,12.18,2025-02-28T00:58:41Z,-0.272457,-0.965611,-0.002834,2025-02-28T00:58:41Z,-0.130964,0.006963,-0.008073,2025-02-28T00:58:41Z
33,257.436597,1.271608,8.523671,44.934272,284.846597,90.310265,2,3,-93.172326,12.084495,2025-02-28T00:58:42Z,-0.254092,-0.963649,-9.5e-4,2025-02-28T00:58:42Z,-0.005847,0.029568,-0.011878,2025-02-28T00:58:42Z
34,257.91919,1.36662,9.179119,44.934273,285.32919,90.310265,2,3,-93.172176,12.054037,2025-02-28T00:58:43Z,-0.241969,-0.961421,-0.01664,2025-02-28T00:58:43Z,0.222154,0.031315,-0.066211,2025-02-28T00:58:43Z
35,258.397378,1.274833,8.549813,44.934262,285.80737800000003,90.288544,2,3,-93.172021,12.073237,2025-02-28T00:58:44Z,-0.252928,-0.970092,0.003146,2025-02-28T00:58:44Z,0.111519,-0.056871,0.031269,2025-02-28T00:58:44Z
36,258.545911,1.268099,8.4408550000000009,44.934267,285.955911,90.288544,2.02298,3,-93.171863,12.168384,2025-02-28T00:58:45Z,-0.241211,-0.967573,0.002202,2025-02-28T00:58:45Z,0.220418,-0.032392,-0.023624,2025-02-28T00:58:45Z
37,258.821962,1.273055,8.338816,44.93427,286.231962,90.288544,2.011955,3,-93.171706,12.364515,2025-02-28T00:58:46Z,-0.244655,-0.97332,-0.00133,2025-02-28T00:58:46Z,0.150066,-0.073699,-0.064146,2025-02-28T00:58:46Z
38,258.974854,1.274995,8.226162,44.934271,286.384854,90.288544,2.006032,3,-93.171541,12.555017,2025-02-28T00:58:47Z,-0.245808,-0.957408,0.006261,2025-02-28T00:58:47Z,0.151981,0.075197,-0.021463,2025-02-28T00:58:47Z
39,259.385488,1.272836,8.111126,44.934261,286.795488,90.288544,2.0031,3,-93.171381,12.709073,2025-02-28T00:58:48Z,-0.277944,-0.962493,-0.013359,2025-02-28T00:58:48Z,-0.154842,0.032218,-0.140961,2025-02-28T00:58:48Z
40,259.331424,1.27298,8.197686,44.934262,286.741424,90.288544,2.00159,3,-93.171227,12.580161,2025-02-28T00:58:49Z,-0.26677,-0.955217,0.006292,2025-02-28T00:58:49Z,-0.016136,0.083007,-0.011216,2025-02-28T00:58:49Z
41,259.52376,1.272167,8.059163,44.934264,286.933759,90.288544,2.000809,3,-93.171064,12.786699,2025-02-28T00:58:50Z,-0.274315,-0.968814,0.013298,2025-02-28T00:58:50Z,-0.037979,-0.064749,-0.004797,2025-02-28T00:58:50Z
42,259.818558,1.278016,8.264456,44.934264,287.228558,90.303322,2.07911,3,-93.170909,12.524403,2025-02-28T00:58:51Z,-0.262394,-0.955792,-0.002793,2025-02-28T00:58:51Z,0.056638,0.076349,-0.096563,2025-02-28T00:58:51Z
43,259.967017,1.277487,8.314236,44.93426,287.377017,90.303322,2.040683,3,-93.170753,12.445069,2025-02-28T00:58:52Z,-0.268885,-0.954337,0.003458,2025-02-28T00:58:52Z,-0.011801,0.078376,6.43e-4,2025-02-28T00:58:52Z
44,260.253694,1.272824,8.272274,44.934265,287.663693,90.303322,2.020793,3,-93.170594,12.462487,2025-02-28T00:58:53Z,-0.263615,-0.966783,0.002011,2025-02-28T00:58:53Z,0.024002,-0.01671,0.00716,2025-02-28T00:58:53Z
45,260.194544,1.272326,8.322549,44.934262,287.604544,90.303322,2.010561,3,-93.170435,12.385413,2025-02-28T00:58:54Z,-0.268393,-0.963442,-4.45e-4,2025-02-28T00:58:54Z,0.002749,-0.003541,0.012699,2025-02-28T00:58:54Z
46,260.39082,1.273551,8.307528,44.934262,287.80082,90.303322,2.205294,3,-93.170272,12.419403,2025-02-28T00:58:55Z,-0.263909,-0.958114,0.001886,2025-02-28T00:58:55Z,0.057282,0.027659,0.017344,2025-02-28T00:58:55Z
47,260.721607,1.272803,8.305593,44.934262,288.131606,90,2.448221,3,-93.17011,12.41261,2025-02-28T00:58:56Z,-0.257043,-0.964913,-7.02e-4,2025-02-28T00:58:56Z,0.070176,0.014988,0.009837,2025-02-28T00:58:56Z
48,260.974376,0.657784,7.257134,44.934264,288.384376,90.248398,2.278503,3,-93.169956,12.528681,2025-02-28T00:58:57Z,-0.250286,-0.967583,-4.07e-4,2025-02-28T00:58:57Z,0.179435,-0.049131,0.021488,2025-02-28T00:58:57Z
49,260.932347,0.673406,7.258641,44.934262,288.342347,90.248398,2.143454,3,-93.1698,12.421971,2025-02-28T00:58:58Z,-0.243447,-0.961926,2.55e-4,2025-02-28T00:58:58Z,0.229528,0.026068,0.053077,2025-02-28T00:58:58Z
50,261.297959,0.682819,7.258134,44.934255,288.707959,90.248398,2.073296,3,-93.16964,12.569783,2025-02-28T00:58:59Z,-0.241495,-0.959572,-6.91e-4,2025-02-28T00:58:59Z,0.298798,0.010534,0.071731,2025-02-28T00:58:59Z
51,261.045338,0.670354,7.258972,44.93426,288.455338,90.364517,2.036936,3,-93.169472,12.995561,2025-02-28T00:59:00Z,-0.255042,-0.971622,-4.37e-4,2025-02-28T00:59:00Z,0.218774,-0.089785,0.077537,2025-02-28T00:59:00Z
52,261.087988,0.662979,7.258835,44.934263,288.497988,90.364517,2.369823,3,-93.169304,13.210291,2025-02-28T00:59:01Z,-0.260935,-0.960638,-0.006056,2025-02-28T00:59:01Z,0.134564,0.009355,0.029608,2025-02-28T00:59:01Z
53,260.66814,0.660108,7.258959,44.934265,288.07814,90.364517,2.183548,3,-93.169135,13.345787,2025-02-28T00:59:02Z,-0.29613,-0.951135,-0.013481,2025-02-28T00:59:02Z,-0.205926,0.098608,-0.05559,2025-02-28T00:59:02Z
54,259.96355,0.727836,7.253999,44.934262,287.37355,90.364517,2.094823,3,-93.169008,11.348259,2025-02-28T00:59:03Z,-0.302179,-0.952426,-0.020531,2025-02-28T00:59:03Z,-0.23966,0.081561,-0.103182,2025-02-28T00:59:03Z
55,260.629825,0.665792,7.257706,44.934249,288.039825,90.313026,2.04573,3,-93.168811,13.000073,2025-02-28T00:59:04Z,-0.299636,-0.949247,-0.01011,2025-02-28T00:59:04Z,-0.241107,0.121777,2.42e-4,2025-02-28T00:59:04Z
56,260.518259,0.65687,7.25873,44.934248,287.928259,90.313026,2.023198,3,-93.168653,12.72295,2025-02-28T00:59:05Z,-0.29935,-0.947882,-0.010407,2025-02-28T00:59:05Z,-0.217751,0.118455,0.025571,2025-02-28T00:59:05Z
57,260.458146,0.656596,7.258958,44.934248,287.868146,90.313026,2.011975,3,-93.168503,12.297436,2025-02-28T00:59:06Z,-0.273904,-0.964454,-0.025657,2025-02-28T00:59:06Z,-0.00946,-0.023683,-0.077862,2025-02-28T00:59:06Z
58,260.648687,0.660042,7.258964,44.93426,288.058687,90.332474,2.006185,3,-93.168349,12.155553,2025-02-28T00:59:07Z,-0.27372,-0.958624,-0.040554,2025-02-28T00:59:07Z,0.030074,0.021038,-0.220785,2025-02-28T00:59:07Z
59,260.937497,0.663892,7.258675,44.934251,288.347496,90.332474,2.003232,3,-93.168199,11.969933,2025-02-28T00:59:08Z,-0.292355,-0.947829,-0.024668,2025-02-28T00:59:08Z,-0.155443,0.126755,-0.063937,2025-02-28T00:59:08Z
60,260.788041,0.66819,7.258953,44.934256,288.198041,90.332474,2.001693,3,-93.16805,11.827843,2025-02-28T00:59:09Z,-0.306985,-0.957169,-0.024784,2025-02-28T00:59:09Z,-0.286532,0.028318,-0.043196,2025-02-28T00:59:09Z
61,261.107716,0.661259,7.258003,44.934257,288.517716,90.332474,2.000898,3,-93.167906,11.460715,2025-02-28T00:59:10Z,-0.306998,-0.954645,-0.043575,2025-02-28T00:59:10Z,-0.276056,0.065705,-0.181085,2025-02-28T00:59:10Z
62,260.864808,0.668198,7.258963,44.934255,288.274807,90.332474,2.000484,3,-93.167767,11.051007,2025-02-28T00:59:11Z,-0.322984,-0.941597,-0.036509,2025-02-28T00:59:11Z,-0.413554,0.152075,-0.107938,2025-02-28T00:59:11Z
63,261.000932,0.667425,7.25847,44.934256,288.410932,90.332474,2.000267,3,-93.167638,10.470077,2025-02-28T00:59:12Z,-0.412005,-0.917655,-0.070122,2025-02-28T00:59:12Z,-1.283466,0.437343,-0.413176,2025-02-28T00:59:12Z
64,260.81159,0.667523,7.258908,44.934257,288.22159,90.332474,2.000151,3,-93.167526,9.223021,2025-02-28T00:59:13Z,-0.433455,-0.909556,-0.073927,2025-02-28T00:59:13Z,-1.372208,0.440456,-0.43369,2025-02-28T00:59:13Z
65,261.053121,0.668581,7.2589,44.934252,288.46312,90.332474,2.000091,3,-93.16744,7.519801,2025-02-28T00:59:14Z,-0.430222,-0.913524,-0.075906,2025-02-28T00:59:14Z,-1.303323,0.391112,-0.429374,2025-02-28T00:59:14Z
66,261.139568,0.670203,9.287714,44.934253,288.549568,90.332474,2.000066,3,-93.167375,5.846537,2025-02-28T00:59:15Z,-0.418026,-0.915976,-0.070029,2025-02-28T00:59:15Z,-1.06935,0.338758,-0.324849,2025-02-28T00:59:15Z
67,261.212257,0.661685,12.50777,44.934254,288.622257,90.332474,2.000053,3,-93.167331,4.284724,2025-02-28T00:59:16Z,-0.372338,-0.936349,-0.056313,2025-02-28T00:59:16Z,-0.472018,0.082331,-0.135544,2025-02-28T00:59:16Z
