seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,262.08798,-1,-1,44.933901,289.49798,-1,371.959861,3,-93.165253,-1,2025-02-28T01:14:57Z,-0.168344,-1.005917,-0.029143,2025-02-28T01:14:57Z,0.847393,-0.363607,-0.218005,2025-02-28T01:14:57Z
1,261.18634,0.93,9.38398,44.934531,288.59634,356.835938,14,3,-93.16693,6.44,2025-02-28T01:14:58Z,-0.12852,-0.996358,0.049052,2025-02-28T01:14:58Z,0.934345,-0.244138,0.422711,2025-02-28T01:14:58Z
2,259.315918,0.99,7.691151,44.934559,286.725918,0.150174,3.535534,3,-93.166942,6.44,2025-02-28T01:14:59Z,-0.150035,-0.999281,0.07141,2025-02-28T01:14:59Z,0.693361,-0.234956,0.694625,2025-02-28T01:14:59Z
3,259.098633,0.97,6.26517,44.934615,286.508633,359.502319,3.535534,3,-93.166953,6.85,2025-02-28T01:15:00Z,-0.134128,-0.995252,0.048288,2025-02-28T01:15:00Z,0.748363,-0.173403,0.545544,2025-02-28T01:15:00Z
4,259.078491,0.08,0.490296,44.934698,286.488491,359.502319,3.535534,3,-93.166948,8.3,2025-02-28T01:15:01Z,-0.169984,-0.98478,0.026549,2025-02-28T01:15:01Z,0.330622,-0.058346,0.44135,2025-02-28T01:15:01Z
5,258.72052,0.07,0.441079,44.934791,286.13052,0,3.535534,3,-93.166943,11.63,2025-02-28T01:15:02Z,-0.214607,-0.979491,0.006386,2025-02-28T01:15:02Z,-0.120585,-0.003583,0.253408,2025-02-28T01:15:02Z
6,258.827271,0.68,3.566064,44.934897,286.23727,0,3.535534,3,-93.166938,12.47,2025-02-28T01:15:04Z,-0.201242,-0.972811,0.00488,2025-02-28T01:15:03Z,-0.029437,0.070549,0.211592,2025-02-28T01:15:03Z
7,258.63562,1.77,6.323364,44.934999,286.04562,0,3.535534,3,-93.166925,11.71,2025-02-28T01:15:05Z,-0.216918,-0.9842,0.016945000000000002,2025-02-28T01:15:04Z,-0.198451,-0.037114,0.25639,2025-02-28T01:15:04Z
8,259.489746,0.83,4.104227,44.935116,286.899746,0,3.535534,3,-93.166939,12.47,2025-02-28T01:15:06Z,-0.212114,-0.961688,0.001702,2025-02-28T01:15:05Z,-0.143623,0.18133,0.166161,2025-02-28T01:15:05Z
9,259.243652,0.15,0.708655,44.935236,286.653652,0,3.535534,3,-93.16694,13.66,2025-02-28T01:15:07Z,-0.238744,-0.989181,0.032815,2025-02-28T01:15:06Z,-0.301655,-0.10966,0.240724,2025-02-28T01:15:06Z
10,259.487549,0.05,0.268261,44.93536,286.897549,0,3.535534,3,-93.166941,14.15,2025-02-28T01:15:08Z,-0.243897,-0.963984,0.015366,2025-02-28T01:15:07Z,-0.455087,0.159969,0.127036,2025-02-28T01:15:07Z
11,259.373291,0.17,0.809748,44.935486,286.783291,0,3.535534,3,-93.166942,14.15,2025-02-28T01:15:09Z,-0.244841,-0.961449,0.011674,2025-02-28T01:15:08Z,-0.427789,0.177423,0.133413,2025-02-28T01:15:08Z
12,259.507446,0.09,0.442237,44.935617,286.917446,0,3.535534,3,-93.166943,14.27,2025-02-28T01:15:10Z,-0.233374,-0.966036,0.00712,2025-02-28T01:15:09Z,-0.275188,0.124014,0.099186,2025-02-28T01:15:09Z
13,259.507462,0.308017,7.258975,44.935745,286.917462,0.230505,4.748652,4.029364,-93.166944,14.27,2025-02-28T01:15:11Z,-0.270585,-0.979704,-0.018283,2025-02-28T01:15:10Z,-0.588541,-0.032611,-0.16567,2025-02-28T01:15:10Z
14,259.513444,0.55,7.258975,44.93588,286.923444,0.230505,4.748652,4.029364,-93.166948,14.45,2025-02-28T01:15:12Z,-0.27787,-0.938558,0.011504,2025-02-28T01:15:11Z,-0.57805,0.371366,0.009039,2025-02-28T01:15:11Z
15,259.499163,0.30802,7.258975,44.936019,286.909163,0.230505,4.748652,4.029364,-93.166948,14.85,2025-02-28T01:15:13Z,-0.283737,-0.964906,0.003301,2025-02-28T01:15:12Z,-0.619483,0.102222,-0.045928,2025-02-28T01:15:12Z
16,259.906128,0.05,0.234568,44.936149,287.316128,0.230505,3.535534,3,-93.166947,14.62,2025-02-28T01:15:14Z,-0.286916,-0.961653,0.002424,2025-02-28T01:15:13Z,-0.560311,0.112897,-0.050254,2025-02-28T01:15:13Z
17,259.755127,0.05,0.255363,44.936279999999996,287.165127,359.878601,3.535534,3,-93.16695,14.45,2025-02-28T01:15:15Z,-0.276219,-0.948657,-0.002786,2025-02-28T01:15:14Z,-0.467959,0.243747,-0.084528,2025-02-28T01:15:14Z
18,259.755143,0.308018,7.258975,44.93641,287.165143,359.878601,4.748652,4.029364,-93.166952,14.45,2025-02-28T01:15:16Z,-0.282371,-0.959557,-0.024797,2025-02-28T01:15:15Z,-0.493372,0.12885,-0.24617,2025-02-28T01:15:15Z
19,260.02455200000003,0.308018,7.258975,44.936539,287.434552,359.878601,4.748652,4.029364,-93.166951,14.39,2025-02-28T01:15:17Z,-0.283274,-0.94879,-0.00245,2025-02-28T01:15:16Z,-0.467746,0.226044,-0.041902,2025-02-28T01:15:16Z
20,260.067581,0.308018,7.258975,44.936661,287.477581,0.133635,4.748652,4.029364,-93.166951,13.98,2025-02-28T01:15:18Z,-0.281768,-0.960947,0.003477,2025-02-28T01:15:17Z,-0.419115,0.098627,0.009802,2025-02-28T01:15:17Z
21,260.388565,0.308018,7.258975,44.936786,287.798565,0.133635,4.748652,4.029364,-93.166948,13.98,2025-02-28T01:15:19Z,-0.273389,-0.967049,-0.007893,2025-02-28T01:15:18Z,-0.341065,0.039838,-0.08501,2025-02-28T01:15:18Z
22,260.676101,0.308017,7.258975,44.936906,288.086101,0.133635,4.748652,4.029364,-93.166951,13.76,2025-02-28T01:15:20Z,-0.265799,-0.948221,-0.006134,2025-02-28T01:15:19Z,-0.226177,0.214312,-0.059387,2025-02-28T01:15:19Z
23,260.866714,1.33,7.883531,44.937027,288.276714,0.679126,4.748652,4.029364,-93.166953,13.67,2025-02-28T01:15:21Z,-0.264897,-0.955149,-0.003843,2025-02-28T01:15:20Z,-0.157687,0.131249,-0.050004,2025-02-28T01:15:20Z
24,261.323196,2.8,16.596906,44.937153,288.733196,359.884857,4.748652,4.029364,-93.166962,13.67,2025-02-28T01:15:22Z,-0.268254,-0.975387,0.005433,2025-02-28T01:15:21Z,-0.192071,-0.066908,0.082718,2025-02-28T01:15:21Z
25,261.418592,2.05,12.866643,44.937255,288.828592,359.884857,4.748652,4.029364,-93.166946,12.91,2025-02-28T01:15:23Z,-0.270631,-0.955433,-0.002154,2025-02-28T01:15:22Z,-0.206951,0.126619,0.028571,2025-02-28T01:15:22Z
26,261.412673,0.86,7.258975,44.937385,288.822673,359.884857,4.748652,4.029364,-93.166944,13.68,2025-02-28T01:15:24Z,-0.264194,-0.967738,0.006803,2025-02-28T01:15:23Z,-0.129318,0.005984,0.044364,2025-02-28T01:15:23Z
27,261.65187,0.308017,7.258975,44.937501,289.06187,359.884857,4.748652,4.029364,-93.166947,13.55,2025-02-28T01:15:25Z,-0.276821,-0.958254,-0.006775,2025-02-28T01:15:24Z,-0.202784,0.077905,-0.073756,2025-02-28T01:15:24Z
