seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,254.104875,-0.463333,0.826831,44.941604,281.514875,31.208333,121.01829,4.666667,-93.175229,2.29,2025-02-28T01:21:44Z,-0.291119,-0.959822,-0.015048,2025-02-28T01:21:44Z,-0.432169,0.0885,-0.013386,2025-02-28T01:21:44Z
1,253.867065,1.39,10.722312,44.941339,281.277065,94.570312,3.535534,3,-93.174225,8.87,2025-02-28T01:21:45Z,-0.280785,-0.945247,-0.005947,2025-02-28T01:21:45Z,-0.311383,0.216581,0.393961,2025-02-28T01:21:45Z
2,253.02832,1.05,6.102305,44.941299,280.43832,95.181595,3.535534,3,-93.174097,8.87,2025-02-28T01:21:46Z,-0.255168,-0.951351,-0.009041,2025-02-28T01:21:46Z,0.04716,0.131026,0.410139,2025-02-28T01:21:46Z
3,252.510864,0.59,3.747999,44.941296,279.920864,90,3.535534,3,-93.173969,9.69,2025-02-28T01:21:47Z,-0.246375,-0.9751,-5.25e-4,2025-02-28T01:21:47Z,0.056716,-0.088411,0.473148,2025-02-28T01:21:47Z
4,252.845703,0.68,4.284515,44.941296,280.255703,90,3.535534,3,-93.173837,10.26,2025-02-28T01:21:48Z,-0.214749,-0.977358,-0.020613,2025-02-28T01:21:48Z,0.320186,-0.108115,0.316786,2025-02-28T01:21:48Z
5,253.110229,0.76,4.59751,44.941296,280.520229,90,3.535534,3,-93.173706,10.76,2025-02-28T01:21:49Z,-0.222435,-0.971162,-0.030308,2025-02-28T01:21:49Z,0.258027,-0.032734,0.278462,2025-02-28T01:21:49Z
6,253.341919,0.95,5.491385,44.941295,280.751919,90.43531,3.535534,3,-93.173568,10.76,2025-02-28T01:21:50Z,-0.200892,-0.980884,-0.059571,2025-02-28T01:21:50Z,0.442102,-0.133293,0.017389,2025-02-28T01:21:50Z
7,253.315063,1.89,7.381369,44.941295,280.725063,90.43531,3.535534,3,-93.173436,10.76,2025-02-28T01:21:51Z,-0.238335,-0.959844,-0.037615,2025-02-28T01:21:51Z,0.130662,0.066545000000000007,0.098263,2025-02-28T01:21:51Z
8,253.113647,1.38,5.000072,44.94131,280.523647,90.43531,3.535534,3,-93.173287,11.58,2025-02-28T01:21:52Z,-0.242654,-0.965896,-0.035655,2025-02-28T01:21:52Z,0.114044,0.001738,0.087112,2025-02-28T01:21:52Z
9,252.851562,1.56,5.976967,44.941306,280.261562,90.43531,3.535534,3,-93.173146,11.69,2025-02-28T01:21:53Z,-0.221527,-0.98174,-0.025572,2025-02-28T01:21:53Z,0.314632,-0.145954,0.020265,2025-02-28T01:21:53Z
10,252.75647,2.01,6.023063,44.941303,280.16647,90.43531,3.535534,3,-93.172987,11.69,2025-02-28T01:21:54Z,-0.22563,-0.957354,-0.012954,2025-02-28T01:21:54Z,0.2615,0.096158,0.166745,2025-02-28T01:21:54Z
11,252.705872,1.88,5.783402,44.941307,280.115871,90.222748,3.535534,3,-93.172824,12.52,2025-02-28T01:21:55Z,-0.264795,-0.956891,-0.050331,2025-02-28T01:21:55Z,-0.141215,0.102019,-0.10463,2025-02-28T01:21:55Z
12,253.162842,1.53,5.29144,44.941304,280.572842,90.222748,3.535534,3,-93.172659,12.57,2025-02-28T01:21:56Z,-0.265498,-0.963417,-0.04226,2025-02-28T01:21:56Z,-0.120629,0.02984,0.001786,2025-02-28T01:21:56Z
13,253.162854,1.53,9.862654,44.941304,280.572854,90.222748,4.748652,4.029364,-93.172499,12.57,2025-02-28T01:21:57Z,-0.260159,-0.964724,-0.032272,2025-02-28T01:21:57Z,-0.031549,0.011977,-0.021545,2025-02-28T01:21:57Z
14,252.901868,1.1,7.258975,44.94129,280.311868,90.222748,4.748652,4.029364,-93.172352,12.57,2025-02-28T01:21:58Z,-0.250943,-0.964592,-0.039667,2025-02-28T01:21:58Z,0.052897,0.01199,-0.017568,2025-02-28T01:21:58Z
15,252.913708,1.1,7.258975,44.94129,280.323708,89.937492,4.748652,4.029364,-93.172196,12.43,2025-02-28T01:21:59Z,-0.24082,-0.944477,-0.044499,2025-02-28T01:21:59Z,0.09312,0.220841,0.012456,2025-02-28T01:21:59Z
16,253.160535,1.59,10.364864,44.94129,280.570534,89.937492,4.748652,4.029364,-93.172038,12.43,2025-02-28T01:22:00Z,-0.279415,-0.965316,-0.068169,2025-02-28T01:22:00Z,-0.259447,0.011867,-0.276186,2025-02-28T01:22:00Z
17,253.369153,1.32,8.529313,44.94129,280.779153,89.937492,4.748652,4.029364,-93.171877,12.54,2025-02-28T01:22:01Z,-0.294502,-0.95479,-0.041122,2025-02-28T01:22:01Z,-0.417936,0.099427,-0.081122,2025-02-28T01:22:01Z
18,253.833753,1.9,12.277041,44.941305,281.243752,89.937492,4.748652,4.029364,-93.171718,12.54,2025-02-28T01:22:02Z,-0.297139,-0.950691,-0.046786,2025-02-28T01:22:02Z,-0.330452,0.148099,-0.016238,2025-02-28T01:22:02Z
19,253.535412,1.58,10.341275,44.94129,280.945412,89.937492,4.748652,4.029364,-93.171565,12.38,2025-02-28T01:22:03Z,-0.284463,-0.940905,-0.050204,2025-02-28T01:22:03Z,-0.266023,0.240357,-0.085052,2025-02-28T01:22:03Z
20,253.981701,2.21,14.464694,44.941291,281.391701,89.937492,4.748652,4.029364,-93.171399,12.38,2025-02-28T01:22:04Z,-0.30661,-0.955903,-0.055617,2025-02-28T01:22:04Z,-0.396178,0.071456,-0.193797,2025-02-28T01:22:04Z
21,254.396128,1.96,14.543571,44.941307,281.806127,89.937492,4.748652,4.029364,-93.171285,10.92,2025-02-28T01:22:05Z,-0.330613,-0.94347,-0.028466,2025-02-28T01:22:05Z,-0.597259,0.188315,-0.074705,2025-02-28T01:22:05Z
22,254.326364,0.9,7.258975,44.941291,281.736364,89.937492,4.748652,4.029364,-93.171153,10.92,2025-02-28T01:22:06Z,-0.353236,-0.935831,-0.083811,2025-02-28T01:22:06Z,-0.792376,0.251081,-0.456442,2025-02-28T01:22:06Z
23,254.721017,0.72,7.258975,44.941302,282.131017,90,4.748652,4.029364,-93.171025,10.51,2025-02-28T01:22:07Z,-0.395659,-0.918125,-0.047208,2025-02-28T01:22:07Z,-1.089532,0.39595,-0.304876,2025-02-28T01:22:07Z
24,254.04493,1.13,8.787156,44.941306,281.45493,87.995911,4.748652,4.029364,-93.170898,10.42,2025-02-28T01:22:08Z,-0.402012,-0.915868,-0.050082,2025-02-28T01:22:08Z,-1.089288,0.399147,-0.318372,2025-02-28T01:22:08Z
25,254.640389,0.79,7.258975,44.941297,282.050389,87.995911,4.748652,4.029364,-93.170814,10.08,2025-02-28T01:22:09Z,-0.401799,-0.930707,-0.054867,2025-02-28T01:22:09Z,-1.043474,0.238133,-0.275483,2025-02-28T01:22:09Z
26,254.635623,0.78,10.516173,44.941295,282.045623,87.995911,4.748652,4.029364,-93.17078,6.01,2025-02-28T01:22:10Z,-0.400924,-0.926267,-0.066267,2025-02-28T01:22:10Z,-1.005206,0.270642,-0.329753,2025-02-28T01:22:10Z
27,254.592898,0.99,13.347451,44.941291,282.002898,87.995911,4.748652,4.029364,-93.170702,6.01,2025-02-28T01:22:11Z,-0.414025,-0.910509,-0.070054,2025-02-28T01:22:11Z,-1.050508,0.395054,-0.276458,2025-02-28T01:22:11Z
28,255.406619,1.12,23.228966,44.941289,282.816618,87.995911,4.748652,4.029364,-93.170665,5.45,2025-02-28T01:22:12Z,-0.381819,-0.927685,-0.085511,2025-02-28T01:22:12Z,-0.614212,0.179772,-0.287757,2025-02-28T01:22:12Z
29,255.591737,1.56,43.55224,44.941292,283.001736,87.995911,4.748652,4.029364,-93.170662,3.06,2025-02-28T01:22:13Z,-0.286929,-0.954599,-0.048897,2025-02-28T01:22:13Z,0.343846,-0.09626,0.116672,2025-02-28T01:22:13Z
30,255.499573,1.94,76.680603,44.941297,282.909573,87.995911,4.748652,4.029364,-93.17066,2.05,2025-02-28T01:22:14Z,-0.180818,-0.984452,-0.024215,2025-02-28T01:22:14Z,1.300111,-0.358659,0.373284,2025-02-28T01:22:14Z
31,255.447083,1.1,133.031813,44.941302,282.857082,87.995911,4.748652,4.029364,-93.170676,0.67,2025-02-28T01:22:15Z,-0.088094,-1.010313,-0.003768,2025-02-28T01:22:15Z,2.216573,-0.62463,0.624776,2025-02-28T01:22:15Z
32,255.388733,0.89,35.524796,44.941303,282.798733,87.995911,4.748652,4.029364,-93.170637,2.03,2025-02-28T01:22:16Z,-0.127454,-1.000329,-0.015461,2025-02-28T01:22:16Z,1.737844,-0.480294,0.444947,2025-02-28T01:22:16Z
33,256.027783,1.281086,34.489212,44.941309,283.437783,87.995911,2,3,-93.170574,3.009514,2025-02-28T01:22:17Z,-0.159228,-0.993026,-0.011895,2025-02-28T01:22:17Z,1.401807,-0.416098,0.456989,2025-02-28T01:22:17Z
34,256.124848,1.469541,30.2369,44.94131,283.534848,87.995911,2.717869,3,-93.170514,3.937395,2025-02-28T01:22:18Z,-0.182711,-0.987589,-0.010154,2025-02-28T01:22:18Z,1.228227,-0.367923,0.389018,2025-02-28T01:22:18Z
35,255.74394,1.289783,19.071378,44.941301,283.15394,87.995911,2.358934,3,-93.170426,5.476576,2025-02-28T01:22:19Z,-0.163881,-0.975102,0.024411,2025-02-28T01:22:19Z,1.446453,-0.250606,0.549325,2025-02-28T01:22:19Z
36,255.671332,1.268854,16.014415,44.94131,283.081332,87.616814,2.236627,3,-93.170332,6.417208,2025-02-28T01:22:20Z,-0.179542,-0.990968,0.010308,2025-02-28T01:22:20Z,1.066434,-0.331471,0.34327,2025-02-28T01:22:20Z
37,254.000502,0.825594,8.954064,44.941315,281.410502,86.266069,2.204924,3,-93.170234,7.376345,2025-02-28T01:22:21Z,-0.221157,-0.966225,-0.004697,2025-02-28T01:22:21Z,0.646776,-0.085801,0.225771,2025-02-28T01:22:21Z
