seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,252.217752,-1,-1,44.941638,279.627752,-1,281.304687,3,-93.175516,-1,2025-03-07T00:24:47Z,-0.343792,-0.933647,0.160561,2025-03-07T00:24:47Z,-0.630661,0.23903,0.848243,2025-03-07T00:24:47Z
1,249.07135,1.9,7.812163,44.941645,276.48135,270.351562,14,6,-93.17752,12.78,2025-03-07T00:24:48Z,-0.343,-0.940733,0.086959,2025-03-07T00:24:48Z,-0.809683,0.19459,-0.088084,2025-03-07T00:24:48Z
2,249.624634,3.74,23.915083,44.941628,277.034634,270.1698,11.580401,4,-93.177542,12.71,2025-03-07T00:24:49Z,-0.299131,-0.953644,0.048061,2025-03-07T00:24:49Z,-0.518766,0.104267,-0.483014,2025-03-07T00:24:49Z
3,249.674683,3.62,41.836712,44.941628,277.084682,270.1698,10.741225,4,-93.177523,9.91,2025-03-07T00:24:50Z,-0.11358,-0.99896,0.080888,2025-03-07T00:24:50Z,1.174848,-0.304351,-0.187692,2025-03-07T00:24:50Z
4,249.523621,1.02,8.174034,44.941611,276.93362,149.414062,17.428865,3,-93.17737,8.08,2025-03-07T00:24:51Z,-0.131788,-0.990362,0.056798,2025-03-07T00:24:51Z,0.921716,-0.209925,-0.352794,2025-03-07T00:24:51Z
5,248.372131,0.07,0.815576,44.941389,275.782131,177.1875,4.212569,3,-93.17733,6.11,2025-03-07T00:24:52Z,-0.141832,-0.989301,0.041553,2025-03-07T00:24:52Z,0.853226,-0.211633,-0.495163,2025-03-07T00:24:52Z
6,248.104858,0.07,0.709752,44.94132,275.514858,177.890625,3.535534,3,-93.177314,7.1,2025-03-07T00:24:54Z,-0.147315,-0.998924,0.041585,2025-03-07T00:24:53Z,0.729677,-0.281186,-0.488793,2025-03-07T00:24:53Z
7,247.807434,0.07,0.607906,44.94125,275.217434,177.890625,3.535534,3,-93.177299,7.1,2025-03-07T00:24:55Z,-0.148916,-0.983616,0.070835,2025-03-07T00:24:54Z,0.646731,-0.114538,-0.456067,2025-03-07T00:24:54Z
8,247.306274,0.34,2.485574,44.941178,274.716274,179.648438,3.535534,3,-93.177299,8.03,2025-03-07T00:24:56Z,-0.156646,-0.994236,0.059156,2025-03-07T00:24:55Z,0.484638,-0.240029,-0.605419,2025-03-07T00:24:55Z
9,247.360168,0.23,1.531713,44.941088,274.770168,179.648438,3.535534,3,-93.177294,10.03,2025-03-07T00:24:57Z,-0.178797,-0.977731,0.058401,2025-03-07T00:24:56Z,0.222339,-0.037557,-0.427852,2025-03-07T00:24:56Z
10,247.235107,0.14,0.898296,44.940999,274.645107,179.648438,3.535534,3,-93.177284,10.57,2025-03-07T00:24:58Z,-0.20187,-0.972737,0.051443,2025-03-07T00:24:57Z,0.023066,0.0049,-0.533857,2025-03-07T00:24:57Z
11,247.203979,0.14,0.852733,44.940901,274.613979,180.703125,3.535534,3,-93.177281,10.57,2025-03-07T00:24:59Z,-0.216206,-0.969099,0.052301,2025-03-07T00:24:58Z,-0.141721,0.047944,-0.477813,2025-03-07T00:24:58Z
12,247.198242,0.54,3.22018,44.940802,274.608242,181.40625,3.535534,3,-93.177283,10.97,2025-03-07T00:25:00Z,-0.260935,-0.967817,0.051264,2025-03-07T00:24:59Z,-0.612302,0.072077,-0.403073,2025-03-07T00:24:59Z
