seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,262.454531,0.694015,11.413836,44.934308,289.864531,188.482103,2.122964,3,-93.167139,4.928496,2025-03-07T00:49:03Z,-0.241836,-0.970806,-0.18285,2025-03-07T00:49:03Z,0.276468,-0.087289,-1.779381,2025-03-07T00:49:03Z
1,262.627176,0.690374,12.255917,44.934274,290.037175,201.192604,2.112717,3,-93.167163,4.567444,2025-03-07T00:49:04Z,-0.191487,-0.982588,-0.166726,2025-03-07T00:49:04Z,0.518428,-0.133948,-1.247046,2025-03-07T00:49:04Z
2,262.57596,0.65601,11.678165,44.93426,289.98596,236.500497,2.104047,3,-93.167227,4.551221,2025-03-07T00:49:05Z,-0.112869,-0.998328,-0.085297,2025-03-07T00:49:05Z,1.000503,-0.231213,-0.28922,2025-03-07T00:49:05Z
3,262.523686,0.663562,10.799128,44.934258,289.933686,259.272377,2.096615,3,-93.167295,4.973794,2025-03-07T00:49:06Z,-0.128706,-1.000654,-0.050671,2025-03-07T00:49:06Z,0.676296,-0.211893,-0.034024,2025-03-07T00:49:06Z
4,262.610081,0.661814,8.490083,44.934276,290.020081,270.332489,2.138602,3,-93.167387,6.317781,2025-03-07T00:49:07Z,-0.147415,-0.990339,0.020676,2025-03-07T00:49:07Z,0.381843,-0.08566,0.596062,2025-03-07T00:49:07Z
5,262.220203,0.646303,7.257783,44.934277,289.630203,270.332489,2.122423,3,-93.167489,7.428035,2025-03-07T00:49:08Z,-0.155696,-0.988338,0.020814,2025-03-07T00:49:08Z,0.264569,-0.062414,0.538608,2025-03-07T00:49:08Z
6,262.226817,0.650104,7.258556,44.934277,289.636817,270.332489,2.097542,3,-93.167602,8.443461,2025-03-07T00:49:09Z,-0.179626,-0.984584,0.025355,2025-03-07T00:49:09Z,0.014283,-0.009425,0.518979,2025-03-07T00:49:09Z
7,262.076317,0.651957,7.258416,44.934278,289.486317,270.332489,2.302215,3,-93.167725,9.30863,2025-03-07T00:49:10Z,-0.179749,-0.979271,0.016462,2025-03-07T00:49:10Z,-0.027167,0.048226,0.41188,2025-03-07T00:49:10Z
8,261.962875,0.648592,7.258563,44.934278,289.372875,270.332489,2.264182,3,-93.167854,9.898733,2025-03-07T00:49:11Z,-0.190284,-0.984863,0.016284,2025-03-07T00:49:11Z,-0.130273,-0.010827,0.37194,2025-03-07T00:49:11Z
9,261.994907,0.667366,7.258947,44.934264,289.404906,270.332489,2.158771,3,-93.167992,10.541659,2025-03-07T00:49:12Z,-0.212007,-0.97447,0.019063,2025-03-07T00:49:12Z,-0.365525,0.09926,0.309411,2025-03-07T00:49:12Z
10,261.663678,0.644362,7.258604,44.934271,289.073678,270.332489,2.091274,3,-93.168136,11.014948,2025-03-07T00:49:13Z,-0.236612,-0.972878,0.009753,2025-03-07T00:49:13Z,-0.563818,0.109052,0.188483,2025-03-07T00:49:13Z
11,261.535406,0.644174,7.258742,44.934272,288.945406,270.332489,2.341174,3,-93.168281,11.219174,2025-03-07T00:49:14Z,-0.234995,-0.963497,0.024264,2025-03-07T00:49:14Z,-0.485964,0.193498,0.231429,2025-03-07T00:49:14Z
12,261.409716,0.654583,7.258643,44.934274,288.819716,270.332489,2.372703,3,-93.168428,11.439398,2025-03-07T00:49:15Z,-0.24568,-0.968834,0.004637,2025-03-07T00:49:15Z,-0.616774,0.125396,0.092382,2025-03-07T00:49:15Z
13,261.464873,0.653678,7.258975,44.934272,288.874873,270.313019,2.1989899999999998,3,-93.168576,11.52136,2025-03-07T00:49:16Z,-0.237378,-0.96332,0.044488,2025-03-07T00:49:16Z,-0.458163,0.191394,0.424091,2025-03-07T00:49:16Z
14,261.249815,0.651238,7.258687,44.934271,288.659815,270.313019,2.10635,3,-93.168723,11.564606,2025-03-07T00:49:17Z,-0.226988,-0.966869,0.026324,2025-03-07T00:49:17Z,-0.344895,0.136146,0.210652,2025-03-07T00:49:17Z
15,261.182942,0.651867,7.258806,44.934274,288.592942,270.313019,2.340049,3,-93.168873,11.655428,2025-03-07T00:49:18Z,-0.230987,-0.972499,0.01346,2025-03-07T00:49:18Z,-0.368156,0.088872,0.086147,2025-03-07T00:49:18Z
16,261.149763,0.652541,7.258903,44.934274,288.559763,270.313019,2.306097,3,-93.169022,11.728343,2025-03-07T00:49:19Z,-0.243001,-0.965311,0.005341,2025-03-07T00:49:19Z,-0.436899,0.14223,-0.021207,2025-03-07T00:49:19Z
17,261.233565,0.650219,7.258974,44.934273,288.643565,270.364532,2.161328,3,-93.169174,11.819142,2025-03-07T00:49:20Z,-0.246573,-0.971478,0.018137,2025-03-07T00:49:20Z,-0.430708,0.076447,0.041535999999999997,2025-03-07T00:49:20Z
18,260.985556,0.65136,7.258435,44.934273,288.395555,270.364532,2.08478,3,-93.169327,11.958007,2025-03-07T00:49:21Z,-0.247281,-0.965022,0.019605,2025-03-07T00:49:21Z,-0.418224,0.133318,0.051513,2025-03-07T00:49:21Z
19,261.006057,0.650826,7.258944,44.934273,288.416057,270.364532,2.044517,3,-93.169478,11.942811,2025-03-07T00:49:22Z,-0.245751,-0.975596,0.021739,2025-03-07T00:49:22Z,-0.390002,0.029725,0.082591,2025-03-07T00:49:22Z
20,260.83126,0.648046,7.258778,44.934275,288.24126,270.364532,2.023363,3,-93.169629,11.881273,2025-03-07T00:49:23Z,-0.246151,-0.952152,0.020518,2025-03-07T00:49:23Z,-0.373467,0.26156,0.203257,2025-03-07T00:49:23Z
21,260.854114,0.647511,7.258889,44.934277,288.264114,270.248383,2.012279,3,-93.169778,11.776345,2025-03-07T00:49:24Z,-0.24137,-0.962724,0.009412,2025-03-07T00:49:24Z,-0.208116,0.120832,0.080594,2025-03-07T00:49:24Z
22,260.866652,0.650282,7.25883,44.934275,288.276652,270.248383,2.006487,3,-93.169929,11.852088,2025-03-07T00:49:25Z,-0.237699,-0.96963,0.011691,2025-03-07T00:49:25Z,-0.182841,0.063515,0.071461,2025-03-07T00:49:25Z
