seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,259.073682,-1,-1,44.941493,286.483681,-1,484.722026,3,-93.166835,-1,2025-03-07T00:42:10Z,-0.232429,-0.961231,-0.131489,2025-03-07T00:42:10Z,0.204459,0.060957,-1.162789,2025-03-07T00:42:10Z
1,256.9646,2.99,37.452588,44.941679,284.374599,151.171875,6.784499,8,-93.167136,4.78,2025-03-07T00:42:11Z,-0.1481,-0.978431,-0.060893,2025-03-07T00:42:11Z,1.023761,-0.137295,-0.271239,2025-03-07T00:42:11Z
2,260.124756,0.99,12.896376,44.941682,287.534756,270.292633,3.535534,3,-93.167292,4.78,2025-03-07T00:42:12Z,-0.164234,-0.982242,-0.045134,2025-03-07T00:42:12Z,1.017602,-0.172369,-0.012658,2025-03-07T00:42:12Z
3,259.352478,0.09,0.911619,44.941689,286.762478,274.21875,3.535534,3,-93.167369,4.97,2025-03-07T00:42:13Z,-0.226898,-0.980895,0.007458,2025-03-07T00:42:13Z,0.342726,-0.180052,0.459686,2025-03-07T00:42:13Z
4,259.495361,0.51,4.700592,44.941689,286.905361,273.515625,3.535534,3,-93.167463,7.1,2025-03-07T00:42:14Z,-0.228472,-0.961927,-0.026782,2025-03-07T00:42:14Z,0.239374,0.050834,0.230694,2025-03-07T00:42:14Z
5,259.148682,0.27,2.414678,44.94169,286.558681,268.59375,3.535534,3,-93.167562,7.38,2025-03-07T00:42:15Z,-0.220562,-0.983963,0.01631,2025-03-07T00:42:15Z,0.209347,-0.13529,0.44119,2025-03-07T00:42:15Z
6,258.697754,0.14,1.133425,44.941694,286.107754,268.945312,3.535534,3,-93.167663,7.38,2025-03-07T00:42:17Z,-0.23073,-0.964611,0.00825,2025-03-07T00:42:16Z,0.015987,0.072515,0.313125,2025-03-07T00:42:16Z
7,258.162537,0.18,1.495451,44.941693,285.572536,269.296875,3.535534,3,-93.167762,7.84,2025-03-07T00:42:18Z,-0.270322,-0.961159,-0.016797,2025-03-07T00:42:17Z,-0.389213,0.106097,0.186456,2025-03-07T00:42:17Z
8,257.302856,1.82,17.077882,44.941692,284.712856,270.351562,3.535534,3,-93.167856,6.88,2025-03-07T00:42:19Z,-0.2293,-0.968883,-0.013974,2025-03-07T00:42:18Z,-0.011479,0.063756,0.133063,2025-03-07T00:42:18Z
9,257.763916,2.16,16.964814,44.941693,285.173916,271.40625,3.535534,3,-93.167966,8.18,2025-03-07T00:42:20Z,-0.254955,-0.972867,-0.032274,2025-03-07T00:42:19Z,-0.30471,-0.002889,0.104989,2025-03-07T00:42:19Z
10,256.745239,2.09,15.474195,44.941674,284.155239,260.15625,3.535534,3,-93.168069,8.18,2025-03-07T00:42:21Z,-0.263492,-0.945376,-0.041154,2025-03-07T00:42:20Z,-0.336826,0.26385,-0.005649,2025-03-07T00:42:20Z
11,255.884033,0.8,6.460479,44.941683,283.294033,270,3.535534,3,-93.168175,8.18,2025-03-07T00:42:22Z,-0.273457,-0.9678,-0.014388,2025-03-07T00:42:21Z,-0.498152,0.088998,0.208441,2025-03-07T00:42:21Z
12,255.884038,0.8,7.924544,44.941683,283.294038,269.999927,4.748652,4.029364,-93.168279,8.18,2025-03-07T00:42:23Z,-0.30081,-0.945147,-0.008922,2025-03-07T00:42:22Z,-0.645783,0.205902,0.112828,2025-03-07T00:42:22Z
13,255.683843,0.308016,7.258975,44.941681,283.093843,269.296801,4.748652,4.029364,-93.168388,8.27,2025-03-07T00:42:24Z,-0.286136,-0.962721,-0.015364,2025-03-07T00:42:23Z,-0.46913,0.113817,0.09895,2025-03-07T00:42:23Z
14,255.576787,0.62,7.258975,44.94168,282.986787,269.296805,4.748652,4.029364,-93.168479,7.81,2025-03-07T00:42:25Z,-0.275139,-0.957056,-0.039635,2025-03-07T00:42:24Z,-0.351278,0.126723,-0.189336,2025-03-07T00:42:24Z
15,255.051091,0.308016,7.258975,44.941679,282.461091,269.648366,4.748652,4.029364,-93.168583,7.95,2025-03-07T00:42:26Z,-0.283183,-0.950909,-0.024908,2025-03-07T00:42:25Z,-0.469025,0.197369,-0.009464,2025-03-07T00:42:25Z
16,254.567144,0.308016,7.258975,44.941682,281.977143,271.406179,4.748652,4.029364,-93.168686,7.9,2025-03-07T00:42:27Z,-0.333204,-0.945017,-0.012689,2025-03-07T00:42:26Z,-0.79786,0.254147,0.011824,2025-03-07T00:42:26Z
