seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,250.994484,0.0575,9.293923,44.941143,278.404484,26.408203,38.698077,6.144668,-93.177261,0.435,2025-03-07T00:31:57Z,-0.201696,-0.969205,0.200093,2025-03-07T00:31:57Z,0.104054,0.072962,1.605896,2025-03-07T00:31:57Z
1,251.194458,2.06,25.052118,44.941304,278.604458,118.828125,4.231386,4,-93.177066,5.2,2025-03-07T00:31:58Z,-0.143783,-1.001209,0.14098,2025-03-07T00:31:58Z,0.561087,-0.212622,1.055148,2025-03-07T00:31:58Z
2,250.835388,0.98,7.859547,44.941324,278.245388,91.915306,3.78845,3,-93.176966,5.2,2025-03-07T00:31:59Z,-0.114959,-0.99577,0.043625,2025-03-07T00:31:59Z,0.631809,-0.136756,0.340238,2025-03-07T00:31:59Z
3,250.815979,0.26,2.013888,44.941331,278.225979,90.718887,3.677207,3,-93.176863,6.68,2025-03-07T00:32:00Z,-0.09425,-1.000581,-0.008486,2025-03-07T00:32:00Z,0.76844,-0.156717,0.015271,2025-03-07T00:32:00Z
4,250.519165,0.23,1.5254,44.941343,277.929165,90.718887,3.535534,3,-93.176743,9.83,2025-03-07T00:32:01Z,-0.093064,-1.00405,-0.017941,2025-03-07T00:32:01Z,0.696523,-0.171245,0.057644,2025-03-07T00:32:01Z
5,249.531677,0.14,0.819336,44.941352,276.941677,90.330261,3.535534,3,-93.176612,11.11,2025-03-07T00:32:02Z,-0.144134,-1.000871,-0.023339,2025-03-07T00:32:02Z,0.201221,-0.144424,-0.073059,2025-03-07T00:32:02Z
6,248.660767,1.83,7.661379,44.941364,276.070766,90.330261,3.535534,3,-93.176472,10.94,2025-03-07T00:32:03Z,-0.167991,-0.981766,-0.015048,2025-03-07T00:32:03Z,-0.076254,0.054932,-0.12926,2025-03-07T00:32:03Z
7,248.155518,2.05,6.665819,44.941353,275.565517,90.330261,3.535534,3,-93.176336,11.11,2025-03-07T00:32:04Z,-0.171108,-0.985179,-0.011478,2025-03-07T00:32:04Z,-0.09883,0.020161,-0.127179,2025-03-07T00:32:04Z
8,248.587463,0.79,4.115189,44.941351,275.997463,90,3.535534,3,-93.176182,12.53,2025-03-07T00:32:05Z,-0.197246,-0.985849,-0.014592,2025-03-07T00:32:05Z,-0.325306,2.41e-4,-0.200103,2025-03-07T00:32:05Z
9,248.47522,0.31,1.623907,44.941345,275.88522,90,3.535534,3,-93.176031,12.53,2025-03-07T00:32:06Z,-0.189328,-0.974716,-0.011539,2025-03-07T00:32:06Z,-0.282682,0.123668,-0.22037,2025-03-07T00:32:06Z
10,248.689209,0.13,0.681564,44.941343,276.099209,90,3.535534,3,-93.175871,12.53,2025-03-07T00:32:07Z,-0.216818,-0.971837,-4.53e-4,2025-03-07T00:32:07Z,-0.486465,0.143738,-0.153152,2025-03-07T00:32:07Z
11,249.373413,0.28,1.45009,44.941343,276.783413,90,3.535534,3,-93.175711,12.71,2025-03-07T00:32:08Z,-0.231943,-0.975764,-0.012401,2025-03-07T00:32:08Z,-0.614135,0.095775,-0.189162,2025-03-07T00:32:08Z
12,249.793213,1.92,7.072841,44.941347,277.203213,90,3.535534,3,-93.175559,12.71,2025-03-07T00:32:09Z,-0.233577,-0.965615,-0.009659,2025-03-07T00:32:09Z,-0.614448,0.178875,-0.211398,2025-03-07T00:32:09Z
13,249.793226,1.92,12.240335,44.941349,277.203225,90,4.748652,4.029364,-93.175398,12.71,2025-03-07T00:32:10Z,-0.247077,-0.963154,-0.010054,2025-03-07T00:32:10Z,-0.655726,0.203111,-0.18551,2025-03-07T00:32:10Z
14,249.927503,1.46,9.156468,44.941345,277.337503,90,4.748652,4.029364,-93.175224,12.92,2025-03-07T00:32:11Z,-0.24678,-0.971899,-0.012177,2025-03-07T00:32:11Z,-0.597921,0.104913,-0.137344,2025-03-07T00:32:11Z
15,249.759535,1.82,11.414227,44.941345,277.169534,90,4.748652,4.029364,-93.175062,12.92,2025-03-07T00:32:12Z,-0.244244,-0.970125,-0.006892,2025-03-07T00:32:12Z,-0.578671,0.126933,-0.075593,2025-03-07T00:32:12Z
16,250.249524,1.07,7.258975,44.941355,277.659524,89.1409,4.748652,4.029364,-93.174907,12.66,2025-03-07T00:32:13Z,-0.250649,-0.961413,0.034968,2025-03-07T00:32:13Z,-0.58019,0.196211,0.279894,2025-03-07T00:32:13Z
17,250.101269,0.308016,7.258975,44.941359,277.511268,86.857971,4.748652,4.029364,-93.174765,12,2025-03-07T00:32:14Z,-0.255856,-0.963597,0.092189,2025-03-07T00:32:14Z,-0.593487,0.163573,0.86606,2025-03-07T00:32:14Z
18,250.126354,0.308016,7.258975,44.941369,277.536354,82.935875,4.748652,4.029364,-93.174617,11.93,2025-03-07T00:32:15Z,-0.242165,-0.968968,0.07999,2025-03-07T00:32:15Z,-0.432027,0.113685,0.870126,2025-03-07T00:32:15Z
19,250.293041,0.79,7.258975,44.941386,277.703041,77.278648,4.748652,4.029364,-93.174466,11.93,2025-03-07T00:32:16Z,-0.226469,-0.987442,0.016602,2025-03-07T00:32:16Z,-0.311628,-0.067313,0.318302,2025-03-07T00:32:16Z
20,249.326671,2.2,15.171288,44.941396,276.736671,77.226509,4.748652,4.029364,-93.174334,11.75,2025-03-07T00:32:17Z,-0.206647,-0.985829,-0.064057,2025-03-07T00:32:17Z,-0.121455,-0.05139,-0.610906,2025-03-07T00:32:17Z
21,250.260509,0.75,7.258975,44.941458,277.670509,74.545876,4.748652,4.029364,-93.174196,11.75,2025-03-07T00:32:18Z,-0.20353,-0.956345,-0.072875,2025-03-07T00:32:18Z,0.114465,0.190314,-1.098444,2025-03-07T00:32:18Z
22,250.263134,0.308016,7.258975,44.941466,277.673134,75.393272,4.748652,4.029364,-93.174042,12.08,2025-03-07T00:32:19Z,-0.211334,-0.98375,-0.034847,2025-03-07T00:32:19Z,0.072123,-0.093089,-0.891655,2025-03-07T00:32:19Z
23,250.292554,1.42,9.017274,44.941496,277.702554,85.773567,4.748652,4.029364,-93.173878,12.76,2025-03-07T00:32:20Z,-0.20379,-0.97579,-0.026587,2025-03-07T00:32:20Z,0.146713,-0.019802,-0.738921,2025-03-07T00:32:20Z
24,250.788404,2.82,17.907545,44.941491,278.198404,89.385696,4.748652,4.029364,-93.173709,12.76,2025-03-07T00:32:21Z,-0.205453,-0.980667,-0.006781,2025-03-07T00:32:21Z,0.136042,-0.042337,-0.476545,2025-03-07T00:32:21Z
25,250.600235,2.83,16.544774,44.941493,278.010235,89.385696,4.748652,4.029364,-93.173509,13.86,2025-03-07T00:32:22Z,-0.209938,-0.979429,0.028223,2025-03-07T00:32:22Z,0.087728,-0.056566,-0.106456,2025-03-07T00:32:22Z
26,251.003796,0.86,7.258975,44.941486,278.413796,89.385696,4.748652,4.029364,-93.17338,12.21,2025-03-07T00:32:23Z,-0.209847,-0.967597,0.032081,2025-03-07T00:32:23Z,0.117294,0.057098,-0.095745,2025-03-07T00:32:23Z
27,251.298903,0.308016,7.258975,44.941489,278.708903,90.2612,4.748652,4.029364,-93.173197,13.21,2025-03-07T00:32:24Z,-0.212532,-0.977681,0.032543,2025-03-07T00:32:24Z,0.071814,-0.014186,-0.013088,2025-03-07T00:32:24Z
28,251.689711,0.89,7.258975,44.941479,279.099711,90.2612,4.748652,4.029364,-93.173037,13.17,2025-03-07T00:32:25Z,-0.20815,-0.97023,0.023006,2025-03-07T00:32:25Z,0.088207,0.047415,-0.001763,2025-03-07T00:32:25Z
29,252.045973,1.46,8.982655,44.941474,279.455973,90.2612,4.748652,4.029364,-93.172879,13.17,2025-03-07T00:32:26Z,-0.224464,-0.972316,0.019045,2025-03-07T00:32:26Z,-0.076847,0.035128,-0.025496,2025-03-07T00:32:26Z
30,252.050734,0.53,7.258975,44.941471,279.460734,90.2612,4.748652,4.029364,-93.172712,13.17,2025-03-07T00:32:27Z,-0.236376,-0.971862,0.023362,2025-03-07T00:32:27Z,-0.147304,0.030847,-0.036981,2025-03-07T00:32:27Z
31,252.228165,0.308016,7.258975,44.941464,279.638164,90.2612,4.748652,4.029364,-93.17253,13.93,2025-03-07T00:32:28Z,-0.237401,-0.972006,0.018967,2025-03-07T00:32:28Z,-0.18872,0.034212,-0.058837,2025-03-07T00:32:28Z
