seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,251.35183,-1,-1,44.941243,278.761829,-1,123.77077,3,-93.176373,-1,2025-03-07T00:45:16Z,-0.252869,-0.960303,-0.003582,2025-03-07T00:45:16Z,-0.37748,0.129091,-0.30248,2025-03-07T00:45:16Z
1,255.713867,3.03,25.852261,44.941299,283.123867,86.835938,4.410637,4,-93.174217,7.96,2025-03-07T00:45:17Z,-0.314696,-0.948525,-0.003272,2025-03-07T00:45:17Z,-0.919769,0.287136,-0.016333,2025-03-07T00:45:17Z
2,256.422974,2,15.739447,44.941343,283.832973,63.984375,3.535534,3,-93.174124,7.96,2025-03-07T00:45:18Z,-0.270064,-0.938143,0.015173,2025-03-07T00:45:18Z,-0.469214,0.375167,0.296454,2025-03-07T00:45:18Z
3,254.72937,0.98,7.892077,44.941305,282.13937,94.570312,3.535534,3,-93.17405,7.37,2025-03-07T00:45:19Z,-0.26283,-0.969115,0.005536,2025-03-07T00:45:19Z,-0.269615,0.018959,0.154758,2025-03-07T00:45:19Z
4,252.966064,0.13,1.384625,44.941306,280.376064,92.624985,3.535534,3,-93.173979,6.22,2025-03-07T00:45:20Z,-0.234189,-0.966159,0.016241,2025-03-07T00:45:20Z,0.005297,0.057976,0.150739,2025-03-07T00:45:20Z
5,252.385803,0.12,1.256445,44.941304,279.795803,90,3.535534,3,-93.173902,6.45,2025-03-07T00:45:21Z,-0.193547,-0.990154,0.005783,2025-03-07T00:45:21Z,0.247577,-0.135012,0.133401,2025-03-07T00:45:21Z
6,252.927612,0.1,0.987589,44.941301,280.337612,90,3.535534,3,-93.173814,6.45,2025-03-07T00:45:23Z,-0.21298,-0.971421,3.27e-4,2025-03-07T00:45:22Z,0.107869,0.028279,0.108319,2025-03-07T00:45:22Z
7,252.472046,0.35,3.473726,44.941301,279.882046,90,3.535534,3,-93.173729,6.56,2025-03-07T00:45:24Z,-0.205898,-0.974162,-0.035885,2025-03-07T00:45:23Z,0.213624,-0.010802,-0.106163,2025-03-07T00:45:23Z
8,252.162109,0.22,2.187007,44.941302,279.572109,90,3.535534,3,-93.173643,6.66,2025-03-07T00:45:25Z,-0.23564,-0.973961,-0.011007,2025-03-07T00:45:24Z,-0.093156,-0.00623,0.080461,2025-03-07T00:45:24Z
9,252.762573,0.13,1.36385,44.941299,280.172573,90.43531,3.535534,3,-93.173558,6.66,2025-03-07T00:45:26Z,-0.206037,-0.980966,-0.046964,2025-03-07T00:45:25Z,0.180074,-0.054317,-0.290047,2025-03-07T00:45:25Z
10,252.698059,0.13,1.332444,44.941298,280.108059,90.43531,3.535534,3,-93.173475,6.51,2025-03-07T00:45:27Z,-0.220572,-0.961077,0.019408,2025-03-07T00:45:26Z,0.06272,0.123503,0.163185,2025-03-07T00:45:26Z
11,251.912964,1.88,19.284873,44.941291,279.322964,90.43531,3.535534,3,-93.173397,6.45,2025-03-07T00:45:28Z,-0.221679,-0.964672,-0.009279,2025-03-07T00:45:27Z,0.128202,0.067471,-0.169257,2025-03-07T00:45:27Z
12,252.597656,1.05,11.037288,44.941285,280.007656,90.43531,3.535534,3,-93.173318,6.27,2025-03-07T00:45:29Z,-0.235349,-0.976432,8.45e-4,2025-03-07T00:45:28Z,0.008283,-0.050372,-0.084316,2025-03-07T00:45:28Z
13,252.597659,1.05,13.56936,44.941284,280.007659,90.43531,4.748652,4.029364,-93.173238,6.27,2025-03-07T00:45:30Z,-0.253015,-0.963839,0.029229,2025-03-07T00:45:29Z,-0.146589,0.078938,0.104833,2025-03-07T00:45:29Z
14,252.430667,0.62,7.849633,44.941274,279.840667,90.43531,4.748652,4.029364,-93.173156,6.4,2025-03-07T00:45:31Z,-0.218647,-0.972109,0.047195,2025-03-07T00:45:30Z,0.198127,-0.016867,0.135774,2025-03-07T00:45:30Z
15,252.361026,0.308016,7.258975,44.941272,279.771026,90.43531,4.748652,4.029364,-93.173076,6.4,2025-03-07T00:45:32Z,-0.217175,-0.982598,0.024379,2025-03-07T00:45:31Z,0.176503,-0.128406,-0.114358,2025-03-07T00:45:31Z
16,252.321597,0.308016,7.258975,44.941268,279.731597,90.43531,4.748652,4.029364,-93.172995,6.4,2025-03-07T00:45:33Z,-0.250814,-0.944359,0.029681,2025-03-07T00:45:32Z,-0.180705,0.283006,0.005659,2025-03-07T00:45:32Z
