seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,249.676872,-0.206667,7.296861,44.940588,277.086872,45.973958,91.560879,4.666667,-93.177138,0.553333,2025-03-14T02:26:13Z,-0.289396,-0.964633,0.130069,2025-03-14T02:26:13Z,-0.5051,0.045993,0.69596,2025-03-14T02:26:13Z
1,251.636597,1.04,12.206565,44.94008,279.046597,98.4375,3.535534,3,-93.176963,5.52,2025-03-14T02:26:14Z,-0.184819,-0.974704,0.082264,2025-03-14T02:26:14Z,0.440824,-0.034748,0.178781,2025-03-14T02:26:14Z
2,251.563538,0.96,8.08261,44.94009,278.973537,90,3.535534,3,-93.176903,5.52,2025-03-14T02:26:15Z,-0.142318,-0.987925,0.050599,2025-03-14T02:26:15Z,0.804568,-0.15687,-0.187071,2025-03-14T02:26:15Z
3,251.639343,0.05,0.416805,44.940091,279.049343,90.305832,3.535534,3,-93.176807,6.35,2025-03-14T02:26:16Z,-0.1768,-0.995654,0.052371,2025-03-14T02:26:16Z,0.424694,-0.225765,-0.199775,2025-03-14T02:26:16Z
4,251.923401,0.05,0.381846,44.940092,279.333401,90.305832,3.535534,3,-93.176704,8.57,2025-03-14T02:26:17Z,-0.18543,-0.973443,0.043241,2025-03-14T02:26:17Z,0.310737,4.58e-4,-0.240246,2025-03-14T02:26:17Z
5,251.947754,0.05,0.363874,44.940092,279.357754,90,3.535534,3,-93.17659,9.22,2025-03-14T02:26:18Z,-0.193835,-0.988942,0.022767,2025-03-14T02:26:18Z,0.192127,-0.138558,-0.453808,2025-03-14T02:26:18Z
6,251.415344,0.05,0.347099,44.940093,278.825344,90,3.535534,3,-93.176479,9.22,2025-03-14T02:26:19Z,-0.216688,-0.974726,0.001438,2025-03-14T02:26:19Z,-0.070255,0.018311,-0.526528,2025-03-14T02:26:19Z
7,251.302734,0.05,0.342553,44.940096,278.712734,90,3.535534,3,-93.176359,9.45,2025-03-14T02:26:20Z,-0.226934,-0.966119,0.033432,2025-03-14T02:26:20Z,-0.17166,0.093356,-0.23641,2025-03-14T02:26:20Z
8,251.370117,0.2,1.334791,44.940096,278.780117,90,3.535534,3,-93.176233,9.97,2025-03-14T02:26:21Z,-0.215082,-0.97314,0.003201,2025-03-14T02:26:21Z,-0.068087,0.021992,-0.474869,2025-03-14T02:26:21Z
9,251.247925,0.11,0.703695,44.940097,278.657925,90.211685,3.535534,3,-93.176104,10.27,2025-03-14T02:26:22Z,-0.2304,-0.976248,-0.011248,2025-03-14T02:26:22Z,-0.167304,0.011971,-0.601914,2025-03-14T02:26:22Z
10,251.563416,0.06,0.386859,44.940094,278.973415,90.211685,3.535534,3,-93.175975,10.25,2025-03-14T02:26:23Z,-0.245737,-0.964604,-0.014721,2025-03-14T02:26:23Z,-0.34344,0.104909,-0.559845,2025-03-14T02:26:23Z
11,251.479248,1.88,8.033441,44.94008,278.889248,90.211685,3.535534,3,-93.175847,10.25,2025-03-14T02:26:24Z,-0.235921,-0.965989,0.004821,2025-03-14T02:26:24Z,-0.178107,0.103632,-0.320739,2025-03-14T02:26:24Z
12,252.292236,0.81,5.002112,44.940094,279.702236,90.211685,3.535534,3,-93.17571,10.51,2025-03-14T02:26:25Z,-0.227425,-0.984773,0.014108,2025-03-14T02:26:25Z,-0.095467,-0.092787,-0.276956,2025-03-14T02:26:25Z
13,252.292245,0.81,7.258975,44.940093,279.702245,90.211685,4.748652,4.029364,-93.175576,10.51,2025-03-14T02:26:26Z,-0.231079,-0.952201,-0.006747,2025-03-14T02:26:26Z,-0.132319,0.230264,-0.36378,2025-03-14T02:26:26Z
14,252.609506,0.308016,7.258975,44.940095,280.019506,90.211685,4.748652,4.029364,-93.17544,10.72,2025-03-14T02:26:27Z,-0.245478,-0.977461,0.025495,2025-03-14T02:26:27Z,-0.259483,-0.027308,-0.115676,2025-03-14T02:26:27Z
15,253.140206,1.61,12.412544,44.940082,280.550206,90.211685,4.748652,4.029364,-93.175317,10.51,2025-03-14T02:26:28Z,-0.251701,-0.959922,-0.008291,2025-03-14T02:26:28Z,-0.306302,0.142659,-0.381783,2025-03-14T02:26:28Z
16,253.945077,1.61,12.388969,44.940083,281.355077,90.211685,4.748652,4.029364,-93.175181,10.53,2025-03-14T02:26:29Z,-0.254603,-0.959564,0.01364,2025-03-14T02:26:29Z,-0.26802,0.135,-0.185677,2025-03-14T02:26:29Z
17,253.887277,2.4,18.468028,44.940078,281.297277,90.292648,4.748652,4.029364,-93.175038,10.53,2025-03-14T02:26:30Z,-0.246128,-0.971381,0.008078,2025-03-14T02:26:30Z,-0.163717,0.017003,-0.24687,2025-03-14T02:26:30Z
18,254.546396,0.78,7.258975,44.940089,281.956395,90.292648,4.748652,4.029364,-93.174903,10.58,2025-03-14T02:26:31Z,-0.245223,-0.961634,0.029414,2025-03-14T02:26:31Z,-0.157559,0.105128,-0.090299,2025-03-14T02:26:31Z
19,254.764047,0.308017,7.258975,44.94009,282.174047,90.292648,4.748652,4.029364,-93.174761,10.66,2025-03-14T02:26:32Z,-0.252402,-0.971343,-0.006596,2025-03-14T02:26:32Z,-0.197426,0.010148,-0.351325,2025-03-14T02:26:32Z
20,254.628305,0.308016,7.258975,44.940091,282.038305,90.142532,4.748652,4.029364,-93.174627,10.66,2025-03-14T02:26:33Z,-0.234902,-0.957381,-0.004504,2025-03-14T02:26:33Z,-0.043348,0.145324,-0.259945,2025-03-14T02:26:33Z
21,254.748239,0.308016,7.258975,44.94009,282.158239,90.142532,4.748652,4.029364,-93.174492,10.66,2025-03-14T02:26:34Z,-0.245789,-0.977518,0.024061,2025-03-14T02:26:34Z,-0.085267,-0.060792,-0.02868,2025-03-14T02:26:34Z
22,254.921274,0.308016,7.258975,44.940089,282.331274,90.142532,4.748652,4.029364,-93.174353,10.71,2025-03-14T02:26:35Z,-0.21161,-0.969344,0.018846,2025-03-14T02:26:35Z,0.243468,0.02179,-0.064238,2025-03-14T02:26:35Z
23,254.920176,0.308016,7.258975,44.940089,282.330176,90.142532,4.748652,4.029364,-93.174207,11.08,2025-03-14T02:26:36Z,-0.230662,-0.961358,0.013129,2025-03-14T02:26:36Z,0.157858,0.05848,-0.063697,2025-03-14T02:26:36Z
24,254.799815,0.308016,7.258975,44.940092,282.209815,90,4.748652,4.029364,-93.174064,11.43,2025-03-14T02:26:37Z,-0.22178,-0.952883,0.010091,2025-03-14T02:26:37Z,0.316507,0.149006,-0.139438,2025-03-14T02:26:37Z
25,254.959605,0.308017,7.258975,44.94009,282.369605,90,4.748652,4.029364,-93.173919,11.43,2025-03-14T02:26:38Z,-0.265409,-0.967625,0.004183,2025-03-14T02:26:38Z,-0.063973,-0.030974,-0.126074,2025-03-14T02:26:38Z
26,254.656566,0.37,7.258975,44.94009,282.066566,90,4.748652,4.029364,-93.173763,11.82,2025-03-14T02:26:39Z,-0.264741,-0.966587,0.001313,2025-03-14T02:26:39Z,-0.070311,0.010102999999999999,-0.095808,2025-03-14T02:26:39Z
27,254.646679,1.17,7.86097,44.940087,282.056679,90,4.748652,4.029364,-93.173607,12.06,2025-03-14T02:26:40Z,-0.256603,-0.959526,0.014346,2025-03-14T02:26:40Z,0.042965,0.055768,-0.041513,2025-03-14T02:26:40Z
28,254.898022,0.58,7.258975,44.940091,282.308022,90,4.748652,4.029364,-93.173458,12.1,2025-03-14T02:26:41Z,-0.26886,-0.95884,-0.003688,2025-03-14T02:26:41Z,-0.075939,0.060422,-0.213819,2025-03-14T02:26:41Z
29,255.179943,0.308016,7.258975,44.940076,282.589943,90,4.748652,4.029364,-93.1733,12.26,2025-03-14T02:26:42Z,-0.259751,-0.964574,-0.002581,2025-03-14T02:26:42Z,-0.001286,0.008818,-0.180048,2025-03-14T02:26:42Z
30,255.333996,0.308017,7.258975,44.94009,282.743996,90,4.748652,4.029364,-93.173145,12.26,2025-03-14T02:26:43Z,-0.245467,-0.967429,3.78e-4,2025-03-14T02:26:43Z,0.132035,-0.017404,-0.064639,2025-03-14T02:26:43Z
31,255.900098,0.74,7.258975,44.940076,283.310097,90,4.748652,4.029364,-93.172986,12.39,2025-03-14T02:26:44Z,-0.273202,-0.955816,0.017807,2025-03-14T02:26:44Z,-0.119818,0.089781,0.064181,2025-03-14T02:26:44Z
32,255.993054,2.03,13.138002,44.940076,283.403054,90,4.748652,4.029364,-93.172829,12.52,2025-03-14T02:26:45Z,-0.241573,-0.973925,0.005539,2025-03-14T02:26:45Z,0.167749,-0.06798,-0.074971,2025-03-14T02:26:45Z
33,256.822401,1.267172,8.054231,44.940076,284.232401,90.098969,2,3,-93.17265,12.747758,2025-03-14T02:26:46Z,-0.293679,-0.94762,0.002084,2025-03-14T02:26:46Z,-0.343095,0.169113,-0.106609,2025-03-14T02:26:46Z
34,257.00828,1.271196,8.037039,44.940089,284.41828,90.098969,2,3,-93.172483,12.815722,2025-03-14T02:26:47Z,-0.27349,-0.951904,-0.003102,2025-03-14T02:26:47Z,-0.121333,0.142862,-0.105767,2025-03-14T02:26:47Z
35,257.178898,1.267973,8.115721,44.940085,284.588898,90.098969,2.302252,3,-93.172321,12.65934,2025-03-14T02:26:48Z,-0.252874,-0.968095,-0.017276,2025-03-14T02:26:48Z,0.027473,-0.020282,-0.23933,2025-03-14T02:26:48Z
36,257.262673,0.667252,7.25862,44.94008,284.672673,90.098969,2.154317,3,-93.172168,12.439583,2025-03-14T02:26:49Z,-0.271047,-0.953314,-0.002093,2025-03-14T02:26:49Z,-0.095248,0.114045,-0.130385,2025-03-14T02:26:49Z
37,257.264466,0.642696,7.258909,44.940082,284.674466,90.147057,2.079076,3,-93.172002,12.811513,2025-03-14T02:26:50Z,-0.273878,-0.9696,-0.003462,2025-03-14T02:26:50Z,-0.133311,-0.040446,-0.134266,2025-03-14T02:26:50Z
38,257.350486,0.645365,7.258929,44.94008,284.760486,90.147057,2.072955,3,-93.171846,12.616933,2025-03-14T02:26:51Z,-0.262014,-0.954984,0.004925,2025-03-14T02:26:51Z,-0.01466,0.104383,-0.044587,2025-03-14T02:26:51Z
