seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,259.028392,1.03,32.453309,44.939055,286.438392,196.875,7.051825,5.021874,-93.169622,1.95,2025-03-14T01:59:34Z,-0.235125,-0.966879,-0.058227,2025-03-14T01:59:34Z,0.398367,-0.05305,-0.745827,2025-03-14T01:59:34Z
1,263.167664,3.66,48.572142,44.939027,290.577663,294.609375,7.287662,5.5,-93.169771,4.185,2025-03-14T01:59:35Z,-0.24471300000000001,-0.972968,0.013522,2025-03-14T01:59:35Z,0.292053,-0.115522,-0.049126,2025-03-14T01:59:35Z
2,260.567322,1.35,24.79986,44.939073,287.977322,277.734375,3.535534,3,-93.169809,4.18,2025-03-14T01:59:37Z,-0.216294,-0.972517,0.042422,2025-03-14T01:59:36Z,0.631595,-0.126754,0.170656,2025-03-14T01:59:36Z
3,261.226562,1.49,35.671571,44.939081,288.636562,284.765625,3.535534,3,-93.16984,3.44,2025-03-14T01:59:38Z,-0.193046,-0.979759,0.061398,2025-03-14T01:59:37Z,0.758277,-0.153367,0.326272,2025-03-14T01:59:37Z
4,261.097046,1.86,18.284444,44.939083,288.507046,272.460938,3.535534,3,-93.169936,3.44,2025-03-14T01:59:39Z,-0.218194,-0.972112,0.029196,2025-03-14T01:59:38Z,0.509468,-0.109986,0.225985,2025-03-14T01:59:38Z
5,260.79071,2.01,20.620652,44.939077,288.20071,268.242188,3.535534,3,-93.17001,6.23,2025-03-14T01:59:40Z,-0.267559,-0.967079,0.025324,2025-03-14T01:59:39Z,-4.57e-4,-0.04061,0.165388,2025-03-14T01:59:39Z
6,260.94458,0.77,7.225935,44.939066,288.35458,264.023438,3.535534,3,-93.170099,6.94,2025-03-14T01:59:40Z,-0.281328,-0.957778,0.009669,2025-03-14T01:59:40Z,-0.207934,0.066928,0.086534,2025-03-14T01:59:40Z
7,259.229736,1.33,12.492974,44.939067,286.639736,268.242188,3.535534,3,-93.170192,6.92,2025-03-14T01:59:41Z,-0.299454,-0.946865,0.003043,2025-03-14T01:59:41Z,-0.382125,0.196164,0.003302,2025-03-14T01:59:41Z
8,259.290955,2.39,18.825828,44.939064,286.700954,265.429688,3.535534,3,-93.170295,6.94,2025-03-14T01:59:42Z,-0.293287,-0.950116,-0.022593,2025-03-14T01:59:42Z,-0.295375,0.143235,-0.133184,2025-03-14T01:59:42Z
9,258.644043,2.17,21.006141,44.939075,286.054043,272.8125,3.535534,3,-93.170373,6.92,2025-03-14T01:59:43Z,-0.278836,-0.970374,-0.020963,2025-03-14T01:59:43Z,-0.232671,-0.034279,-0.100283,2025-03-14T01:59:43Z
