seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,254.235516,0.787457,19.594864,44.934308,281.645516,130.146514,2.797258,3,-93.177157,3.24155,2025-03-14T02:21:03Z,-0.296824,-0.959615,0.126929,2025-03-14T02:21:03Z,-0.077696,-0.047689,0.55367,2025-03-14T02:21:03Z
1,254.115634,0.744189,12.750723,44.934293,281.525634,110.079254,2.6976,3,-93.177075,4.727374,2025-03-14T02:21:04Z,-0.190653,-0.983031,0.091253,2025-03-14T02:21:04Z,0.753448,-0.223789,0.074497,2025-03-14T02:21:04Z
2,254.322154,0.717897,10.545882,44.934292,281.732153,97.634243,2.620089,3,-93.177004,5.51574,2025-03-14T02:21:05Z,-0.150516,-0.995095,0.069278,2025-03-14T02:21:05Z,1.03033,-0.316462,-0.126138,2025-03-14T02:21:05Z
3,253.542157,0.677136,7.748231,44.934289,280.952157,94.599941,2.55808,3,-93.176908,7.013222,2025-03-14T02:21:06Z,-0.15267,-0.990809,0.024547,2025-03-14T02:21:06Z,0.885386,-0.237177,-0.538937,2025-03-14T02:21:06Z
4,254.108296,0.665378,7.402667,44.934296,281.518296,89.038392,2.484099,3,-93.176819,7.279391,2025-03-14T02:21:07Z,-0.155976,-0.991289,0.012638,2025-03-14T02:21:07Z,0.837492,-0.2304,-0.604694,2025-03-14T02:21:07Z
5,254.966476,0.692432,7.237483,44.9343,282.376476,88.514666,2.684908,3,-93.176705,8.32875,2025-03-14T02:21:08Z,-0.172704,-0.987582,0.024479,2025-03-14T02:21:08Z,0.625899,-0.184751,-0.485007,2025-03-14T02:21:08Z
6,254.930869,0.708087,7.253148,44.934295,282.340869,90.685352,2.535763,3,-93.176579,9.180117,2025-03-14T02:21:09Z,-0.182545,-0.986771,0.026725,2025-03-14T02:21:09Z,0.452568,-0.164601,-0.448312,2025-03-14T02:21:09Z
7,255.06815,0.678636,7.25728,44.934275,282.47815,90.358215,2.465374,3,-93.17644,10.229418,2025-03-14T02:21:10Z,-0.205471,-0.984329,0.018099,2025-03-14T02:21:10Z,0.206514,-0.115282,-0.483871,2025-03-14T02:21:10Z
8,255.435861,0.673039,7.257686,44.934274,282.845861,90.358215,2.270161,3,-93.176292,11.131484,2025-03-14T02:21:11Z,-0.197523,-0.978391,0.005246,2025-03-14T02:21:11Z,0.222042,-0.052346,-0.586279,2025-03-14T02:21:11Z
9,255.405718,0.686447,7.258442,44.934274,282.815718,90.358215,2.211027,3,-93.17614,11.906394,2025-03-14T02:21:12Z,-0.218316,-0.968439,0.001884,2025-03-14T02:21:12Z,-0.001242,0.054457,-0.584919,2025-03-14T02:21:12Z
10,255.152898,0.669222,7.258957,44.934273,282.562897,90.358215,2.208535,3,-93.175986,12.303714,2025-03-14T02:21:13Z,-0.23441,-0.975142,-0.008715,2025-03-14T02:21:13Z,-0.179942,0.001462,-0.557024,2025-03-14T02:21:13Z
