seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,268.206043,0.27,12.558009,44.934291,295.616043,8.825521,18.758834,6.28302,-93.167279,0.73,2025-03-14T02:22:41Z,-0.264161,-0.96589,0.181173,2025-03-14T02:22:41Z,-0.137379,0.034175,1.657109,2025-03-14T02:22:41Z
1,263.322876,0.97,12.699455,44.934418,290.732876,4.570312,14,4,-93.167086,4.95,2025-03-14T02:22:42Z,-0.189509,-0.977435,0.115502,2025-03-14T02:22:42Z,0.407528,-0.051254,0.854771,2025-03-14T02:22:42Z
2,262.438477,0.52,4.107502,44.934491,289.848476,0.15017,4.52196,4,-93.167001,4.95,2025-03-14T02:22:43Z,-0.175437,-0.986455,0.036655,2025-03-14T02:22:43Z,0.427601,-0.110275,0.095824,2025-03-14T02:22:43Z
3,260.746826,1.96,17.518689,44.93457,288.156826,0.15017,4.077203,3,-93.167,7.2,2025-03-14T02:22:44Z,-0.177836,-0.991096,0.0107,2025-03-14T02:22:44Z,0.344012,-0.142995,-0.170608,2025-03-14T02:22:44Z
4,260.580322,1.28,6.566808,44.934659,287.990322,359.502319,3.735979,3,-93.167001,8.19,2025-03-14T02:22:45Z,-0.179845,-0.986344,0.012755,2025-03-14T02:22:45Z,0.29756,-0.093052,-0.204966,2025-03-14T02:22:45Z
5,259.759399,0.26,1.609681,44.934741,287.169399,359.502319,3.535534,3,-93.167002,10.61,2025-03-14T02:22:46Z,-0.187987,-0.98693,0.019364,2025-03-14T02:22:46Z,0.209336,-0.093327,-0.210012,2025-03-14T02:22:46Z
6,259.400879,0.09,0.552512,44.93483,286.810879,0,3.535534,3,-93.167001,10.71,2025-03-14T02:22:47Z,-0.201931,-0.976684,0.018082,2025-03-14T02:22:47Z,0.064497,0.002389,-0.262404,2025-03-14T02:22:47Z
7,259.428955,0.09,0.537118,44.934931,286.838955,0,3.535534,3,-93.167001,10.71,2025-03-14T02:22:48Z,-0.191239,-0.983385,0.032565,2025-03-14T02:22:48Z,0.149685,-0.064727,-0.147121,2025-03-14T02:22:48Z
8,259.734131,0.3,1.594513,44.935039,287.144131,0,3.535534,3,-93.167024,11.58,2025-03-14T02:22:49Z,-0.19352,-0.983975,0.030251,2025-03-14T02:22:49Z,0.111129,-0.056043,-0.148486,2025-03-14T02:22:49Z
9,260.060059,1.3,5.264441,44.935153,287.470058,0,3.535534,3,-93.167001,12.79,2025-03-14T02:22:50Z,-0.211734,-0.967062,0.015932,2025-03-14T02:22:50Z,-0.049749,0.100836,-0.226374,2025-03-14T02:22:50Z
10,259.953369,1.89,5.59737,44.935254,287.363369,0,3.535534,3,-93.167007,12.79,2025-03-14T02:22:51Z,-0.221343,-0.984814,0.016107,2025-03-14T02:22:51Z,-0.143804,-0.076962,-0.249314,2025-03-14T02:22:51Z
11,260.06366,0.59,2.652059,44.935389,287.47366,0,3.535534,3,-93.167024,12.79,2025-03-14T02:22:52Z,-0.225507,-0.973711,0.033029,2025-03-14T02:22:52Z,-0.195528,0.038736,-0.171919,2025-03-14T02:22:52Z
12,260.844849,1.87,5.769386,44.935517,288.254848,0,3.535534,3,-93.167003,14.36,2025-03-14T02:22:53Z,-0.234288,-0.973302,0.020105,2025-03-14T02:22:53Z,-0.273631,0.039802,-0.206681,2025-03-14T02:22:53Z
13,260.844865,1.87,10.551758,44.935646,288.254865,0,4.748652,4.029364,-93.167026,14.36,2025-03-14T02:22:55Z,-0.240677,-0.966269,0.018948,2025-03-14T02:22:54Z,-0.317687,0.108132,-0.210926,2025-03-14T02:22:54Z
14,259.961565,2.71,14.887265,44.935785,287.371565,0.2305,4.748652,4.029364,-93.167002,14.75,2025-03-14T02:22:56Z,-0.249892,-0.967182,0.015424,2025-03-14T02:22:55Z,-0.374228,0.097749,-0.204496,2025-03-14T02:22:55Z
15,260.484558,0.15,0.66888,44.935912,287.894558,0.2305,3.535534,3,-93.167001,14.63,2025-03-14T02:22:57Z,-0.253813,-0.958849,0.002527,2025-03-14T02:22:56Z,-0.405916,0.16984,-0.190107,2025-03-14T02:22:56Z
16,260.484575,0.308016,7.258975,44.936044,287.894575,0.2305,4.748652,4.029364,-93.167001,14.63,2025-03-14T02:22:57Z,-0.247381,-0.966817,0.00606,2025-03-14T02:22:57Z,-0.334053,0.099496,-0.106996,2025-03-14T02:22:57Z
17,260.218384,0.55,2.39797,44.936182,287.628384,0.2305,3.535534,3,-93.167,14.68,2025-03-14T02:22:58Z,-0.230538,-0.976261,-0.026475,2025-03-14T02:22:58Z,-0.132415,0.002294,-0.318561,2025-03-14T02:22:58Z
18,260.218401,0.55,7.258975,44.936315,287.628401,359.878601,4.748652,4.029364,-93.167001,14.68,2025-03-14T02:22:59Z,-0.235593,-0.972695,1.88e-4,2025-03-14T02:22:59Z,-0.152874,0.029475,-0.120317,2025-03-14T02:22:59Z
19,260.342364,0.308018,7.258975,44.936457,287.752364,359.878601,4.748652,4.029364,-93.167001,15.22,2025-03-14T02:23:00Z,-0.238651,-0.976804,0.001315,2025-03-14T02:23:00Z,-0.162833,-0.019326,-0.170594,2025-03-14T02:23:00Z
20,260.650879,0.07,0.314009,44.936597,288.060879,359.878601,3.535534,3,-93.167002,15.36,2025-03-14T02:23:01Z,-0.247911,-0.961095,0.001288,2025-03-14T02:23:01Z,-0.20924,0.119694,-0.192799,2025-03-14T02:23:01Z
21,260.650897,0.308018,7.258975,44.936735,288.060897,0.133632,4.748652,4.029364,-93.167001,15.36,2025-03-14T02:23:02Z,-0.260224,-0.96284,0.008436,2025-03-14T02:23:02Z,-0.29814,0.099723,-0.144277,2025-03-14T02:23:02Z
22,260.899067,0.308017,7.258975,44.936875,288.309067,0.133632,4.748652,4.029364,-93.167024,15.6,2025-03-14T02:23:03Z,-0.260539,-0.971009,-0.004985,2025-03-14T02:23:03Z,-0.328887,0.029541,-0.182189,2025-03-14T02:23:03Z
23,260.975849,0.37,7.258975,44.937017,288.385849,0.679109,4.748652,4.029364,-93.167018,15.68,2025-03-14T02:23:04Z,-0.254053,-0.959952,-0.006532,2025-03-14T02:23:04Z,-0.252085,0.130293,-0.106786,2025-03-14T02:23:04Z
24,260.697041,1.43,7.389713,44.93716,288.107041,359.884857,4.748652,4.029364,-93.167015,15.68,2025-03-14T02:23:05Z,-0.258152,-0.970168,0.010493,2025-03-14T02:23:05Z,-0.216896,0.012707,-0.107837,2025-03-14T02:23:05Z
25,261.50832,0.54,7.258975,44.937298,288.91832,359.884857,4.748652,4.029364,-93.167,15.68,2025-03-14T02:23:06Z,-0.254942,-0.960948,0.016132,2025-03-14T02:23:06Z,-0.164518,0.100279,-0.106214,2025-03-14T02:23:06Z
26,261.465717,0.308018,7.258975,44.937433,288.875717,359.884857,4.748652,4.029364,-93.167023,15.61,2025-03-14T02:23:07Z,-0.26166,-0.964864,0.016104,2025-03-14T02:23:07Z,-0.223365,0.062881,-0.102385,2025-03-14T02:23:07Z
27,261.819355,0.308018,7.258975,44.937572,289.229355,0.565796,4.748652,4.029364,-93.167022,15.61,2025-03-14T02:23:08Z,-0.257189,-0.96646,0.017949,2025-03-14T02:23:08Z,-0.167861,0.034982,-0.058978,2025-03-14T02:23:08Z
28,262.714844,1.91,5.066538,44.937717,290.124844,0.565796,3.535534,3,-93.166997,16.440001,2025-03-14T02:23:09Z,-0.268204,-0.960528,0.006826,2025-03-14T02:23:09Z,-0.247337,0.089158,-0.103751,2025-03-14T02:23:09Z
29,262.714865,1.91,9.413891,44.937865,290.124865,0,4.748652,4.029364,-93.166996,16.440001,2025-03-14T02:23:10Z,-0.269216,-0.952644,-0.008685,2025-03-14T02:23:10Z,-0.230759,0.170172,-0.183409,2025-03-14T02:23:10Z
30,261.737328,2.95,13.962265,44.93803,289.147328,0,4.748652,4.029364,-93.166996,17.120001,2025-03-14T02:23:11Z,-0.250067,-0.937041,-0.004782,2025-03-14T02:23:11Z,0.040043,0.290537,-0.064804,2025-03-14T02:23:11Z
31,262.182434,0.36,1.522788,44.938131,289.592434,0,3.535534,3,-93.166996,15.45,2025-03-14T02:23:12Z,-0.255899,-0.958886,0.008546,2025-03-14T02:23:12Z,0.12111,0.039815,-4.16e-4,2025-03-14T02:23:12Z
32,262.182453,0.36,7.258975,44.93827,289.592453,0.435837,4.748652,4.029364,-93.166996,15.45,2025-03-14T02:23:13Z,-0.292659,-0.960526,-0.005314,2025-03-14T02:23:13Z,-0.215474,0.019022,-0.144079,2025-03-14T02:23:13Z
33,264.630761,1.269785,7.25897,44.938409,292.040761,0.435837,2,3,-93.166994,15.730014,2025-03-14T02:23:14Z,-0.280754,-0.955677,0.001782,2025-03-14T02:23:14Z,-0.083257,0.071036,-0.106839,2025-03-14T02:23:14Z
34,265.197423,1.273151,7.258971,44.938544,292.607423,0.435837,2,3,-93.167,15.785266,2025-03-14T02:23:15Z,-0.285691,-0.955222,2.1e-4,2025-03-14T02:23:15Z,-0.1235,0.060832,-0.129576,2025-03-14T02:23:15Z
35,265.217639,1.275305,7.258973,44.938686,292.627639,0.435837,2,3,-93.166999,15.748986,2025-03-14T02:23:16Z,-0.298253,-0.950265,0.009086,2025-03-14T02:23:16Z,-0.221588,0.10512,-0.053718,2025-03-14T02:23:16Z
36,264.434259,1.277683,7.2589,44.938821,291.844259,0.435837,2,3,-93.167002,15.455879,2025-03-14T02:23:17Z,-0.296404,-0.961013,0.004732,2025-03-14T02:23:17Z,-0.212534,-0.001033,-0.06781,2025-03-14T02:23:17Z
37,264.13069,1.273186,7.258893,44.938957,291.54069,0.283031,2,3,-93.166994,15.432335,2025-03-14T02:23:18Z,-0.279093,-0.962014,-0.006537,2025-03-14T02:23:18Z,-0.084804,0.009536,-0.029464,2025-03-14T02:23:18Z
38,264.218651,1.270701,7.25895,44.939095,291.628651,0.283031,2.193988,3,-93.166995,15.398451,2025-03-14T02:23:19Z,-0.264112,-0.952691,-0.019399,2025-03-14T02:23:19Z,0.089815999999999993,0.093904,-0.101118,2025-03-14T02:23:19Z
39,263.967072,1.275025,7.258948,44.939233,291.377072,0.225607,2.181818,3,-93.166996,15.273342,2025-03-14T02:23:20Z,-0.308476,-0.948582,-0.010925,2025-03-14T02:23:20Z,-0.236239,0.09579,-0.120661,2025-03-14T02:23:20Z
40,263.439521,1.27598,7.258908,44.939371,290.849521,359.584412,2.882248,3,-93.167002,15.405204,2025-03-14T02:23:21Z,-0.331003,-0.94067,-0.019164,2025-03-14T02:23:21Z,-0.47936,0.182911,-0.201678,2025-03-14T02:23:21Z
41,263.675428,1.272284,7.258962,44.93951,291.085428,0,3.19785,3,-93.167001,15.33359,2025-03-14T02:23:22Z,-0.516026,-0.890304,-0.069081,2025-03-14T02:23:22Z,-2.179507,0.645682,-0.636264,2025-03-14T02:23:22Z
42,262.258596,1.269387,7.258758,44.939634,289.668596,359.6922,2.579309,3,-93.167006,14.489495,2025-03-14T02:23:23Z,-0.506009,-0.896948,-0.070839,2025-03-14T02:23:23Z,-1.997528,0.547765,-0.643392,2025-03-14T02:23:23Z
43,262.084037,1.272493,8.101066,44.939738,289.494037,359.6922,2.383578,3,-93.166989,12.701669,2025-03-14T02:23:24Z,-0.459782,-0.904791,-0.048304,2025-03-14T02:23:24Z,-1.380017,0.423263,-0.39177,2025-03-14T02:23:24Z
44,262.201356,1.275345,9.915425,44.939817,289.611356,0,2.207059,3,-93.166997,10.413181,2025-03-14T02:23:25Z,-0.461209,-0.904474,-0.055692,2025-03-14T02:23:25Z,-1.239003,0.37116,-0.400684,2025-03-14T02:23:25Z
45,262.134555,1.354956,9.67969,44.939918,289.544555,0,3.018136,3,-93.16701,11.333011,2025-03-14T02:23:26Z,-0.459488,-0.906586,-0.05398,2025-03-14T02:23:26Z,-1.154354,0.325092,-0.389439,2025-03-14T02:23:26Z
46,262.021023,1.32402,16.2016,44.939941,289.431023,0,3.282726,3,-93.166977,6.609339,2025-03-14T02:23:27Z,-0.46167,-0.907029,-0.045095,2025-03-14T02:23:27Z,-1.152069,0.309223,-0.320326,2025-03-14T02:23:27Z
47,261.728813,1.476471,25.604762,44.939964,289.138813,0,2.962044,3,-93.166985,4.64643,2025-03-14T02:23:28Z,-0.430104,-0.916149,-0.037728,2025-03-14T02:23:28Z,-0.809315,0.210677,-0.251469,2025-03-14T02:23:28Z
48,262.88621,1.165066,29.730803,44.939972,290.29621,0,2.804868,3,-93.166993,3.172931,2025-03-14T02:23:29Z,-0.379087,-0.930185,-0.024758,2025-03-14T02:23:29Z,-0.293792,0.069124,-0.117434,2025-03-14T02:23:29Z
49,262.719366,1.275866,56.231657,44.939979,290.129365,0,2.717533,3,-93.166993,1.83689,2025-03-14T02:23:30Z,-0.315746,-0.948438,-0.010068,2025-03-14T02:23:30Z,0.32209,-0.11047,0.042955,2025-03-14T02:23:30Z
50,262.837412,1.25745,180,44.939972,290.247412,0,2.973333,3,-93.166995,0.520186,2025-03-14T02:23:31Z,-0.289627,-0.95578,-0.003464,2025-03-14T02:23:31Z,0.599297,-0.194215,0.118823,2025-03-14T02:23:31Z
51,262.603687,0.308016,180,44.939972,290.013686,0,3.145362,3,-93.166995,0.208931,2025-03-14T02:23:32Z,-0.28132,-0.958005,9.5e-5,2025-03-14T02:23:32Z,0.700846,-0.217419,0.154629,2025-03-14T02:23:32Z
52,263.035748,1.05633,180,44.939968,290.445748,0,3.313835,3,-93.166997,0.085671,2025-03-14T02:23:33Z,-0.280966,-0.958176,-4.14e-4,2025-03-14T02:23:33Z,0.702258,-0.223593,0.157049,2025-03-14T02:23:33Z
53,263.026161,0.308016,180,44.939968,290.436161,0,3.441487,3,-93.166998,0,2025-03-14T02:23:34Z,-0.281202,-0.95825,-9.84e-4,2025-03-14T02:23:34Z,0.689802,-0.215099,0.144865,2025-03-14T02:23:34Z
54,263.026161,0.192561,180,44.939968,290.436161,0,3.397519,3,-93.166998,0,2025-03-14T02:23:35Z,-0.280727,-0.958134,-4.52e-4,2025-03-14T02:23:35Z,0.653943,-0.203753,0.143867,2025-03-14T02:23:35Z
55,263.026161,0.192561,180,44.939968,290.436161,0,3.357054,3,-93.166998,0,2025-03-14T02:23:36Z,-0.281349,-0.958125,2.13e-4,2025-03-14T02:23:36Z,0.598473,-0.183339,0.133734,2025-03-14T02:23:36Z
56,263.026161,0.192561,180,44.939968,290.436161,0,3.4148,3,-93.166998,0,2025-03-14T02:23:37Z,-0.281154,-0.95845,-2.89e-4,2025-03-14T02:23:37Z,0.533852,-0.160555,0.113953,2025-03-14T02:23:37Z
57,263.026161,0.192561,180,44.939968,290.436161,0,3.47344,3,-93.166998,0,2025-03-14T02:23:38Z,-0.280904,-0.958102,-7.56e-4,2025-03-14T02:23:38Z,0.473599,-0.137476,0.097989,2025-03-14T02:23:38Z
58,265.032374,0.308016,180,44.939964,292.442374,0,3.607807,3,-93.167,0.110983,2025-03-14T02:23:39Z,-0.281233,-0.958257,-3.55e-4,2025-03-14T02:23:39Z,0.435706,-0.12716,0.093902,2025-03-14T02:23:39Z
59,265.052298,0.308016,180,44.939962,292.462298,0,3.665338,3,-93.167002,0.052362,2025-03-14T02:23:40Z,-0.281223,-0.958183,-3.44e-4,2025-03-14T02:23:40Z,0.415962,-0.118064,0.078479,2025-03-14T02:23:40Z
60,265.241756,0.327768,180,44.93996,292.651756,0,3.692906,3,-93.167002,0,2025-03-14T02:23:41Z,-0.280939,-0.958132,-0.001047,2025-03-14T02:23:41Z,0.394612,-0.108037,0.072166,2025-03-14T02:23:41Z
61,265.241756,0.308016,180,44.93996,292.651756,0,3.690033,3,-93.167002,0,2025-03-14T02:23:42Z,-0.280988,-0.9581,-6.42e-4,2025-03-14T02:23:42Z,0.370614,-0.101138,0.068174,2025-03-14T02:23:42Z
62,265.241756,0.590058,180,44.93996,292.651756,0,3.637624,3,-93.167002,0,2025-03-14T02:23:43Z,-0.281131,-0.958158,4.3e-5,2025-03-14T02:23:43Z,0.344224,-0.094521,0.063144,2025-03-14T02:23:43Z
63,265.241756,0.590084,180,44.93996,292.651756,0,3.56353,3,-93.167002,0,2025-03-14T02:23:44Z,-0.28131,-0.958231,-5.5e-5,2025-03-14T02:23:44Z,0.323783,-0.085883,0.056811,2025-03-14T02:23:44Z
64,265.241756,0.58517,180,44.93996,292.651756,0,3.489694,3,-93.167002,0,2025-03-14T02:23:45Z,-0.280931,-0.95826,-8.23e-4,2025-03-14T02:23:45Z,0.303938,-0.080507,0.045232,2025-03-14T02:23:45Z
65,265.241756,0.641026,180,44.93996,292.651756,0,3.494091,3,-93.167002,0,2025-03-14T02:23:46Z,-0.280901,-0.958286,-4.94e-4,2025-03-14T02:23:46Z,0.282561,-0.072766,0.039677,2025-03-14T02:23:46Z
66,265.241756,0.587119,180,44.93996,292.651756,0,3.451963,3,-93.167002,0,2025-03-14T02:23:47Z,-0.280813,-0.95807,-4.17e-4,2025-03-14T02:23:47Z,0.263668,-0.064873,0.0365,2025-03-14T02:23:47Z
67,265.241756,0.55815,180,44.93996,292.651756,0,3.496959,3,-93.167002,0,2025-03-14T02:23:48Z,-0.28108,-0.958127,2.92e-4,2025-03-14T02:23:48Z,0.245414,-0.058319,0.030574,2025-03-14T02:23:48Z
68,265.241756,0.558495,180,44.93996,292.651756,0,3.480176,3,-93.167002,0,2025-03-14T02:23:49Z,-0.281072,-0.958324,-7.77e-4,2025-03-14T02:23:49Z,0.223995,-0.056253,0.019339,2025-03-14T02:23:49Z
69,265.241756,0.557383,180,44.93996,292.651756,0,3.436285,3,-93.167002,0,2025-03-14T02:23:50Z,-0.281109,-0.958093,-6.09e-4,2025-03-14T02:23:50Z,0.21095,-0.048669,0.017937,2025-03-14T02:23:50Z
70,265.241756,0.557853,180,44.93996,292.651756,0,3.3901,3,-93.167002,0,2025-03-14T02:23:51Z,-0.280988,-0.958131,1.16e-4,2025-03-14T02:23:51Z,0.195076,-0.043416,0.02148,2025-03-14T02:23:51Z
71,265.241756,0.554876,180,44.93996,292.651756,0,3.320595,3,-93.167002,0,2025-03-14T02:23:52Z,-0.280955,-0.958206,-6.34e-4,2025-03-14T02:23:52Z,0.182917,-0.040602,0.009722,2025-03-14T02:23:52Z
72,265.241756,0.556046,180,44.93996,292.651756,0,3.324048,3,-93.167002,0,2025-03-14T02:23:53Z,-0.281057,-0.958302,-5.9e-4,2025-03-14T02:23:53Z,0.167502,-0.036892,0.006671,2025-03-14T02:23:53Z
73,265.241756,0.553094,180,44.93996,292.651756,0,3.262087,3,-93.167002,0,2025-03-14T02:23:54Z,-0.281286,-0.958176,1.84e-4,2025-03-14T02:23:54Z,0.158411,-0.032747,0.006355,2025-03-14T02:23:54Z
74,265.241756,0.556135,180,44.93996,292.651756,0,3.23724,3,-93.167002,0,2025-03-14T02:23:55Z,-0.281022,-0.958118,-8.69e-4,2025-03-14T02:23:55Z,0.144084,-0.029023,-0.002759,2025-03-14T02:23:55Z
75,265.241756,0.568886,180,44.93996,292.651756,0,3.228007,3,-93.167002,0,2025-03-14T02:23:56Z,-0.280801,-0.958495,-1.97e-4,2025-03-14T02:23:56Z,0.141714,-0.028508,-0.003011,2025-03-14T02:23:56Z
76,265.241756,0.566152,180,44.93996,292.651756,0,3.227256,3,-93.167002,0,2025-03-14T02:23:57Z,-0.281011,-0.958219,-3.31e-4,2025-03-14T02:23:57Z,0.12526,-0.023933,-1.81e-4,2025-03-14T02:23:57Z
77,265.241756,0.566065,180,44.93996,292.651756,0,3.165893,3,-93.167002,0,2025-03-14T02:23:58Z,-0.272225,-0.960722,0.002164,2025-03-14T02:23:58Z,0.209625,-0.045747,0.017307,2025-03-14T02:23:58Z
78,265.241756,0.563785,180,44.93996,292.651756,0,3.208317,3,-93.167002,0,2025-03-14T02:23:59Z,-0.230374,-0.972224,0.0134,2025-03-14T02:23:59Z,0.585468,-0.149359,0.12458,2025-03-14T02:23:59Z
79,265.31884,1.03525,180,44.93996,292.72884,0,3.18512,3,-93.166997,0.207995,2025-03-14T02:24:00Z,-0.138452,-0.99653,0.038515,2025-03-14T02:24:00Z,1.424275,-0.369141,0.361852,2025-03-14T02:24:00Z
80,265.457129,0.66513,46.674757,44.939972,292.867129,0,3.128003,3,-93.166998,1.154115,2025-03-14T02:24:01Z,-0.069825,-1.016,0.056216,2025-03-14T02:24:01Z,1.966336,-0.521979,0.52567,2025-03-14T02:24:01Z
81,265.322321,0.676004,17.249296,44.940009,292.732321,0,3.185234,3,-93.166998,3.171564,2025-03-14T02:24:02Z,-0.101481,-1.0117,0.029583,2025-03-14T02:24:02Z,1.529589,-0.443884,0.300943,2025-03-14T02:24:02Z
82,265.203511,0.673247,10.672656,44.940063,292.613511,0,3.125972,3,-93.166998,5.108484,2025-03-14T02:24:03Z,-0.136311,-0.998667,0.014825,2025-03-14T02:24:03Z,1.004729,-0.267673,0.194926,2025-03-14T02:24:03Z
83,265.055194,0.666734,8.227438,44.940128,292.465194,0,3.091544,3,-93.166999,6.565256,2025-03-14T02:24:04Z,-0.141338,-0.982111,0.013677,2025-03-14T02:24:04Z,0.822033,-0.079419,0.195121,2025-03-14T02:24:04Z
84,264.800764,0.672988,7.257009,44.940204,292.210764,0.195515,2.951995,3,-93.167,7.885778,2025-03-14T02:24:05Z,-0.161593,-0.985973,0.01703,2025-03-14T02:24:05Z,0.71149,-0.126092,0.160292,2025-03-14T02:24:05Z
85,264.489507,0.6747,7.254975,44.94029,291.899507,0.195515,2.726943,3,-93.167,9.067319,2025-03-14T02:24:06Z,-0.171556,-0.995525,0.042382,2025-03-14T02:24:06Z,0.570441,-0.216399,0.216356,2025-03-14T02:24:06Z
86,264.298887,0.695215,7.257077,44.940385,291.708887,0.195515,2.777961,3,-93.167,10.163939,2025-03-14T02:24:07Z,-0.197796,-0.982377,0.031015,2025-03-14T02:24:07Z,0.188209,-0.069094,0.092346,2025-03-14T02:24:07Z
87,264.547408,0.694268,7.258946,44.940492,291.957408,0.195515,3.395028,3,-93.166999,11.294727,2025-03-14T02:24:08Z,-0.243897,-0.968942,0.001472,2025-03-14T02:24:08Z,-0.302611,0.075346,-0.178657,2025-03-14T02:24:08Z
88,264.492769,0.677364,7.258687,44.940604,291.902769,0.195515,3.212389,3,-93.166997,11.958788,2025-03-14T02:24:09Z,-0.286411,-0.956163,-5.52e-4,2025-03-14T02:24:09Z,-0.66554,0.188321,-0.217255,2025-03-14T02:24:09Z
89,264.411146,0.67878,7.258548,44.940713,291.821146,0.195515,4.036507,3.338812,-93.166995,12.052323,2025-03-14T02:24:10Z,-0.300264,-0.949243,0.019413,2025-03-14T02:24:10Z,-0.746829,0.238953,-0.097358,2025-03-14T02:24:10Z
90,264.271465,0.680463,7.257367,44.94082,291.681465,359.438263,4.465479,3.70888,-93.166995,11.904056,2025-03-14T02:24:11Z,-0.337619,-0.943676,0.050868,2025-03-14T02:24:11Z,-1.081135,0.288509,0.191402,2025-03-14T02:24:11Z
91,264.173083,0.711694,7.258483,44.940925,291.583083,359.107117,3.618006,3,-93.167,11.706488,2025-03-14T02:24:12Z,-0.364109,-0.924806,0.066062,2025-03-14T02:24:12Z,-1.282643,0.447823,0.317165,2025-03-14T02:24:12Z
92,264.270028,0.690197,7.258974,44.941021,291.680028,359.107208,2.867462,3,-93.166993,10.996764,2025-03-14T02:24:13Z,-0.330815,-0.955635,-0.051526,2025-03-14T02:24:13Z,-0.921082,0.178468,-0.58629,2025-03-14T02:24:13Z
93,263.567295,0.858409,7.257382,44.941111,290.977295,0.206399,3.014922,3,-93.166993,10.490442,2025-03-14T02:24:14Z,-0.339678,-0.937103,-0.073537,2025-03-14T02:24:14Z,-0.965316,0.327893,-0.730046,2025-03-14T02:24:14Z
94,263.584618,0.975521,7.468978,44.941211,290.994618,0.206399,4.256776,3,-93.166993,10.582024,2025-03-14T02:24:15Z,-0.338535,-0.939994,-0.085527,2025-03-14T02:24:15Z,-0.960034,0.289567,-0.700053,2025-03-14T02:24:15Z
