seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,263.332,-1,-1,44.941348,290.742,-1,161.344976,3,-93.168611,-1,2025-03-21T00:10:07Z,-0.34003100000000003,-0.948385,0.16767,2025-03-21T00:10:07Z,-0.821136,0.177816,1.459468,2025-03-21T00:10:07Z
1,256.393188,1.53,18.695271,44.941389,283.803188,228.867188,3.535534,3,-93.169618,6.12,2025-03-21T00:10:09Z,-0.290412,-0.938555,0.141526,2025-03-21T00:10:08Z,-0.469537,0.288382,1.018234,2025-03-21T00:10:08Z
2,256.217407,1.04,11.702608,44.941318,283.627407,182.460938,3.535534,3,-93.169585,5.78,2025-03-21T00:10:10Z,-0.233004,-0.962998,0.055469,2025-03-21T00:10:09Z,-0.007706,0.095912,0.364728,2025-03-21T00:10:09Z
3,255.8797,0.96,8.244377,44.941259,283.2897,180.705292,3.535534,3,-93.169589,5.78,2025-03-21T00:10:11Z,-0.206462,-0.998426,0.039017,2025-03-21T00:10:10Z,0.365256,-0.287299,0.0556,2025-03-21T00:10:10Z
4,256.08197,0.07,0.629296,44.941187,283.49197,182.630676,3.535534,3,-93.16958,7.35,2025-03-21T00:10:12Z,-0.179215,-0.987797,0.060994,2025-03-21T00:10:11Z,0.515356,-0.17333200000000001,0.042534,2025-03-21T00:10:11Z
5,256.003784,0.08,0.713401,44.941116,283.413784,179.642822,3.535534,3,-93.169576,8.09,2025-03-21T00:10:13Z,-0.214444,-0.977539,0.049483,2025-03-21T00:10:12Z,0.130363,-0.049559,-0.127487,2025-03-21T00:10:12Z
6,255.838013,0.34,2.643458,44.941042,283.248013,179.642822,3.535534,3,-93.169575,8.09,2025-03-21T00:10:13Z,-0.245439,-0.969876,0.034784,2025-03-21T00:10:13Z,-0.162289,0.008928,-0.292031,2025-03-21T00:10:13Z
7,256.249023,0.21,1.659308,44.940966,283.659023,179.642822,3.535534,3,-93.169573,8.31,2025-03-21T00:10:14Z,-0.244677,-0.964648,0.045911,2025-03-21T00:10:14Z,-0.129245,0.068958,-0.246835,2025-03-21T00:10:14Z
8,256.400391,0.1,0.751832,44.940888,283.81039,179.642822,3.535534,3,-93.169573,8.5,2025-03-21T00:10:15Z,-0.246333,-0.967797,0.042772,2025-03-21T00:10:15Z,-0.190296,0.025128,-0.277802,2025-03-21T00:10:15Z
9,256.243408,1.48,8.416942,44.940813,283.653408,180.187592,3.535534,3,-93.169579,8.34,2025-03-21T00:10:16Z,-0.255108,-0.969648,0.045405,2025-03-21T00:10:16Z,-0.235153,0.010636,-0.245517,2025-03-21T00:10:16Z
10,255.752441,0.81,6.679578,44.940741,283.162441,180.187592,3.535534,3,-93.169585,8.34,2025-03-21T00:10:17Z,-0.250693,-0.955743,0.032436,2025-03-21T00:10:17Z,-0.225245,0.133766,-0.378257,2025-03-21T00:10:17Z
11,256.83728,0.4,2.839826,44.940657,284.24728,180.187592,3.535534,3,-93.169589,8.34,2025-03-21T00:10:18Z,-0.270336,-0.965557,0.039341,2025-03-21T00:10:18Z,-0.37566,0.060233,-0.336555,2025-03-21T00:10:18Z
12,257.566528,0.14,1.081821,44.940571,284.976528,180.187592,3.535534,3,-93.169586,8.64,2025-03-21T00:10:19Z,-0.289586,-0.952649,0.023928,2025-03-21T00:10:19Z,-0.601451,0.189867,-0.439539,2025-03-21T00:10:19Z
13,257.566534,0.308016,7.258975,44.940494,284.976534,180.187592,4.748652,4.029364,-93.169586,8.64,2025-03-21T00:10:20Z,-0.317456,-0.950812,0.029919,2025-03-21T00:10:20Z,-0.812283,0.17138,-0.45041,2025-03-21T00:10:20Z
14,257.228277,1.11,10.707334,44.940417,284.638277,180.485275,4.748652,4.029364,-93.169589,8.4,2025-03-21T00:10:21Z,-0.358178,-0.934122,0.008287,2025-03-21T00:10:21Z,-1.135984,0.331591,-0.537543,2025-03-21T00:10:21Z
15,257.45429,0.59,7.258975,44.940349,284.86429,180.485275,4.748652,4.029364,-93.169585,8.4,2025-03-21T00:10:22Z,-0.357569,-0.939632,0.007196,2025-03-21T00:10:22Z,-1.066351,0.262623,-0.541308,2025-03-21T00:10:22Z
16,257.566777,1.24,13.78262,44.940296,284.976777,180.485275,4.748652,4.029364,-93.169582,7.29,2025-03-21T00:10:23Z,-0.367658,-0.931172,0.007651,2025-03-21T00:10:23Z,-1.06573,0.32522,-0.529174,2025-03-21T00:10:23Z
17,257.930851,0.66,8.762762,44.940253,285.34085,180.485275,4.748652,4.029364,-93.169596,6.6,2025-03-21T00:10:24Z,-0.414494,-0.92136,0.003156,2025-03-21T00:10:24Z,-1.446409,0.393621,-0.532451,2025-03-21T00:10:24Z
18,258.072145,0.308016,7.258975,44.940232,285.482145,180.485275,4.748652,4.029364,-93.169593,4.05,2025-03-21T00:10:25Z,-0.401134,-0.927126,-0.005761,2025-03-21T00:10:25Z,-1.215058,0.319432,-0.496748,2025-03-21T00:10:25Z
19,258.282594,0.308016,7.258975,44.940207,285.692594,180.485275,4.748652,4.029364,-93.169594,4.05,2025-03-21T00:10:26Z,-0.342134,-0.942617,0.010372,2025-03-21T00:10:26Z,-0.563595,0.149435,-0.285524,2025-03-21T00:10:26Z
20,258.875245,1.89,49.242382,44.940186,286.285245,180.485275,4.748652,4.029364,-93.169594,3.11,2025-03-21T00:10:27Z,-0.296181,-0.954225,0.017187,2025-03-21T00:10:27Z,-0.140546,0.046492,-0.178411,2025-03-21T00:10:27Z
21,258.534913,1,47.836196,44.940198,285.944912,180.485275,4.748652,4.029364,-93.169583,2.22,2025-03-21T00:10:28Z,-0.276523,-0.95987,0.020669,2025-03-21T00:10:28Z,0.031991,-0.004688,-0.11391,2025-03-21T00:10:28Z
22,258.299683,1.028591,180,44.940213,285.709683,180.485275,4.748652,4.029364,-93.16958,0.3,2025-03-21T00:10:29Z,-0.229222,-0.972918,0.033969,2025-03-21T00:10:29Z,0.498307,-0.132329,0.030192,2025-03-21T00:10:29Z
23,257.656982,1.095673,180,44.940213,285.066982,180.485275,4.748652,4.029364,-93.169588,0,2025-03-21T00:10:30Z,-0.176981,-0.986415,0.048,2025-03-21T00:10:30Z,0.94941,-0.246145,0.162179,2025-03-21T00:10:30Z
24,257.723877,1.095673,180,44.94021,285.133877,180.485275,4.748652,4.029364,-93.169581,0.2,2025-03-21T00:10:31Z,-0.024063,-1.022083,0.088514,2025-03-21T00:10:31Z,2.30017,-0.553469,0.570914,2025-03-21T00:10:31Z
25,257.726624,1.028591,180,44.940203,285.136623,180.485275,4.748652,4.029364,-93.169597,0.2,2025-03-21T00:10:32Z,-0.106093,-1.017603,0.05942,2025-03-21T00:10:32Z,1.411454,-0.496015,0.322655,2025-03-21T00:10:32Z
26,257.543336,0.308016,7.258975,44.940138,284.953336,180.485275,4.748652,4.029364,-93.169598,4.06,2025-03-21T00:10:33Z,-0.118933,-0.987867,0.059163,2025-03-21T00:10:33Z,1.134692,-0.155012,0.285204,2025-03-21T00:10:33Z
27,257.484376,0.91,27.068521,44.940124,284.894376,180.485275,4.748652,4.029364,-93.169598,4.06,2025-03-21T00:10:34Z,-0.160363,-0.969224,0.046791,2025-03-21T00:10:34Z,0.901263,-0.001089,0.230835,2025-03-21T00:10:34Z
28,256.866151,0.79,15.766624,44.940067,284.276151,180.485275,4.748652,4.029364,-93.169599,4.06,2025-03-21T00:10:35Z,-0.195427,-0.969555,0.038784,2025-03-21T00:10:35Z,0.726814,-0.093228,0.14832,2025-03-21T00:10:35Z
29,257.679935,0.308016,7.258975,44.939984,285.089935,180.742172,4.748652,4.029364,-93.1696,6.85,2025-03-21T00:10:36Z,-0.198201,-1.015307,0.018384,2025-03-21T00:10:36Z,0.45722,-0.458498,0.036966,2025-03-21T00:10:36Z
30,258.151494,0.308016,7.258975,44.939911,285.561494,180.742172,4.748652,4.029364,-93.169602,7.7,2025-03-21T00:10:37Z,-0.184195,-0.971707,0.016569,2025-03-21T00:10:37Z,0.418728,0.030714,0.031445,2025-03-21T00:10:37Z
31,258.24793,0.308016,7.258975,44.939833,285.65793,180,4.748652,4.029364,-93.169603,8.31,2025-03-21T00:10:38Z,-0.201981,-0.979846,-0.007886,2025-03-21T00:10:38Z,0.183222,-0.048009,-0.140541,2025-03-21T00:10:38Z
32,258.243658,0.71,7.258975,44.939757,285.653658,180,4.748652,4.029364,-93.169603,8.31,2025-03-21T00:10:39Z,-0.223184,-0.977332,-0.008037,2025-03-21T00:10:39Z,-0.090794,3.52e-4,-0.151027,2025-03-21T00:10:39Z
33,258.888129,1.265886,11.550655,44.939664,286.298128,180,2,3,-93.169603,8.880238,2025-03-21T00:10:40Z,-0.219475,-0.976058,8.74e-4,2025-03-21T00:10:40Z,-0.032251,0.00247,-0.061166,2025-03-21T00:10:40Z
34,258.866717,1.270911,11.433087,44.939581,286.276717,180,2,3,-93.169603,9.007009,2025-03-21T00:10:41Z,-0.236336,-0.968882,0.002789,2025-03-21T00:10:41Z,-0.230568,0.074415,-0.077471,2025-03-21T00:10:41Z
35,259.192426,1.285163,12.276668,44.939504,286.602426,180,2.190448,3,-93.169603,8.481222,2025-03-21T00:10:42Z,-0.23945,-0.965434,0.004548,2025-03-21T00:10:42Z,-0.246141,0.112293,-0.058634,2025-03-21T00:10:42Z
36,258.894941,0.672417,7.258922,44.939397,286.304941,179.512619,2.111317,3,-93.169601,9.514561,2025-03-21T00:10:43Z,-0.244251,-0.965815,-0.003444,2025-03-21T00:10:43Z,-0.329197,0.117329,-0.128643,2025-03-21T00:10:43Z
37,259.318747,0.673351,7.256671,44.93931,286.728747,179.512619,2.06128,3,-93.1696,9.604194,2025-03-21T00:10:44Z,-0.25384,-0.973646,0.004407,2025-03-21T00:10:44Z,-0.371689,0.035675,-0.118312,2025-03-21T00:10:44Z
38,259.592384,0.667553,7.257395,44.939224,287.002383,179.512619,2.166056,3,-93.169599,9.505876,2025-03-21T00:10:45Z,-0.246834,-0.965955,0.018656,2025-03-21T00:10:45Z,-0.265065,0.080658,0.027312,2025-03-21T00:10:45Z
39,260.617116,0.688106,7.235223,44.939134,288.027115,179.512619,2.095469,3,-93.169598,9.71067,2025-03-21T00:10:46Z,-0.257058,-0.960857,3.77e-4,2025-03-21T00:10:46Z,-0.344131,0.143908,-0.116312,2025-03-21T00:10:46Z
