seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,262.213658,2.146006,29.371927,44.941415,289.623658,113.714825,2.830548,3,-93.167104,5.912536,2025-03-21T00:21:41Z,-0.168515,-0.985491,-0.253028,2025-03-21T00:21:40Z,0.271078,-0.049676,-2.687001,2025-03-21T00:21:40Z
1,262.220168,2.131887,29.128535,44.941366,289.630168,139.147175,2.789021,3,-93.167064,5.927006,2025-03-21T00:21:42Z,-0.15161,-0.989678,-0.168072,2025-03-21T00:21:41Z,0.491438,-0.105523,-1.90059,2025-03-21T00:21:41Z
2,262.168211,2.106725,26.774857,44.941306,289.578211,161.560355,2.746034,3,-93.167047,6.375523,2025-03-21T00:21:43Z,-0.154202,-0.988903,-0.04482,2025-03-21T00:21:42Z,0.479404,-0.104987,-0.831003,2025-03-21T00:21:42Z
3,261.986077,2.037457,23.230638,44.941238,289.396077,181.217865,2.678771,3,-93.167049,7.105232,2025-03-21T00:21:44Z,-0.181514,-0.994485,0.030021,2025-03-21T00:21:43Z,0.221099,-0.176554,-0.277578,2025-03-21T00:21:43Z
4,261.92166,1.994244,20.744851,44.941166,289.33166,181.253525,2.568665,3,-93.167049,7.783552,2025-03-21T00:21:45Z,-0.19378,-0.976957,0.067253,2025-03-21T00:21:44Z,0.010549,0.028499,0.050328,2025-03-21T00:21:44Z
5,261.927377,1.960356,18.986611,44.941089,289.337377,181.253525,2.561783,3,-93.167053,8.365679,2025-03-21T00:21:46Z,-0.215432,-0.975301,0.063215,2025-03-21T00:21:45Z,-0.248505,0.046743,0.107608,2025-03-21T00:21:45Z
6,262.078629,1.908994,17.739776,44.941009,289.488629,180.861145,2.387512,3,-93.167053,8.718338,2025-03-21T00:21:47Z,-0.232523,-0.968102,0.046047,2025-03-21T00:21:46Z,-0.431429,0.130945,0.024869,2025-03-21T00:21:46Z
7,262.094298,1.924547,17.423837,44.940927,289.504298,180.861145,2.251266,3,-93.167053,8.949936,2025-03-21T00:21:48Z,-0.274589,-0.960483,0.035236,2025-03-21T00:21:47Z,-0.824685,0.19502,-0.096301,2025-03-21T00:21:47Z
8,262.27043,1.922564,18.03521,44.940849,289.680429,180.861145,2.161826,3,-93.167054,8.636242,2025-03-21T00:21:49Z,-0.275564,-0.960954,0.052298,2025-03-21T00:21:48Z,-0.794149,0.181075,0.003367,2025-03-21T00:21:48Z
9,262.381769,1.946204,18.907041,44.940773,289.791769,180.112579,2.105186,3,-93.167054,8.339622,2025-03-21T00:21:50Z,-0.27697,-0.95546,0.039943,2025-03-21T00:21:49Z,-0.758297,0.231295,-0.031313,2025-03-21T00:21:49Z
10,262.344533,1.962578,19.842646,44.940699,289.754533,180.112579,2.220325,3,-93.167056,8.01426,2025-03-21T00:21:51Z,-0.302354,-0.95556,0.041971,2025-03-21T00:21:50Z,-0.924304,0.211268,-0.04856,2025-03-21T00:21:50Z
11,262.485064,1.995345,21.577472,44.940633,289.895064,180.112579,2.150192,3,-93.167056,7.492933,2025-03-21T00:21:52Z,-0.320239,-0.949612,0.03188,2025-03-21T00:21:51Z,-1.047098,0.25373,-0.162292,2025-03-21T00:21:51Z
12,262.818049,2.047937,24.56152,44.940573,290.228049,180.112579,2.49955,3,-93.167054,6.753882,2025-03-21T00:21:53Z,-0.333424,-0.942249,0.024185,2025-03-21T00:21:52Z,-1.104145,0.317877,-0.153576,2025-03-21T00:21:52Z
13,262.89012,2.120371,29.024456,44.94052,290.30012,180.112579,2.425648,3,-93.167053,5.911395,2025-03-21T00:21:54Z,-0.352074,-0.946049,0.024646,2025-03-21T00:21:53Z,-1.255288,0.270612,-0.147316,2025-03-21T00:21:53Z
14,263.034872,2.203315,35.632516,44.940475,290.444871,180.112579,2.340518,3,-93.167051,5.009851,2025-03-21T00:21:55Z,-0.357567,-0.936077,0.018767,2025-03-21T00:21:54Z,-1.248406,0.355384,-0.18269,2025-03-21T00:21:54Z
15,263.196647,2.317712,47.550772,44.940441,290.606647,180.112579,2.299551,3,-93.167047,3.946768,2025-03-21T00:21:56Z,-0.306634,-0.953337,0.026994,2025-03-21T00:21:55Z,-0.678023,0.169541,-0.065372,2025-03-21T00:21:55Z
16,263.390011,2.45271,67.355986,44.940415,290.800011,180.112579,2.296122,3,-93.167043,2.938964,2025-03-21T00:21:57Z,-0.261219,-0.963089,0.037534,2025-03-21T00:21:56Z,-0.16706,0.060595,0.052275,2025-03-21T00:21:56Z
17,263.677609,2.619468,73.808508,44.940389,291.087609,180.112579,2.294819,3,-93.16704,2.667043,2025-03-21T00:21:58Z,-0.188765,-0.982564,0.05745,2025-03-21T00:21:57Z,0.558583,-0.133031,0.239412,2025-03-21T00:21:57Z
18,263.754258,2.664697,69.465029,44.940362,291.164257,180.112579,2.262062,3,-93.167039,2.796681,2025-03-21T00:21:59Z,-0.108685,-0.999163,0.076974,2025-03-21T00:21:58Z,1.308551,-0.291933,0.420216,2025-03-21T00:21:58Z
19,263.881328,2.514642,49.721198,44.940326,291.291328,179.59111,2.32581,3,-93.167035,3.787808,2025-03-21T00:22:00Z,-0.134562,-0.994924,0.067601,2025-03-21T00:21:59Z,1.04389,-0.242281,0.342428,2025-03-21T00:21:59Z
20,264.03129,2.284519,34.530047,44.940275,291.44129,179.59111,2.311792,3,-93.167033,5.135242,2025-03-21T00:22:01Z,-0.123743,-0.997019,0.069417,2025-03-21T00:22:00Z,1.070814,-0.24931,0.352799,2025-03-21T00:22:00Z
21,264.343077,2.16713,27.30687,44.940215,291.753077,179.59111,2.28581,3,-93.167036,6.222692,2025-03-21T00:22:02Z,-0.11982,-0.996738,0.054507,2025-03-21T00:22:01Z,0.954495,-0.206971,0.240547,2025-03-21T00:22:01Z
