seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,259.922121,-1,-1,44.941487,287.332121,-1,30.094786,30,-93.167107,-1,2025-03-21T00:04:30Z,-0.21397,-0.969431,0.00683,2025-03-21T00:04:30Z,0.430437,-0.046374,0.137614,2025-03-21T00:04:30Z
1,257.814423,2.085,20.392659,44.941505,285.224422,279.140625,14,7.5,-93.1673,6.57,2025-03-21T00:04:31Z,-0.273051,-0.968809,0.013237,2025-03-21T00:04:31Z,0.026353,-0.072448,-0.007644,2025-03-21T00:04:31Z
2,258.042969,1.51,12.621582,44.941553999999996,285.452969,271.40625,14,3,-93.167424,6.76,2025-03-21T00:04:33Z,-0.278673,-0.955308,0.035869,2025-03-21T00:04:32Z,-0.103567,0.078447,0.107838,2025-03-21T00:04:32Z
3,261.740356,0.84,5.646545,44.941505,289.150356,268.945312,5.381476,4,-93.167537,7.76,2025-03-21T00:04:34Z,-0.258491,-0.961893,0.052357,2025-03-21T00:04:33Z,0.099265,0.003734,0.228214,2025-03-21T00:04:33Z
4,260.765625,0.99,5.346539,44.94151,288.175625,269.296875,3.535534,3,-93.167642,9.63,2025-03-21T00:04:35Z,-0.251355,-0.969682,0.031682,2025-03-21T00:04:34Z,0.112434,-0.048701,0.067234,2025-03-21T00:04:34Z
5,259.831787,0.97,5.095433,44.941515,287.241787,270.069122,3.535534,3,-93.167759,10.19,2025-03-21T00:04:36Z,-0.23707,-0.962478,0.031871,2025-03-21T00:04:35Z,0.233742,0.02211,0.063061,2025-03-21T00:04:35Z
6,258.872192,1.02,5.241966,44.941511,286.282192,270.069122,3.535534,3,-93.167887,10.59,2025-03-21T00:04:36Z,-0.238997,-0.974228,0.019148,2025-03-21T00:04:36Z,0.204593,-0.082862,-0.011873,2025-03-21T00:04:36Z
7,258.953308,1.42,7.519888,44.941505,286.363308,270.069122,3.535534,3,-93.168025,10.42,2025-03-21T00:04:37Z,-0.240419,-0.967393,0.016746,2025-03-21T00:04:37Z,0.1459,-0.006091,0.014371,2025-03-21T00:04:37Z
8,258.956055,0.88,4.4832090000000004,44.941504,286.366055,270.081268,3.535534,3,-93.168174,10.59,2025-03-21T00:04:38Z,-0.250819,-0.962116,0.005984,2025-03-21T00:04:38Z,0.055018,0.039504,-0.070966,2025-03-21T00:04:38Z
9,258.455811,1.24,5.569798,44.941501,285.86581,270.081268,3.535534,3,-93.16833,12.3,2025-03-21T00:04:39Z,-0.254681,-0.969913,0.009066,2025-03-21T00:04:39Z,0.008822,-0.030912,-0.033293,2025-03-21T00:04:39Z
10,258.070557,1,4.144552,44.941497,285.480556,270.081268,3.535534,3,-93.168492,12.9,2025-03-21T00:04:40Z,-0.261908,-0.963757,0.001769,2025-03-21T00:04:40Z,-0.079394,0.031704,-0.075376,2025-03-21T00:04:40Z
11,258.403931,1.43,5.40129,44.941496,285.813931,270.081268,3.535534,3,-93.168651,12.99,2025-03-21T00:04:41Z,-0.272064,-0.958118,-0.001853,2025-03-21T00:04:41Z,-0.181354,0.092952,-0.086821,2025-03-21T00:04:41Z
12,257.436279,0.78,3.671683,44.941494,284.846279,270.081268,3.535534,3,-93.168817,12.99,2025-03-21T00:04:42Z,-0.276436,-0.975283,0.007026,2025-03-21T00:04:42Z,-0.256037,-0.068984,-0.076153,2025-03-21T00:04:42Z
13,257.436293,0.78,7.258975,44.941491,284.846292,270.081268,4.748652,4.029364,-93.168982,12.99,2025-03-21T00:04:43Z,-0.264155,-0.973839,0.015023,2025-03-21T00:04:43Z,-0.248633,-0.031163,-0.025198,2025-03-21T00:04:43Z
14,257.217422,0.308016,7.258975,44.941494,284.627422,270.081268,4.748652,4.029364,-93.169166,13.65,2025-03-21T00:04:44Z,-0.261133,-0.972357,0.012718,2025-03-21T00:04:44Z,-0.213,-0.013049,-0.054049,2025-03-21T00:04:44Z
