seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,257.758031,-0.3,4.914279,44.934364,285.168031,99.294271,124.150992,5.915444,-93.170874,0.75,2025-03-21T00:12:57Z,-0.202839,-0.988728,-0.180548,2025-03-21T00:12:57Z,-0.10923,-0.063712,-1.803318,2025-03-21T00:12:57Z
1,258.066162,1.24,15.618508,44.934438,285.476162,333.28125,5.204666,4,-93.17106,5.14,2025-03-21T00:12:58Z,-0.086237,-0.988437,-0.094474,2025-03-21T00:12:58Z,0.981759,-0.061769,-0.878642,2025-03-21T00:12:58Z
2,258.006836,0.98,7.858722,44.934509,285.416836,359.91333,3.946495,4,-93.171044,5.14,2025-03-21T00:12:59Z,-0.095625,-1.000285,-0.019041,2025-03-21T00:12:59Z,0.953058,-0.188676,-0.24588,2025-03-21T00:12:59Z
3,258.669312,0.39,2.944093,44.934581,286.079311,359.91333,3.535534,3,-93.171044,6.69,2025-03-21T00:13:00Z,-0.130253,-1.011619,-0.032588,2025-03-21T00:13:00Z,0.57173,-0.286463,-0.380857,2025-03-21T00:13:00Z
4,258.848145,0.17,1.205155,44.934657,286.258144,359.91333,3.535534,3,-93.171044,9.26,2025-03-21T00:13:01Z,-0.135128,-0.990764,0.032605,2025-03-21T00:13:01Z,0.529404,-0.098167,0.163039,2025-03-21T00:13:01Z
5,258.957825,0.07,0.462635,44.934751,286.367825,359.91333,3.535534,3,-93.171044,10.15,2025-03-21T00:13:02Z,-0.171866,-0.978274,0.007161,2025-03-21T00:13:02Z,0.138578,0.052869,-0.032856,2025-03-21T00:13:02Z
6,257.578796,1.64,7.668549,44.934838,284.988796,359.91333,3.535534,3,-93.171044,9.8,2025-03-21T00:13:03Z,-0.187253,-0.99075,0.005557,2025-03-21T00:13:03Z,-0.07433,-0.068901,-0.045393,2025-03-21T00:13:03Z
7,258.080566,0.79,4.72666,44.934939,285.490566,359.91333,3.535534,3,-93.171045,10.15,2025-03-21T00:13:04Z,-0.223704,-0.978704,0.022113,2025-03-21T00:13:04Z,-0.428255,0.047875,0.027504,2025-03-21T00:13:04Z
8,258.273193,0.22,1.360979,44.935032,285.683193,359.91333,3.535534,3,-93.171045,10.53,2025-03-21T00:13:05Z,-0.232759,-0.969793,-2.94e-4,2025-03-21T00:13:05Z,-0.497104,0.127888,-0.268641,2025-03-21T00:13:05Z
9,258.580444,0.11,0.751845,44.935129,285.990444,359.91333,3.535534,3,-93.171045,10.19,2025-03-21T00:13:06Z,-0.268831,-0.951404,-0.002471,2025-03-21T00:13:06Z,-0.806787,0.296624,-0.146523,2025-03-21T00:13:06Z
