seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,250.53988,0.643921,9.814445,44.941629,277.94988,181.25096,2.956417,3,-93.17724,5.314909,2025-03-28T02:27:58Z,-0.165821,-0.986859,-0.017572,2025-03-28T02:27:58Z,0.532712,-0.117402,0.121497,2025-03-28T02:27:58Z
1,251.02624,0.725885,9.689371,44.941573,278.436239,180.920856,2.910023,3,-93.177243,6.010364,2025-03-28T02:27:59Z,-0.164091,-0.985122,-0.011583,2025-03-28T02:27:59Z,0.616862,-0.11322,0.15351,2025-03-28T02:27:59Z
2,250.085151,0.891784,11.910025,44.941523,277.495151,184.312956,2.943854,3,-93.177258,6.017959,2025-03-28T02:28:00Z,-0.152737,-0.994877,0.017862,2025-03-28T02:28:00Z,0.649424,-0.189026,0.301551,2025-03-28T02:28:00Z
3,250.687656,0.652166,7.256128,44.94144,278.097655,179.209248,2.802215,3,-93.177244,7.551138,2025-03-28T02:28:01Z,-0.13961,-0.993139,0.004091,2025-03-28T02:28:01Z,0.711072,-0.15634,0.16527,2025-03-28T02:28:01Z
4,250.699715,0.67459,7.257933,44.941362,278.109715,178.529492,2.624075,3,-93.177241,8.370277,2025-03-28T02:28:02Z,-0.145767,-0.975512,-0.01458,2025-03-28T02:28:02Z,0.655718,0.017331,0.052343,2025-03-28T02:28:02Z
5,250.628822,0.656617,7.258938,44.941274,278.038822,179.089171,2.514298,3,-93.17724,9.348707,2025-03-28T02:28:03Z,-0.160494,-1.017349,-0.015006,2025-03-28T02:28:03Z,0.526889,-0.395688,0.016397,2025-03-28T02:28:03Z
6,250.315214,0.67791,7.258706,44.941179,277.725214,179.566039,2.552177,3,-93.177239,10.175959,2025-03-28T02:28:04Z,-0.191747,-0.960612,0.028416,2025-03-28T02:28:04Z,0.123821,0.174124,0.107136,2025-03-28T02:28:04Z
7,251.211526,0.654019,7.250107,44.941087,278.621526,177.772398,2.335321,3,-93.177232,10.365411,2025-03-28T02:28:05Z,-0.177284,-0.990168,-0.002056,2025-03-28T02:28:05Z,0.215328,-0.10081,-0.099991,2025-03-28T02:28:05Z
8,251.040847,0.655481,7.258793,44.940978,278.450847,180.251159,2.192258,3,-93.177238,11.42289,2025-03-28T02:28:06Z,-0.207496,-0.972384,-0.011567,2025-03-28T02:28:06Z,-0.128879,0.082215,-0.178711,2025-03-28T02:28:06Z
9,252.105734,0.693636,7.25029,44.94087,279.515734,183.810779,2.102226,3,-93.177253,11.871796,2025-03-28T02:28:07Z,-0.22404,-0.968032,-8.4e-4,2025-03-28T02:28:07Z,-0.273033,0.126935,-0.097987,2025-03-28T02:28:07Z
10,251.551906,0.653828,7.258858,44.940772,278.961906,179.154357,2.122313,3,-93.177239,11.537336,2025-03-28T02:28:08Z,-0.227565,-0.976774,0.008979,2025-03-28T02:28:08Z,-0.313709,0.034715,-2.14e-4,2025-03-28T02:28:08Z
11,251.371139,0.647717,7.258969,44.940663,278.781139,179.806023,2.078767,3,-93.177242,11.844572,2025-03-28T02:28:09Z,-0.228112,-0.969517,0.004995,2025-03-28T02:28:09Z,-0.336879,0.099862,0.002824,2025-03-28T02:28:09Z
12,251.128448,0.645926,7.258772,44.940558,278.538448,180.72851,2.264532,3,-93.177246,11.823615,2025-03-28T02:28:10Z,-0.23716,-0.97601,-0.003339,2025-03-28T02:28:10Z,-0.446652,0.065064,0.012087,2025-03-28T02:28:10Z
13,251.549665,0.639897,7.257945,44.94045,278.959665,179.852753,2.138808,3,-93.177244,11.902866,2025-03-28T02:28:11Z,-0.245174,-0.962588,-0.019301,2025-03-28T02:28:11Z,-0.50292,0.180647,-0.067801,2025-03-28T02:28:11Z
14,251.395791,0.637644,7.258887,44.940345,278.805791,179.567588,2.250958,3,-93.177244,11.749271,2025-03-28T02:28:12Z,-0.223084,-0.983801,-0.021598,2025-03-28T02:28:12Z,-0.303278,-0.021985,-0.070166,2025-03-28T02:28:12Z
15,251.585392,0.637341,7.25869,44.940242,278.995392,180.601763,2.148569,3,-93.177249,11.518864,2025-03-28T02:28:13Z,-0.218439,-0.985322,-0.015865,2025-03-28T02:28:13Z,-0.26781,-0.033209,-0.007414,2025-03-28T02:28:13Z
16,251.755817,0.639936,7.258748,44.94013,279.165817,179.418285,2.990645,3,-93.177247,12.066312,2025-03-28T02:28:14Z,-0.232641,-0.935483,-0.027377,2025-03-28T02:28:14Z,-0.423964,0.440476,-0.039637,2025-03-28T02:28:14Z
