seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,261.599002,0.32072,7.258778,44.941251,289.009002,180.392457,2.387459,3,-93.167135,7.206995,2025-03-28T02:39:20Z,-0.142923,-0.976732,0.020243,2025-03-28T02:39:20Z,0.479105,0.076634,0.525076,2025-03-28T02:39:20Z
1,261.507007,0.328804,7.257911,44.941178,288.917007,180.189135,2.3425,3,-93.167136,8.168072,2025-03-28T02:39:21Z,-0.125476,-1.018494,0.03148,2025-03-28T02:39:21Z,0.521523,-0.368081,0.381312,2025-03-28T02:39:21Z
2,261.603835,0.333949,7.258598,44.941094,289.013835,181.253586,2.265171,3,-93.167113,9.263805,2025-03-28T02:39:22Z,-0.127641,-0.998806,0.033813,2025-03-28T02:39:22Z,0.455152,-0.153649,0.442056,2025-03-28T02:39:22Z
3,261.781587,0.336549,7.258411,44.941002,289.191587,180.861176,2.175224,3,-93.167116,10.170436,2025-03-28T02:39:23Z,-0.138692,-0.995778,0.027614,2025-03-28T02:39:23Z,0.267286,-0.076816,0.384042,2025-03-28T02:39:23Z
4,261.961579,0.334789,7.258518,44.940904,289.371579,180.861176,2.106068,3,-93.167122,10.902609,2025-03-28T02:39:24Z,-0.174484,-0.981259,0.019344,2025-03-28T02:39:24Z,-0.035179,0.031142,0.379879,2025-03-28T02:39:24Z
5,262.169423,0.332792,7.257989,44.940801,289.579423,180.112579,2.060211,3,-93.167124,11.285961,2025-03-28T02:39:25Z,-0.181667,-0.98887100000000006,0.017874,2025-03-28T02:39:25Z,-0.177487,-0.016324,0.347665,2025-03-28T02:39:25Z
6,262.324152,0.315094,7.258882,44.940696,289.734152,180.112579,2.032441,3,-93.167125,11.616266,2025-03-28T02:39:26Z,-0.202982,-0.967636,0.007919,2025-03-28T02:39:26Z,-0.381757,0.166228,0.262889,2025-03-28T02:39:26Z
7,262.496668,0.321097,7.25843,44.940591,289.906668,180.112579,2.145317,3,-93.167125,11.466907,2025-03-28T02:39:27Z,-0.219519,-0.974829,-0.017,2025-03-28T02:39:27Z,-0.527979,0.108269,0.084152,2025-03-28T02:39:27Z
8,262.518076,0.305831,7.258955,44.940483,289.928076,180.112579,2.076718,3,-93.167127,11.767086,2025-03-28T02:39:28Z,-0.238212,-0.984334,-0.00634,2025-03-28T02:39:28Z,-0.610524,0.01079,0.07203,2025-03-28T02:39:28Z
9,262.624418,0.305176,7.258955,44.940373,290.034418,180.112579,2.040271,3,-93.167128,11.992035,2025-03-28T02:39:29Z,-0.201073,-0.972069,0.013948,2025-03-28T02:39:29Z,-0.414414,0.140675,0.243196,2025-03-28T02:39:29Z
10,262.763384,0.314424,7.258821,44.940265,290.173384,179.591095,2.021093,3,-93.167129,12.005737,2025-03-28T02:39:30Z,-0.220074,-0.978648,0.002348,2025-03-28T02:39:30Z,-0.533312,0.092941,0.139694,2025-03-28T02:39:30Z
11,262.819207,0.312612,7.258886,44.940154,290.229206,179.591095,2.01611,3,-93.167129,12.197333,2025-03-28T02:39:31Z,-0.216051,-0.970483,-0.007682,2025-03-28T02:39:31Z,-0.494535,0.134846,0.156932,2025-03-28T02:39:31Z
12,262.927259,0.307002,7.25897,44.940045,290.337259,179.591095,2.0084,3,-93.167129,12.189027,2025-03-28T02:39:32Z,-0.207788,-0.949848,-0.033687,2025-03-28T02:39:32Z,-0.297572,0.323774,0.028029,2025-03-28T02:39:32Z
13,262.94359,0.299335,7.258664,44.939935,290.35359,180.917877,2.004388,3,-93.167129,12.374041,2025-03-28T02:39:33Z,-0.219133,-0.982165,-0.007321,2025-03-28T02:39:33Z,-0.300407,-0.00792,0.062367,2025-03-28T02:39:33Z
14,263.13154,0.320493,7.258544,44.939823,290.54154,180.917877,2.002276,3,-93.167129,12.554359,2025-03-28T02:39:34Z,-0.213593,-0.993015,0.012254,2025-03-28T02:39:34Z,-0.332108,-0.088779,0.121286,2025-03-28T02:39:34Z
15,263.277594,0.316721,7.2588,44.93971,290.687594,180.917877,2.001174,3,-93.167132,12.728132,2025-03-28T02:39:35Z,-0.198139,-0.992614,0.00583,2025-03-28T02:39:35Z,-0.189753,-0.064147,0.164939,2025-03-28T02:39:35Z
16,263.552042,0.328983,7.258448,44.939594,290.962042,180.405579,2.000597,3,-93.167134,13.033924,2025-03-28T02:39:36Z,-0.177214,-0.973698,-0.012847,2025-03-28T02:39:36Z,0.004671,0.073707,0.142084,2025-03-28T02:39:36Z
17,263.586907,0.320069,7.25881,44.939476,290.996907,180.238614,2.000298,3,-93.167134,13.09925,2025-03-28T02:39:37Z,-0.212115,-0.974951,-0.024921,2025-03-28T02:39:37Z,-0.301358,0.070189,0.061717,2025-03-28T02:39:37Z
18,263.795929,0.314458,7.258893,44.939357,291.205929,180.188784,2.176492,3,-93.167133,13.225137,2025-03-28T02:39:38Z,-0.212536,-0.974006,-0.02781,2025-03-28T02:39:38Z,-0.292794,0.093809,0.053543,2025-03-28T02:39:38Z
19,264.084391,0.321153,7.258587,44.939237,291.494391,180.211636,2.087377,3,-93.167131,13.358653,2025-03-28T02:39:40Z,-0.216094,-0.969937,-0.030442,2025-03-28T02:39:39Z,-0.307058,0.116535,-0.017415,2025-03-28T02:39:39Z
20,264.228634,0.309784,7.258967,44.939118,291.638633,180.23901,2.090615,3,-93.16713,13.232073,2025-03-28T02:39:41Z,-0.22486,-0.971561,-0.029088,2025-03-28T02:39:40Z,-0.342509,0.101955,0.037096,2025-03-28T02:39:40Z
21,264.336782,0.306851,7.258971,44.939001,291.746782,180.163629,2.045122,3,-93.16713,13.09388,2025-03-28T02:39:42Z,-0.228753,-0.971204,-0.044018,2025-03-28T02:39:41Z,-0.371271,0.103448,-0.103293,2025-03-28T02:39:41Z
22,264.466186,0.30504,7.258952,44.938884,291.876186,180.472366,2.022317,3,-93.167131,12.952284,2025-03-28T02:39:43Z,-0.238758,-0.975849,-0.028457,2025-03-28T02:39:42Z,-0.379374,0.025153,0.00664,2025-03-28T02:39:42Z
23,264.644509,0.304086,7.258935,44.938766,292.054509,180.472366,2.011112,3,-93.167133,12.977202,2025-03-28T02:39:44Z,-0.207761,-0.971164,-0.028916,2025-03-28T02:39:43Z,-0.091996,0.079068,0.061256,2025-03-28T02:39:43Z
24,264.799531,0.309408,7.25897,44.938647,292.209531,180.21904,2.00554,3,-93.167135,13.210654,2025-03-28T02:39:45Z,-0.200085,-0.979978,-0.030699,2025-03-28T02:39:44Z,-0.021404,0.001483,0.079895,2025-03-28T02:39:44Z
25,264.931758,0.310272,7.258963,44.938526,292.341757,180.21904,2.002745,3,-93.167137,13.414966,2025-03-28T02:39:46Z,-0.196078,-0.979349,-0.029612,2025-03-28T02:39:45Z,0.030479,-0.001183,0.09206,2025-03-28T02:39:45Z
26,265.087539,0.3114,7.258959,44.938403,292.497539,179.689194,2.001347,3,-93.167137,13.629766,2025-03-28T02:39:47Z,-0.205639,-0.974836,-0.033156,2025-03-28T02:39:46Z,-0.047167,0.037991,0.039381,2025-03-28T02:39:46Z
27,265.158172,0.311039,7.258964,44.93828,292.568172,179.689194,2.000654,3,-93.167137,13.690599,2025-03-28T02:39:48Z,-0.226352,-0.975193,-0.031382,2025-03-28T02:39:47Z,-0.232317,0.031356,0.035707,2025-03-28T02:39:47Z
28,265.230031,0.309816,7.258969,44.938158,292.640031,179.070343,2.000317,3,-93.167137,13.596776,2025-03-28T02:39:49Z,-0.223733,-0.973589,-0.02987,2025-03-28T02:39:48Z,-0.192846,0.053669,0.014683,2025-03-28T02:39:48Z
