seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,262.184243,0.678967,12.466530,44.934361,289.594243,329.092943,2.396561,3.000000,-93.166975,4.412529,2025-04-03T22:36:40.000-05:00,-0.218087,-0.978450,-0.086300,2025-04-03T22:36:39.499-05:00,0.245283,-0.084741,-0.984683,2025-04-03T22:36:39.507-05:00
1.000000,262.112150,0.670917,11.529963,44.934410,289.522150,351.608015,2.412602,3.000000,-93.166974,4.713614,2025-04-03T22:36:41.000-05:00,-0.210328,-0.979068,0.043972,2025-04-03T22:36:40.493-05:00,0.080540,-0.043494,0.053425,2025-04-03T22:36:40.492-05:00
2.000000,261.979242,0.660086,10.657566,44.934459,289.389241,0.150174,2.367792,3.000000,-93.166972,5.013702,2025-04-03T22:36:42.000-05:00,-0.133391,-0.996720,0.083379,2025-04-03T22:36:41.488-05:00,0.788493,-0.199603,0.529436,2025-04-03T22:36:41.487-05:00
3.000000,262.198990,0.693538,9.840440,44.934514,289.608990,0.150174,2.409162,3.000000,-93.166971,5.707690,2025-04-03T22:36:43.000-05:00,-0.145688,-0.990847,0.077209,2025-04-03T22:36:42.493-05:00,0.613844,-0.128352,0.524036,2025-04-03T22:36:42.492-05:00
4.000000,262.209608,0.654475,7.499136,44.934587,289.619607,0.150174,2.452617,3.000000,-93.166966,7.071061,2025-04-03T22:36:44.000-05:00,-0.155485,-0.990907,0.079774,2025-04-03T22:36:43.488-05:00,0.424836,-0.108833,0.599091,2025-04-03T22:36:43.486-05:00
5.000000,262.135539,0.656452,7.258940,44.934663,289.545538,359.502319,2.591860,3.000000,-93.166963,7.947002,2025-04-03T22:36:45.000-05:00,-0.163004,-0.986558,0.063405,2025-04-03T22:36:44.492-05:00,0.298004,-0.055807,0.510189,2025-04-03T22:36:44.491-05:00
6.000000,261.987713,0.657271,7.258247,44.934748,289.397713,359.502319,2.422557,3.000000,-93.166963,8.865786,2025-04-03T22:36:46.000-05:00,-0.171425,-0.986797,0.058329,2025-04-03T22:36:45.487-05:00,0.145499,-0.041165,0.533544,2025-04-03T22:36:45.486-05:00
7.000000,262.086532,0.661375,7.258954,44.934840,289.496532,0.000000,2.444568,3.000000,-93.166961,9.609884,2025-04-03T22:36:47.000-05:00,-0.178929,-0.982279,0.054997,2025-04-03T22:36:46.492-05:00,0.051336,0.006340,0.493537,2025-04-03T22:36:46.491-05:00
8.000000,262.114386,0.654934,7.258795,44.934935,289.524386,0.000000,2.470834,3.000000,-93.166962,10.260159,2025-04-03T22:36:48.000-05:00,-0.176188,-0.983039,0.044495,2025-04-03T22:36:47.487-05:00,0.053220,0.002193,0.362083,2025-04-03T22:36:47.486-05:00
9.000000,262.501382,0.663479,7.258768,44.935027,289.911381,0.000000,2.823210,3.000000,-93.166964,10.383937,2025-04-03T22:36:49.000-05:00,-0.183422,-0.985247,0.052100,2025-04-03T22:36:48.492-05:00,-0.051901,-0.012800,0.387289,2025-04-03T22:36:48.490-05:00
