seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,264.436380,-1.000000,-1.000000,44.941621,291.846379,-1.000000,43.571505,3.000000,-93.166826,-1.000000,2025-04-03T22:10:08.132-05:00,-0.160499,-0.966200,-0.011279,2025-04-03T22:10:08.135-05:00,1.111100,-0.034733,0.156768,2025-04-03T22:10:08.154-05:00
1.000000,253.640228,1.345000,11.790502,44.941541,281.050228,274.921875,5.367445,8.000000,-93.167100,9.210000,2025-04-03T22:10:09.265-05:00,-0.186307,-0.977787,-0.003992,2025-04-03T22:10:09.120-05:00,0.947225,-0.186340,0.177643,2025-04-03T22:10:09.118-05:00
2.000000,256.456299,1.010000,5.751593,44.941536,283.866299,269.296875,3.535534,3.000000,-93.167289,9.210000,2025-04-03T22:10:11.029-05:00,-0.225459,-0.963833,-0.013626,2025-04-03T22:10:10.124-05:00,0.712836,-0.095525,0.064601,2025-04-03T22:10:10.123-05:00
3.000000,255.107422,1.350000,7.798193,44.941536,282.517422,269.648438,3.535534,3.000000,-93.167411,9.370000,2025-04-03T22:10:12.028-05:00,-0.233333,-0.981894,0.018830,2025-04-03T22:10:11.119-05:00,0.587382,-0.252912,0.235152,2025-04-03T22:10:11.118-05:00
4.000000,253.775513,1.380000,7.489098,44.941533,281.185513,269.296875,3.535534,3.000000,-93.167537,9.370000,2025-04-03T22:10:13.027-05:00,-0.234836,-0.964384,0.013868,2025-04-03T22:10:12.124-05:00,0.578736,-0.083640,0.183707,2025-04-03T22:10:12.122-05:00
5.000000,253.448425,0.720000,3.766921,44.941527,280.858425,268.242188,3.535534,3.000000,-93.167701,12.350000,2025-04-03T22:10:14.028-05:00,-0.247664,-0.971081,-0.015325,2025-04-03T22:10:13.118-05:00,0.388810,-0.130773,-0.044454,2025-04-03T22:10:13.117-05:00
6.000000,253.218018,0.310000,1.701819,44.941526,280.628017,270.069122,3.535534,3.000000,-93.167845,12.350000,2025-04-03T22:10:15.000-05:00,-0.263252,-0.954901,-0.030035,2025-04-03T22:10:14.123-05:00,0.226165,0.032155,-0.181372,2025-04-03T22:10:14.122-05:00
7.000000,253.121460,0.130000,0.748947,44.941523,280.531460,270.069122,3.535534,3.000000,-93.167999,11.940000,2025-04-03T22:10:16.000-05:00,-0.267376,-0.965943,-0.029675,2025-04-03T22:10:15.118-05:00,0.163682,-0.070052,-0.144663,2025-04-03T22:10:15.117-05:00
8.000000,252.497192,0.260000,1.404984,44.941524,279.907192,270.081268,3.535534,3.000000,-93.168151,11.940000,2025-04-03T22:10:17.000-05:00,-0.274502,-0.956144,-0.031043,2025-04-03T22:10:16.122-05:00,0.059276,0.022704,-0.127609,2025-04-03T22:10:16.121-05:00
9.000000,252.184631,0.310000,1.688011,44.941525,279.594631,270.081268,3.535534,3.000000,-93.168304,12.020000,2025-04-03T22:10:18.000-05:00,-0.285279,-0.955388,-0.029660,2025-04-03T22:10:17.117-05:00,-0.038424,0.049694,-0.109932,2025-04-03T22:10:17.126-05:00
