seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,250.086447,2.695694,41.558238,44.941363,277.496447,72.444041,2.347017,3.000000,-93.176986,5.253216,2025-02-19T15:45:54.000-06:00,0.020603,-0.999098,-0.063961,2025-02-19T15:45:53.847-06:00,0.644316,-0.033096,0.243204,2025-02-19T15:45:53.856-06:00
1.000000,250.400815,2.703271,38.842563,44.941368,277.810814,80.187623,2.410567,3.000000,-93.176912,5.638331,2025-02-19T15:45:55.000-06:00,0.028822,-0.999611,-0.088194,2025-02-19T15:45:54.832-06:00,0.598077,-0.057972,0.164320,2025-02-19T15:45:54.831-06:00
2.000000,250.406899,2.704084,33.383296,44.941373,277.816899,90.718910,2.385431,3.000000,-93.176824,6.562855,2025-02-19T15:45:56.000-06:00,0.025744,-0.996713,-0.093289,2025-02-19T15:45:55.837-06:00,0.450940,-0.042530,0.307652,2025-02-19T15:45:55.836-06:00
3.000000,250.623281,2.709465,29.370225,44.941374,278.033281,90.718910,2.324587,3.000000,-93.176723,7.474916,2025-02-19T15:45:57.000-06:00,0.018787,-1.003167,-0.085361,2025-02-19T15:45:56.832-06:00,0.343693,-0.105363,0.339273,2025-02-19T15:45:56.831-06:00
4.000000,250.690589,2.694094,26.048146,44.941376,278.100589,90.330269,2.246474,3.000000,-93.176611,8.380377,2025-02-19T15:45:58.000-06:00,0.005584,-1.001264,-0.064052,2025-02-19T15:45:57.837-06:00,0.171708,-0.063363,0.366222,2025-02-19T15:45:57.835-06:00
5.000000,250.898182,2.696217,23.551783,44.941373,278.308182,90.330269,2.166645,3.000000,-93.176487,9.274100,2025-02-19T15:45:59.000-06:00,-0.031210,-0.995534,-0.071447,2025-02-19T15:45:58.832-06:00,-0.166231,-0.005364,0.256071,2025-02-19T15:45:58.830-06:00
6.000000,251.099389,2.706202,22.042854,44.941371,278.509389,90.330269,2.288432,3.000000,-93.176356,9.945925,2025-02-19T15:46:00.000-06:00,-0.029777,-0.997254,-0.064586,2025-02-19T15:45:59.836-06:00,-0.154752,-0.012435,0.268038,2025-02-19T15:45:59.835-06:00
7.000000,251.502469,2.703391,20.927881,44.941371,278.912469,90.330269,2.171178,3.000000,-93.176218,10.463747,2025-02-19T15:46:01.000-06:00,-0.032719,-1.001266,-0.049064,2025-02-19T15:46:00.831-06:00,-0.194605,-0.051108,0.336012,2025-02-19T15:46:00.830-06:00
8.000000,251.616303,2.709885,20.090584,44.941369,279.026303,90.000000,2.095118,3.000000,-93.176077,10.926546,2025-02-19T15:46:02.000-06:00,-0.038915,-0.993735,-0.040900,2025-02-19T15:46:01.836-06:00,-0.224036,0.031437,0.332234,2025-02-19T15:46:01.835-06:00
9.000000,251.690254,2.695114,19.413036,44.941368,279.100254,90.000000,2.192017,3.000000,-93.175933,11.245555,2025-02-19T15:46:03.000-06:00,-0.048866,-0.997495,-0.035247,2025-02-19T15:46:02.831-06:00,-0.290879,-0.002907,0.382467,2025-02-19T15:46:02.830-06:00
