seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,249.799445,0.684569,32.519506,44.941485,277.209445,184.875820,2.471853,3.000000,-93.177293,1.675085,2025-02-19T15:27:58.000-06:00,-0.010083,-0.997794,-0.035521,2025-02-19T15:27:57.392-06:00,-0.372606,0.017765,-0.194478,2025-02-19T15:27:57.402-06:00
1.000000,250.309525,0.899464,36.314456,44.941468,277.719525,172.730372,2.474712,3.000000,-93.177280,1.667212,2025-02-19T15:27:59.000-06:00,0.013234,-0.996929,-0.024311,2025-02-19T15:27:58.387-06:00,-0.133071,0.025173,-0.101496,2025-02-19T15:27:58.387-06:00
2.000000,250.076621,0.665145,43.174530,44.941463,277.486621,179.870659,2.492442,3.000000,-93.177284,1.241340,2025-02-19T15:28:00.000-06:00,0.019609,-0.998075,-0.022825,2025-02-19T15:27:59.382-06:00,-0.064472,0.014843,-0.094215,2025-02-19T15:27:59.382-06:00
3.000000,250.056465,0.657747,41.659150,44.941451,277.466465,180.134161,2.467820,3.000000,-93.177283,1.279185,2025-02-19T15:28:01.000-06:00,-0.008298,-0.997890,-0.031648,2025-02-19T15:28:00.387-06:00,-0.306586,0.017132,-0.180843,2025-02-19T15:28:00.387-06:00
4.000000,249.853153,0.675693,45.967357,44.941442,277.263153,179.804158,2.476169,3.000000,-93.177281,1.134307,2025-02-19T15:28:02.000-06:00,-0.031857,-0.997720,-0.038868,2025-02-19T15:28:01.381-06:00,-0.503530,0.019154,-0.235853,2025-02-19T15:28:01.381-06:00
5.000000,249.943544,0.664040,79.600988,44.941437,277.353544,180.349647,2.452360,3.000000,-93.177282,0.672132,2025-02-19T15:28:03.000-06:00,-0.015098,-0.997141,-0.036764,2025-02-19T15:28:02.386-06:00,-0.323750,0.025686,-0.180593,2025-02-19T15:28:02.386-06:00
6.000000,249.995998,0.811641,180.000000,44.941436,277.405998,179.426427,2.429742,3.000000,-93.177279,0.291313,2025-02-19T15:28:04.000-06:00,-0.000759,-0.998181,-0.032451,2025-02-19T15:28:03.381-06:00,-0.156893,0.014784,-0.127097,2025-02-19T15:28:03.381-06:00
7.000000,249.951982,0.896731,180.000000,44.941437,277.361982,179.426427,2.423763,3.000000,-93.177278,0.016348,2025-02-19T15:28:05.000-06:00,0.020445,-0.996969,-0.026002,2025-02-19T15:28:04.386-06:00,0.056043,0.025781,-0.065577,2025-02-19T15:28:04.386-06:00
8.000000,249.990894,0.903821,180.000000,44.941439,277.400894,179.426429,2.507513,3.000000,-93.177276,0.000000,2025-02-19T15:28:06.000-06:00,0.020453,-0.997296,-0.026156,2025-02-19T15:28:05.380-06:00,0.057342,0.023324,-0.063374,2025-02-19T15:28:05.380-06:00
9.000000,249.990894,0.896618,180.000000,44.941439,277.400894,179.426429,2.524246,3.000000,-93.177276,0.000000,2025-02-19T15:28:07.000-06:00,0.020337,-0.997503,-0.025872,2025-02-19T15:28:06.385-06:00,0.057342,0.021722,-0.058134,2025-02-19T15:28:06.385-06:00
10.000000,249.990894,0.901321,180.000000,44.941439,277.400894,179.426429,2.515912,3.000000,-93.177276,0.000000,2025-02-19T15:28:08.000-06:00,0.020262,-0.997308,-0.026010,2025-02-19T15:28:07.380-06:00,0.055071,0.023165,-0.052159,2025-02-19T15:28:07.380-06:00
11.000000,249.990894,0.892550,180.000000,44.941439,277.400894,179.426429,2.582655,3.000000,-93.177276,0.000000,2025-02-19T15:28:09.000-06:00,0.020205,-0.997372,-0.025938,2025-02-19T15:28:08.385-06:00,0.047455,0.022263,-0.047288,2025-02-19T15:28:08.385-06:00
12.000000,249.990894,0.896327,180.000000,44.941439,277.400894,179.426429,2.567140,3.000000,-93.177276,0.000000,2025-02-19T15:28:10.000-06:00,0.020308,-0.997657,-0.026108,2025-02-19T15:28:09.389-06:00,0.051459,0.020200,-0.045327,2025-02-19T15:28:09.389-06:00
13.000000,249.990894,0.894628,180.000000,44.941439,277.400894,179.426429,2.680726,3.000000,-93.177276,0.000000,2025-02-19T15:28:11.000-06:00,0.069392,-0.996681,-0.011000,2025-02-19T15:28:10.384-06:00,0.501434,0.028527,0.090498,2025-02-19T15:28:10.384-06:00
14.000000,250.389487,0.904238,180.000000,44.941440,277.799487,179.426430,2.647279,3.000000,-93.177275,0.378565,2025-02-19T15:28:12.000-06:00,0.176452,-0.995256,0.020245,2025-02-19T15:28:11.389-06:00,1.456159,0.043217,0.371940,2025-02-19T15:28:11.389-06:00
15.000000,250.485821,0.652906,32.131846,44.941421,277.895821,180.052308,2.646938,3.000000,-93.177274,1.639874,2025-02-19T15:28:13.000-06:00,0.152465,-0.993159,0.010261,2025-02-19T15:28:12.383-06:00,1.193197,0.060492,0.306479,2025-02-19T15:28:12.383-06:00
16.000000,250.589158,0.650635,17.629406,44.941390,277.999157,181.424365,2.643731,3.000000,-93.177275,2.957493,2025-02-19T15:28:14.000-06:00,0.104655,-0.993468,-0.003717,2025-02-19T15:28:13.388-06:00,0.742783,0.055889,0.214823,2025-02-19T15:28:13.388-06:00
17.000000,250.501865,0.690045,13.527059,44.941348,277.911865,174.688553,2.642611,3.000000,-93.177262,4.129396,2025-02-19T15:28:15.000-06:00,0.103686,-0.997109,-0.003439,2025-02-19T15:28:14.383-06:00,0.719190,0.023013,0.185091,2025-02-19T15:28:14.383-06:00
18.000000,250.168413,0.661363,10.911615,44.941303,277.578413,178.465356,2.610480,3.000000,-93.177269,4.895577,2025-02-19T15:28:16.000-06:00,0.104551,-0.999334,0.009033,2025-02-19T15:28:15.388-06:00,0.744076,-0.006655,0.278518,2025-02-19T15:28:15.388-06:00
19.000000,250.242810,0.655042,9.057857,44.941248,277.652810,179.049407,2.586790,3.000000,-93.177267,5.858448,2025-02-19T15:28:17.000-06:00,0.088927,-0.980834,-0.016994,2025-02-19T15:28:16.382-06:00,0.499748,0.174202,-0.030409,2025-02-19T15:28:16.382-06:00
20.000000,249.902205,0.655564,8.059408,44.941186,277.312205,178.345318,2.552461,3.000000,-93.177263,6.585803,2025-02-19T15:28:18.000-06:00,0.093670,-1.005835,0.011879,2025-02-19T15:28:17.387-06:00,0.371891,-0.063482,0.056202,2025-02-19T15:28:17.387-06:00
21.000000,250.223004,0.654177,7.255602,44.941117,277.633004,178.497099,2.489729,3.000000,-93.177261,7.337087,2025-02-19T15:28:19.000-06:00,0.088395,-1.007115,-0.003057,2025-02-19T15:28:18.382-06:00,0.279882,-0.086822,-0.012398,2025-02-19T15:28:18.382-06:00
