seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,253.408047,1.014351,64.227826,44.934382,280.818047,305.123630,3.136386,3.500000,-93.177142,2.335779,2025-02-27T19:38:09.325-06:00,-0.161789,-0.994756,-0.165647,2025-02-27T19:38:09.318-06:00,1.226445,-0.369809,-1.229299,2025-02-27T19:38:09.324-06:00
1.000000,252.713135,1.480000,28.184813,44.934469,280.123135,348.046875,4.113969,3.000000,-93.177190,4.170000,2025-02-27T19:38:10.999-06:00,-0.141529,-0.991983,-0.147658,2025-02-27T19:38:10.303-06:00,1.105468,-0.250460,-1.180219,2025-02-27T19:38:10.309-06:00
2.000000,252.370911,0.980000,10.562052,44.934530,279.780910,360.000000,3.535534,3.000000,-93.177202,4.170000,2025-02-27T19:38:11.999-06:00,-0.161831,-0.993247,0.060492,2025-02-27T19:38:11.307-06:00,0.723468,-0.208088,0.720825,2025-02-27T19:38:11.303-06:00
3.000000,251.933960,0.290000,2.518869,44.934589,279.343960,2.109375,3.535534,3.000000,-93.177197,6.050000,2025-02-27T19:38:12.999-06:00,-0.169280,-0.992604,0.058470,2025-02-27T19:38:12.302-06:00,0.553052,-0.177265,0.758619,2025-02-27T19:38:12.308-06:00
4.000000,251.840088,0.620000,4.300615,44.934659,279.250088,358.945312,3.535534,3.000000,-93.177207,9.390000,2025-02-27T19:38:13.999-06:00,-0.215100,-0.973536,0.036697,2025-02-27T19:38:13.306-06:00,0.076510,0.008739,0.510879,2025-02-27T19:38:13.303-06:00
5.000000,252.311218,0.420000,2.837932,44.934745,279.721218,1.406250,3.535534,3.000000,-93.177206,9.560000,2025-02-27T19:38:14.999-06:00,-0.261337,-0.967060,0.023651,2025-02-27T19:38:14.311-06:00,-0.370516,0.070657,0.284263,2025-02-27T19:38:14.307-06:00
6.000000,251.725708,0.140000,0.962600,44.934822,279.135708,0.000000,3.535534,3.000000,-93.177202,9.560000,2025-02-27T19:38:15.999-06:00,-0.287353,-0.957715,0.032341,2025-02-27T19:38:15.306-06:00,-0.630710,0.164919,0.287017,2025-02-27T19:38:15.302-06:00
7.000000,251.979980,0.080000,0.545753,44.934905,279.389980,0.247819,3.535534,3.000000,-93.177210,9.700000,2025-02-27T19:38:16.999-06:00,-0.294275,-0.952410,0.015276,2025-02-27T19:38:16.310-06:00,-0.606753,0.201481,0.134122,2025-02-27T19:38:16.307-06:00
8.000000,252.143494,0.120000,0.856375,44.934993,279.553493,0.247819,3.535534,3.000000,-93.177209,9.700000,2025-02-27T19:38:17.999-06:00,-0.257773,-0.957741,0.023198,2025-02-27T19:38:17.305-06:00,-0.233399,0.156528,0.179980,2025-02-27T19:38:17.311-06:00
9.000000,251.875610,1.690000,7.637747,44.935086,279.285610,0.247819,3.535534,3.000000,-93.177211,9.890000,2025-02-27T19:38:18.999-06:00,-0.256223,-0.965300,0.034988,2025-02-27T19:38:18.310-06:00,-0.183460,0.044795,0.203386,2025-02-27T19:38:18.306-06:00
10.000000,252.318481,2.520000,8.640729,44.935175,279.728481,0.247819,3.535534,3.000000,-93.177177,9.890000,2025-02-27T19:38:19.999-06:00,-0.245647,-0.984873,0.042872,2025-02-27T19:38:19.304-06:00,-0.088777,-0.134788,0.234936,2025-02-27T19:38:19.310-06:00
11.000000,252.183472,1.650000,5.743115,44.935264,279.593472,0.247819,3.535534,3.000000,-93.177188,10.140000,2025-02-27T19:38:20.999-06:00,-0.221771,-0.945949,0.010616,2025-02-27T19:38:20.309-06:00,0.075658,0.264136,0.223690,2025-02-27T19:38:20.305-06:00
12.000000,251.920776,0.740000,3.844578,44.935378,279.330776,0.000000,3.535534,3.000000,-93.177187,12.460000,2025-02-27T19:38:21.999-06:00,-0.245053,-0.980029,0.032083,2025-02-27T19:38:21.303-06:00,-0.023719,-0.088316,0.345440,2025-02-27T19:38:21.310-06:00
