seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,250.802725,-0.530000,0.801015,44.939259,278.212725,38.122396,59.202093,4.000000,-93.177348,1.170000,2025-02-27T19:24:59.091-06:00,-0.347833,-0.958251,0.136883,2025-02-27T19:24:59.049-06:00,-1.189181,0.135062,0.912523,2025-02-27T19:24:59.055-06:00
1.000000,250.807312,1.300000,13.530907,44.939068,278.217312,114.960938,3.535534,3.000000,-93.176974,6.250000,2025-02-27T19:25:00.999-06:00,-0.277513,-0.946117,0.099412,2025-02-27T19:25:00.044-06:00,-0.571551,0.277142,0.474573,2025-02-27T19:25:00.040-06:00
2.000000,251.509338,1.010000,11.548553,44.939006,278.919338,90.161171,6.718116,3.000000,-93.176903,5.690000,2025-02-27T19:25:01.999-06:00,-0.235179,-0.967931,0.074908,2025-02-27T19:25:01.038-06:00,-0.163980,0.056074,0.185746,2025-02-27T19:25:01.044-06:00
3.000000,251.358826,0.240000,2.224887,44.939005,278.768826,90.161171,6.938842,3.000000,-93.176817,6.250000,2025-02-27T19:25:02.999-06:00,-0.188176,-0.984093,0.056028,2025-02-27T19:25:02.043-06:00,0.215215,-0.076773,0.054000,2025-02-27T19:25:02.039-06:00
4.000000,251.401306,0.160000,1.385426,44.939005,278.811306,90.161171,3.535534,3.000000,-93.176724,7.790000,2025-02-27T19:25:03.999-06:00,-0.194074,-0.981404,0.038188,2025-02-27T19:25:03.037-06:00,0.138363,-0.045670,-0.082385,2025-02-27T19:25:03.044-06:00
5.000000,251.503235,0.200000,1.523559,44.939005,278.913235,90.161171,6.216754,3.000000,-93.176621,8.590000,2025-02-27T19:25:04.999-06:00,-0.203433,-0.978616,0.000390,2025-02-27T19:25:04.042-06:00,0.024617,-0.016867,-0.380925,2025-02-27T19:25:04.038-06:00
6.000000,251.258911,0.150000,1.123711,44.939005,278.668911,90.161171,6.280497,3.000000,-93.176515,8.590000,2025-02-27T19:25:06.000-06:00,-0.230064,-0.970826,0.003279,2025-02-27T19:25:05.037-06:00,-0.225423,0.066237,-0.416065,2025-02-27T19:25:05.043-06:00
7.000000,251.237671,0.150000,1.161617,44.939005,278.647671,90.161171,6.643427,3.000000,-93.176406,8.590000,2025-02-27T19:25:07.000-06:00,-0.263786,-0.967740,0.003313,2025-02-27T19:25:06.041-06:00,-0.523863,0.099228,-0.343445,2025-02-27T19:25:06.038-06:00
8.000000,251.090332,0.520000,3.967905,44.939004,278.500332,90.161171,7.275791,3.000000,-93.176294,8.620000,2025-02-27T19:25:08.000-06:00,-0.236345,-0.961099,-0.055113,2025-02-27T19:25:07.036-06:00,-0.260116,0.156430,-0.722658,2025-02-27T19:25:07.042-06:00
9.000000,250.942322,1.530000,8.709446,44.939004,278.352322,90.161171,7.492618,3.000000,-93.176182,8.830000,2025-02-27T19:25:09.000-06:00,-0.216125,-0.967253,-0.055326,2025-02-27T19:25:08.041-06:00,-0.021604,0.083043,-0.656215,2025-02-27T19:25:08.037-06:00
10.000000,251.344055,1.000000,6.194858,44.939004,278.754055,90.075394,6.938835,3.000000,-93.176069,8.830000,2025-02-27T19:25:10.000-06:00,-0.225264,-0.973599,-0.037433,2025-02-27T19:25:09.035-06:00,-0.090873,0.027100,-0.484259,2025-02-27T19:25:09.041-06:00
11.000000,251.844482,0.270000,1.836923,44.939004,279.254482,90.075394,6.820142,3.000000,-93.175946,8.900000,2025-02-27T19:25:11.000-06:00,-0.226892,-0.975904,-0.019629,2025-02-27T19:25:10.040-06:00,-0.085070,0.010206,-0.272043,2025-02-27T19:25:10.036-06:00
12.000000,252.136658,0.150000,1.027983,44.939004,279.546658,90.075394,6.736029,3.000000,-93.175821,9.800000,2025-02-27T19:25:12.000-06:00,-0.225681,-0.970054,-0.006869,2025-02-27T19:25:11.044-06:00,-0.032147,0.034738,-0.169247,2025-02-27T19:25:11.041-06:00
13.000000,252.136665,0.308016,7.258975,44.939004,279.546665,90.075394,4.748652,4.029364,-93.175697,9.800000,2025-02-27T19:25:13.000-06:00,-0.251844,-0.967781,-0.011179,2025-02-27T19:25:12.039-06:00,-0.289066,0.072497,-0.200002,2025-02-27T19:25:12.035-06:00
14.000000,252.550240,0.308016,7.258975,44.939004,279.960240,90.075394,4.748652,4.029364,-93.175563,10.180000,2025-02-27T19:25:14.000-06:00,-0.250554,-0.965883,-0.016228,2025-02-27T19:25:13.044-06:00,-0.223675,0.082306,-0.269738,2025-02-27T19:25:13.040-06:00
15.000000,252.476754,0.800000,7.258975,44.939004,279.886754,90.075394,4.748652,4.029364,-93.175429,10.250000,2025-02-27T19:25:15.000-06:00,-0.237630,-0.970005,-0.008035,2025-02-27T19:25:14.038-06:00,-0.089537,0.041704,-0.206703,2025-02-27T19:25:14.035-06:00
16.000000,252.096322,1.840000,14.645617,44.939003,279.506321,90.075394,4.748652,4.029364,-93.175310,10.180000,2025-02-27T19:25:16.000-06:00,-0.235342,-0.971624,0.001157,2025-02-27T19:25:15.043-06:00,-0.077883,-0.006380,-0.073985,2025-02-27T19:25:15.039-06:00
17.000000,252.402291,0.830000,7.258975,44.939003,279.812291,90.000000,4.748652,4.029364,-93.175171,10.250000,2025-02-27T19:25:17.000-06:00,-0.228232,-0.959122,-0.018747,2025-02-27T19:25:16.038-06:00,-0.039253,0.171857,-0.219061,2025-02-27T19:25:16.044-06:00
18.000000,252.551523,1.170000,8.649937,44.939003,279.961523,90.000000,4.748652,4.029364,-93.175030,10.960000,2025-02-27T19:25:18.000-06:00,-0.254299,-0.982611,-0.002923,2025-02-27T19:25:17.042-06:00,-0.155831,-0.114192,-0.125759,2025-02-27T19:25:17.038-06:00
19.000000,253.556652,1.390000,9.292869,44.939003,280.966652,90.000000,4.748652,4.029364,-93.174871,12.120000,2025-02-27T19:25:19.000-06:00,-0.243946,-0.958850,-0.023086,2025-02-27T19:25:18.037-06:00,-0.134743,0.151371,-0.245009,2025-02-27T19:25:18.043-06:00
20.000000,252.567761,1.410000,9.426579,44.939003,279.977760,90.000000,4.748652,4.029364,-93.174739,12.120000,2025-02-27T19:25:20.000-06:00,-0.320673,-0.925978,-0.038383,2025-02-27T19:25:19.041-06:00,-0.776474,0.432231,-0.443921,2025-02-27T19:25:19.038-06:00
21.000000,253.873546,0.560000,7.258975,44.939003,281.283545,90.000000,4.748652,4.029364,-93.174598,11.480000,2025-02-27T19:25:21.000-06:00,-0.619259,-0.864212,-0.132630,2025-02-27T19:25:20.036-06:00,-3.585132,1.019363,-1.339272,2025-02-27T19:25:20.042-06:00
22.000000,253.819771,0.550000,7.258975,44.939003,281.229771,90.000000,4.748652,4.029364,-93.174511,10.020000,2025-02-27T19:25:21.999-06:00,-0.454727,-0.904919,-0.072973,2025-02-27T19:25:21.041-06:00,-1.934699,0.598888,-0.718901,2025-02-27T19:25:21.037-06:00
23.000000,253.925664,0.308016,7.258975,44.939003,281.335664,90.000000,4.748652,4.029364,-93.174470,7.890000,2025-02-27T19:25:22.999-06:00,-0.398663,-0.922053,-0.050160,2025-02-27T19:25:22.035-06:00,-1.268732,0.401533,-0.495898,2025-02-27T19:25:22.042-06:00
24.000000,253.920777,0.308016,7.726948,44.939003,281.330777,90.000000,4.748652,4.029364,-93.174472,3.230000,2025-02-27T19:25:23.999-06:00,-0.373319,-0.926789,-0.032888,2025-02-27T19:25:23.040-06:00,-0.928782,0.328540,-0.302433,2025-02-27T19:25:23.036-06:00
