seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,252.967639,1.098744,53.086940,44.934357,280.377639,176.740731,8.221486,3.000000,-93.177198,1.488945,2025-02-27T18:58:09.301-06:00,-0.274967,-0.961771,0.165968,2025-02-27T18:58:09.292-06:00,0.325081,-0.105153,1.446701,2025-02-27T18:58:09.293-06:00
1.000000,251.791016,1.910000,36.983500,44.934280,279.201015,158.203125,3.535534,3.000000,-93.177144,3.100000,2025-02-27T18:58:10.999-06:00,-0.232406,-0.969794,0.232112,2025-02-27T18:58:10.277-06:00,0.420100,-0.104031,1.670309,2025-02-27T18:58:10.278-06:00
2.000000,253.106812,0.970000,7.647700,44.934277,280.516811,90.275864,3.535534,3.000000,-93.176979,3.100000,2025-02-27T18:58:11.999-06:00,-0.157847,-0.992615,0.022790,2025-02-27T18:58:11.272-06:00,0.977403,-0.271028,-0.309130,2025-02-27T18:58:11.273-06:00
3.000000,253.122986,0.970000,6.666056,44.934277,280.532986,90.275864,3.535534,3.000000,-93.176880,6.770000,2025-02-27T18:58:12.999-06:00,-0.148241,-0.997640,0.038539,2025-02-27T18:58:12.276-06:00,0.923332,-0.285294,-0.144487,2025-02-27T18:58:12.277-06:00
4.000000,253.250183,0.160000,1.069070,44.934276,280.660183,90.358208,3.535534,3.000000,-93.176765,9.620000,2025-02-27T18:58:13.999-06:00,-0.206080,-0.981476,0.012195,2025-02-27T18:58:13.281-06:00,0.344499,-0.127333,-0.372744,2025-02-27T18:58:13.272-06:00
5.000000,252.773804,0.140000,0.951492,44.934276,280.183804,90.358208,3.535534,3.000000,-93.176650,9.970000,2025-02-27T18:58:14.999-06:00,-0.218117,-0.970453,0.005805,2025-02-27T18:58:14.276-06:00,0.190520,0.002707,-0.393755,2025-02-27T18:58:14.277-06:00
6.000000,252.224548,1.610000,8.420629,44.934275,279.634548,90.358208,3.535534,3.000000,-93.176532,9.620000,2025-02-27T18:58:15.999-06:00,-0.217813,-0.981213,-0.002663,2025-02-27T18:58:15.280-06:00,0.133070,-0.099775,-0.460696,2025-02-27T18:58:15.281-06:00
7.000000,252.129944,0.610000,3.559796,44.934275,279.539944,90.358208,3.535534,3.000000,-93.176396,9.970000,2025-02-27T18:58:16.999-06:00,-0.228518,-0.973773,-0.000653,2025-02-27T18:58:16.275-06:00,0.002157,-0.004619,-0.378229,2025-02-27T18:58:16.276-06:00
8.000000,251.753479,0.050000,0.325180,44.934274,279.163479,90.358208,3.535534,3.000000,-93.176257,11.300000,2025-02-27T18:58:17.999-06:00,-0.221041,-0.973499,-0.006546,2025-02-27T18:58:17.280-06:00,0.019522,0.009274,-0.412272,2025-02-27T18:58:17.281-06:00
9.000000,252.069458,0.070000,0.400833,44.934273,279.479458,90.358208,3.535534,3.000000,-93.176110,11.720000,2025-02-27T18:58:18.999-06:00,-0.224139,-0.968495,0.001098,2025-02-27T18:58:18.274-06:00,-0.016477,0.056000,-0.324511,2025-02-27T18:58:18.275-06:00
10.000000,252.724182,1.160000,5.893633,44.934273,280.134182,90.199402,3.535534,3.000000,-93.175965,11.540000,2025-02-27T18:58:19.999-06:00,-0.256716,-0.968199,-0.007335,2025-02-27T18:58:19.279-06:00,-0.323676,0.058179,-0.296711,2025-02-27T18:58:19.280-06:00
11.000000,252.832153,2.060000,6.506508,44.934273,280.242153,90.199402,3.535534,3.000000,-93.175824,11.540000,2025-02-27T18:58:20.999-06:00,-0.266118,-0.962477,-0.014653,2025-02-27T18:58:20.274-06:00,-0.421852,0.119631,-0.311796,2025-02-27T18:58:20.275-06:00
12.000000,252.478394,0.730000,3.856093,44.934272,279.888393,90.199402,3.535534,3.000000,-93.175665,12.360000,2025-02-27T18:58:21.999-06:00,-0.259005,-0.963503,-0.028674,2025-02-27T18:58:21.278-06:00,-0.341565,0.107859,-0.416212,2025-02-27T18:58:21.279-06:00
13.000000,252.478406,0.730000,7.258975,44.934272,279.888405,90.199402,4.748652,4.029364,-93.175509,12.360000,2025-02-27T18:58:22.999-06:00,-0.252302,-0.962632,-0.040406,2025-02-27T18:58:22.273-06:00,-0.240719,0.102326,-0.502620,2025-02-27T18:58:22.274-06:00
14.000000,252.645886,0.308016,7.258975,44.934271,280.055886,90.199402,4.748652,4.029364,-93.175356,12.360000,2025-02-27T18:58:23.999-06:00,-0.258811,-0.965582,-0.010027,2025-02-27T18:58:23.278-06:00,-0.279190,0.082124,-0.252307,2025-02-27T18:58:23.279-06:00
15.000000,252.668041,0.308016,7.258975,44.934271,280.078041,90.199402,4.748652,4.029364,-93.175203,12.200000,2025-02-27T18:58:24.999-06:00,-0.257143,-0.959304,-0.001874,2025-02-27T18:58:24.272-06:00,-0.229625,0.120648,-0.138236,2025-02-27T18:58:24.273-06:00
16.000000,252.552075,0.308016,7.258975,44.934271,279.962075,90.408142,4.748652,4.029364,-93.175046,12.200000,2025-02-27T18:58:25.999-06:00,-0.260068,-0.973259,-0.015695,2025-02-27T18:58:25.277-06:00,-0.277968,-0.008113,-0.203914,2025-02-27T18:58:25.278-06:00
17.000000,252.575207,1.980000,13.022433,44.934270,279.985207,90.408142,4.748652,4.029364,-93.174886,12.320000,2025-02-27T18:58:26.999-06:00,-0.242460,-0.954983,-0.021422,2025-02-27T18:58:26.272-06:00,-0.086886,0.173988,-0.262598,2025-02-27T18:58:26.273-06:00
18.000000,252.358655,0.950000,7.258975,44.934270,279.768655,90.408142,4.748652,4.029364,-93.174713,12.810000,2025-02-27T18:58:27.999-06:00,-0.258761,-0.956037,-0.032341,2025-02-27T18:58:27.276-06:00,-0.134380,0.124116,-0.335798,2025-02-27T18:58:27.277-06:00
19.000000,252.504773,0.308016,7.258975,44.934269,279.914773,90.231773,4.748652,4.029364,-93.174552,12.730000,2025-02-27T18:58:28.999-06:00,-0.262754,-0.975734,-0.008173,2025-02-27T18:58:28.281-06:00,-0.161889,-0.055474,-0.243137,2025-02-27T18:58:28.272-06:00
20.000000,252.485242,0.308017,7.258975,44.934269,279.895242,90.231773,4.748652,4.029364,-93.174386,12.810000,2025-02-27T18:58:29.999-06:00,-0.259195,-0.969147,-0.011464,2025-02-27T18:58:29.276-06:00,-0.154573,0.005559,-0.274412,2025-02-27T18:58:29.277-06:00
21.000000,252.430189,0.550000,7.258975,44.934268,279.840189,90.231773,4.748652,4.029364,-93.174220,12.930000,2025-02-27T18:58:30.999-06:00,-0.265757,-0.960662,-0.005662,2025-02-27T18:58:30.280-06:00,-0.213762,0.087261,-0.174595,2025-02-27T18:58:30.281-06:00
22.000000,252.237746,0.308016,7.258975,44.934268,279.647746,90.231773,4.748652,4.029364,-93.174048,13.220000,2025-02-27T18:58:31.999-06:00,-0.280409,-0.961257,-0.015502,2025-02-27T18:58:31.275-06:00,-0.352154,0.086293,-0.194807,2025-02-27T18:58:31.276-06:00
23.000000,252.838087,1.830000,11.301989,44.934267,280.248087,90.231773,4.748652,4.029364,-93.173883,13.120000,2025-02-27T18:58:32.999-06:00,-0.279245,-0.954100,-0.016932,2025-02-27T18:58:32.279-06:00,-0.350916,0.160348,-0.220246,2025-02-27T18:58:32.281-06:00
24.000000,253.019911,2.660000,16.303762,44.934278,280.429911,90.231773,4.748652,4.029364,-93.173700,13.220000,2025-02-27T18:58:33.999-06:00,-0.286393,-0.966391,-0.015089,2025-02-27T18:58:33.274-06:00,-0.336016,0.003509,-0.215773,2025-02-27T18:58:33.275-06:00
25.000000,253.093274,0.820000,7.258975,44.934266,280.503273,90.231773,4.748652,4.029364,-93.173561,12.320000,2025-02-27T18:58:34.999-06:00,-0.281420,-0.945451,-0.021665,2025-02-27T18:58:34.279-06:00,-0.289386,0.226579,-0.218565,2025-02-27T18:58:34.280-06:00
26.000000,253.202344,0.650000,7.258975,44.934266,280.612343,90.231773,4.748652,4.029364,-93.173399,12.390000,2025-02-27T18:58:35.999-06:00,-0.273460,-0.936131,0.000636,2025-02-27T18:58:35.274-06:00,-0.167930,0.296168,-0.081739,2025-02-27T18:58:35.275-06:00
27.000000,253.770337,0.590000,7.258975,44.934279,281.180336,90.310265,4.748652,4.029364,-93.173246,12.320000,2025-02-27T18:58:36.999-06:00,-0.289648,-0.981244,0.001169,2025-02-27T18:58:36.278-06:00,-0.293278,-0.162418,0.015517,2025-02-27T18:58:36.279-06:00
28.000000,253.535534,0.308016,7.258975,44.934265,280.945534,90.310265,4.748652,4.029364,-93.173091,12.350000,2025-02-27T18:58:37.999-06:00,-0.263109,-0.966338,-0.015884,2025-02-27T18:58:37.273-06:00,-0.093290,0.015749,-0.129031,2025-02-27T18:58:37.274-06:00
29.000000,253.961377,0.308016,7.258975,44.934264,281.371377,90.310265,4.748652,4.029364,-93.172933,12.350000,2025-02-27T18:58:38.999-06:00,-0.266755,-0.965265,-0.019659,2025-02-27T18:58:38.277-06:00,-0.115039,0.020818,-0.207078,2025-02-27T18:58:38.279-06:00
30.000000,253.449596,1.820000,12.382185,44.934263,280.859596,90.310265,4.748652,4.029364,-93.172789,11.910000,2025-02-27T18:58:39.999-06:00,-0.264098,-0.955802,-0.010538,2025-02-27T18:58:39.272-06:00,-0.047501,0.098418,-0.167456,2025-02-27T18:58:39.273-06:00
31.000000,253.786084,0.700000,7.258975,44.934263,281.196083,90.310265,4.748652,4.029364,-93.172630,12.240000,2025-02-27T18:58:40.999-06:00,-0.270180,-0.966446,-0.005002,2025-02-27T18:58:40.277-06:00,-0.092045,-0.015956,-0.084497,2025-02-27T18:58:40.278-06:00
32.000000,254.051647,0.308017,7.258975,44.934262,281.461647,90.310265,4.748652,4.029364,-93.172477,12.180000,2025-02-27T18:58:41.999-06:00,-0.272457,-0.965611,-0.002834,2025-02-27T18:58:41.272-06:00,-0.130964,0.006963,-0.008073,2025-02-27T18:58:41.273-06:00
33.000000,257.436597,1.271608,8.523671,44.934272,284.846597,90.310265,2.000000,3.000000,-93.172326,12.084495,2025-02-27T18:58:42.999-06:00,-0.254092,-0.963649,-0.000950,2025-02-27T18:58:42.276-06:00,-0.005847,0.029568,-0.011878,2025-02-27T18:58:42.277-06:00
34.000000,257.919190,1.366620,9.179119,44.934273,285.329190,90.310265,2.000000,3.000000,-93.172176,12.054037,2025-02-27T18:58:43.999-06:00,-0.241969,-0.961421,-0.016640,2025-02-27T18:58:43.281-06:00,0.222154,0.031315,-0.066211,2025-02-27T18:58:43.272-06:00
