seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,259.128458,-1.000000,-1.000000,44.942040,286.538458,-1.000000,280.715331,3.000000,-93.167117,-1.000000,2025-02-27T19:17:59.350-06:00,-0.253479,-0.959529,-0.229950,2025-02-27T19:17:59.345-06:00,0.241608,0.005911,-2.164225,2025-02-27T19:17:59.356-06:00
1.000000,258.327637,2.700000,23.043532,44.941716,285.737637,285.820312,3.535534,3.000000,-93.167210,7.440000,2025-02-27T19:18:00.999-06:00,-0.214226,-0.954496,-0.230230,2025-02-27T19:18:00.330-06:00,0.650429,0.046856,-2.023340,2025-02-27T19:18:00.331-06:00
2.000000,259.284058,0.980000,12.656072,44.941697,286.694057,264.726562,3.535534,3.000000,-93.167262,5.050000,2025-02-27T19:18:01.999-06:00,-0.151909,-0.987288,-0.069345,2025-02-27T19:18:01.334-06:00,1.390241,-0.324772,-0.209818,2025-02-27T19:18:01.336-06:00
3.000000,259.371216,0.970000,8.122770,44.941694,286.781216,268.242188,3.535534,3.000000,-93.167341,6.450000,2025-02-27T19:18:02.999-06:00,-0.180304,-0.979456,0.017300,2025-02-27T19:18:02.339-06:00,1.051728,-0.218082,0.648837,2025-02-27T19:18:02.330-06:00
4.000000,258.619629,0.960000,6.628011,44.941697,286.029629,270.292633,3.535534,3.000000,-93.167443,7.780000,2025-02-27T19:18:03.999-06:00,-0.211003,-0.987982,-0.010242,2025-02-27T19:18:03.334-06:00,0.651026,-0.267074,0.478823,2025-02-27T19:18:03.335-06:00
5.000000,257.957397,0.110000,0.788890,44.941703,285.367397,270.292633,3.535534,3.000000,-93.167559,9.540000,2025-02-27T19:18:04.999-06:00,-0.249657,-0.972403,0.004960,2025-02-27T19:18:04.338-06:00,0.124946,-0.100364,0.435046,2025-02-27T19:18:04.330-06:00
6.000000,258.390442,0.460000,3.042456,44.941704,285.800442,270.292633,3.535534,3.000000,-93.167684,9.540000,2025-02-27T19:18:06.000-06:00,-0.247334,-0.963113,0.019820,2025-02-27T19:18:05.333-06:00,0.132435,0.027205,0.485233,2025-02-27T19:18:05.334-06:00
7.000000,255.721130,1.940000,8.737375,44.941718,283.131130,270.292633,3.535534,3.000000,-93.167809,9.540000,2025-02-27T19:18:07.000-06:00,-0.303106,-0.955411,0.006443,2025-02-27T19:18:06.338-06:00,-0.451803,0.081873,0.383991,2025-02-27T19:18:06.339-06:00
8.000000,256.012451,1.610000,5.903942,44.941710,283.422451,270.292633,3.535534,3.000000,-93.167948,11.030000,2025-02-27T19:18:08.000-06:00,-0.288687,-0.943713,-0.018324,2025-02-27T19:18:07.332-06:00,-0.395013,0.241872,0.198054,2025-02-27T19:18:07.333-06:00
9.000000,255.067139,0.560000,3.598309,44.941712,282.477139,270.292633,3.535534,3.000000,-93.168080,11.030000,2025-02-27T19:18:09.000-06:00,-0.319682,-0.954541,-0.022163,2025-02-27T19:18:08.337-06:00,-0.643310,0.130302,0.221859,2025-02-27T19:18:08.338-06:00
