seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,248.511428,0.165000,3.534590,44.940430,275.921427,86.863281,28.936419,5.500000,-93.177222,3.670000,2025-02-27T19:07:08.581-06:00,-0.358481,-0.941665,0.137583,2025-02-27T19:07:08.572-06:00,-0.882133,0.207299,0.993154,2025-02-27T19:07:08.573-06:00
1.000000,250.354858,1.210000,10.706094,44.940157,277.764858,166.992188,4.946431,4.000000,-93.177207,8.340000,2025-02-27T19:07:09.999-06:00,-0.358182,-0.932788,0.188252,2025-02-27T19:07:09.557-06:00,-0.934151,0.307064,1.583546,2025-02-27T19:07:09.558-06:00
2.000000,249.338623,0.510000,5.523230,44.940126,276.748623,129.726562,3.844276,4.000000,-93.177134,7.330000,2025-02-27T19:07:10.999-06:00,-0.309860,-0.958812,0.155761,2025-02-27T19:07:10.561-06:00,-0.585175,0.076099,1.208089,2025-02-27T19:07:10.563-06:00
3.000000,249.240601,0.220000,2.453246,44.940097,276.650600,119.882812,3.535534,3.000000,-93.177076,5.980000,2025-02-27T19:07:11.999-06:00,-0.312538,-0.938969,0.228826,2025-02-27T19:07:11.566-06:00,-0.630298,0.276680,1.687407,2025-02-27T19:07:11.557-06:00
4.000000,247.516479,0.130000,1.281941,44.940087,274.926479,100.898438,3.535534,3.000000,-93.177006,5.980000,2025-02-27T19:07:12.999-06:00,-0.252222,-0.963772,0.192931,2025-02-27T19:07:12.561-06:00,-0.129869,0.055595,1.272222,2025-02-27T19:07:12.562-06:00
5.000000,247.995361,0.340000,2.929026,44.940078,275.405361,90.000000,3.535534,3.000000,-93.176914,7.560000,2025-02-27T19:07:13.999-06:00,-0.191470,-0.987557,0.101685,2025-02-27T19:07:13.565-06:00,0.339328,-0.156051,0.353121,2025-02-27T19:07:13.557-06:00
6.000000,247.855347,1.000000,8.130579,44.940073,275.265347,90.305824,3.535534,3.000000,-93.176817,8.030000,2025-02-27T19:07:15.000-06:00,-0.191526,-0.981184,0.044654,2025-02-27T19:07:14.560-06:00,0.223858,-0.042741,-0.118552,2025-02-27T19:07:14.561-06:00
7.000000,247.247681,2.130000,18.305030,44.940073,274.657681,90.305824,3.535534,3.000000,-93.176724,7.560000,2025-02-27T19:07:16.000-06:00,-0.178947,-0.972317,0.023569,2025-02-27T19:07:15.565-06:00,0.335280,0.020116,-0.254705,2025-02-27T19:07:15.566-06:00
8.000000,247.688782,0.700000,4.368653,44.940081,275.098782,90.000000,3.535534,3.000000,-93.176587,8.030000,2025-02-27T19:07:17.000-06:00,-0.188119,-0.990551,0.011812,2025-02-27T19:07:16.559-06:00,0.181512,-0.124205,-0.347746,2025-02-27T19:07:16.560-06:00
9.000000,248.193115,1.110000,6.614242,44.940084,275.603115,90.000000,3.535534,3.000000,-93.176461,10.270000,2025-02-27T19:07:18.000-06:00,-0.208165,-0.973694,0.001735,2025-02-27T19:07:17.564-06:00,0.015024,0.022721,-0.427759,2025-02-27T19:07:17.565-06:00
