seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,262.533638,0.673895,11.033600,44.934295,289.943637,217.830674,2.297983,3.000000,-93.167214,4.953177,2025-02-27T19:36:58.999-06:00,-0.234626,-0.962016,-0.238762,2025-02-27T19:36:58.448-06:00,0.550664,-0.098370,-1.454903,2025-02-27T19:36:58.459-06:00
1.000000,263.222919,0.674752,9.992069,44.934275,290.632919,239.584330,2.248319,3.000000,-93.167286,5.424766,2025-02-27T19:36:59.999-06:00,-0.195774,-0.979842,-0.157180,2025-02-27T19:36:59.433-06:00,0.640042,-0.197360,-0.527078,2025-02-27T19:36:59.434-06:00
2.000000,262.720440,0.695461,9.964800,44.934280,290.130440,263.308039,2.212845,3.000000,-93.167363,5.656546,2025-02-27T19:37:00.999-06:00,-0.136198,-1.000011,-0.025418,2025-02-27T19:37:00.438-06:00,0.978956,-0.318835,0.639360,2025-02-27T19:37:00.439-06:00
3.000000,262.398825,0.676108,7.772167,44.934282,289.808825,270.332458,2.182937,3.000000,-93.167462,7.039215,2025-02-27T19:37:01.999-06:00,-0.153462,-0.997437,0.011588,2025-02-27T19:37:01.432-06:00,0.702892,-0.261591,0.929392,2025-02-27T19:37:01.434-06:00
4.000000,262.168581,0.653873,7.256766,44.934284,289.578581,270.332458,2.146345,3.000000,-93.167576,8.352441,2025-02-27T19:37:02.999-06:00,-0.167251,-0.988903,0.011505,2025-02-27T19:37:02.437-06:00,0.515829,-0.160267,0.858920,2025-02-27T19:37:02.438-06:00
5.000000,262.083868,0.662273,7.258593,44.934286,289.493868,270.332458,2.140758,3.000000,-93.167706,9.581596,2025-02-27T19:37:03.999-06:00,-0.181288,-0.986159,0.031412,2025-02-27T19:37:03.432-06:00,0.330827,-0.116882,0.973716,2025-02-27T19:37:03.433-06:00
6.000000,261.965535,0.661985,7.258636,44.934287,289.375535,270.332458,2.085581,3.000000,-93.167846,10.630310,2025-02-27T19:37:04.999-06:00,-0.200579,-0.979938,0.004855,2025-02-27T19:37:04.436-06:00,0.098179,-0.044583,0.687700,2025-02-27T19:37:04.437-06:00
7.000000,261.615583,0.672750,7.258189,44.934291,289.025583,270.332458,2.183471,3.000000,-93.167995,11.394542,2025-02-27T19:37:05.999-06:00,-0.204028,-0.983803,0.023425,2025-02-27T19:37:05.431-06:00,0.022300,-0.067845,0.776838,2025-02-27T19:37:05.432-06:00
8.000000,261.467998,0.690734,7.258507,44.934291,288.877998,270.332458,2.228275,3.000000,-93.168161,12.421058,2025-02-27T19:37:06.999-06:00,-0.222062,-0.961622,0.013783,2025-02-27T19:37:06.435-06:00,-0.173304,0.157826,0.604168,2025-02-27T19:37:06.437-06:00
9.000000,261.272073,0.683767,7.258561,44.934294,288.682073,270.332458,2.115350,3.000000,-93.168333,13.182070,2025-02-27T19:37:07.999-06:00,-0.237281,-0.980179,0.009201,2025-02-27T19:37:07.430-06:00,-0.325500,-0.020602,0.491119,2025-02-27T19:37:07.431-06:00
10.000000,260.886314,0.672501,7.257950,44.934296,288.296314,270.313019,2.903430,3.000000,-93.168507,13.585522,2025-02-27T19:37:08.999-06:00,-0.247139,-0.961375,0.000361,2025-02-27T19:37:08.435-06:00,-0.404241,0.159078,0.392594,2025-02-27T19:37:08.436-06:00
11.000000,260.861273,0.677235,7.258720,44.934300,288.271273,270.313019,2.517019,3.000000,-93.168687,13.979860,2025-02-27T19:37:09.999-06:00,-0.296632,-0.961387,-0.008743,2025-02-27T19:37:09.439-06:00,-0.848650,0.158119,0.195717,2025-02-27T19:37:09.431-06:00
12.000000,260.491406,0.678693,7.258108,44.934300,287.901405,270.313019,2.708574,3.000000,-93.168868,14.124981,2025-02-27T19:37:10.999-06:00,-0.303623,-0.950479,-0.016983,2025-02-27T19:37:10.434-06:00,-0.861365,0.252210,0.102755,2025-02-27T19:37:10.435-06:00
13.000000,260.446418,0.676737,7.258750,44.934305,287.856418,270.313019,2.417126,3.000000,-93.169044,13.971780,2025-02-27T19:37:11.999-06:00,-0.305976,-0.950552,-0.002604,2025-02-27T19:37:11.439-06:00,-0.802356,0.231255,0.194837,2025-02-27T19:37:11.430-06:00
14.000000,260.004113,0.681088,7.257523,44.934305,287.414113,270.364502,2.528437,3.000000,-93.169215,13.646201,2025-02-27T19:37:12.999-06:00,-0.291543,-0.953308,0.006559,2025-02-27T19:37:12.433-06:00,-0.592489,0.190888,0.228914,2025-02-27T19:37:12.434-06:00
15.000000,260.233971,0.679650,7.258857,44.934304,287.643971,270.364502,2.254957,3.000000,-93.169389,13.647170,2025-02-27T19:37:13.999-06:00,-0.273445,-0.951121,-0.006953,2025-02-27T19:37:13.438-06:00,-0.391805,0.206945,0.086741,2025-02-27T19:37:13.439-06:00
