seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,257.986686,-0.463333,1.279021,44.941513,285.396686,71.989583,168.864729,7.333333,-93.166306,1.070000,2025-02-27T19:11:33.490-06:00,-0.324659,-0.943253,0.181424,2025-02-27T19:11:33.462-06:00,-0.350011,0.119784,1.439356,2025-02-27T19:11:33.468-06:00
1.000000,257.518188,1.200000,14.727467,44.941449,284.928188,221.484375,14.000000,4.000000,-93.167030,5.290000,2025-02-27T19:11:34.999-06:00,-0.250153,-0.960063,0.133374,2025-02-27T19:11:34.447-06:00,0.203091,0.026197,0.878747,2025-02-27T19:11:34.443-06:00
2.000000,257.098145,0.990000,11.162856,44.941373,284.508144,200.039062,3.535534,4.000000,-93.167053,5.290000,2025-02-27T19:11:35.999-06:00,-0.242841,-0.966734,0.178892,2025-02-27T19:11:35.441-06:00,0.190732,-0.032974,1.127653,2025-02-27T19:11:35.448-06:00
3.000000,257.964478,1.340000,15.525898,44.941307,285.374477,181.217926,3.535534,3.000000,-93.167074,5.570000,2025-02-27T19:11:36.999-06:00,-0.233576,-0.969677,0.120327,2025-02-27T19:11:36.446-06:00,0.139796,-0.038709,0.494456,2025-02-27T19:11:36.442-06:00
4.000000,257.450195,1.280000,8.087572,44.941236,284.860195,181.217926,3.535534,3.000000,-93.167072,5.760000,2025-02-27T19:11:37.999-06:00,-0.236556,-0.975179,0.101108,2025-02-27T19:11:37.441-06:00,0.071625,-0.116283,0.177813,2025-02-27T19:11:37.447-06:00
5.000000,258.179138,1.540000,13.045558,44.941166,285.589138,181.253586,3.535534,3.000000,-93.167075,7.660000,2025-02-27T19:11:38.999-06:00,-0.221442,-0.974409,0.055067,2025-02-27T19:11:38.445-06:00,0.139275,-0.042432,-0.263712,2025-02-27T19:11:38.441-06:00
6.000000,258.166504,0.790000,5.775270,44.941086,285.576504,181.253586,3.535534,3.000000,-93.167072,8.880000,2025-02-27T19:11:40.000-06:00,-0.293033,-0.953237,0.014042,2025-02-27T19:11:39.450-06:00,-0.614984,0.191503,-0.535320,2025-02-27T19:11:39.446-06:00
7.000000,258.308105,1.210000,7.576633,44.941008,285.718105,180.861176,3.535534,3.000000,-93.167077,8.480000,2025-02-27T19:11:41.000-06:00,-0.306846,-0.949249,0.011748,2025-02-27T19:11:40.444-06:00,-0.684400,0.189017,-0.503971,2025-02-27T19:11:40.441-06:00
8.000000,258.235291,1.080000,7.001398,44.940938,285.645290,180.861176,3.535534,3.000000,-93.167075,8.480000,2025-02-27T19:11:42.000-06:00,-0.297930,-0.955280,0.019228,2025-02-27T19:11:41.449-06:00,-0.566137,0.128222,-0.455102,2025-02-27T19:11:41.445-06:00
9.000000,258.500793,0.660000,5.600190,44.940867,285.910793,180.861176,3.535534,3.000000,-93.167070,7.690000,2025-02-27T19:11:43.000-06:00,-0.309785,-0.940795,0.023304,2025-02-27T19:11:42.444-06:00,-0.599081,0.246764,-0.426114,2025-02-27T19:11:42.450-06:00
10.000000,259.002197,0.810000,6.951338,44.940795,286.412197,180.112579,3.535534,3.000000,-93.167069,7.690000,2025-02-27T19:11:44.000-06:00,-0.305250,-0.955648,0.010445,2025-02-27T19:11:43.448-06:00,-0.578329,0.120783,-0.456367,2025-02-27T19:11:43.444-06:00
11.000000,259.183472,1.550000,12.803657,44.940728,286.593472,180.112579,3.535534,3.000000,-93.167084,7.690000,2025-02-27T19:11:45.000-06:00,-0.312018,-0.949456,0.019678,2025-02-27T19:11:44.443-06:00,-0.606412,0.161471,-0.396348,2025-02-27T19:11:44.449-06:00
12.000000,259.807800,0.570000,5.791601,44.940671,287.217800,180.112579,3.535534,3.000000,-93.167073,7.590000,2025-02-27T19:11:46.000-06:00,-0.341129,-0.936532,0.011233,2025-02-27T19:11:45.447-06:00,-0.781735,0.266394,-0.483042,2025-02-27T19:11:45.444-06:00
13.000000,259.807805,0.570000,7.258975,44.940603,287.217805,180.112579,4.748652,4.029364,-93.167062,7.590000,2025-02-27T19:11:47.000-06:00,-0.334950,-0.940749,0.015242,2025-02-27T19:11:46.442-06:00,-0.738469,0.219405,-0.426039,2025-02-27T19:11:46.448-06:00
14.000000,259.712039,0.308016,7.258975,44.940567,287.122038,180.112579,4.748652,4.029364,-93.167078,5.460000,2025-02-27T19:11:48.000-06:00,-0.332143,-0.938602,0.001310,2025-02-27T19:11:47.447-06:00,-0.582103,0.226532,-0.444393,2025-02-27T19:11:47.443-06:00
15.000000,259.351321,1.250000,16.205694,44.940501,286.761321,180.112579,4.748652,4.029364,-93.167084,6.250000,2025-02-27T19:11:49.000-06:00,-0.332036,-0.943016,0.011294,2025-02-27T19:11:48.441-06:00,-0.578351,0.168691,-0.341006,2025-02-27T19:11:48.448-06:00
16.000000,259.843874,0.770000,12.620966,44.940473,287.253874,180.112579,4.748652,4.029364,-93.167074,5.460000,2025-02-27T19:11:50.000-06:00,-0.330872,-0.943167,0.014302,2025-02-27T19:11:49.446-06:00,-0.585467,0.187264,-0.274445,2025-02-27T19:11:49.442-06:00
17.000000,260.228029,1.340000,23.150991,44.940436,287.638029,180.112579,4.748652,4.029364,-93.167059,4.690000,2025-02-27T19:11:51.000-06:00,-0.336378,-0.943530,0.008289,2025-02-27T19:11:50.441-06:00,-0.572884,0.156739,-0.296833,2025-02-27T19:11:50.447-06:00
18.000000,260.760866,2.300000,42.744373,44.940402,288.170866,180.112579,4.748652,4.029364,-93.167076,4.360000,2025-02-27T19:11:52.000-06:00,-0.333426,-0.941321,0.002306,2025-02-27T19:11:51.445-06:00,-0.504841,0.176752,-0.293590,2025-02-27T19:11:51.441-06:00
