seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,259.566789,0.557550,69.762669,44.941237,286.976789,125.181771,8.293983,3.000000,-93.167196,2.178923,2025-03-06T18:47:29.366-06:00,-0.161744,-0.995784,-0.119587,2025-03-06T18:47:29.354-06:00,0.708736,-0.237451,-1.493014,2025-03-06T18:47:29.366-06:00
1.000000,259.208374,1.150000,20.143225,44.941161,286.618374,148.359375,3.535534,3.000000,-93.167107,3.980000,2025-03-06T18:47:30.999-06:00,-0.126522,-1.001000,-0.057276,2025-03-06T18:47:30.348-06:00,0.791753,-0.234806,-0.937316,2025-03-06T18:47:30.341-06:00
2.000000,258.931763,1.000000,12.630493,44.941118,286.341763,181.406250,3.535534,3.000000,-93.167102,3.980000,2025-03-06T18:47:31.999-06:00,-0.136173,-0.992625,0.062260,2025-03-06T18:47:31.343-06:00,0.651491,-0.157345,0.203219,2025-03-06T18:47:31.346-06:00
3.000000,258.618225,0.180000,1.719317,44.941065,286.028225,181.253586,3.535534,3.000000,-93.167109,5.160000,2025-03-06T18:47:32.999-06:00,-0.159008,-0.990995,0.075056,2025-03-06T18:47:32.348-06:00,0.340952,-0.093924,0.272551,2025-03-06T18:47:32.340-06:00
4.000000,258.672852,0.130000,1.135955,44.941003,286.082851,180.861176,3.535534,3.000000,-93.167112,7.470000,2025-03-06T18:47:33.999-06:00,-0.196396,-0.976959,0.073176,2025-03-06T18:47:33.342-06:00,-0.052205,0.030053,0.267369,2025-03-06T18:47:33.345-06:00
5.000000,258.849792,0.370000,3.052670,44.940938,286.259792,180.861176,3.535534,3.000000,-93.167113,7.890000,2025-03-06T18:47:34.999-06:00,-0.233803,-0.967898,0.055136,2025-03-06T18:47:34.347-06:00,-0.455435,0.136935,0.114821,2025-03-06T18:47:34.340-06:00
6.000000,258.239380,1.890000,16.408078,44.940873,285.649380,180.861176,3.535534,3.000000,-93.167113,7.470000,2025-03-06T18:47:36.000-06:00,-0.259280,-0.967304,0.043874,2025-03-06T18:47:35.342-06:00,-0.665795,0.149209,0.046871,2025-03-06T18:47:35.344-06:00
7.000000,258.891724,2.020000,17.516626,44.940802,286.301723,180.112579,3.535534,3.000000,-93.167118,7.430000,2025-03-06T18:47:37.000-06:00,-0.256740,-0.956222,0.037141,2025-03-06T18:47:36.346-06:00,-0.671641,0.230066,-0.026764,2025-03-06T18:47:36.339-06:00
8.000000,258.887451,1.210000,8.015205,44.940740,286.297451,180.112579,3.535534,3.000000,-93.167124,6.880000,2025-03-06T18:47:38.000-06:00,-0.266122,-0.954872,0.038289,2025-03-06T18:47:37.341-06:00,-0.708735,0.241906,0.000047,2025-03-06T18:47:37.344-06:00
9.000000,258.867126,0.410000,4.282718,44.940684,286.277126,180.112579,3.535534,3.000000,-93.167131,6.880000,2025-03-06T18:47:39.000-06:00,-0.255420,-0.964050,0.028729,2025-03-06T18:47:38.346-06:00,-0.569326,0.160373,-0.038186,2025-03-06T18:47:38.348-06:00
