seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,249.538835,1.166961,51.685554,44.934363,276.948835,125.523339,3.930478,4.500000,-93.177233,1.201776,2025-03-06T18:26:15.741-06:00,-0.219957,-0.962384,0.248478,2025-03-06T18:26:15.732-06:00,0.393772,0.028457,2.049373,2025-03-06T18:26:15.739-06:00
1.000000,251.914551,1.310000,45.916367,44.934373,279.324551,52.382812,14.000000,4.000000,-93.177239,1.620000,2025-03-06T18:26:16.999-06:00,-0.198620,-0.976538,0.263183,2025-03-06T18:26:16.716-06:00,0.367876,-0.085541,1.870846,2025-03-06T18:26:16.714-06:00
2.000000,251.994080,0.760000,5.535318,44.934332,279.404079,103.007812,4.568965,4.000000,-93.177106,1.620000,2025-03-06T18:26:17.999-06:00,-0.162451,-0.982695,0.120149,2025-03-06T18:26:17.721-06:00,0.477440,-0.072933,0.456398,2025-03-06T18:26:17.719-06:00
3.000000,251.209290,0.220000,1.807495,44.934330,278.619289,85.781250,3.907311,3.000000,-93.177005,7.960000,2025-03-06T18:26:18.999-06:00,-0.157499,-0.990023,0.041163,2025-03-06T18:26:18.716-06:00,0.342158,-0.100193,-0.184747,2025-03-06T18:26:18.713-06:00
4.000000,250.660400,0.190000,1.509296,44.934324,278.070400,91.406250,3.535534,3.000000,-93.176900,8.440000,2025-03-06T18:26:19.999-06:00,-0.165465,-0.985935,0.023237,2025-03-06T18:26:19.720-06:00,0.239453,-0.055866,-0.357230,2025-03-06T18:26:19.718-06:00
5.000000,250.003540,0.200000,1.396385,44.934328,277.413540,83.671875,3.535534,3.000000,-93.176778,9.660000,2025-03-06T18:26:20.999-06:00,-0.187108,-0.982388,0.028396,2025-03-06T18:26:20.715-06:00,0.004542,-0.021596,-0.282738,2025-03-06T18:26:20.713-06:00
6.000000,250.139343,0.400000,2.709393,44.934325,277.549343,91.054688,3.535534,3.000000,-93.176650,9.690000,2025-03-06T18:26:22.000-06:00,-0.183007,-0.984349,0.024809,2025-03-06T18:26:21.720-06:00,0.013618,-0.037810,-0.310883,2025-03-06T18:26:21.717-06:00
7.000000,250.803833,0.210000,1.291647,44.934313,278.213833,91.757812,3.535534,3.000000,-93.176515,9.690000,2025-03-06T18:26:23.000-06:00,-0.184577,-0.979719,0.025631,2025-03-06T18:26:22.714-06:00,-0.008571,0.020814,-0.262366,2025-03-06T18:26:22.722-06:00
8.000000,250.822388,1.600000,7.553665,44.934302,278.232388,92.460938,3.535534,3.000000,-93.176371,10.470000,2025-03-06T18:26:24.000-06:00,-0.216400,-0.975929,0.017125,2025-03-06T18:26:23.719-06:00,-0.351677,0.067165,-0.310666,2025-03-06T18:26:23.716-06:00
9.000000,250.957092,0.640000,3.727346,44.934292,278.367092,89.648438,3.535534,3.000000,-93.176229,11.130000,2025-03-06T18:26:25.000-06:00,-0.251561,-0.964625,0.013908,2025-03-06T18:26:24.714-06:00,-0.652305,0.164386,-0.313443,2025-03-06T18:26:24.721-06:00
10.000000,251.166626,0.250000,1.529183,44.934288,278.576626,91.054688,3.535534,3.000000,-93.176095,11.130000,2025-03-06T18:26:26.000-06:00,-0.240846,-0.964217,0.018250,2025-03-06T18:26:25.718-06:00,-0.511766,0.166927,-0.220133,2025-03-06T18:26:25.716-06:00
11.000000,251.200195,0.140000,0.857653,44.934286,278.610195,90.351562,3.535534,3.000000,-93.175956,10.800000,2025-03-06T18:26:27.000-06:00,-0.225380,-0.974108,0.023258,2025-03-06T18:26:26.713-06:00,-0.310429,0.075757,-0.118648,2025-03-06T18:26:26.720-06:00
12.000000,251.535278,0.070000,0.420917,44.934287,278.945278,89.648438,3.535534,3.000000,-93.175817,10.800000,2025-03-06T18:26:28.000-06:00,-0.244474,-0.967124,-0.014397,2025-03-06T18:26:27.718-06:00,-0.563024,0.146641,-0.398993,2025-03-06T18:26:27.715-06:00
13.000000,251.535287,0.308016,7.258975,44.934287,278.945287,89.648534,4.748652,4.029364,-93.175680,10.800000,2025-03-06T18:26:29.000-06:00,-0.278914,-0.956326,-0.011534,2025-03-06T18:26:28.722-06:00,-0.885769,0.231514,-0.328191,2025-03-06T18:26:28.720-06:00
14.000000,252.300302,0.308016,7.258975,44.934286,279.710302,89.296973,4.748652,4.029364,-93.175540,10.900000,2025-03-06T18:26:30.000-06:00,-0.275361,-0.960909,-0.002257,2025-03-06T18:26:29.717-06:00,-0.708304,0.189028,-0.354141,2025-03-06T18:26:29.714-06:00
15.000000,252.760690,1.370000,10.592463,44.934287,280.170690,89.296969,4.748652,4.029364,-93.175410,10.480000,2025-03-06T18:26:31.000-06:00,-0.207528,-0.974150,0.011217,2025-03-06T18:26:30.721-06:00,-0.086471,0.044037,-0.226355,2025-03-06T18:26:30.719-06:00
16.000000,253.098641,0.550000,7.258975,44.934284,280.508641,90.000094,4.748652,4.029364,-93.175283,10.480000,2025-03-06T18:26:32.000-06:00,-0.183475,-0.977896,0.012248,2025-03-06T18:26:31.716-06:00,0.207141,0.008265,-0.188408,2025-03-06T18:26:31.714-06:00
17.000000,253.277596,0.308016,7.258975,44.934283,280.687596,89.648528,4.748652,4.029364,-93.175158,10.080000,2025-03-06T18:26:33.000-06:00,-0.208799,-0.977743,0.006904,2025-03-06T18:26:32.721-06:00,-0.028078,-0.000500,-0.170561,2025-03-06T18:26:32.718-06:00
18.000000,253.669320,0.308016,7.258975,44.934278,281.079319,91.757903,4.748652,4.029364,-93.175021,10.080000,2025-03-06T18:26:34.000-06:00,-0.230604,-0.971175,0.010270,2025-03-06T18:26:33.715-06:00,-0.246652,0.070967,-0.170518,2025-03-06T18:26:33.713-06:00
19.000000,253.801645,0.308016,7.258975,44.934278,281.211645,91.406348,4.748652,4.029364,-93.174870,10.980000,2025-03-06T18:26:35.000-06:00,-0.232563,-0.963254,0.006271,2025-03-06T18:26:34.720-06:00,-0.211272,0.133646,-0.168834,2025-03-06T18:26:34.718-06:00
20.000000,253.712412,0.308016,7.258975,44.934277,281.122412,90.351662,4.748652,4.029364,-93.174732,11.150000,2025-03-06T18:26:36.000-06:00,-0.265253,-0.960565,0.008184,2025-03-06T18:26:35.715-06:00,-0.467008,0.139695,-0.179944,2025-03-06T18:26:35.722-06:00
21.000000,253.470957,0.308016,7.258975,44.934270,280.880957,91.054788,4.748652,4.029364,-93.174591,11.220000,2025-03-06T18:26:37.000-06:00,-0.245241,-0.978081,0.025627,2025-03-06T18:26:36.719-06:00,-0.230925,-0.027352,-0.156300,2025-03-06T18:26:36.717-06:00
22.000000,253.167856,0.308016,7.258975,44.934267,280.577856,91.054787,4.748652,4.029364,-93.174454,11.150000,2025-03-06T18:26:38.000-06:00,-0.196160,-0.981290,0.037079,2025-03-06T18:26:37.714-06:00,0.186327,-0.057858,-0.034239,2025-03-06T18:26:37.722-06:00
23.000000,252.985483,0.308016,7.258975,44.934267,280.395483,90.351660,4.748652,4.029364,-93.174318,10.940000,2025-03-06T18:26:39.000-06:00,-0.194692,-0.980046,0.040433,2025-03-06T18:26:38.719-06:00,0.196544,-0.035489,0.044340,2025-03-06T18:26:38.716-06:00
24.000000,253.177744,0.308016,7.258975,44.934264,280.587744,90.703223,4.748652,4.029364,-93.174173,10.940000,2025-03-06T18:26:40.000-06:00,-0.227767,-0.970254,0.026717,2025-03-06T18:26:39.713-06:00,-0.124159,0.057703,-0.026967,2025-03-06T18:26:39.721-06:00
25.000000,253.238901,1.280000,9.420203,44.934231,280.648901,98.437597,4.748652,4.029364,-93.174037,11.010000,2025-03-06T18:26:41.000-06:00,-0.235909,-0.977896,0.009606,2025-03-06T18:26:40.718-06:00,-0.219671,-0.013083,-0.172568,2025-03-06T18:26:40.716-06:00
26.000000,253.987194,2.500000,16.482601,44.934226,281.397194,96.328234,4.748652,4.029364,-93.173866,12.290000,2025-03-06T18:26:42.000-06:00,-0.240279,-0.954158,0.032537,2025-03-06T18:26:41.713-06:00,-0.245435,0.218312,-0.021015,2025-03-06T18:26:41.720-06:00
