seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,252.217752,-1.000000,-1.000000,44.941638,279.627752,-1.000000,281.304687,3.000000,-93.175516,-1.000000,2025-03-06T18:24:47.974-06:00,-0.343792,-0.933647,0.160561,2025-03-06T18:24:47.933-06:00,-0.630661,0.239030,0.848243,2025-03-06T18:24:47.951-06:00
1.000000,249.071350,1.900000,7.812163,44.941645,276.481350,270.351562,14.000000,6.000000,-93.177520,12.780000,2025-03-06T18:24:48.999-06:00,-0.343000,-0.940733,0.086959,2025-03-06T18:24:48.918-06:00,-0.809683,0.194590,-0.088084,2025-03-06T18:24:48.925-06:00
2.000000,249.624634,3.740000,23.915083,44.941628,277.034634,270.169800,11.580401,4.000000,-93.177542,12.710000,2025-03-06T18:24:49.999-06:00,-0.299131,-0.953644,0.048061,2025-03-06T18:24:49.923-06:00,-0.518766,0.104267,-0.483014,2025-03-06T18:24:49.920-06:00
3.000000,249.674683,3.620000,41.836712,44.941628,277.084682,270.169800,10.741225,4.000000,-93.177523,9.910000,2025-03-06T18:24:50.999-06:00,-0.113580,-0.998960,0.080888,2025-03-06T18:24:50.917-06:00,1.174848,-0.304351,-0.187692,2025-03-06T18:24:50.925-06:00
4.000000,249.523621,1.020000,8.174034,44.941611,276.933620,149.414062,17.428865,3.000000,-93.177370,8.080000,2025-03-06T18:24:51.999-06:00,-0.131788,-0.990362,0.056798,2025-03-06T18:24:51.922-06:00,0.921716,-0.209925,-0.352794,2025-03-06T18:24:51.919-06:00
5.000000,248.372131,0.070000,0.815576,44.941389,275.782131,177.187500,4.212569,3.000000,-93.177330,6.110000,2025-03-06T18:24:52.999-06:00,-0.141832,-0.989301,0.041553,2025-03-06T18:24:52.926-06:00,0.853226,-0.211633,-0.495163,2025-03-06T18:24:52.924-06:00
6.000000,248.104858,0.070000,0.709752,44.941320,275.514858,177.890625,3.535534,3.000000,-93.177314,7.100000,2025-03-06T18:24:54.000-06:00,-0.147315,-0.998924,0.041585,2025-03-06T18:24:53.921-06:00,0.729677,-0.281186,-0.488793,2025-03-06T18:24:53.919-06:00
7.000000,247.807434,0.070000,0.607906,44.941250,275.217434,177.890625,3.535534,3.000000,-93.177299,7.100000,2025-03-06T18:24:55.000-06:00,-0.148916,-0.983616,0.070835,2025-03-06T18:24:54.926-06:00,0.646731,-0.114538,-0.456067,2025-03-06T18:24:54.923-06:00
8.000000,247.306274,0.340000,2.485574,44.941178,274.716274,179.648438,3.535534,3.000000,-93.177299,8.030000,2025-03-06T18:24:56.000-06:00,-0.156646,-0.994236,0.059156,2025-03-06T18:24:55.920-06:00,0.484638,-0.240029,-0.605419,2025-03-06T18:24:55.918-06:00
9.000000,247.360168,0.230000,1.531713,44.941088,274.770168,179.648438,3.535534,3.000000,-93.177294,10.030000,2025-03-06T18:24:57.000-06:00,-0.178797,-0.977731,0.058401,2025-03-06T18:24:56.925-06:00,0.222339,-0.037557,-0.427852,2025-03-06T18:24:56.922-06:00
10.000000,247.235107,0.140000,0.898296,44.940999,274.645107,179.648438,3.535534,3.000000,-93.177284,10.570000,2025-03-06T18:24:58.000-06:00,-0.201870,-0.972737,0.051443,2025-03-06T18:24:57.920-06:00,0.023066,0.004900,-0.533857,2025-03-06T18:24:57.917-06:00
11.000000,247.203979,0.140000,0.852733,44.940901,274.613979,180.703125,3.535534,3.000000,-93.177281,10.570000,2025-03-06T18:24:59.000-06:00,-0.216206,-0.969099,0.052301,2025-03-06T18:24:58.924-06:00,-0.141721,0.047944,-0.477813,2025-03-06T18:24:58.922-06:00
12.000000,247.198242,0.540000,3.220180,44.940802,274.608242,181.406250,3.535534,3.000000,-93.177283,10.970000,2025-03-06T18:25:00.000-06:00,-0.260935,-0.967817,0.051264,2025-03-06T18:24:59.919-06:00,-0.612302,0.072077,-0.403073,2025-03-06T18:24:59.926-06:00
13.000000,247.198252,0.540000,7.258975,44.940703,274.608252,181.406248,4.748652,4.029364,-93.177286,10.970000,2025-03-06T18:25:01.000-06:00,-0.251815,-0.959744,0.052763,2025-03-06T18:25:00.923-06:00,-0.473119,0.155150,-0.334645,2025-03-06T18:25:00.921-06:00
14.000000,247.183115,0.320000,7.258975,44.940598,274.593115,180.465073,4.748652,4.029364,-93.177277,11.080000,2025-03-06T18:25:02.000-06:00,-0.260713,-0.965211,0.038495,2025-03-06T18:25:01.918-06:00,-0.560123,0.107015,-0.350657,2025-03-06T18:25:01.926-06:00
15.000000,247.187143,0.530000,7.258975,44.940500,274.597143,180.465073,4.748652,4.029364,-93.177279,10.950000,2025-03-06T18:25:03.000-06:00,-0.237840,-0.965963,0.031254,2025-03-06T18:25:02.923-06:00,-0.361929,0.113750,-0.352848,2025-03-06T18:25:02.920-06:00
16.000000,247.364145,0.308016,7.258975,44.940401,274.774145,179.867538,4.748652,4.029364,-93.177272,10.990000,2025-03-06T18:25:04.000-06:00,-0.242837,-0.972904,0.025066,2025-03-06T18:25:03.917-06:00,-0.388427,0.040433,-0.369478,2025-03-06T18:25:03.925-06:00
17.000000,247.307383,0.308016,7.258975,44.940300,274.717382,179.867538,4.748652,4.029364,-93.177270,10.950000,2025-03-06T18:25:05.000-06:00,-0.241970,-0.970564,0.018807,2025-03-06T18:25:04.922-06:00,-0.384876,0.067051,-0.390384,2025-03-06T18:25:04.919-06:00
18.000000,247.494699,1.420000,10.546327,44.940202,274.904699,179.867538,4.748652,4.029364,-93.177268,10.910000,2025-03-06T18:25:06.000-06:00,-0.243758,-0.969316,0.009654,2025-03-06T18:25:05.917-06:00,-0.407029,0.092956,-0.385001,2025-03-06T18:25:05.924-06:00
19.000000,247.936960,2.180000,16.190840,44.940098,275.346960,179.867538,4.748652,4.029364,-93.177279,10.910000,2025-03-06T18:25:07.000-06:00,-0.226745,-0.927368,0.009090,2025-03-06T18:25:06.921-06:00,-0.007118,0.442365,-0.229864,2025-03-06T18:25:06.919-06:00
20.000000,248.926032,1.320000,11.805472,44.940038,276.336032,180.188156,4.748652,4.029364,-93.177275,9.060000,2025-03-06T18:25:08.000-06:00,-0.247868,-0.985770,0.037553,2025-03-06T18:25:07.926-06:00,-0.231178,-0.107491,-0.105472,2025-03-06T18:25:07.923-06:00
21.000000,249.061473,0.570000,7.258975,44.939905,276.471473,180.188156,4.748652,4.029364,-93.177267,11.770000,2025-03-06T18:25:09.000-06:00,-0.247057,-0.975768,0.039076,2025-03-06T18:25:08.920-06:00,-0.296421,-0.041573,-0.239856,2025-03-06T18:25:08.918-06:00
22.000000,249.130198,0.420000,7.258975,44.939807,276.540197,180.000000,4.748652,4.029364,-93.177269,11.000000,2025-03-06T18:25:10.000-06:00,-0.233699,-0.971640,0.035338,2025-03-06T18:25:09.925-06:00,-0.101920,0.019984,-0.267189,2025-03-06T18:25:09.923-06:00
23.000000,248.772043,1.560000,11.491310,44.939710,276.182043,176.132819,4.748652,4.029364,-93.177248,11.000000,2025-03-06T18:25:11.000-06:00,-0.230509,-0.971675,0.033607,2025-03-06T18:25:10.920-06:00,-0.114736,0.014221,-0.212323,2025-03-06T18:25:10.917-06:00
24.000000,248.753061,0.890000,7.258975,44.939607,276.163061,179.296876,4.748652,4.029364,-93.177258,11.000000,2025-03-06T18:25:12.000-06:00,-0.233128,-0.972514,0.037606,2025-03-06T18:25:11.924-06:00,-0.119964,0.013273,-0.220958,2025-03-06T18:25:11.922-06:00
25.000000,248.565684,0.370000,7.258975,44.939506,275.975684,180.351562,4.748652,4.029364,-93.177264,11.210000,2025-03-06T18:25:13.000-06:00,-0.215315,-0.971694,0.046008,2025-03-06T18:25:12.919-06:00,0.057847,0.012135,-0.204829,2025-03-06T18:25:12.926-06:00
26.000000,248.645762,0.308016,7.258975,44.939402,276.055762,180.307236,4.748652,4.029364,-93.177268,11.410000,2025-03-06T18:25:14.000-06:00,-0.215210,-0.970287,0.053078,2025-03-06T18:25:13.924-06:00,0.076689,0.020237,-0.116271,2025-03-06T18:25:13.921-06:00
27.000000,248.816783,0.660000,7.258975,44.939299,276.226783,180.307236,4.748652,4.029364,-93.177262,11.410000,2025-03-06T18:25:15.000-06:00,-0.224711,-0.970123,0.054770,2025-03-06T18:25:14.918-06:00,0.021869,0.017890,-0.071003,2025-03-06T18:25:14.926-06:00
28.000000,248.187571,1.870000,13.279863,44.939198,275.597571,180.307236,4.748652,4.029364,-93.177268,11.410000,2025-03-06T18:25:16.000-06:00,-0.233691,-0.979881,0.043934,2025-03-06T18:25:15.923-06:00,-0.134845,-0.063480,-0.099036,2025-03-06T18:25:15.920-06:00
29.000000,248.187022,1.520000,10.728508,44.939089,275.597022,180.307236,4.748652,4.029364,-93.177247,11.480000,2025-03-06T18:25:17.000-06:00,-0.241846,-0.951246,0.029105,2025-03-06T18:25:16.917-06:00,-0.138524,0.211786,-0.173847,2025-03-06T18:25:16.925-06:00
30.000000,248.186168,1.610000,11.121555,44.938978,275.596168,180.307236,4.748652,4.029364,-93.177259,11.730000,2025-03-06T18:25:18.000-06:00,-0.246370,-0.976875,0.062737,2025-03-06T18:25:17.922-06:00,-0.127882,-0.053577,0.043275,2025-03-06T18:25:17.920-06:00
31.000000,248.454847,0.530000,7.258975,44.938854,275.864846,180.290619,4.748652,4.029364,-93.177263,12.650000,2025-03-06T18:25:19.000-06:00,-0.236207,-0.963736,0.043731,2025-03-06T18:25:18.917-06:00,-0.116592,0.089456,-0.091977,2025-03-06T18:25:18.924-06:00
32.000000,248.714978,0.308016,7.258975,44.938741,276.124978,180.290619,4.748652,4.029364,-93.177265,12.550000,2025-03-06T18:25:20.000-06:00,-0.236215,-0.968971,0.037160,2025-03-06T18:25:19.921-06:00,-0.084534,0.035640,-0.171747,2025-03-06T18:25:19.919-06:00
33.000000,251.014808,1.478530,10.788043,44.938631,278.424808,180.290619,3.543376,3.000000,-93.177267,11.105189,2025-03-06T18:25:21.000-06:00,-0.242268,-0.965787,0.047910,2025-03-06T18:25:20.926-06:00,-0.107908,0.056595,-0.115885,2025-03-06T18:25:20.923-06:00
34.000000,251.221619,1.371329,9.151946,44.938514,278.631619,180.290619,2.213485,3.000000,-93.177255,12.141033,2025-03-06T18:25:22.000-06:00,-0.234548,-0.971100,0.044158,2025-03-06T18:25:21.921-06:00,-0.055004,-0.002888,-0.096666,2025-03-06T18:25:21.918-06:00
35.000000,251.324795,1.281208,8.293151,44.938399,278.734795,180.290619,2.106742,3.000000,-93.177253,12.518339,2025-03-06T18:25:23.000-06:00,-0.239364,-0.963400,0.051351,2025-03-06T18:25:22.925-06:00,-0.098481,0.085876,-0.045077,2025-03-06T18:25:22.923-06:00
36.000000,251.609509,1.277169,8.143772,44.938278,279.019509,180.000000,2.276278,3.000000,-93.177255,12.707210,2025-03-06T18:25:24.000-06:00,-0.245768,-0.964342,0.045853,2025-03-06T18:25:23.920-06:00,-0.143385,0.075930,-0.062977,2025-03-06T18:25:23.917-06:00
37.000000,251.772052,1.276134,8.142576,44.938163,279.182052,180.000000,3.072160,3.000000,-93.177249,12.698864,2025-03-06T18:25:25.000-06:00,-0.248928,-0.964700,0.045220,2025-03-06T18:25:24.924-06:00,-0.157695,0.054040,-0.123186,2025-03-06T18:25:24.922-06:00
38.000000,251.932059,1.274274,8.101510,44.938047,279.342058,180.000000,2.578357,3.000000,-93.177246,12.744434,2025-03-06T18:25:26.000-06:00,-0.251139,-0.981056,0.049619,2025-03-06T18:25:25.919-06:00,-0.213407,-0.092354,-0.113298,2025-03-06T18:25:25.917-06:00
39.000000,252.111510,1.276112,8.100808,44.937932,279.521510,180.000000,2.293100,3.000000,-93.177241,12.763898,2025-03-06T18:25:27.000-06:00,-0.243646,-0.945766,0.024862,2025-03-06T18:25:26.924-06:00,-0.149162,0.261839,-0.160042,2025-03-06T18:25:26.921-06:00
40.000000,252.365096,1.274372,8.068579,44.937816,279.775096,180.000000,2.603017,3.000000,-93.177240,12.797063,2025-03-06T18:25:28.000-06:00,-0.254645,-0.966449,0.040833,2025-03-06T18:25:27.918-06:00,-0.088888,0.018422,-0.110526,2025-03-06T18:25:27.926-06:00
41.000000,252.524812,1.277727,8.358025,44.937705,279.934812,180.258347,2.622329,3.000000,-93.177245,12.386877,2025-03-06T18:25:29.000-06:00,-0.241235,-0.970383,0.058313,2025-03-06T18:25:28.923-06:00,-0.037705,-0.010371,0.005301,2025-03-06T18:25:28.921-06:00
42.000000,252.610452,0.717016,7.258443,44.937593,280.020452,180.258347,2.316273,3.000000,-93.177254,12.228388,2025-03-06T18:25:30.000-06:00,-0.232181,-0.966158,0.043033,2025-03-06T18:25:29.918-06:00,0.061545,0.037758,-0.112682,2025-03-06T18:25:29.925-06:00
43.000000,253.071238,0.710556,7.257455,44.937474,280.481238,180.258347,2.413211,3.000000,-93.177253,12.645130,2025-03-06T18:25:31.000-06:00,-0.241893,-0.965778,0.050435,2025-03-06T18:25:30.922-06:00,-0.030072,0.027194,-0.070979,2025-03-06T18:25:30.920-06:00
44.000000,252.869462,0.704568,7.258938,44.937358,280.279462,180.129593,2.611213,3.000000,-93.177250,12.790619,2025-03-06T18:25:32.000-06:00,-0.247889,-0.966574,0.047108,2025-03-06T18:25:31.917-06:00,-0.070689,0.028099,-0.024493,2025-03-06T18:25:31.924-06:00
45.000000,252.408145,0.683764,7.257778,44.937242,279.818145,180.129593,2.713547,3.000000,-93.177254,12.922173,2025-03-06T18:25:33.000-06:00,-0.256578,-0.961993,0.039562,2025-03-06T18:25:32.922-06:00,-0.175126,0.078249,-0.069770,2025-03-06T18:25:32.919-06:00
46.000000,253.006671,0.685551,7.258270,44.937123,280.416671,180.129593,2.354699,3.000000,-93.177256,13.123252,2025-03-06T18:25:34.000-06:00,-0.261841,-0.958621,0.046722,2025-03-06T18:25:33.926-06:00,-0.222771,0.112882,-0.034181,2025-03-06T18:25:33.924-06:00
47.000000,252.640904,0.687005,7.258917,44.937010,280.050904,180.129593,2.242365,3.000000,-93.177255,12.990847,2025-03-06T18:25:35.000-06:00,-0.251563,-0.955686,0.022048,2025-03-06T18:25:34.921-06:00,-0.068642,0.124591,-0.079341,2025-03-06T18:25:34.918-06:00
48.000000,252.701918,0.696126,7.258949,44.936900,280.111918,180.000000,2.122929,3.000000,-93.177257,12.589211,2025-03-06T18:25:36.000-06:00,-0.247431,-0.980082,0.042845,2025-03-06T18:25:35.925-06:00,-0.024772,-0.103398,-0.007214,2025-03-06T18:25:35.923-06:00
49.000000,252.846354,0.688287,7.258788,44.936787,280.256354,180.000000,2.062337,3.000000,-93.177259,12.391713,2025-03-06T18:25:37.000-06:00,-0.236481,-0.966836,0.038930,2025-03-06T18:25:36.920-06:00,0.034073,0.017704,-0.044512,2025-03-06T18:25:36.918-06:00
50.000000,252.711120,0.681571,7.258901,44.936671,280.121120,180.000000,2.277655,3.000000,-93.177256,12.607339,2025-03-06T18:25:38.000-06:00,-0.237020,-0.964280,0.032786,2025-03-06T18:25:37.925-06:00,0.046005,0.056008,-0.062540,2025-03-06T18:25:37.922-06:00
51.000000,252.768817,0.718177,7.258927,44.936557,280.178817,180.000000,2.141213,3.000000,-93.177257,12.553145,2025-03-06T18:25:39.000-06:00,-0.254983,-0.976686,0.025657,2025-03-06T18:25:38.919-06:00,-0.203844,-0.054939,-0.084371,2025-03-06T18:25:38.917-06:00
52.000000,252.695586,0.683266,7.258911,44.936439,280.105585,180.115829,2.070984,3.000000,-93.177258,12.886141,2025-03-06T18:25:40.000-06:00,-0.270099,-0.942540,0.031539,2025-03-06T18:25:39.924-06:00,-0.280722,0.258802,-0.020185,2025-03-06T18:25:39.921-06:00
53.000000,253.138120,0.865057,7.257633,44.936325,280.548120,180.115829,2.172942,3.000000,-93.177262,12.887580,2025-03-06T18:25:41.000-06:00,-0.245540,-0.977608,0.028206,2025-03-06T18:25:40.919-06:00,-0.101779,-0.051320,-0.054257,2025-03-06T18:25:40.926-06:00
54.000000,252.887390,0.713829,7.258966,44.936215,280.297390,180.115829,2.541556,3.000000,-93.177262,12.644627,2025-03-06T18:25:42.000-06:00,-0.252657,-0.968411,0.020041,2025-03-06T18:25:41.923-06:00,-0.143098,0.023450,-0.082749,2025-03-06T18:25:41.921-06:00
55.000000,253.157200,0.691567,7.258309,44.936106,280.567200,180.115829,2.456602,3.000000,-93.177258,12.182797,2025-03-06T18:25:43.000-06:00,-0.235756,-0.943053,0.018751,2025-03-06T18:25:42.918-06:00,0.120658,0.236466,-0.141283,2025-03-06T18:25:42.925-06:00
56.000000,253.343497,0.690459,7.258705,44.935993,280.753497,180.000000,2.550714,3.000000,-93.177255,12.206674,2025-03-06T18:25:43.999-06:00,-0.261611,-0.990865,0.048767,2025-03-06T18:25:43.923-06:00,-0.106020,-0.215644,-0.020310,2025-03-06T18:25:43.920-06:00
57.000000,253.156061,0.695222,7.258950,44.935880,280.566061,180.000000,2.489357,3.000000,-93.177258,12.292836,2025-03-06T18:25:44.999-06:00,-0.242014,-0.965236,0.027318,2025-03-06T18:25:44.917-06:00,-0.049224,0.051786,-0.037038,2025-03-06T18:25:44.925-06:00
58.000000,252.824721,0.724098,7.258123,44.935769,280.234721,180.000000,2.830207,3.000000,-93.177264,12.374449,2025-03-06T18:25:45.999-06:00,-0.257110,-0.962708,0.027951,2025-03-06T18:25:45.922-06:00,-0.141492,0.067049,-0.002315,2025-03-06T18:25:45.919-06:00
59.000000,252.965656,0.705135,7.258891,44.935658,280.375656,180.000000,2.630388,3.000000,-93.177261,12.384894,2025-03-06T18:25:46.999-06:00,-0.256262,-0.964124,0.027229,2025-03-06T18:25:46.926-06:00,-0.151926,0.051353,-0.000868,2025-03-06T18:25:46.924-06:00
60.000000,253.146869,0.688445,7.258972,44.935547,280.556869,180.000000,2.340593,3.000000,-93.177268,12.370742,2025-03-06T18:25:47.999-06:00,-0.262744,-0.959075,0.029153,2025-03-06T18:25:47.921-06:00,-0.200556,0.117233,0.003977,2025-03-06T18:25:47.919-06:00
61.000000,252.934669,0.685125,7.258638,44.935439,280.344669,180.000000,2.175923,3.000000,-93.177267,12.149497,2025-03-06T18:25:48.999-06:00,-0.269736,-0.961562,0.021595,2025-03-06T18:25:48.926-06:00,-0.266665,0.075453,-0.069799,2025-03-06T18:25:48.923-06:00
62.000000,252.895549,0.681351,7.258774,44.935336,280.305549,180.000000,2.092945,3.000000,-93.177264,11.765931,2025-03-06T18:25:49.999-06:00,-0.274451,-0.967709,0.025395,2025-03-06T18:25:49.920-06:00,-0.326210,0.024367,-0.064940,2025-03-06T18:25:49.918-06:00
