seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,267.906102,-1.000000,-1.000000,44.940124,295.316102,-1.000000,456.469111,3.000000,-93.166947,-1.000000,2025-03-06T19:00:35.088-06:00,-0.250255,-0.956287,0.020487,2025-03-06T19:00:35.043-06:00,-0.444662,0.207213,-0.154320,2025-03-06T19:00:35.051-06:00
1.000000,263.916504,2.740000,43.010313,44.940123,291.326504,229.921875,5.955866,6.000000,-93.167091,8.560000,2025-03-06T19:00:36.999-06:00,-0.261973,-0.952353,0.014118,2025-03-06T19:00:36.038-06:00,-0.409260,0.217940,-0.128063,2025-03-06T19:00:36.036-06:00
2.000000,261.763062,0.970000,5.847686,44.940123,289.173061,270.351562,3.535534,3.000000,-93.167271,8.560000,2025-03-06T19:00:37.999-06:00,-0.282324,-0.957874,0.028231,2025-03-06T19:00:37.033-06:00,-0.597016,0.175899,-0.091862,2025-03-06T19:00:37.040-06:00
3.000000,261.264587,0.970000,6.154317,44.940125,288.674587,269.613403,3.535534,3.000000,-93.167384,8.450000,2025-03-06T19:00:38.999-06:00,-0.318852,-0.947129,0.018970,2025-03-06T19:00:38.037-06:00,-0.841842,0.234667,-0.259031,2025-03-06T19:00:38.035-06:00
4.000000,260.866333,0.100000,0.847998,44.940126,288.276333,269.802124,3.535534,3.000000,-93.167479,7.930000,2025-03-06T19:00:39.999-06:00,-0.268248,-0.952411,0.036088,2025-03-06T19:00:39.032-06:00,-0.328811,0.186975,-0.062288,2025-03-06T19:00:39.039-06:00
5.000000,261.095398,0.090000,0.782198,44.940126,288.505398,269.802124,3.535534,3.000000,-93.167587,7.930000,2025-03-06T19:00:40.999-06:00,-0.272592,-0.963624,0.030771,2025-03-06T19:00:40.037-06:00,-0.282477,0.051993,-0.122002,2025-03-06T19:00:40.034-06:00
6.000000,261.208923,0.090000,0.751535,44.940122,288.618923,269.802124,3.535534,3.000000,-93.167689,7.930000,2025-03-06T19:00:42.000-06:00,-0.263099,-0.952099,0.032284,2025-03-06T19:00:41.031-06:00,-0.175484,0.158626,-0.094251,2025-03-06T19:00:41.039-06:00
7.000000,260.477661,0.130000,1.098799,44.940125,287.887661,269.802124,3.535534,3.000000,-93.167789,7.900000,2025-03-06T19:00:43.000-06:00,-0.266696,-0.963427,0.033893,2025-03-06T19:00:42.036-06:00,-0.118729,0.019327,-0.085849,2025-03-06T19:00:42.033-06:00
8.000000,259.745911,0.110000,0.951273,44.940129,287.155910,270.143555,3.535534,3.000000,-93.167888,8.100000,2025-03-06T19:00:44.000-06:00,-0.268790,-0.964714,0.048446,2025-03-06T19:00:43.040-06:00,-0.139750,0.011146,0.009247,2025-03-06T19:00:43.038-06:00
9.000000,259.819519,0.130000,1.045929,44.940126,287.229519,270.143555,3.535534,3.000000,-93.167991,8.130000,2025-03-06T19:00:45.000-06:00,-0.268440,-0.961001,0.040852,2025-03-06T19:00:44.035-06:00,-0.131607,0.049564,-0.037833,2025-03-06T19:00:44.032-06:00
