seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,253.955921,1.128943,44.776692,44.934380,281.365921,294.073914,8.572851,3.000000,-93.177149,2.024579,2025-03-13T21:06:57.330-05:00,-0.176095,-0.992719,-0.153467,2025-03-13T21:06:57.318-05:00,1.014523,-0.317544,-1.317145,2025-03-13T21:06:57.330-05:00
1.000000,253.028870,1.640000,33.247616,44.934431,280.438869,314.296875,3.982105,3.000000,-93.177214,3.020000,2025-03-13T21:06:58.999-05:00,-0.146949,-0.994787,-0.081828,2025-03-13T21:06:58.313-05:00,0.998718,-0.255301,-0.744740,2025-03-13T21:06:58.314-05:00
2.000000,252.866394,1.100000,13.133933,44.934505,280.276394,357.187500,3.535534,3.000000,-93.177193,5.440000,2025-03-13T21:06:59.999-05:00,-0.141212,-0.993659,0.070098,2025-03-13T21:06:59.308-05:00,0.897382,-0.208443,0.657118,2025-03-13T21:06:59.309-05:00
3.000000,251.259644,1.910000,27.566826,44.934558,278.669643,354.726562,3.535534,3.000000,-93.177196,5.440000,2025-03-13T21:07:00.999-05:00,-0.156278,-0.991729,0.067893,2025-03-13T21:07:00.312-05:00,0.664053,-0.168960,0.698935,2025-03-13T21:07:00.314-05:00
4.000000,250.998779,1.250000,7.025028,44.934642,278.408779,2.460938,3.535534,3.000000,-93.177182,5.440000,2025-03-13T21:07:01.999-05:00,-0.149400,-0.991042,0.064511,2025-03-13T21:07:01.307-05:00,0.647078,-0.141290,0.631391,2025-03-13T21:07:01.308-05:00
5.000000,250.858459,0.290000,1.777122,44.934741,278.268459,358.593750,3.535534,3.000000,-93.177195,9.420000,2025-03-13T21:07:02.999-05:00,-0.168427,-0.989781,0.060472,2025-03-13T21:07:02.312-05:00,0.461553,-0.128249,0.516451,2025-03-13T21:07:02.313-05:00
6.000000,250.964478,0.150000,0.891456,44.934839,278.374477,359.648438,3.535534,3.000000,-93.177196,11.270000,2025-03-13T21:07:04.000-05:00,-0.219700,-0.969618,0.050693,2025-03-13T21:07:03.307-05:00,-0.049966,0.065726,0.356016,2025-03-13T21:07:03.308-05:00
7.000000,251.631897,0.390000,2.218176,44.934939,279.041897,0.351562,3.535534,3.000000,-93.177191,11.560000,2025-03-13T21:07:05.000-05:00,-0.220122,-0.977804,0.053481,2025-03-13T21:07:04.311-05:00,-0.074626,-0.009835,0.342915,2025-03-13T21:07:04.312-05:00
8.000000,251.527893,0.460000,2.445011,44.935046,278.937893,359.648438,3.535534,3.000000,-93.177187,11.560000,2025-03-13T21:07:06.000-05:00,-0.244919,-0.976039,0.053421,2025-03-13T21:07:05.306-05:00,-0.323708,0.008082,0.240220,2025-03-13T21:07:05.307-05:00
9.000000,251.485718,1.740000,6.315425,44.935163,278.895718,0.703125,3.535534,3.000000,-93.177184,12.270000,2025-03-13T21:07:07.000-05:00,-0.255295,-0.970614,0.048729,2025-03-13T21:07:06.310-05:00,-0.423418,0.059263,0.098372,2025-03-13T21:07:06.312-05:00
10.000000,251.129944,0.660000,3.489965,44.935270,278.539944,360.000000,3.535534,3.000000,-93.177192,12.270000,2025-03-13T21:07:08.000-05:00,-0.240428,-0.933234,0.024020,2025-03-13T21:07:07.305-05:00,-0.377125,0.448040,0.102761,2025-03-13T21:07:07.306-05:00
11.000000,251.205017,1.410000,5.541683,44.935379,278.615017,0.703125,3.535534,3.000000,-93.177187,12.410000,2025-03-13T21:07:09.000-05:00,-0.257475,-0.983063,0.043908,2025-03-13T21:07:08.310-05:00,-0.388194,-0.067945,0.273608,2025-03-13T21:07:08.311-05:00
12.000000,250.669739,0.930000,4.032907,44.935499,278.079739,360.000000,3.535534,3.000000,-93.177192,13.060000,2025-03-13T21:07:10.000-05:00,-0.260035,-0.959932,0.030244,2025-03-13T21:07:09.314-05:00,-0.442017,0.155556,0.031941,2025-03-13T21:07:09.306-05:00
