seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,258.655452,-0.515000,2.246976,44.942186,286.065452,45.744141,112.109533,6.250000,-93.167066,0.525000,2025-03-13T21:17:41.188-05:00,-0.250120,-0.954088,-0.280526,2025-03-13T21:17:41.178-05:00,0.098346,0.110134,-2.556205,2025-03-13T21:17:41.180-05:00
1.000000,261.580933,1.080000,15.667766,44.941678,288.990932,248.203125,3.535534,3.000000,-93.167234,5.100000,2025-03-13T21:17:42.999-05:00,-0.240110,-0.931314,-0.296884,2025-03-13T21:17:42.163-05:00,0.357091,0.278869,-2.473111,2025-03-13T21:17:42.164-05:00
2.000000,258.792114,1.300000,17.834585,44.941696,286.202114,262.265625,3.535534,3.000000,-93.167269,4.690000,2025-03-13T21:17:43.999-05:00,-0.205228,-0.978609,-0.118718,2025-03-13T21:17:43.168-05:00,0.807034,-0.235201,-0.427413,2025-03-13T21:17:43.169-05:00
3.000000,258.547668,0.870000,8.032381,44.941706,285.957668,270.292664,3.535534,3.000000,-93.167366,4.690000,2025-03-13T21:17:44.999-05:00,-0.185945,-0.979053,-0.002116,2025-03-13T21:17:44.162-05:00,0.933314,-0.219163,0.728331,2025-03-13T21:17:44.164-05:00
4.000000,257.831238,0.830000,7.166032,44.941712,285.241238,270.292664,3.535534,3.000000,-93.167453,7.500000,2025-03-13T21:17:45.999-05:00,-0.194736,-0.986797,-0.038828,2025-03-13T21:17:45.167-05:00,0.771582,-0.281123,0.444899,2025-03-13T21:17:45.168-05:00
5.000000,258.076904,0.650000,4.576096,44.941716,285.486904,270.292664,3.535534,3.000000,-93.167567,9.180000,2025-03-13T21:17:46.999-05:00,-0.235127,-0.975196,-0.031366,2025-03-13T21:17:46.162-05:00,0.181575,-0.108973,0.465056,2025-03-13T21:17:46.163-05:00
6.000000,258.643799,1.750000,8.551837,44.941702,286.053799,270.292664,3.535534,3.000000,-93.167682,9.160000,2025-03-13T21:17:47.999-05:00,-0.243442,-0.962655,-0.030240,2025-03-13T21:17:47.166-05:00,0.032324,0.038058,0.427042,2025-03-13T21:17:47.168-05:00
7.000000,257.643677,1.620000,6.591023,44.941703,285.053677,270.292664,3.535534,3.000000,-93.167807,9.180000,2025-03-13T21:17:48.999-05:00,-0.280143,-0.946308,-0.042106,2025-03-13T21:17:48.171-05:00,-0.315051,0.188268,0.327493,2025-03-13T21:17:48.162-05:00
8.000000,257.280884,0.770000,4.845253,44.941703,284.690884,270.292664,3.535534,3.000000,-93.167938,10.320000,2025-03-13T21:17:49.999-05:00,-0.290576,-0.968032,-0.052900,2025-03-13T21:17:49.166-05:00,-0.492423,-0.003298,0.237200,2025-03-13T21:17:49.167-05:00
9.000000,256.600098,0.220000,1.496654,44.941720,284.010098,270.292664,3.535534,3.000000,-93.168057,10.320000,2025-03-13T21:17:50.999-05:00,-0.288227,-0.948315,-0.055291,2025-03-13T21:17:50.170-05:00,-0.445332,0.176383,0.270461,2025-03-13T21:17:50.162-05:00
10.000000,256.063782,0.800000,5.335022,44.941719,283.473782,270.234100,3.535534,3.000000,-93.168180,9.800000,2025-03-13T21:17:51.999-05:00,-0.284705,-0.958725,-0.062097,2025-03-13T21:17:51.165-05:00,-0.430955,0.083264,0.136452,2025-03-13T21:17:51.166-05:00
11.000000,255.431702,1.110000,7.255016,44.941704,282.841702,270.234100,3.535534,3.000000,-93.168278,9.460000,2025-03-13T21:17:52.999-05:00,-0.292828,-0.948681,-0.048354,2025-03-13T21:17:52.170-05:00,-0.459684,0.177118,0.203211,2025-03-13T21:17:52.171-05:00
12.000000,255.093018,1.710000,7.570478,44.941705,282.503017,270.234100,3.535534,3.000000,-93.168400,9.610000,2025-03-13T21:17:53.999-05:00,-0.294677,-0.959041,-0.045401,2025-03-13T21:17:53.165-05:00,-0.443949,0.073636,0.202999,2025-03-13T21:17:53.166-05:00
13.000000,255.093025,1.710000,14.418178,44.941705,282.503025,270.234100,4.748652,4.029364,-93.168522,9.610000,2025-03-13T21:17:54.999-05:00,-0.355814,-0.936797,-0.076673,2025-03-13T21:17:54.169-05:00,-1.036560,0.277351,-0.011284,2025-03-13T21:17:54.170-05:00
14.000000,255.234077,2.260000,19.055603,44.941705,282.644077,270.234100,4.748652,4.029364,-93.168636,9.610000,2025-03-13T21:17:55.999-05:00,-0.363572,-0.908583,-0.076637,2025-03-13T21:17:55.164-05:00,-1.067844,0.549830,-0.087872,2025-03-13T21:17:55.165-05:00
