seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,249.676872,-0.206667,7.296861,44.940588,277.086872,45.973958,91.560879,4.666667,-93.177138,0.553333,2025-03-13T21:26:13.273-05:00,-0.289396,-0.964633,0.130069,2025-03-13T21:26:13.245-05:00,-0.505100,0.045993,0.695960,2025-03-13T21:26:13.256-05:00
1.000000,251.636597,1.040000,12.206565,44.940080,279.046597,98.437500,3.535534,3.000000,-93.176963,5.520000,2025-03-13T21:26:14.999-05:00,-0.184819,-0.974704,0.082264,2025-03-13T21:26:14.230-05:00,0.440824,-0.034748,0.178781,2025-03-13T21:26:14.231-05:00
2.000000,251.563538,0.960000,8.082610,44.940090,278.973537,90.000000,3.535534,3.000000,-93.176903,5.520000,2025-03-13T21:26:15.999-05:00,-0.142318,-0.987925,0.050599,2025-03-13T21:26:15.234-05:00,0.804568,-0.156870,-0.187071,2025-03-13T21:26:15.235-05:00
3.000000,251.639343,0.050000,0.416805,44.940091,279.049343,90.305832,3.535534,3.000000,-93.176807,6.350000,2025-03-13T21:26:16.999-05:00,-0.176800,-0.995654,0.052371,2025-03-13T21:26:16.229-05:00,0.424694,-0.225765,-0.199775,2025-03-13T21:26:16.230-05:00
4.000000,251.923401,0.050000,0.381846,44.940092,279.333401,90.305832,3.535534,3.000000,-93.176704,8.570000,2025-03-13T21:26:17.999-05:00,-0.185430,-0.973443,0.043241,2025-03-13T21:26:17.234-05:00,0.310737,0.000458,-0.240246,2025-03-13T21:26:17.235-05:00
5.000000,251.947754,0.050000,0.363874,44.940092,279.357754,90.000000,3.535534,3.000000,-93.176590,9.220000,2025-03-13T21:26:18.999-05:00,-0.193835,-0.988942,0.022767,2025-03-13T21:26:18.228-05:00,0.192127,-0.138558,-0.453808,2025-03-13T21:26:18.230-05:00
6.000000,251.415344,0.050000,0.347099,44.940093,278.825344,90.000000,3.535534,3.000000,-93.176479,9.220000,2025-03-13T21:26:19.999-05:00,-0.216688,-0.974726,0.001438,2025-03-13T21:26:19.233-05:00,-0.070255,0.018311,-0.526528,2025-03-13T21:26:19.234-05:00
7.000000,251.302734,0.050000,0.342553,44.940096,278.712734,90.000000,3.535534,3.000000,-93.176359,9.450000,2025-03-13T21:26:20.999-05:00,-0.226934,-0.966119,0.033432,2025-03-13T21:26:20.228-05:00,-0.171660,0.093356,-0.236410,2025-03-13T21:26:20.229-05:00
8.000000,251.370117,0.200000,1.334791,44.940096,278.780117,90.000000,3.535534,3.000000,-93.176233,9.970000,2025-03-13T21:26:21.999-05:00,-0.215082,-0.973140,0.003201,2025-03-13T21:26:21.232-05:00,-0.068087,0.021992,-0.474869,2025-03-13T21:26:21.234-05:00
9.000000,251.247925,0.110000,0.703695,44.940097,278.657925,90.211685,3.535534,3.000000,-93.176104,10.270000,2025-03-13T21:26:22.999-05:00,-0.230400,-0.976248,-0.011248,2025-03-13T21:26:22.237-05:00,-0.167304,0.011971,-0.601914,2025-03-13T21:26:22.228-05:00
